review_body,review_date
"Nice big complex, with múltiple buildings, historical place , i take with tour compañía, But cheaper by subway, a must if you go to seoul","October 5, 2019"
"Everything about this Palace resonates history and the rich culture of the Koreans. Entry is free for vistors in the traditional outfit (Hanbok) and at a low cost for visitors without the outfit. There are several shops near the near Palace where you can rent a Hanbok for 1 to 2hours. The cost of renting my outfit was ₩10,000 for 2hours. The palace also has a park where you can have lunch after some sightseeing. This is worth your last penny. Enjoy","October 4, 2019"
"I visited Gyeongbokgung Palace on March 10th 2019, for me was a cold day since I live in the carribean, and thought I'd love to wear a hanbok, i could bear to be in thos very thin fabric dresses, so I skip that and pay the fee to access the palace. The place is HUGE I walked and walked and walked is seem endless. I visited the museum of South Korean history,was very interesting and very big too.The building I love to watch the most was the main building where the throne of the King was, and to watch the show of the change of guard at the main entrance of the palace. Was a great experience and I highly recommend it. Z","October 4, 2019"
"Unforgettable visit, will definitely return for another visit next time in Seoul! Very traditional architecture!","October 4, 2019"
"A visit to Gyeongbokgung should be on everyone’s list when visiting Seoul. It was the main palace for the Joseon Dynasty, the last dynasty before the Japanese colonization in 1910. It is significant historically, but also worth visiting because of its beauty. Be sure to rent some traditional clothing before going in to get some unique pictures that will be truly memorable!","October 3, 2019"
"We had the fortunate timing of watching the palace guard change ceremony, and it was an event to watch. For those who are multi-lingual, the broadcast is in 4 languages: Korean, Japanese, Chinese, and English. The palace itself is grand, even though it's not the same scale as the Forbidden City in Beijing. Still, it is worthy of a visit.","October 3, 2019"
We really enjoyed walking about the palace and learning some of the history. The dynasty and royalty is fascinating and the structures are beautiful.,"October 3, 2019"
"If you ignore the whole place was rebuilt not long ago and hence isn't particularly original (although, of course, rebuilt in its impressive, historical, form) it is definitely worth seeing. Sprawling, busy and imposing it is a must when visiting Seoul.","October 3, 2019"
"Very nice place to visit while in Seoul. Historical site, not to crowded. Spend nice time there. Recomend it for everyone visiting even if they have little time. However is not worth to wait for the change of guards. ","October 2, 2019"
Tried on a hanbok and had fun being silly photo taking and walking around the palace. Saw a cordoned off throne seating area. Walked the grounds in the summer heat but still enjoyed myself.,"October 2, 2019"
"Nice big complex, with múltiple buildings, historical place , i take with tour compañía, But cheaper by subway, a must if you go to seoul","October 5, 2019"
"Everything about this Palace resonates history and the rich culture of the Koreans. Entry is free for vistors in the traditional outfit (Hanbok) and at a low cost for visitors without the outfit. There are several shops near the near Palace where you can rent a Hanbok for 1 to 2hours. The cost of renting my outfit was ₩10,000 for 2hours. The palace also has a park where you can have lunch after some sightseeing. This is worth your last penny. Enjoy","October 4, 2019"
"I visited Gyeongbokgung Palace on March 10th 2019, for me was a cold day since I live in the carribean, and thought I'd love to wear a hanbok, i could bear to be in thos very thin fabric dresses, so I skip that and pay the fee to access the palace. The place is HUGE I walked and walked and walked is seem endless. I visited the museum of South Korean history,was very interesting and very big too.The building I love to watch the most was the main building where the throne of the King was, and to watch the show of the change of guard at the main entrance of the palace. Was a great experience and I highly recommend it. Z","October 4, 2019"
"Unforgettable visit, will definitely return for another visit next time in Seoul! Very traditional architecture!","October 4, 2019"
"A visit to Gyeongbokgung should be on everyone’s list when visiting Seoul. It was the main palace for the Joseon Dynasty, the last dynasty before the Japanese colonization in 1910. It is significant historically, but also worth visiting because of its beauty. Be sure to rent some traditional clothing before going in to get some unique pictures that will be truly memorable!","October 3, 2019"
"We had the fortunate timing of watching the palace guard change ceremony, and it was an event to watch. For those who are multi-lingual, the broadcast is in 4 languages: Korean, Japanese, Chinese, and English. The palace itself is grand, even though it's not the same scale as the Forbidden City in Beijing. Still, it is worthy of a visit.","October 3, 2019"
We really enjoyed walking about the palace and learning some of the history. The dynasty and royalty is fascinating and the structures are beautiful.,"October 3, 2019"
"If you ignore the whole place was rebuilt not long ago and hence isn't particularly original (although, of course, rebuilt in its impressive, historical, form) it is definitely worth seeing. Sprawling, busy and imposing it is a must when visiting Seoul.","October 3, 2019"
"Very nice place to visit while in Seoul. Historical site, not to crowded. Spend nice time there. Recomend it for everyone visiting even if they have little time. However is not worth to wait for the change of guards. ","October 2, 2019"
Tried on a hanbok and had fun being silly photo taking and walking around the palace. Saw a cordoned off throne seating area. Walked the grounds in the summer heat but still enjoyed myself.,"October 2, 2019"
"This palace (mostly restored) is the oldest of the Joseon dynasty. Free for those over 65 and note that 64 in US counts as 65 in Korea (bring your passport for proof of age). Otherwise, just 3,000 won.Very large and many photo ops. Be sure to spend time in the free Palace Museum just outside the paying area.","September 30, 2019"
"Take metroline 3 (orange) and get out at Gyeongbokgung station. This is a must see/do when in Seoul. It´s one of the most well maintained historical sites I have ever visited. Like many ´main tourist attractions´ it´s full of tourists, but because many locals like to rent traditional clothing and walk around all dressed up it gives you a very authentic feeling (until you all see people taking selfies and you are reminded they are from 2019 and not from the past). For me it was a great way to get to know Seoul/ South Korea on my first day. I went on my own for a quick visit, but if you have a chance to do a guided tour and learn about it´s history I think that would be very interesting. The place itself is huge and you can easily hang around for two hours. Later I found out there was a huge chunk of the park I missed (the water part) because I crossed over to the National folk museum, which is also well worth a visit by the way. If you have more time and feel like walking a bit more, you can also visit the Bukchon Hanok village at about 500 meters distance.","September 30, 2019"
"Nice enough, but big open space and after you’ve stared at it for 5-10 mins...wondering what to do with one’s self. ","September 30, 2019"
"On the dates posted on their official website (in Korean; not in English), foreigners can purchase up to 4 tickets at the ticket booth with a valid ID/passport. When I visited in September 2019, nighttime ticket sales started at 6:30 pm. Visitors were able to enter the palace at 6:40 pm, and were guided to go out at 9:00 pm. Hanboks (Korean traditional dresses) look gorgeous with the palace's night view!","September 29, 2019"
