,category,highest_topic,highest_ratio,topic_ratio,topic2,topic3,topic1,topic4,attractions,attr_index
0,1,2.0,1.0,"[(2, 0.999992)]",0.9999920129776001,0.0,0.0,0.0,Myeongdong_Shopping_Street-Seoul Myeong_dong_Cathedral-Seoul Chuncheon_Myeongdong_Street-Chuncheon_Gangwon_do Cheongnamdae-Cheongju_Chungcheongbuk_do Myeongdong_Seocobulhanjeungmag-Seoul Beautiplex_Myeongdong-Seoul Namdaemun_Market-Seoul,"[0, 1, 2, 38, 349, 376, 454]"
1,2,2.0,0.8346999883651733,"[(2, 0.8347093), (3, 0.16088232)]",0.8347092866897583,0.16088232398033142,0.0,0.0,Dongdaemun_Market-Seoul Migliore_Dongdaemun_Shop-Seoul Dongdaemun_Design_Plaza_DDP-Seoul Dongdaemun_Shopping_Complex-Seoul Dongdaemun_Gate_Heunginjimun-Seoul,"[18, 19, 20, 21, 22]"
2,3,3.0,0.9825999736785889,"[(2, 0.015315848), (3, 0.9825899)]",0.015315848402678967,0.9825899004936218,0.0,0.0,Jogyesa_Temple-Seoul Jongmyo_Shrine-Seoul Jongno_Jewelry_Shopping_Street-Seoul Cheonggyecheon_Stream-Seoul Jonglo3ga_Pojangmacha_Geoli-Seoul Cheonggyesa_Temple-Uiwang_Gyeonggi_do Cheonggyesan_Mountain-Gwacheon_Gyeonggi_do Cheonggyecheon_Museum-Seoul,"[67, 68, 69, 70, 71, 187, 461, 462]"
3,4,2.0,0.9842000007629395,"[(1, 0.015717315), (2, 0.98415565)]",0.9841556549072266,0.0,0.015717314556241035,0.0,Sinchon-Seoul Yonsei_University_Sinchon_Campus-Seoul Hongdae_Art_Market_Free_Market-Seoul,"[35, 362, 457]"
4,5,2.0,0.9585999846458435,"[(1, 0.018562078), (2, 0.95858383), (3, 0.022190643)]",0.9585838317871094,0.022190643474459648,0.01856207847595215,0.0,Itaewon-Seoul Itaewon_Land-Seoul Itaewon_Antique_Furniture_Street-Seoul,"[40, 41, 42]"
5,6,1.0,0.9674999713897705,"[(1, 0.9674929), (4, 0.02955534)]",0.0,0.0,0.9674928784370422,0.029555339366197586,Gwangandaegyo_Bridge-Busan Nurimaru_APAC_House-Busan Haeundae_Beach-Busan Haeundae_Dalmaji_gil_Road-Busan,"[3, 4, 5, 6]"
6,7,2.0,0.9998000264167786,"[(2, 0.99975437)]",0.9997543692588806,0.0,0.0,0.0,Gangnam_Underground_Shopping_area-Seoul,[16]
7,8,1.0,0.9269999861717224,"[(1, 0.9269698), (2, 0.072989374)]",0.07298937439918518,0.0,0.9269698262214661,0.0,Jamsil_Baseball_Stadium-Seoul Lotte_Cinema_Lotte_World-Seoul Jamsil_Sports_Complex-Seoul Seokchon_Lake-Seoul Lotte_World_Tower_Mall-Seoul,"[7, 8, 9, 10, 11]"
8,9,4.0,0.9972000122070312,"[(4, 0.99717015)]",0.0,0.0,0.0,0.9971701502799988,Dongmun_Market-Jeju_Jeju_Island Jeju_Folklore_Natural_Museum-Jeju_Jeju_Island Jeju_Stone_Park-Jeju_Jeju_Island Seongsan_Ilchulbong-Seogwipo_Jeju_Island Seongeup_Folk_Village-Jeju_Jeju_Island Yongduam_Rock-Jeju_Jeju_Island Jeju_Museum_of_Art-Jeju_Jeju_Island Songaksan_Mountain-Seogwipo_Jeju_Island Hallasan_National_Park-Seogwipo_Jeju_Island Geomunoreum-Jeju_Jeju_Island Jeju_Travel_Lucas-Jeju_Jeju_Island Jeju_Folk_Village_Jeju_Minsokchon-Seogwipo_Jeju_Island Hyeopjae_Beach-Jeju_Jeju_Island Jeolmul_Natural_Forest_Resort-Jeju_Jeju_Island Yongmeori_Beach-Seogwipo_Jeju_Island Eco_Land_Theme_Park-Jeju_Jeju_Island Shinhwa_Theme_Park-Seogwipo_Jeju_Island Mysterious_Road_Dokkaebi_Road-Jeju_Jeju_Island Jeju_Taxi_Tour_Best-Jeju_Jeju_Island Woljeongri_Beach-Jeju_Jeju_Island Jeju_Jungang_Underground_Shopping_Center-Jeju_Jeju_Island,"[30, 31, 32, 33, 34, 119, 151, 162, 164, 170, 186, 208, 227, 277, 320, 394, 395, 439, 453, 465, 483]"
9,10,1.0,0.9922000169754028,"[(1, 0.99222255)]",0.0,0.0,0.9922225475311279,0.0,Nami_Island-Chuncheon_Gangwon_do Chuncheon_Myeongdong_Dakgalbi_Street-Chuncheon_Gangwon_do Chuncheon_Mullegil-Chuncheon_Gangwon_do Gangchon_Rail_Park-Chuncheon_Gangwon_do Cheongpyeongsa_Temple-Chuncheon_Gangwon_do Soyang_Lake-Chuncheon_Gangwon_do,"[12, 27, 28, 311, 324, 327]"
10,11,4.0,0.7874000072479248,"[(1, 0.014490764), (2, 0.19698516), (4, 0.78739977)]",0.1969851553440094,0.0,0.014490763656795025,0.7873997688293457,Jagalchi_Market-Busan Yongdusan_Park-Busan,"[91, 92]"
11,12,1.0,0.704200029373169,"[(1, 0.70423484), (2, 0.29558983)]",0.2955898344516754,0.0,0.7042348384857178,0.0,Coex_Aquarium-Seoul Starfield_COEX_Mall-Seoul SMTOWN_coexartium-Seoul COEX_Center-Seoul,"[104, 105, 241, 530]"
12,13,1.0,0.9994999766349792,"[(1, 0.99945855)]",0.0,0.0,0.9994585514068604,0.0,Yeouido_Hangang_Park-Seoul Yeouido_Park-Seoul Hangang_Park-Seoul Eland_Cruise-Seoul,"[24, 25, 61, 62]"
13,14,1.0,0.9994999766349792,"[(1, 0.9995449)]",0.0,0.0,0.9995449185371399,0.0,Everland-Yongin_Gyeonggi_do,[101]
14,15,4.0,0.5116999745368958,"[(1, 0.124695025), (2, 0.14810078), (3, 0.21547303), (4, 0.51173115)]",0.14810077846050262,0.2154730260372162,0.12469502538442612,0.5117311477661133,Yonggungsa_Temple-Incheon Gijang_Market-Busan,"[290, 478]"
