,category,highest_topic,highest_ratio,topic_ratio,topic2,topic3,topic1,topic4,attr_index,attraction,category
0,1,2.0,1.0,"[(2, 0.99998945)]",0.9999894499778748,0.0,0.0,0.0,0,Myeongdong_Shopping_Street-Seoul,1
1,1,2.0,0.8029000163078308,"[(2, 0.8028542), (3, 0.19707978)]",0.8028541803359985,0.19707977771759033,0.0,0.0,1,Myeong_dong_Cathedral-Seoul,1
2,1,2.0,0.9803000092506409,"[(1, 0.019048238), (2, 0.9803169)]",0.9803168773651123,0.0,0.019048238173127174,0.0,2,Chuncheon_Myeongdong_Street-Chuncheon_Gangwon_do,1
3,6,1.0,0.9984999895095825,"[(1, 0.99852586)]",0.0,0.0,0.998525857925415,0.0,3,Gwangandaegyo_Bridge-Busan,6
4,6,1.0,0.59170001745224,"[(1, 0.5916747), (3, 0.36413842), (4, 0.043909222)]",0.0,0.3641384243965149,0.5916746854782104,0.0439092218875885,4,Nurimaru_APAC_House-Busan,6
5,6,1.0,0.9648000001907349,"[(1, 0.9648284), (2, 0.010190519), (4, 0.0249681)]",0.010190518572926521,0.0,0.964828372001648,0.0249681007117033,5,Haeundae_Beach-Busan,6
6,6,1.0,0.7645000219345093,"[(1, 0.76452976), (4, 0.23517561)]",0.0,0.0,0.7645297646522522,0.23517560958862305,6,Haeundae_Dalmaji_gil_Road-Busan,6
7,8,1.0,0.98089998960495,"[(1, 0.9809401), (2, 0.018984346)]",0.018984345719218254,0.0,0.9809401035308838,0.0,7,Jamsil_Baseball_Stadium-Seoul,8
8,8,1.0,0.9728000164031982,"[(1, 0.97276855), (2, 0.025874492)]",0.025874491780996323,0.0,0.9727685451507568,0.0,8,Lotte_Cinema_Lotte_World-Seoul,8
9,8,1.0,0.9912999868392944,"[(1, 0.99132645)]",0.0,0.0,0.9913264513015747,0.0,9,Jamsil_Sports_Complex-Seoul,8
10,8,1.0,0.9994000196456909,"[(1, 0.99936086)]",0.0,0.0,0.9993608593940735,0.0,10,Seokchon_Lake-Seoul,8
11,8,1.0,0.8037999868392944,"[(1, 0.803823), (2, 0.18456995), (4, 0.010669316)]",0.18456995487213135,0.0,0.8038229942321777,0.010669316165149212,11,Lotte_World_Tower_Mall-Seoul,8
12,10,1.0,0.9994000196456909,"[(1, 0.9994083)]",0.0,0.0,0.9994083046913147,0.0,12,Nami_Island-Chuncheon_Gangwon_do,10
13,28,1.0,0.9991000294685364,"[(1, 0.9991084)]",0.0,0.0,0.9991083741188049,0.0,13,Gapyeong_Rail_Park-Gapyeong_gun_Gyeonggi_do,28
14,28,1.0,0.8514000177383423,"[(1, 0.85143185), (4, 0.13594693)]",0.0,0.0,0.8514318466186523,0.13594692945480347,14,Gapyeong_City_Tour_Bus-Gapyeong_gun_Gyeonggi_do,28
