review_title,review_body
"It's cosmetics, cosmetics and more cosmetics. ",Interesting place if you're looking for cosmetics. Go for the street food as the restaurants here serve Korean food that's below par with a higher price. It's hard to bargain even with the stalls and mom-pop kind of retail outlets as I have the impression that they have fixed the prices. 
A great shopping experience ,This street is simply a good visit. There are all kinds of shops from stalls to big departmental stores and prices vary accordingly. It has great street food especially at night and it’s a good place to interact with everyday Koreans. It’s worth a visit 
Highlight of my trip,The shopping here was fantastic. The Korean face products were not too expensive and street food was awesome.
So lovely and vibrant ,"This area got it all. Small shops big departments store, food street and restaurants. Gets very busy late evening specially on weekends. "
Shopping Heaven,"Even if you are not a shopaholic, you would agree that this place is a shopping heaven especially for cosmetics. There's a lot of brands you can find here without good price. Find shop called, Baviphat where the items here are much cheaper than the other shops. If you are buying from the stalls, bargain as much as you can!"
Shop. Snack. Repeat.,"Fun place to wander around at night and stock up on k-beauty supplies. Shop employees will be handing out “free” sheet masks in exchange for ushering you into the stores and trying to make a sale, so be prepared lol. This place gets packed after dark w/ tourists and locals alike. Tons of delicious restaurants and street food to choose from, so come hungry."
Fun after dark,Good place to spend an hour. Go after dark when the street food vendors have set up and the stores are still open. A bit touristy but good fun nonetheless.
The Happening Spot! ,"A good spot to spent your evening here - plenty of food stalls and others like clothing, souvenirs, cosmetics accessories, etc.Take your time to walk from one end of the street to the other.A must visut place whenever you're in Seoul. "
Food!!!,One of the best place for hawker food in Seoul plus shopping! Cold weather this time and there’s a Nanta Show here!
a lot of restaurant here!,"There are a lot of people and shops in this area. when I first went there, there were so many people that it was inconvenient but after a while i feel comfortable.If you want to taste Korean street food, go here!"
Must visit,"Day and night both speak the local food and shopping culture - delicious and interesting street food, most trendy beauty and clothing shops. Unquestionably crowded but amazing just to walk around!"
Myeongdong Shopping,"This is a crazy and great shopping district where there are a lot of lanes that you can cover. Definitely a place that you can visit a few times during your stay in Seoul. A lot of things can be found there like clothing, skin care, food etc..."
A must do in Seoul,This is a must do if you visit Seoul! The street food is fantastic. It however gets really crowded and you see the same cosmetic shops scattered all over the place. The staff at the cosmetic shops here are not as friendly as those in other parts of Seoul and not so willing to give samples as compared to past visits; but a still must do when you are in Seoul. 
Shopping!,"If you love shopping, this is a good place to be. Very busy street, lots of big brands have shops here. It's also nice to be here at nighttime. "
Great area to walk around,"This a great area to walk around, do some shopping if you're into that and also to eat. You can walk to the cable car that will take you to the Seoul Tower from there and there is also a church that you can visit. Overall is a good place to visit as there are multiple options and there is a subway station nearby too. "
