review_title,review_body
A place of quite amongst the hustle and bustle,"We visited here in the evening so there weren't any services. The Cathedral was the first Roman Catholic Cathedral in Korea, was built of red brick and consecrated in 1898. At its construction, it was the largest building in Seoul. Very peaceful inside away from the busy streets, especially in the evening."
Plain but nice to see,"Located in the middle of Myeong Dong bustling area, this Roman Catholic cathedral it’s a peaceful place but nothing extraordinary."
Spiritual cleansing and history,After the hustle and bustle of Mydeong shopping street is the red bricked solemn cathedral. The structure is very well preserved in midst of office buildings. A place of spiritual cleansing and Korean contemporary history with foreign countries. Very worth visiting.
Nice cathedral,Nice place to visit. The interior is very impressive. Was a bit different to attend Mass in another language. Also a nice surprise to meet someone here who was also from my country.Nice and close to Myeong-dong.
Attended my first overseas mass and the experience was overwhelming,"I'm elated that the Cathedral was full when the mass started. People cannot go in the church once the mass has started. There were mostly old people and their responses during the mass were simultaneous and synchronized. Though the mass was in Korean, my head felt lighter after the one hour solemn celebration.In terms of the Cathedral structure, one should see the gothic facade of the church if you're touring, shopping or trying street food around Myeongdong for the first time. It's located at the back end of the long street full of people from Myeongdong Station near the highway."
A must visit for Catholics,"Everytime I visit Seoul, I always dropby to say my prayers.Its a gothic cathedral near the Myeong-dong Street. Also its beautiful during autumn as the trees and plants changes their colors."
A fine cathedral in a busy shopping area,While you visit this busy shopping area take a few minutes to check out this fine traditional church. Many Seoul churches inside are more like theatres but this is the real thing. 
As beautiful as ever,The Cathedral sits on top of a Long flight of steps. Whenever i’m In Seoul i’ll Attend service there.
Only one,"Because the mayority of korean people deos the hinduisum of muslims and very But very little the catholic, near the su way sistem"
Nice Cathedral,Very nice and quiet place in the center of Seoul. We discovered it during a Hop-On-Hopp-Off bus tour in the city - which we recommend very much - as you will see all major attractions during the tour.The cathedral is different to European ones but very nice!
Tranquility,"So nice to walk in on a Sunday evening.. An interesting and attractive building, over 100 years old, very close to the hubub of the street markets and shopping area. An oasis of tranquility that is well worth a visit"
serene,"love this cathedral. the facade is lovely and is clean. One thing is not easy to find the cathedral...you have to go through a parking lot and through a mall, then take a lift up to the cathedral."
very well maintained and visitors friendly,it was an amazing old worship building. the other need church complex is very modern and well maintained. could get inside almost anytime. good place for taking picture for its european ambience. breathtaking places. likes to be there.and easy to find for its bell tower...
Visit if your are religious,"This cathedral is huge in the middle of Myeong-dong. It is very quiet and peaceful. There is not much to see but if you are religious and want to say a prayer, please visit this place."
A solemn place in the city,"This is the very first place we visited when we arrived in Seoul first thing in the morning. Just a walking distance from our hotel, first we got lost but we were able to find it going thru the Myeong-dong shopping streets, there you will see the monumental cathedral in the center of the city. It was a very solemn place of worship, stayed for a while and pray. Nice architectural design. It is worth visiting this place."
Wonderful Place for Worship,Myeongdong Cathedral is located in the heart of Myeongdong. It is very near the shopping street also.
"Not worth going out of your way, but a good thing to see","Nice little cathedral in Seoul - beautiful to look at, but otherwise not much to do. Free, but not worth much of a detour unless you're really into this sort of thing."
Cathedral in the city center.,"It was a surprise after the bustle of Mendong shopping streets to go to the majestic Catholic Cathedral. Very beautiful building, well-groomed area. Calm and quiet. A good place."
Beautiful,The cathedral is beautiful during day but even more beatiful during night. Easy to find as it is located in the center of Myeongdong
Tranquillity in the midst of Chaotic Shopping District... ,Majestically located in the heart of Myeongdong. The ambiance is unbelievably serene. The picturesque landscape outside the cathedral made me took lots of selfies✌. This is one of the best place to see when you are in Myeongdong area. 
Beautifully serene,"The Myeongdong Cathedral is located in Seoul's Myeongdong shopping street. The grounds were abuzz with tourists and locals alike. Since it was Christmas month, the cathedral was beautifully decorated with lights and a gorgeous manger. Baby Jesus had yet to make an arrival since it wasn't the 25th yet. The inside was serenely beautiful and a good place to sit and contemplate. There is a shop with quite a selection of religious items are jewellery."
Beautiful and Sacred,"This place is near Myeong-dong shopping streets. I love its beautiful architecture. I wish tourists who come to South Korea will find the time to glorify God, the Creator of all the things they see and admire in this country. This place is great for photo shoot but a sacred place as well. Everyone is encouraged to be respectful of the place especially when the mass is going on. "
An important landmark in Myeong-dong,"I wandered into the compound of Myeong-dong Catholic Church as I moved out from the shopping alley, looking for my way back to the hotel. It was a Saturday afternoon, the church compound was quite busy with tourists looking for photo spots and some local families and worshippers. As I entered the sanctuary I could sense a peace and calm expected of a place of worship.The cathedral was completed in 1898, built in the Romanesque style, it was quite understated in my opinion compared to the European churches. It is also one of the monuments protected by the conservation law. At the time it was completed, Myeongdong Cathedral was the tallest structure in the neighbourhood and a prominent landmark in Seoul.There is a English service on Sunday morning for non Korean speakers. It was a relaxing moment for me as I took a stroll around the cathedral, reading about the history and people watch."
There was a mass in English,"It was a Sunday and our schedule for the day is the English mass at 9 o'clock in the morning and Breakfast. I was really very happy to find out that there was an English mass in South Korea in this beautiful cathedral. It was just walking distance from where we were staying and the best part is, below the cathedral is an area where you can eat."
Myeong-dong Landmark,This is the birthplace of the Catholic community in Korea and the National Cathedral of the Archdiocese of Seoul. Built in the late 1800's in a Gothic style but of bricks not stone. There is a small grotto off to the side before going up to the church itself and a great place to light a candle and pray for peace for the Korean Peninsula.
Majestic Yet Welcoming,Made sure that I visited this church both times that I've been to Seoul. A very solemn place in the midst of the hustle and bustle of busy Myeongdong. 
A Short Pilgrimage,We were met by a Korean nun/doctor in our hotel and toured us the beautiful Myeondong Cathedral. It was a Friday and found the church service very solemn. Went back again Saturday to attend the 6:00 p.m. mass. A must to visit to Christian Catholics.
Magnificent building!,There's much history in this Cathedral. Lovely cathedral in the midst of a bustling shopping area in Myeongdong. Quiet sanctuary inside for everyone. The Gothic architectural design is great and the stained glass windows depict stories of the Bible and the Mysteries of the Rosary. . Enjoyed the compound and the surroundings.
A haven in the shopping district,"This cathedral stands in the busy shopping district downtown. The cathedral is beautfiul and solemn, but somehow its ambience is rather different (auditorily and olfactorily) from those old churches in Europe."
"Beautiful location, very spacious!",The church owns a great spacious area & it is very pleasant break away from the crazy shopping alleys. Very large & pleasant inside. 
calm and quaint,"extremely clean, calm and quaint on the inside. we went for the 9pm mass and it was beautiful (in korean though)"
Spiritual silence in midst of a commercial shopping district,"To stroll through the Myeongdong Shopping Street, climb a short hill to find this cathedral is very special. An oasis of calm in the midst of the hustle and bustle of commerce."
Easter Mass at the Seoul Catholic Cathedral ,"My wife and I are on a month long visit to South Korea. We planed to visit the Cathedral for Easter Mass. Great place to visit, easy to find and lots to see. There are Masses in English, German, French and I believe in Spanish too. You really don’t need to dress up for the visit (The Koreans don’t). We went to a Korean Language mass and I had no problems in following it along. You won’t feel out of place if you are not catholic, everyone is always welcome. It is worth a 1/2 hour visit anytime I am in Seoul."
Solemnity inside,"Just a few minute walk from our hotel , we went there for a short prayer. We can't catch the English language mass on a Sunday since we are on a tour group which departs at 8:30 in the morning , yet we arrived late at night as well . Beautiful infrastructure , it can be used for photo taking , and it looks different at night , with the striking lights adorning the church."
Pretty Place,"This is a lovely cathedral, landmark for us when navigating Myeongdong market (its easy to get disoriented) "
Peace and solace in a beautiful Roman Catholic Cathedral,"The Cathedral of the Good Shepherd in Singapore has an important connection to Myeong-dong Cathedral in Seoul, so it was our calling to finally visit this. There is so much history in this Church, and offers a quiet sanctuary inside for anyone regardless of religions to enter. There is Korean Mass daily but also offers an English Mass every Sunday at 9am. Do also check out the Catholic gift shop inside which offers many items at reasonable prices."
Roman Catholic,"For those who wish to pray and attend Roman Catholic ceremonies, this is the place to go. There is also a shop for those who just want souvenirs. The surrounding area is photograph worthy. "
Towering ,I was surprised to find a Catholic Cathedral in the centre of Seoul . Towering . I really appreciated silence inside : you can stop and make a prayer in absolute silence that is really appreciable .
Statuesque Amongst the Skyscrapers,"We last visited the Cathedral four years ago, in a warm summer when the streets around it, famed for their proliferation of cosmetic stores, were full to bursting and the people even seemed to have spilled over into the grounds of the cathedral.This time, in February, everything was much quieter; more serene and more fitting with the feeling of the building itself.Reading in the information leaflet - available from a stand outside the cathedral and also inside, and in a number of languages - when built, the cathedral stood high above the city and could be seen for miles. These days of course, modern skyscrapers have rather dwarfed it, but you still get a sense that it is imposing and confident. The church also has a considerable 'campus' around it, of medical centre, hostels etc, which mean that there is space where modernity has been unable to invade.When you consider the average time it takes to build a cathedral and then see that Myeongdong is constructed of standard brick, you have to marvel at the dedication involved in bringing this building to fruition. It is very attractive, solidly built and looks as if it will be there for centuries to come.You can walk around the whole exterior. Don't be put off by the main door being shut, you can gain access to the interior by one of the side doors, although this is an active church and you may be interrupting a service or prayer time.Inside the central section is roped off for those who wish to sit quietly in contemplation or prayer. The usual stations of the cross (quite modern in design, reminiscent of Coventry Cathedral), font etc, although we didn't find the usual place where we could have lit a candle.The interior is simple and beautiful in its simplicity.Well worth a visit, whether you have a faith or not, as this is a real contrast to the bustling, busyness of the rest of the city."
Beautiful and revered,"The Cathedral for the diocese of South Korea is one of the must-sees in Seoul. Nestled downtown by the famous Myeong-dong market, several Masses are held on Sunday and all are filled with devout Catholics who seem to fill the air with spiritual warmth."
Holy place,We love the serenity and peace in the church. You can have a quiet rest and say our prayers There are many gift shops inside the church as well. Good location at Myeong dong.
Catholic Church,"English mass at 9am. You csn still feel the coldess even if the doors are closed. The have PWD access, gives away free calendar during Christmas season til supplies last. "
Unexpected saw it!,"I went shopping around Myongdong and got lost. I came upon this beautiful church. Outside, it is so beautiful at night time. I went inside, and inside was nice too. Beautiful place to go see and pray, and get in touch with God. "
The first cathedral in Korea,A stone's throw from the pedestrianised area at Myeong-dong. A good place to make a stop for a quiet moment of reflection.
A place of worship,This is a serene place of worship. The architectural design of the cathedral is magnificent. We stayed inside for some time and it was very relaxing to be in such a place.
White Rose Garden,Beautiful place for photostop especially at night. You can see the beautiful lights of white rose around the church. Only 10min walking distance from Metro Hotel Myeongdong and 2min from Royal Hotel Myeongdong. Must visit in Myeongdong
I heard mass in Korean Language,"Since I was celebrating my birthday on a Sunday, we decided to check how to get there. Below the cathedral is LED roses and it was stunning and this is another Kdrama site! We went to an 11am Mass. There were lots of people attending mass (I was surprised, actually)."
Great place to walk,after checking out from the hotel. I've decided to walk to Myeong-dong Cathedral through Namdaemun Market. It was great place to visit as you walk through Namdamun Market and Myeongdong
Church of Virgin Mary,"An important landmark of Seoul, the Myeongdong Church is said to be the first Gothic church of Korea. Built using bricks, the bell tower is around 145 meters tall."
Family tour to Korea,The church in Myeong-dong is a nice church with adoration garden located at the front left side (facing the church) which is a nice place to say prayers. 
well maintained and beautiful cathedral,popular cathedral with many activities for worshippers. well built and maintained. serene inside the chapel. highly recommend. 
Beautiful Church,This cathedral was just opposite our Hotel situate on top of a hill. We visited on New Years eve and the cathedral was full as service was on. The cathedral has lovely architecture and was lit up beautifully. A must-see if you are in Seoul.
Nice,We visited here on Christmas Day. Great atmosphere but it’s crowded. Very near the Myeongdong shopping area. 
Beautiful Church,"When we visited Myeong-dong, we noticed there is a church within where we stayed. We looked for it using the map. When we reached there, one could notice the beautiful church in the heart of Myeong-dong. We went inside and prayed. The church is quite empty. But it was a nice place to say your prayers...."
Beautiful Architecture,I visited the Cathedral as it is known as one of the oldest Roman Catholic Church in Seoul. Magnificent architecture. A beautiful place to visit and chances for tourists to take great pictures.
Nice Gothic Revival Architecture,"I visited this national cathedral of the Roman Catholic Archdiocese of Seoul twice during a recent visit to the city. The first time occurred on a Sunday when the church was jam-packed with parishioners. Even with crowded standing-room only, people continued to enter for the service. I decided to take a closer look at the exterior and return later for a look at the interior.Dedicated in 1898, the fairly simple cathedral building stands about 76 feet high with a bell tower rising to 153 feet. The church is noted for being one of the earliest examples of Gothic Revival architecture in Korea. Its gray-and-red brick exterior retains the pure Gothic style. The structure looms on a hill above the Myeong-dong shopping district and seems to attract many tourists, based on the photos I saw being taken when I returned to explore the interior.The exterior belies the decorations within. These include arched sides aisles, stained-glass windows, religious artwork and statues. Only a handful of people were there on a weekday afternoon, looking around beneath the vaulted ceiling.A sanctuary for protestors during military rule, the cathedral has become a national symbol of democracy and human rights. I think the best photo ops occur at the entry stairway leading to the church."
A very solemn place at the heart of the city,The place was located in the busy street of Myeng-dong where shopping and food establishments are located. The place was very solemn and calm. The surroundings were clean even the public was very clean. A must visit place when in Myeong-dong. 
Myeong-dong Cathedral,Beautiful cathedral near the shopping district. It is situated on top of the hill. Lots of tourist take photos in this area. A good place to visit when you are in the area of Myeong-dong.
Cathedral for Seoul (Soul),A very nice cathedral at the heart of Myeong-dong. It has stores under the cathedral that offers catholic and non-catholic items.
beautiful church,We visited the church to say a thanksgiving prayer for our wonderful vacation. It has a separate outdoor prayer area which is peaceful and conducive to praying/meditating.
A beautiful Gothic Cathedral.,The Cathedral sits atop a Hill. As per our tour guide IT was constructed in The 1890’s as The first Catholic Cathedral in South Korea. The inside is beautiful with The gothic design and stain glass behind The main altar. A very good place to pray and meditate when in The busy City. A must see for Christian.
A must visit ,This cathedral is really beautiful and well maintained.If you're staying in myeongdong area then it's just a 2 min walk to this cathedral. 
