review_title,review_body
Good beach,Good clean beach conveniently located at the upscale end of Busan. I enjoyed a couple of hours of nice sunshine at the beach on a Saturday and it wasn’t crowded at the time.
Nice for a stroll in the sun,Great to walk along and enjoy during the day and in the evening with the light display. Don’t expect to get in the water before June or after August. For some reason this is policed! Plenty of good restaurants and coffee stops to choose from.
Nice Beach with Lots of people,"I went there with hubby in May 2019. We tried to go as many locals (not too Tourist area) as possible, but this beach linked Tourist areas and some locals. Be prepared crowded areas. It was windy and My husband told me the water was cold (he went to do the testing) and it was good to be there. Locals were nice. Tourists were there and happy relaxing. "
Great scenic beach,Great beach for people watching and for taking scenic photos but not for bathing. Close to restaurants and easy access using metro or the tourist bus loops.
Cool white sandy beach,"Get down at Huaendae Station and walk about 500m and you will find this lovely white sandy beach. In the autumn it is cooling and perfect to go here. Good to relax and plenty of food to eat too. Many places of interest are nearby too: Dongbaek Island & Busan Aquarium ( walking distance ), Centum City ( by taxi / train) etc."
Nicest beach in Korea,"A sandy beach, hreat for passing the afternoon with friends, family or solo. There are many restaurants on the promenade next to the beach and some green parks nearby as well."
Beautiful,"A beautiful beach and so clean ! We were here in November , I can only imagine what it's like in summer."
Great for sunsets,"Come here for sunset and people watch, I think that’s the best time to come and enjoy the beach especially in the colder months "
Great beach,"In the summer it would be packed, but in early November it was perfect for walking along the beach path. Along the path there is a tourist info office, plenty of toilets, street food and the Aquarium. On the other side of the road there are restaurants, fast food outlets, cafes etc."
Nice beach,"Nice beach. It's about 40 minutes from Busan. From Haeundae Beach, can walk to The Westin Chosun hotel where you can get to APEC Nurimaru House."
"Very nice beach, probably one of the finest in Korea. The beach is not very long but ",It is beautifully flanked on the north side by a cluster or modern looking metallic skyscrapers which also house fine dining restaurants. There are some small islands scattered in the far side ocean and some bizarre superman or spiderman statues not too far from the shore. A little bit wacky but ok.
Walked on the beach,Went for a afternoon work. It's a nice place to just chill. Not overly crowded. Was close to my hotel.
The best beach in Korea,"Without stating the obvious, this beach is so lovely. Clean, warm and easy swimming. The water is warm up until late October so you can swim for a large chunk of the year. Well worth a visit when in Korea! "
Beautiful a clean beach in Busan,Huaendae beach is best location for walking a see the sunrise in Busan areaBeach is clean and can reach with public transport( bus or subway) from Central Busan
40 mins from Busan!,"Miles away from Busan, especially if you’ve already travelled from Seoul by train (2.15 hrs). There are nice walks along the dock of Busan so you don’t need to go here unless you really want to sunbathe!"
Wide clean beach with great views,The beach was wide clean and surrounded by great views. No one swimming in October but a nice place to walk and relax. At night there are professional singers based there (at least while we were there). Like most of Korea seems a very safe place day or night.
Beach area.,Went on Saturday afternoon for stroll and plenty going on with singers and people entertaining. Plenty of eating venues and some large apartments towers been built at one end. In October no one in water but looks like it would be fine in warmer times.
Nice beach,"But only food nearby is an underground food court, unlike Gwangalli Beach which is lined with beachside bars and pubs. LPGA tour was in town so probably expensive digs. I just stopped by because I had a day pass for the hop-on hop-off bus."
Tranquil Beach,"I stayed at MS Hotel (mid Oct) overlooking the Haeundae Beach and only see a handful of people walking along the beach most of the time, Such a quiet beach with no activity. May be it is only popular in summer?. The sand is fine and the water is cool but no cold. Did not see anyone swimming. But I like its tranquility atmosphere."
less stay,"Because I couldn't stay long only visit at night shortly so I can not say this is good place. Anyway, I think it will good for drink soju with friend. :)"
Sunset glory...absolutely stunning,"In the winter, this beach is perfect for sunset views and strolls along the sand. The vibe is relaxed and there are lots of families, dogs, people playing volleyball and it's just generally a really nice place to sit and people watch and feel happy. We missed being by the beach and the sea as have been travelling for a while so this was a perfect first glimpse at the natural beauty of Busan."
Great beach to just relax and unwind,"Went there end of Sept, so it was still possible to swim in the sea. We didn't though. Opted to just watch the sunset and enjoy the sound of the waves. There were also buskers around that made our time hanging around the beach more enjoyable. There's also a very cozy tourist information centre (right next to the aquarium) where you can ask questions, get directions, get pamphlets, refill your water bottle and there were lockers to store luggages as well should you need them. Walked 10 minutes towards the other side of the beach to find many seafood restaurants."
A grand beach,"Shortly before a sunset, it' s a right time to enjoy a lively atmosphere of the beach. Metro 2 - Haeundae station. A touristx promenade and a large sandy beach. A trendy skyline, nice view to the islands.An aquarium is present, we did not visit it.What else?"
