review_title,review_body
A baseball game in Korea is a must experience in a trip to South Korea,"Jamsil is so easy to get to on the subway. The crowd is just phenomenal - you spend half your time watching the game, the other half watching the fans!Oh, and did I mention cheap beer?"
First timer,"First time catching a baseball game live. Atmosphere is electrifying, and seated at the exciting zone adds another level of fun. Ushers are friendly and directions to seats, washroom etc are clear enough for us.Go go Doosan Bear!"
Great venue!,"Headed up to Seoul to see a baseball game. Really easy to get to, subway right at the stadium. Pretty good venue, great facilities and easy to get around. Fantastic game and atmosphere with the ground. Had a really fun night, recommend getting here to see a local game if you can."
The game is secondary to the experience,"Watching baseball in Korea is more about people watching. The Koreans are very into their teams and their players. Each player has his own 'signature' song and when he comes to bat EVER fan of that team sings that batter's song. The singing is led by a head cheerleader (male) and five to six 'go go girl' cheerleaders. Each team has their own set of cheerleaders so make sure you get seats (which are cheap) to watch both sides of the field.You can bring in all the food and/or beverages you want. But there are dozens of places to eat and drink in the stadium as well. They have beer vendors who cruise the aisles with backpack dispensers of beer and they just refill your cups for about $5.The fried chicken, no matter which vendor, is always good.Oh, the game??? It is about AAA level in the states. Each team has at least one American who is either a pitcher or a power hitter.All in all, a MUST experience if you visit Seoul. There are games every day of the week except Mondays throughout the season."
Must do on your trip to Seoul!,"The stadium wasn’t even close to full on our Thursday night baseball game but the atmosphere was amazing! The Koreans love their baseball and honestly, it’s infectious. The cheerleaders are such good fun as is the food and beer culture. It’s also super cheap to go too versus the US."
Great day out ,"Great way to spend a Saturday afternoon! Scorching weather, cheap beer and a lively atmosphere! Perfect day out alone, with friends or with the family."
Not your typical baseball experience and thats a good thing!,"I visited Jamsil stadium in mid-April for a Wednesday night Doosan Bears game. It was just me for the evening so I picked up a single seat along the first base line in the front row. I found the stadium staff to be pleasant and helpful as they guided me to my seat despite me not really understanding anything on my mobile ticket. The seats were quite spacious when compared to seats at American baseball stadiums. You could actually fit between your seat and the seat next to you. Furthermore, there was a multitude of food options including BBQ and all kinds of chicken and meat. There was also a 7 Eleven where you could purchase convenience store items at reasonable prices. It was quite the experience. Both teams fans were very loud during their at-bats and they sang and cheered the whole time. Very passionate. It was quite different from the American baseball experience. In terms of navigation, subway is the best way to get there. It was easy to find despite there being very few people on the subway wearing Doosan Bears gear who I could follow. Getting home at night wasn't bad either. Overall, the atmosphere is electric. The fans engaged and cheering. The food options are tasty and good value. Seats are comfortable. Highly recommend coming here for a game if you're a fan of baseball. Its a whole new experience in all the right ways."
Enthusiastic crowds,"A visit to a baseball game is definitely worthwhile. In our case, it was LG Twins vs. NC Dinos, who were well supported for an away team. In comparison to US baseball games, in our experience the audience is much more lively and consistently cheering on their team. Tickets were available at the stadium on game day, which was possible due to it being a non-rivalry game against an out-of-town opponent. Third-base upper deck tickets were approx $15 each, with good view of the game. Plenty of food and drinks available inside but feel free to bring your own as well. "
Electric Atmosphere!,"We stayed at the InterContinental Grand Seoul Parnas and was a few stops away on the Seoul Metropolitan Subway. Very accessible!Food: I'd recommend grabbing some food before you head to your seats. My friends and I grabbed some fried chicken and beer. Once we grabbed our food, we didn't want to leave. Atmosphere: One of the most electric atmospheres at a sporting event I've ever been to. The home and visiting team take turns cheering them on and it was a sight to behold. I highly recommend watching a game if you're within season and in the area!"
Great Park,"Great experience, enjoy the baseball and the food is awesome with a ton of variety. My first Kprean baseball experience was really cool."
Doosan on Bears Baseball game,No better way to watch a baseball game. I think I spent half my time watching the fans celebrating and cheering their team vs the actual game. Definitely make sure if you are rooting for the home team you let the box office know so you set in that section.only drawback is not being able to get the tickets online but the truth was there was plenty of seating ( I did go on a Wed) so I was able to go to the box office and just buy the ticket an hour before. Great selection of food inside and outside the stadium. Anything you buy outside you can take in. Must do in Korea
Fun Even if You Don’t Like Sports,"It doesn’t matter whether you are a baseball fan or not, you will love going to a game in Jamsil. There are multiple teams that play there so there’s almost always a game. Spend a night as a Doosan Bears fan or cheer on the LG Twins. The fans are awesome and really get into the songs and dances for each player. Try to get in the upper seats along the first base line.Go to a baseball game because:- Tickets are pretty cheap (about 15 USD)- You can bring in your own food and drinks. - The food options there are pretty affordable (for stadium food)- The fans are amazing. See how Koreans enjoy this sport! "
Very cool! ,Since I was in Korea for a week we got really lucky and noticed baseball was on and did some research. It was really hard or near impossible to buy tickets online as nothing is in English but you can come 30 mins before the game and heaps of tickets still available. We got to sit near the middle for around $20 AUD. Very cool atmosphere and lots of fried chicken options. Worth coming even for a few hours (game can take hours)z 
The baseball stadium,"The baseball is the No. 1 sports in Korea. And this is the base stadium for LG Twins and Dusan Bears. It's a good place to feel the electricity.- If you are a newbie, the seat near the cheerleaders of home team zone will be great.- You can purchase various foods like chicken and beer. There's no ripoff. You don't need to buy foods before arrival.- It's an old stadium. Not that comfortable to watch the game, though."
"A good baseball experience in Seoul, but not the best in Korea. Extremely difficult to reserve tickets online.","I went to the Doosan Bears vs Nexen Heroes game on 09/25/18.I'm a Korean resident who has been to many baseball games here and usually I would reserve tickets for the home team fan section using the teams ticket vendor. The Doosan Bears ticket provider is Interpark, unfortunately this ticket provider is very difficult for foreign customers and online reservation is only available in Korean and payment can only be made with a Korean Credit card, not even my trusty Check Card could work.The Interpark website is available in English but you cannot purchase Doosan tickets on this site. A different ticket provider, Ticketlink, which provides tickets for the majority of KBO teams, including the LG Twins who also play at the Jamsil Baseball Stadium allows foreign residents to purchase tickets using a check card. If you want the best seats for a Jamsil Baseball Experience and can navigate the apps then perhaps seeing the Twins is a better option.There are a lot of foreign visitors to the Jamsil Baseball Stadium and unfortunately they had to rock up and buy a ticket at the ticket office before the game. Games rarely sell out at this stadium but this was over the chuseok holiday season, so it was almost sold out. Many people in my block were foreign customers who either didn't know about the reservation system or, like me, were unsuccessful in their attempts to reserve prime seats online prior to the game.Now, most games don't sell out, so the points that I have made here about reserving tickets online won't apply to many games, only for those which are over the holiday season or during the playoffs. I anticipate that buying Doosan tickets as a walk up fan would be impossible during the playoffs. While going on just any day is good, i would recommend you go on a Saturday for the best atmosphere and experience.Jamsil Baseball Stadium usually gets a high number of away team supporters, so the stadium divides itself into sides, the first base side is where the home fans will sit and the third base (in the sun) is where the away fans, and neutrals, daytrippers etc will sit.The atmosphere is good and the fans are loud and vocal throughout the game, there really isn't anything like Korean baseball and I would recommend that any sports fan should go to experience a game. However I just couldn't get into it because we were sat with the opposition supporters and had to watch the home fans, the team I had initially come to see enjoy themselves while us unfortunate folk on the our side got no freebies and were unable to join in with the atmosphere properly.While this review may not be the most positive, it is based on my experience and yours may be totally different and under better circumstances I'm sure you'll have a great time, if you are only in Seoul while visiting Korea then a game at the Jamsil Baseball Stadium is a must. If you're able to visit other cities then I'd recommend you head to Busan for the Korea's best baseball experience with the Lotte Giants.7/10 experience at the game.0/10 for the ticket reservation system."
Easy to get to ballpark in Seoul,Like baseball? In Korea? Like beer? Then this place is for you. Its an airy ballpark with cheap seats and cheap drinks. Front row seats at field level are ~30 USD. The cheerleading is fun to watch as well. Easy to get to via subway and/or bus.
Just do it,"Great experience for my girlfriend and I. As Western Canadians, we aren't really into baseball. But we happen to be walking by the stadium on our last day and said screw it, lets go in. Bought our great seats for approx $11 CAD, what a deal! The people selling the tickets didn't have a great grasp at English, but they still made seat selection and buying tickets fairly straight forward. I highly recommend seeing a Korean baseball game. What a surprise!"
Top 5 Baseball Games,"Hands down one of the most fun experiences i've ever had at a baseball game. I've been lucky to witness the SF Giants win 3 championships, and have been to playoff games, but the atmosphere in Korea is amazing. Everyone is engaged and having fun. It seems like every little thing has a fight song, you can't help but smile and enjoy yourself.If you are going to Korea, I would strongly suggest going to a baseball game."
A Must Do!,"If you are in Korea during baseball season, don't miss an opportunity to catch a game. Whether you are a baseball fan or not, you will be glad you went. There are plenty of websites that explain how to get tickets. In short, arrive at least an hour early and buy tickets at the gate. Pay attention to who is playing. Each baseball stadium hosts two teams. If the two home teams are playing each other, expect a sell out and you are not likely to get tickets (unless you are comfortable buying them from a scalper). "
Fun time,This was my first experience with baseball outside of the US and I was blown away with how loud the crowd was.I had a blast and I can’t wait to catch another game.
"Great, fun Korean experience","If you like baseball, this is a fun evening out, shoulder to shoulder with LG Twins fans. Beer and food is cheap (not like US stadium inflated prices), and there's energy in the air with cheers led by a cheerleader squad for the players at bat. The fans are friendly and enthusiastic, it's a lot of fun!Buying tickets online is next to impossible for a non-Korean, so don't try, Rather, go to the stadium and queue at the ticket window, The green outfield seats are cheap and perfectly fine. The red seats down the baselines are also cheap, and put you closer to the cheerleader action. Buy some thundersticks, pick a team to root for, and have a blast!"
Highly recommended to come and view a baseball match,"I am actually not a fan of baseball, in fact I know nothin about it. My hub is one and he wanted to come and catch a match since we are in Seoul. We were there for Doosan Bears VS NC match on a Friday. Bought the tix about 1.5 hours before the match (6.30pm) at 32k in total. Pretty good seats. The koreans were very enthusiastic and cheering for their teams. We joined Doosan Bear fans and boy, we had sooooo much fun! We were cheering alongside with them and I quickly became a fan! There were lots of fried chicken sold outside as well as beer! The match ended at 9.30pm but it didn’t feel long for us. Would love to be there again! "
