review_title,review_body
Beautiful at night,"The lake is very popular in spring with its cherry blossoms. In autumn it is a lot quieter. Walking around the lake at night is very relaxing. Getting to the lake is quite easy by subway. Just get off at Jamsil Station and take Exit 2 (of the subway). Turn left a bit and cross the road. That takes you to Exit 1 of the Express Bus Terminal; there is a small walkway down to the left side of the lake. If you cross the road to the opposite side, it is Exit 2 of the Express Bus Terminal; a small walkway on the side takes you to the right side of the lake (with the Lotte fun park). To the first timer, it can be confusing after getting out of Exit 2 (of the subway) to see another Exit 2 after you cross to the opposite road corner."
Beautiful in Spring,"This park is a must to visit in Spring! It is accessible by train, we alighted the station near the Lotte World Mall and had our lunch first. Flowers blooming everywhere and cover the whole Lake. We also can see the Lotte World Theme Park from the park. We spent walking around 1 hour to cover the whole lake - there are 2 sides of the lake."
A Must Place to Be To Catch Cherry Blossom,"The cherry blossom trees covered the whole Seokchon Lake, go there early to avoid the crowd if you want to take pictures. Seokcho Lake is situated next to Lotto Shopping Mall.Remember to bring extra warm jacket because the lake is windy and cold during spring. "
"Nice place for cherry blossom, but crowded ","Went there during lunch hour, very crowded. But the view of the lake with cherry blossom is fantastic and Romantic. You can also view the Lotte tower next to it. Don’t miss this if you go to that area. "
Romantic place wd cherry blossom!!,"If you will be in Seoul around Apr, this place is a must see.Full of cherry blossom!! Very romantic and beautiful!"
Seokchonhosu Lake - Songpa Naru,"At Songpa-gu, Seokchon Lake, a must visit to the Songpa Naru , the 1000 meters path around the lake side , with arrays of cherry blossoms along both side of the path. To visit during the evening time - another exotic experience to view the blooming flowers. Also, to see the scenic view of 120 floor Lotte World Tower at night time. "
Enjoying Cherry Blossom Festival,Beautiful scenery with cherry blossom tree around the lake. Very crowded and better to come earlier. Lotte world theme park with a castle makes it more beautiful like fairy tales. There is a cafe inside. One of the top must visit during spring season in Seoul.
Cherry Blossom festival ,Early April untill 11st April 2019 National Cherry Blossom Festival (벗꽃축제 beojk-koch-chug-je ) every year is different day please check before come. Next to the highest tower in Korea called ”Lotte world tower” also close by Lotte world I went to the lake on 8 April not too crowded they have some show also the stuff for sale along the lakeside.
Leisurely stroll + cherry blossoms,"This is my second time visiting Seokchon Lake. The first time was in June 2017 after Lotte World Tower had been opened to the public. This time, the sakura season was right on and Seokchon Lake is one of the hot spots to view cherry blossoms. I avoided Sunday and went on a Monday, but still there were many people (a week- long sakura festival was on). The flowers there were mostly white. I walked around the east lake, and Lotte World Tower is particularly photogenic with cherry blossoms all around. In the evening, when the lights were turned on, it's another atmosphere.Outside the sakura season, the lake is a nice place to stroll around leisurely."
Cherry Blossom Festival,"Lovely cherry blossoms during the Festival in April. However, I did think the whole atmosphere was somewhat spoilt by the presence of the Lotte amusement park in the middle of the lake, complete with various park rides!"
Far and Worth It,"It was one hour away from where I stayed, Hongdae but it was all worth it. Went there first week of April and center of Seoul didnt have bunch of cherry blossoms so I was kinda disappointed until I went to Seokchon Lake. It was the best thing that met my eyes that week. Must go-to when you visit Seoul in Spring."
Pretty in the midst of cherry blossoms,"Go for a leisure walk at Seokchon Lake ~ especially now during the spring. If you are here, go while the 2019 Cherry Blossom Festival is on for another few days. The walk is easy, paved and wheelchair accessible. There are cafes and food stands, and Lotte World Mall is next to the lake of course (and the Tower). There are benches and performances going on, so you can sit and relax and enjoy. In the evening, the lights go on illuminating the lake and the tower."
Cherry Blossoms and a lovely walk,"Dropped by here today while out for a city walkabout. It was crowded but the lake is lovely in the spring weather and the blossoms, well.. you have to go see them."
Great for leisurely walk,"The lake is most attractive in early April, with the lakeside lined with handsome cherry blossoms. In autumn, however, it is less attractive, despite some red autumn leaves lining the lake. I like to visit the lake around sunset, because it is the most romantic time. For the first timers it is quite difficult to find the entrance to the lake. The lake is sort of divided by a road bridge above, but one could walk around the lake from any entrance. I like to take Exit 2 of the Jamsil metro station, then turn left and walk alongside Lotte Hotel, until the road junction. Cross the road and then cross again, to reach the diagonally opposite road corner; the access path to the lake and the coffee shop is right there (next to another ""Exit 2""). This second Exit 2 is for the Bus Transfer Station and not for the metro. The confusion for the first timer is that there are two ""Exit 2"" entrances. It took me a while to work it out."
"Beautiful, especially during spring time!","This was the place that made me fall in love with Seoul all over again. We visited as the cherry blossoms were in full bloom. It was one for the books - sitting at the cafe drinking coffee, and witnessing petal storms while people watching. What a gem of a park this is. At the time we went, there was a musical performance to be held there. Quite a shame we couldn't stay too long."
