review_title,review_body
Lotte Tower at Night!,Lotte Tower provides a great view of the city. The flashing lights all around the city and bridge makes it a must see at night!
Great views,Excellent views of the old Seoul and the new Seoul. Seeing the many bridges from the 123rd floor was great. The glass floor looking down on the street below was mind blowing.
lovely place,"easy to arrive with local public transportation.plan your visit, eve if you olny want to see the view, try to visit the play area and walk arround ' worth the time"
Excellent views,"I am puzzled by the review I just read. I thought this was a great observation deck, and they spoke English very well. They answered all of my questions. And most observation decks I have been to have very few elevators. And some sort of wait. It took all of 10 minutes to get to the top for us, and it started out with a bang. The digital wall reveal is amazing. The outside deck was scary fun. All of the electronic assists, in letting you know what you are looking at was great techA bit on the pricier side, but still cheaper than The Empire State Building or 30 Rock."
!!! 2h in total QUEUE Up- and Downstairs to the Tower !!!,"1. the mall is like any big mall in Korea, nothing special I think2. my review is about the tower:positive: - outstanding View from the 117th to 121th floor, about 500m -> for that 1 point negative:- expensive, adult 26000 Won per person - it took more than 70 min to get upstairs, all the procedures like security scan, taking photos to sell them later, just endless waiting in several rooms without a window, the air condition was turned on in stand by modus, there was just simply not enough refreshing cool air coming out of the aircon, nobody of the staff cared, you just were pushed through all the rooms like a herd of sheepThere were no information about the waiting time. If i had knew that then i would have paid the fast check in ticket which costs 50000 Won.This is outrageous expensive but in retrospect worth it. Of course first of all you must afford this price. Everyone who is able to do it should do it because when you stand in the queue for about 50 min and you see the fast tracker who paid more because they „knew“ and they are passing through the middle line to the elevator then the damn legs are hurting even more and you are still not in the elevator. Because they skip the queue, the waiting people have to wait longer, maybe your spot in the elevator was taken by one of the high payers.- show room was closed - the outside terrace was closed- the service and the staff processes have to optimize a lot I think- started at the end of the queue at 16.30, to see the Sunset. We arrived round about 17.45 in the 118th floor. Then it was dark night. The windows are reflecting the inside light so the pictures you make are always with co-displayed with people around you- downstairs same procedure: another QUEUE, the second one. A little bit faster downstairs, round about 45min, but still too much time lost. The sightviewing floors are big enough, there was no hustle, so the main problem was the ONE and ONLY elevator (of obviously 2) which was opened for the mass of visitors.- the 2 walk with bottom glas view are not that impressive because you know you are standing on glas, all the floor glasses are full of scratches- in the queue: NO SITTINGConclusion: Lack of process optimization. Great view but just go there when you have enough time and air in your lungs or enough money in your pocket to buy you a fast lane ticket! Go there early enough to see the city by daylight and take some pictures without reflecting of the night indoor lights.Prepare it to the Eiffel Tower in Paris it isnt that irritating like in Lotte Tower or the Empire State Building in N.Y., there are timeslots there and you can buy the tickets simply online, in english! My opinion!To the operators: this stay (2019) in Seoul we decided to stay at Park Hyatt Hotel but we had also considered the Signiel Hotel. The best view was the most important factor in this years hotel choice. Next year, i do travel to Korea once a year because of my family, it won’t be the Signiel again. For sure!"
MUST VISIT during sunset !,Standing on a glass floor on one of the tallest buildings in the WORLD was a tad scary but so worth it. Views of the city and surrounding hills were grand while the sun was setting.
Best vies in Seoul,I can rave on all I like about being 123 stories and 480 odd metres in the air but unless you go up you won't ever appreciate just how cool the vies of the nightlights and the view of the Han River are.
A bit of theme park excitement.,"If you visit with your Discover Seoul Pass you will get a small discount going up the tower, but price is not unusual for any other attraction such as this in other parts of the world. We paid EUR 19 per person and it was far more entertaining with the laser light show and the LCD display screens. Once you get up to the top via the elevator you can go higher up using the escalators as there are 3 more viewing floors. Coffee shop and sweet shop available. Sadly the air quality was not good when we went so visibility was not optimal, very hazy. The mall itself was fun with lots to see and play with. Fancy shops and I did not feel bored."
Interesting but pricey,"Visited the Lotte Sky Tower this week. Arrived by Metro and entered the site via the street level because I wanted to see the tower from the outside and take pics. When I left to go back to the metro I didn't have to go to the street level. There is a connecting tunnel, but don't ask me how to find it, I just followed the signs for a long while. Anyway, the ticket office is actually in the ""basement"" (floor # 1BF?) / Metro station level. There are lots of shops in the 1BF level so it took a minute to find it. Then, it costs about $25 bucks to go up. I received a 10%(?) discount for using a Visa card, but that was just an unplanned bonus. There are a few corridors you have to navigate before you get to the elevators. The walls and ceiling are constantly flashing images so it's a little disconcerting but I guess entertaining if one were stuck in line. Once you get to the top, you are at the 117th floor (start of observation area). I will admit this whole visit was well executed and planned, the ""reveal"" is amazing and everyone did go ""oooh"" collectively haha. Great views obviously since you are so high up. The glass floor is cool. There is this whole photo spots pre-planned package thing that I opted out of since I brought my own camera, so I'm not sure how much that costs (if anything, maybe it was free?) There are various cafes and such as you wander between floors 117th - 120th. The elevator down is on 120th floor, and there is a line, but it went pretty fast. Overall, kind of a check the box kind of thing IMHO, but I personally feel the view from N Seoul Tower at Namsan is way better. From Lotte Tower, you can see the Han River, bridges, mostly apartment buildings, and most of southeast Seoul, but overall, not worth $25 IMHO."
high feels,I went there at night - seeing Seoul late at night was a nice experience. The glass floor in the two spots give you some thrills but its a nice sensation! Definitely go!
Awesome Tower,Accessed from inside the train station this is a really great Tower experience. Out of the 4 we experienced in South Korea this was easily the best. A couple of staged photo shots then up in the super fast elevator. Once at the viewing level you soon realise there are escalators taking you higher and to various shops and cafes etc. Glass floor part is cool and all in all it was really good.
Spectacular,You need at least one day to leisurely walk around each of the buildings and look at the shops and the amusement park. Gangnam is an impressive area ..WOW!
Lotte World Tower is really impressive!,"The entrance ticket was a bit expensive but overall the experience of the visit was really pleasant. We went during the nighttime which was nice to see the overview of Seoul with the street lights, but I think for a better experience it would be best to go during the daytime. "
