review_title,review_body
"Mostly good, go early! ","An amazing experience in Korea, probably my favourite so far. Seems a bit overcrowded with stores now unfortunately, but still great. My husband said that about 10 years ago it wasn’t so polluted with businesses and you could enjoy affordable souvenirs and food/drinks, not anymore. I wouldn’t bother eating on Nami because the food is double the price of the restaurants right outside of the immigration area. We spent about 3 hours. Best part was riding our bikes around the island in the first hour. We were the first people on the boat and the first to rent bikes and it was AMAZING to go around, take photos and experience it without hundreds of people. We left at 12 and it was flooded with people and the roads were blocked, you could take nice photos or ride a bike freely. Bikes were poor quality. 8,000 for 1 hour, not bad but when one of our bikes seats were broken and the staff wouldn’t change it, it was frustrating. They were old and rusty. "
Beautiful and fascinating view of Nami,Great visit and I would love to go again and have the view to enjoy the whole day. It is just crowded but this is what makes the place very fascinating to spent the time.
Beautiful lane of Korean Pine Trees,Enjoy the beautiful array of Korean pine trees as seen in Korean tele-novela. I would recommend going to Garden of the Morning Calm if you are not a fan of Korean tele-novelas.
Embrace nature,A nice small island of commemorating the famous general Nami. Suggest spend a day here to thoroughly enjoy nature and different elements on the island.
Absolutely fascinating,"I visit the Name Island every year in recent years, usually end Oct./early Nov. This year the summer in Seoul was exceptionally long and there was little rain, hence the ginkgo trees in the city areas, including the Seoul Forest, had not turned yellow. So when I found out Nami Island still had yellow ginkgo trees end of Oct. (normally the ginkgo leaves would have fallen) I decided to go there 3 times over 10 days, to see the changing autumn colours. Fortunately I got some good pictures of chipmunks and of red squirrels. I had not seen a chipmunk at Nami in the past, as they were very shy."
Beautiful Island!,Went on a Monday and it's still very crowded. The autumn atmosphere is very nice with the cool refreshing air and colourful leaves all around. Getting there from Seoul central by metro is a bit of hassle and confusing due to the need to change lines 3 times. Maybe easier to go by shuttle bus.Nice place to visit if you have an extra day in Seoul.
winter sonata,"if you are fans of korean drama winter sonata, then this is the place you shouldnt miss... nami island still remain nature and good for a day trip.."
Okay,"I do not understand Nami Island. Sure, the fall leaves are beautiful, but I do not think it is worth a trip from Seoul. It is crowded beyond belief and is some sort of children's theme park. As an American, I did not notice a general theme or anything of interest to me as an adult. There is just a mismatch of attractions from ostrich to troll sculpture. It was boring, touristy and not a cultural experience for me. I suppose it is interesting for a child."
Superb scenery,Must visit place for tourist who visit Korea for the first time. Romantic Korean drama Winter Sonata made this place famous.
Nami island,"Nami Island is one of the places for Korean drama shooting, on Nami Island it is suitable to travel with a partner or family and suitable to come there during winter"
