review_title,review_body
Price not expensive,"Good for shopping n price very reasonable. This is the 2nd time I went there, will visit again next time"
Shopping,Not much to distinguish the centre from a typical South Korean underground mall beyond the Gangnam signage. 
overwhelmed but fun,"I had 1.5 hours to kill. I wove in/out of the stalls. but first, I remembered my exityou ca eat, have coffee, browse and negotiate. make sure you ask if it's korean or Chinese made. they often have extra supply inside, so dont get the hanging item.take photos of the whimsical shop names. the don't depict the actual store. "
Shopping mostly for women,Lots of trendy clothes. lots of the shops sell similar items but price difference isn't that much. Prices are negotiable. They do inflate prices if you are a foreigner especially on items without price tag. Pretty big and there are small restaurants and stalls if you get thirsty or hungry. Very convenient access to subway. You can also find skincare products like innisfree here. 
Yes shopping ,"Lots of shops selling mostly ladies wears, accessories, shoes and beauty products. There are few phone shops as well as some selling phone accessories. Much like the express bus terminal shopping Centre that we went to. Prices are comparable. "
Claustrofobic,I find the choice of shops disappointing. Mostly girls clothes and make up. Also because it is very crowded and with low ceilings it is rather claustrophobic. 
Located at the express bus terminal ,"Let me begin by stating this is not Gangnam Station Underground shopping. This underground shopping is known as the “express bus terminal” underground/GOTO Mall. For logistical purposes, it shares space with Shingase and the JW Marriott. I took a taxi to the express bus terminal and I was dropped off directly in front of the steps leading down to get to the underground shopping; follow the signs to underground shopping. The amount of shops here is quite overwhelming, but many do offer the same things, so it’s just about finding the best deals. Many items are advertised between 10,000 to 15,000 won. I purchased a pair of cute sandals for 5,000. I also purchased higher quality Korean fashions ranging from 29,000 won to 139,000 won; I am a shopaholic who loves a great deal, but will also pay top dollar for eclectic wear and one of a kind pieces. If you come with the intent to do a lot of damage then do bring an empty backpack or suitcase. You’ll thank me later!"
Long shopping underground street,"Long rows of shops between Express Bus Terminal Station and Banpo station. Most of the shops selling woman apparel and they are pretty similar. Handicraft shops and kitchen accessories, floral shops are located right at the end. "
Comfortable to shop around,"Given we came to Seoul during winter, it was nice to be able to shop in relative comfort underground. You can still find lots of handphone accessories, clothing, food, shoes, etc."
Lots of great affordable shops,"This is the place to go for affordable shopping in Gangnam, especially for women. Lots of women's clothes and skincare stores. There's even a Dunkin Donuts and Baskin Robbins. Only thing is, there is not too much variety in clothes and shoes. Lots of shops have the same stuff."
Underground City,"Aptly priced apparel shops abound in this area, with some coffee and fast food joints strewn across to make your shopping stroll a little bit more comfortable. Also, its a delight to walk this zone on extreme weather days, such as the one time I did with -8 Celcius outside, it was a comfy 20 C inside. The shops are sometimes selling the same stuff with slight variation in prices, so look around before you decide to go for the kill. Bargaining was not welcome, sometimes caused us to be 'blacklisted' from that particular shop, but we tried it anyways, not knowing when we would return next to Seoul. This area is connected directly to Gangnam subway station, and Exit 11 takes you straight to the 'Gangam Style' stage for some photo-opps (that last one was purely a tourism promo for Gangnam, albeit I don't get paid for it :P )Come up outside and plenty restaurants classy to chic, and multi-level, multi-brand, single-brand shopping awaits you. Go check this out for yourself when in Seoul. It just doesn't seem to go out of style, just like 'Gangnam...', yeah, you got it!!"
