review_title,review_body
Why,"I went because is declarared by Unesco... But little people only now english... No one spanish... Al the beautiful sculpture and information Are in korean only,"
The old and the new Korea side by side,"1000 krw. Beautiful green oasis in the middle of buzzing metropol. Three tombs of royals, good info, peaceful area, nice trails and nice spots with benches where relax and enjoy."
Calming and peaceful ,"One of my favorite places in Gangnam to take a walk and escape the crowds and modernity. Seolleung Royal Tombs aka Seonjeongeung is the burial place of King Seongjong and his second wife Queen Jeong Hyeon and the King’s second son King Jungjong.‘Seonjeongeung’ comes from Seolleung+Jeongneung. It has been designed as a historic site, as well as UNESCO World Heritage site. It is open Tuesday-Sunday and lies in a forest/park-like grounds. It is easily accessible by metro, bus or taxi. If you are going for a walk here in the summer bring a bottle of water, although you can find water fountains inside. "
Magnificent tomb,The tomb is located in the middle of Gangnam area so it is very easy to visit if you are happen to stay in one of the many hotels within the territory. It covers a very vast and hilly area so you better wear convenient shoes if you plan to visit it.
"if you sick of city life, you should go.","I'm from Seoul but I have never been here before. I found out such a silent spot and it was! Since it was very peaceful place, I can take a rest for a while. "
Amazingly Beautiful ,"I enjoyed walking around this place so much! Very beautiful park with great landscape and Korean pines. Plus, of course, a place of history and spiritual significance. Wonderful atmosphere of tranquility and peace."
Nice quiet park,"This was a nice way to spend a couple hours. Very cheap to get in (1,000 won). They provide you with an English brochure. Tombs aren’t terribly exciting but the park itself is beautiful and it is hard to believe it is in the middle of the city. If you are nearby, you should stop and visit. "
ROYAL TOMBS,"It was autumn when we went to the Royal tombs, there were 8 tombs in form of hills. A peaceful place to visit."
Lovely park with interesting historical royal tombs ,"The tombs were a five minute walk from my hotel. I went around 0800 on a weekday and there were a lot of elderly Koreans getting in their morning excercise. The tombs were very interesting with stone guards at the top of the mound. You can only walk to the top of two of these and view from the side at the top but that is adequate . The entrance fee is $1000korean won, which is very cheap. I took the time to walk around the park and it was lovely. There was a very very old ginkgo tree, lots of cranberry and persimmon trees which were in fruit when I went. Beautiful Japanese maple were red with autumnal leaves. There were heaps of birds and I got to see a wild pheasant . A peaceful beautiful place to visit when in seoul"
Quick Visit: Very Affordable ,"The location is easy to get to if you take public transportation, metro or a vehicle. The park is not very busy and does not seem to have peak hours. The entire place can be toured in about 30 minutes to a hour.Admission for adults is 1,000 Won. "
