review_title,review_body
Wholesale shopping,"A couple of stops from myeongdong where we stayed before reaching Dongdaemun. there is a lot of walking especially if you are not familiar with the area as we are tourists. Lots of merchandise and it will come out less expensive when bought wholesale. There are several specialty stores as well (such as those for fashion accessories, cooking and baking needs, etc)"
Food market for the food lovers,So much choice.. easy going.. good food.. made fresh.. browse through the market before you decide what and where you want to eat.. you might want to try it all and won't have space for all 
A super fun 2 hours!,Interesting place with nice local food. Very close proximity to the train station (Exit 9 of Hongik Univ Station) so its very very easily accessible. A must go if you are a first timer in Korea!
good price,"So kind of products you can find toys,bag,clothes with good price. But sales person do not know english. Therefore it is so hard to discuss. they are showing price with calculate machine it is realy problem."
Cheap and varieties of food.,I went to this market and tried all kinds of street food available in Seoul..the soju was cheap and the food excellent.Could not finish so many choices so need to come back again in future
Worth a look,Great variety of shops and stalls. There are all types clothes and goods for sale and plenty of food on offer
Night shopping,Lots of stores and street food options. Many western style malls but each mall offers essentially the same range of stores such as Adidas etc. Contrastingly local malls are full of toot and not particularly useful for foreigners. 
Perfect place to try lots of yummy local specialties,"Stall after stall selling what is seemingly the same food. I found places that looked the freshest and tried a lot of different dishes. I have no idea what I ate, but it was all good! "
Not a must-visit,"There are many restaurants and also shops selling clothings, shoes, bags. Nothing exciting. Not highly recommended. Visit only if you have time."
Large commercial district,"This is not one market, but is a large commercial district comprising of shopping malls such as Doota, Migliore, apM Place and traditional markets such as wholesale clothing, shoes etc. The iconic landmark is the Heunginjimun Gate. It is best to visit in the evening when it is lively, though crowded. Suggest you climb uphill for 5 to 10 mins just behind the Heunginjimun Gate, to have a great view of the surrounding area."
Worth walking around,Many small shops and restaurants nearby. Mostly young crowd. Evening is better to walk around. Easy to get to by subway
So so!,This area I found hard to find my way around for some reason - lots of shops but nothing I found very exciting. Part of the Old City wall is here a d that was worth seeing.
shop until drop,"its 24 hours malls! can't say it no more, just shop until you drop, any thing you need from head to toe are here "
Confusing even with tourist helpers,"When we visited, we approached the tourist helpers (wearing red vests) and I don't think they understood us as we were trying to get to the children's toy stores and also to street food stalls. There were only a handful of street food stalls outside of the big mall there, but many of the stalls on the side streets were closed."
Good place to shop ,"There are many wholesalers located inside buildings, and they sell things ranging from clothes to shoes, bags, food etc. There were also many small street food stores located on the roadside, convenient stores were also aplenty. There is also international food brands such as Starbucks located inside shopping Malls."
Amazing,"The colours, the noise, the smells, the lights, the people, the massive amount of products ... everything is like a punch in your senses. A great experience."
street stalls and food in the market and side streets,"lots of lovely food to try but not for me as I have food issues. Lovely copies of leather, handbags, shoes, clothes etc. Very reasonable prices. Market washuge. Enjoyed our short time there and then drove around momumental places"
SpeakingEnglish is Rare,"We ate lunch at Dongdaemun Market. We ate pig feet, tteokboki and fish cake soup. This is not recommended for people who have weak stomach. The food is not fancy. But it’s cheaper than the restaurants around. There’s no English speaking zone here. Hehehe. Good thing that I know how to read and speak Korean language."
Local Brand Shopping,"Korean local brands of clothing, luggage, handbags, misc items are available in Doota Mall. Price is very reasonable and variety to choose. also a bunch of street food eateries around. I really enjoyed the shopping and the quality of the items"
Good to visit if you're into shopping,"Enjoyed our visit here, and a great place to stop if you are looking for souvenirs and shopping! Lots of street stalls, also a few food stalls."
AWESOMEE!!,Awesome market... make sure bring your empty stomach... because they have great food as well... lots of fabrics and great shopping as well..love it!!
Had to see what it was all about,"Not too much variety, average prices. Many floors fulls with the same products. Most stuff can be found in the US cheaper. "
All you can buy,"One of the best markets in Seoul. If you're a fashionista, this is a place you must visit. There's flea market area, as well as indoors shopping malls if it's too windy, too cold or too hot outside. One mall didn't open till 8 pm! Although it's not quite 24 hours as most shops will close by 10 pm. Wear comfortable shoes as you'll be walking around a lot!"
Good shopping place,This is one of the places that you have to visit when you are in Seoul. It has a lots of Korean Fabric to choose from and lots of clothing line for those into fashion. It is recommended to spend minimum 2-3 hours. Its such a huge shopping street with lots of shops. Great shopping place.
Good if you want the experience,"Went mostly to Milgore and Good morning, APM, rest of mall seems to be ghost town, short for some tour group and i think the locas mostly go for the retail side. we exit from DPP station and walk towards Dongdaemun station, but most of the retail opens around or after midnight. If you go during this season, will be all winter/thiick clothes, and accessories, so not much shopping feel, as compare to Myeongdong or Termainal station, but its still worth the trip if you wanna feel the vibe or overnight shopping"
Neat!,"Went here at night, lots of clothing shops. Few food vendors, which all smelt good! Lots of shops to see!"
Excellent market to find wonderful fabrics!,"Textile amateurs: you will find everything here! Beautiful printed Korean fabrics, everything from needles to buttons to tailors! I find it fascinating. Enjoy!"
Not really 24 hours ,"Although it is a 24 hours market/shops/malls, when I went there at 10pm, the individual shops were closed. Only shops in the malls were open. I guess you have to go at daytime. Most shops are wholesaler. So you got to buy in bigger quantities, like 10 pairs of socks, etc. Note: Products are cheap but the qualities are also not top notch. Fair enough. "
Huge market,"I went for the 3rd time today and it was so big I got lost. You can spend the whole day walking around and see something new along the way. The first two times I came was late at night. Daytime for me was better as you can look futher around the area. I came down from Naksan mountain trail as the sun was setting so it was a different view. However, the lights at night are pretty, too. The first time I came, there was some kind of concert happening outside Migliore building and people were dancing around. Happy place!"
Peter G,"Promoted a being open 24/7, was however pretty much fully closed at 7pm when we arrived, very disappointing"
Traditional,"not your typical street market.check out the different herbs available.Good to go if you want to see a different, perhaps more traditional side of korea"
Eye opener,"The market actually consist of a large area encompassing multiple malls and streets lines with wholesale shops. Note that they are mainly selling in bulk, hence asking for a single piece will get you the NO-NO answer...or they hike up the price REALLY high. It is a good place to visit as you will find many buyers, presumably boutique owners from HongKong, China, Japan etc haggling over the number of pieces they are getting and the price with these stalls. If you are looking to buy 10 pairs of the same socks for 6000 Won then this is the place for you. Do also note that most of them will chase you away when they hear you speak English, but do try and try again with the next stall and you might just get that nice looking sweater for 5000 Won :)"
"Try the local food, cheap and delicious","There are few restaurants which are hiding in between of the alleys. I have tried out 2 of it and found the one near to public toilet and run by all ""ajiman"" taste best."
You can find anything here,"My goodness, what a huge market and it first opened in 1905 and has grown bigger ever since. It consists of over 20 shopping malls in 10 blocks, 30,000 specialty shops and 50,000 manufacturers. We saw about 50 shops in a row all selling tools etc, then another 20 selling something else. Our main reason for going here was to buy some fridge magnets (which we bought for less than half price compared to souvenir shops) and an original Taekwando uniform which we got for a good price. there are many money changers scattered around the area offering favorable rates, restaurants, fast foot outlets, clothe stores and just about any shop you needed."
This market feels HUGE! Plan in advance ;),"This is a huge market and I would really suggest you to plan in advance what you want to get and also an approximate idea about how it should look or what it should look like, or at least what you like! :). It is easy to get lost if you are a one or a few times visitor, especially if you start to stray from the ""main streets"", take shortcuts, get up on set of stairs and down another... I bought a tailor-made Hanbok here and it is very difficult to fend yourself off nice sellers. As I do not speak any Korean, what finally tipped over when it comes to choosing seller, was that we found one that spoke english! Ordering one in english was hard enough! and it took several hours before I had picked out colors, decoration, style and had my messurements taken. This is a very special Hanbok for me as it is the first time I return to Korea after being adopted to Sweden, so the choice of design was very important ;). If you are ok with one of the pre-mades, there are several shops both here in Dongdaemun Market and in the Gwanjang Market ""next door"". I would absolutely recommend a visit here! Prepare a full day! "
Prices comparable with other markets,"Though I noticed that the reviews have been a bit harsh but honestly I did not face any. Yes, the shopkeepers here show some attitude but the quality and the price at this place is comparable to other markets. Since it is close to Marriott, a convenient shopping destination close by."
Touristy ,"This is a shopping district and famous for the tourists around. The manners and the shop owners here seems to be too comfortable with their business and most of the time, not very welcoming. For me, I’m spending my money and I have a choice where do I spend it. "
