review_title,review_body
Designer quality and styles at great prices,"Hundreds of vendors with a huge diversity of product in one compact building on multiple floors. Great place to outfit a wardrobe for a makeover, new career, or new season."
"China + 1, South Korea -1","avoid at all cost... rude sellers, overpriced goods .. sellers at the basement 1 and 2 are very rude to tourists .. one shop even looked at us from head to foot and told us rudely that they cannot sell to us, ""Do not touch original""... i was just asking the price of the item on display even though the item covered in plastic (glad wrap)... he took the shoe from my hand that what was on display ( a very good valentino open top rock stud sneakers for men knock off)... sellers will first google the price of the LEGIT item before telling you their price... PASS on this mall... cheaper to buy in europe for Legit items that are on sale than deal with RUDE Migliore knock off sellers!!..... imho sellers in so called ""silk markets"" in mainland China are nicer to deal with... "
Typical shopping mall,"Migliore mall is located in Dongdaemun, with many shops selling fashion apparel, accessories, shoes, bags etc targeting the younger generation, especially women. Prices are reasonable. This is one of the newer malls in Dongdaemun."
Aggressive sellers,Do not bother wasting your time in this mall especially in the males section . Aggressive sellers trying to coerce you to buy super overpriced goods with nasty attitude when you don’t buy from them
"Very pressurizing, especially male section","Every store in the male section is hawking for customers. They are onto you the moment you step off the escalator. Prices are definitely way above what you can get at other areas like hongdae shopping street. I saw the same top costing 10000 Won at hongdae but the seller quoted me 38000 won at migliore. by the way, almost all items do not have price tags there so be wary. Materials also aren't of good quality to fit the prices - even after you factor in a discount of about 20-30%. They'll ask you to give them a price. But it doesnt matter because the original price is already marked up way above what you can get outside. It's essentially another trick up their sleeves. Know your materials and do not fall to pressure. Otherwise, shop at other areas like myeongdong, Sinchon or hongdae where they are a lot friendlier and they have prices which you can see."
Similar to Bangkok Platinum Mall,"We went in early morning. Hence, there was no crowd. The layout is similar to Bangkok Platinum mall. Every level selling specific stuffs. Lower level for apparel, higher level for bags, shoes, accessories, luggage. Quite a good place to shop if you know what you want. "
Cramped and crowded store,"This is a large store opposite the Dongdaemun Design Plaza and Lotte Fitin shopping mall. The store was packed with visitors and the space inside it was pretty tight so not a particularly enjoyable experience. However, visitors can find all kinds of clothing for both adults and children as well as lots of accessories.My advice is to only visit this place if you really want to find cheap clothes and accessories and have the time to spare, but please do not bring children here as it is too crowded and very hectic. The aisles are narrow and people are always pushing their way past you."
Good place to shop but some of the seller attitude can be better.,"Place at location down town, just opposite DDP design center. Good for shopping open from 10:30am to 04:30amSome of the seller may give you feelings like "" you don't buy, you don't touch""."
Not as nice as before,We have been to Migliore on previous trips and found this place had somewhat deteriorated. There were more empty units and the range seemed to be become lesser. The men's section on the 4th floor was quite scary as the sellers were more aggressive. There were a lot less shoppers as compared to 2 years ago in the same mall. The prices didnt seem as cheap anymore. We bought much lesser this time round. Will try the malls beside in the dongdaemun area the next time. 
Cluttered with small shops,"Dongdaemun area is a shopping paradise and Migliore is a multi storey store in the midst of it. It’s crowded with little shops organised around a theme eg women’s, children’s etc, but that’s about all there is in organisation! All the stores sell varied and sometimes duplicative items but if you persist, there are some good buys to be had."
