review_title,review_body
Great architectural treasure,"Amazing building, really worth the visit and spending some time to soak it all in!Super easy to access via the subway system and conveniently located, this is a must visit!"
Landmark in central Seoul,"This is one of 8 gates. You could not enter when I was there, only a photo from outside.Its name means great east gate.You can access it from either subway 1 or 4."
Impressive - combine with a visit to the City Wall Museum,"Walk past Dongdaeumun Design Centre, and keep walking straight - the Heunginjimun Gate will suddenly appear in view. It's an impressive structure - a two tiered building on a solid stone base in which there is a tunnel which housed the gate. This is the East Gate of Seoul, one of four main gates in the old Seoul City Wall. The Gate was first built by King Taejo during his fifth year of reign (1398). It was renovated in 1453, and the current structure is the one rebuilt in 1869.What is particularly impressive is the half circle outer wall enclosure (the Ongseong). This was a powerful defensive device because visitors who entered were surrounded. It also protects the gate against a battering ram.You can view it from all around, but there is no entry.To best view it, you need to cross the road up to the Heunginjimun Gate Park which is where the City Wall now starts, and view it on eye level.Information about the gate is sparse, even though the small information placard states it is Korea's National Treasure number 1. To find out more and to see the Jaspyan statues up close, visit the Seoul City Wall Museum which is about 100 metres up in the Heunginjimun Gate Park. It's free to visit, has scale models and a lot of fascinating information about the gate and the Seoul City Wall.See my photos."
Great Eastern Gate,"I came across this massive gate, one of the four major entrances to Seoul centuries ago, while walking to the nearby Dongdaemun Design Center. An imposing structure, this is the only city gate with a small wall that was constructed to give the Joseon Dynasty fortress additional protection against invaders. Though originally built in 1398, the gate has undergone many restorations, and it appeared to me that one must have occurred quite recently, based on its current excellent condition.Located in an extremely busy traffic area, this Eastern gate can be difficult to reach on foot. Though I managed to do so, the entrance was blocked off and the effort to get there hardly seemed worthwhile. I ended up ascending a small hill across the street by the Seoul City Wall. This provided a superb vantage point for the gate and the surrounding neighborhood. My visit occurred during the afternoon. Later, when I walked by at night, the gate had been beautifully illuminated and I had an even better appreciation of the structure. Dongdaemun Gate is about a 5-minute walk from the Dongdaemun Subway stop (Lines 1 and 4). Take Exit 1 or 6 - 10."
"Lovely picture op, but you can't get close.","One thing I hate about Seoul is how bloody difficult it can be to cross the street. You can't really get close to the gate because of how the gates are set up, so don't feel bad if none of your pics turn out right. After some shopping at the nearby namdaemun market, you can come here for some shots. There's several of these bad boys around Seoul, so go catch em all."
"Interesting gate, can't get close","Interesting gate, but not as accessible or explained as well as the Sungnyemun Gate. Good for some photos and as a point to start a longer walk to explore the Seoul City Wall, which commences just North of the Dongdaemun Gate and climbs up to Naksan Park."
Imposing gate in Dongdaemun,"Also known as Heunginjimun Gate, it is the largest gate in Seoul. A unique feature is the half-circle shaped wall to protect the gate. In fact, it is the only gate among Seoul’s eight gates to have this wall. For a good photo shoot, suggest you cross the road and climb uphill for about 5 to 10 mins in Dongdaemun Seonggwak Park. I visited during the late afternoon. I suppose evening is a better time to appreciate the buildings with the lighting."
Lovely . . .,"Though reconstructed several times throughout its 700 year history it is a magnificent monument to the Joseon Dynasty. Though inspiring from street level, it is even more impressive from the lounge or roomss facing from the JW Marriott Dongdaemun Square."
Great looking gate,"Looking at the pictures, I should have gone at night. But even during the day the gate looks very impressive."
Heunginjimun Gate (Dongdaemun Gate) - One of the 8 Majestic Gates of Seoul,"Heunginjimun, literally ""Gate of Rising Benevolence"" or Dongdaemun, is one of The Eight Gates of Seoul in the Fortress Wall of Seoul, a prominent landmark in central Seoul. The Korean name ""Dongdaemun"" means ""Great East Gate,"" and it was so named because it was the major eastern gate in the wall that surrounded Seoul during the Joseon Dynasty. The structure was first built by King Taejo during his fifth year of reign (1398). It was renovated in 1453, and the current structure is the one rebuilt in 1869."
stands out like a gem at night from a distance,"The gate is across from the JW Marriott hotel, within walking distance of the Dongdaemun metro. It's best to view it in the evening as the lights make it shine like a jewel from a distance. We went in the evening the gate was closed. Not sure if it opens during the day, doesn't look like it though."
Most spectacular at night,"Seoul has many ancient historic gates scattered around the city, but the Dongdaemun gate is one of the most impressive. Certainly it is very well located just across the road from our hotel providing us with magnificent views especially from the rooftop of the hotel.The gate is also very close to so many of the shopping malls and clothing accessory markets and even close to the Cheonggyecheon stream that runs through the city. It is also just a few minutes walk from the Dongdaemun Design Plaza (DDP). Really well worth visiting this site in the evening time."
A must stop,Great place to take a picture and admire the architecture. It is just across the street from the metro and near department stores and close to the clothing market.
Simple yet magnificent gate,We were lucky to see changing of guards ceremony when we happen to be passing by the area. The uniforms of the guards were exactly what we saw in the Korean telenovelas.
"It looks grand, both in the day and night","This structure is currently in the middle of a busy road junction, and a short walk from the metro station. It looks grand, both in the day and night, and is well worth a detour if you are in the Dongdaemun neighbourhood. "
Neat!,"Got to check out Dongdaemun gate during the day. The area is good to explore. At night, it is lit up nicely."
Beautiful at night,"We did not have chance to visit during the day so popped by in the evening to wander around the outside. It was beautifully lit up and looked magnificent. It is a little tricky to get over to, due to its location in the middle of a busy road, but was worth being patient for. Impressive!"
Magnificent City gate located in Dongdaemun.,"Dongdaemun is a wonderful area in Seoul to explore, one special feature of the area is Heunginjimun Gate or East Gate. This version of the gate was built in 1869, the original was built in 1396 and was the main gate of four of the Seoul City Wall (Hanyangdoseong), it is listed as the National Treasure No.1. We walked passed the gate after our visit to the Dongdaemun History and Culture Park on our way to the Seoul City Wall Museum. Highly recommend."
Another National Treasure No. 1,"The gate is the only one in Seoul which has a semi circular wall at the back and the image has been on quite a few guidebooks etc. It's a shame you can't walk through it and can only admire it from outside. If you climb a short distance up along the city walls across the road, you can have quite a nice view of the gate and the design plaza nearby. "
Nice historical site in heart of city,"Its good historical site, very clean surrounding and informational details added advantage to know the place better.You can also visit near by underground market with affordable prices. There is one art museum also to visit nearby. Uploading photos."
A picturesque monument!,"However, apart from being an important monument, the Dongdaemun Gate is also an integral part of today's city. It is lively and vibrant in the context of the modern City and bustles with life."
Beautiful building opposite Marriott,Looks lovely in the evening opposite to Marriott hotel. The square is pretty busy and well lit. Love walking around the area with places to shop and eat.
Old gate to east of central Seoul,Historic gate. Close to markets. Seems to be fenced off. Part of the old wall is here. Can walk along the wall
Worth passing by,This seems strange set on the middle of a road intersectionGiven all the other similar structures in the city you could give it a miss but if you are nearby it is worth a look and a piccy or two
Ancient architecture among modern buildings ,"This is Dongdaemun gate, you will see it as you walk out from the station in Dongdaemun area . The gate stands out among the modern building , it's historical architecture was well preserved. "
Another iconic gate,"Right across the street from the JW Marriott, this gate is worth seeing but nothing else to commend it in the area."
East gate of Seoul,This wall the capital throughout Joseon Dynasty. You can walk around the outside and view the wall. There is a brief history of this wall posted outside. Across the street is the City of wall and Museum. There are street vendors that sells good and food near by. Plenty of malls too.
East Gate of Seoul City Wall,One of the two largest gates in Seoul. It has a stone archway in the retaining wall linked to the city wall and a wooden pavillion was constructed on it. The metro station is very close by.
Nice place,"Very nice place to visit, also some outlet malls are there and street shopping market, the metro station is very close."
Nice to see the citywall,Heunginjinmun is nice to see dont miss the citywall if you stand infront like in the Picture its to the right side cross the road and get upp on wall soo nice view of the city. and near by undergruond shoppingmall.
관광,"서울에는 동서남북으로 대문이 있다 동대문 서대문 남대문 북대문 그동안 군사적인 이유 등으로 개방이 되지 않았던 북대문 조만간 일반에 공개되고그 모습을 드러낼 준비를 하고 있다. 사대문중에 남대문과 동대문은 큰 재래시장이다 먹을거리 입을거리 관광 지로서 꼭가볼곳중 하나인 동대문시장In Seoul, there is a gate to the north, south, east, and west. Dongdaemun, Seodaemun, Namdaemun, and North Gate. The North Gate, which had not been opened for military reasons, is now open to the public and ready to be revealed. Namdaemun and Dongdaemun are big traditional markets among the four major monuments. I recomend Dongdaemun No 1 best Market "
Historical ,Nice Historical site of the old kingdom. There is a huge shopping area featuring 24hrs wholesale nearby. Tons of resturants and cafe nearby.
A beautiful old building,This gate is beautiful. Not much more to say actually. It is well preserved and looks good. But surrounded by modern buildings. Well worth passing by and take some pics of it.
Okay..,"You need to go underground to get here and there's nothing much other than the huge gate. But it's near Dongdaemun Market, Seoul Station and the newly opened Seoul Overpass. So swing by these places after a visit to this gate. "
One of the Eight gates of Seoul,"Very impressive at night all lit up. This is only one of the 8 gates of the city. Out of all the gates I've seen this and the Namdaemun are the most impressive. 10 minutes from the metro station. Head towards Doota, the Big Owl!Be careful crossing the road here as its busy."
Striking contrast to its modern surroundings,"The Dongdaemun Gate stands majestically in striking contrast to its modern surroundings, namely the Dongdaemun shopping district, the busy road intersection and the Dongdaemun Design Plaza. Not as grand as the Gwanghwamun Gate (in front of Gyeongbokgung Palace), but still worth a camera click before you proceed for your shopping in the Dongdaemun malls. For a perfect vantage point of the gate, walk up the hill along the Seoul City Wall."
鬧市中的寧靜 A peaceful and quiet place in the crowd.,"Well, u know Dongdaemun is a crowded place, esp the Dongdaemun cultural and history park. Just walk a little bit towards the Dongdaemun, you can have a bit of hiking along the blocks and have a sit ard the green and floral lawn. Takes within half an hour to go up all the way. You can find a cozy coffee shop to take a break, and enjoy a piece of quite near the local residential area on the slope. Highly recommended to visit if you're looking for a relaxing and slightly sporty trip."
And absolute beautiful experience,I really love this place and I think all people that visit Seoul should come here at least once. It is full of history and for people to be able to understand Seoul and Korea is this really an important place. 
Wonderful but under construction,It's one of gate of ancient Seoul and also wonderful and especially at night. But it's under construction and I could see one side of it. I think this gate is the start point to trip to the center of seoul or walk through the route of ancient Seoul fortress wall.
Impressive historical building,Found the building after coming out from the train station. It is difficult to miss it. The gate is under renovation and you can only take photos from the outside.
Interesting ,This is not something you are required to do if time is limited however it is a nice walk around the area and you can see the ongoing construction where modern architecture meets the ancient. 
Great to see some history of Seoul,It's pretty easy to get here. It's just across the road from Dongdaemun market. Great to see the history of Seoul. Can be a bit touristy. Worth a visit.
Landmark Structure of Dongdaemun,"The structure looks grand and imposing, although it is still undergoing renovations at my last visit in early April 2017. Suggest to take a short walk along the old city walls at night. From here, you can get a nice view of the gate plus all the modern buildings surrounding the gate. A structure of historical significance. There is a museum in the vicinity as well (2 min walk away from the gate), although I did not get to visit it as it was closed at night."
Landmark,"National treasure~ this gate is one of the eight gates surrounding Seoul City Wall. The fortress walls around the gate were destroyed long ago, bu the gate remains the same as it was in Joseon period. It is definitely one of the top tourist attraction spot. There are many shopping places near the gate too!"
One of four gates,One of four gates in seoul. The biggest gate n very beautiful at night . Located at centre of seoul.
