review_title,review_body
City Views,"Had lunch on 59th floor, outstanding views of the the city. Enjoyable buffet lunch well presented, professional staff."
Great Views,"Stopped by here as it was along my travel plans for the day. The building is striking from the outside and in... a little pricy for the overall experience. The exterior elevators are quite thrilling for one with a great respect for heights. It was a bit of a challenge to find the actual entrance to the building/activities and it was quite crowded on the weekend I visited. As mentioned, it was along the travel route I had planned for the day and thought it would be nice to visit the Art Gallery (happened be to the show ""With My Friends"" geared toward children and how children interact with their environment - actually quite charming). Not sure that I would go back unless there were a particular event to attend or art show to see. City views are available in other locations..."
Just a tall building,"I don't know what I was expecting but this was just another modern building. The area is great though, so if you are in a position like me where you're travel buddy wants to visit, you can combine it with a nice walk by the river :)"
63 City,Took a 10-15 mins walk from the Yeoinaru station. First went to the aquarium but the place as smaller than expected. I would say not worth the price if you are not interested in sea creatures. The observatory and art museum was worth the time there as it overlooks the whole of S.Korea.Tip: I left 63 city around 7 and walked past the Han river towards Yeoinaru station and there was a great view there since there was a great sunset.
Worth a visit for the view,"This site is listed as a should do, so we did. We travelled by Metro to the Yeoinaru Station and took a ten minute walk to the building.The visit to the building is free when you purchase a Seoul Tourist Pass, otherwise entry to the 60th Floor viewing floor plus Art Gallery, and the aquarium in the basement costs 25000₩, I think.It was very quiet on the Tuesday of our visit. No crowds and we certainly enjoyed the view of the city and the river Han plus the numerous bridges crossing the river. The Art Gallery on that 60th Floor is interesting and ""easy to interpret"", with several focus on young children.The aquarium in the basement was not huge, with a good collection of sea life. The mermaid swim show at the end of the walk in the aquarium certainly got a lot of the children's attention."
63 CITY= 100 SCORE," 63 building in the highest building in my country, so people want to visit there, and after they visited, they always shocked because of the hight of the building. It was awesome!"
Worth the views,"It overlooks the Hangang river and as the name suggests, it has 63 floors - and is the tallest and most recognisable building in Korea. It is not just a tall building and houses attractions such as Seaworld and an observatory on the 60th floor."
Great view on the top.,You can see Han River from the top.There us an aquarium in the basement. It's not so big but there is a mermaid show. 
Beautiful scene,The night view at here is quite great. it is a wonderful experience stay in 63 tower for 1~2 hour. Very convenient to visit there by taking the subway or bus. You can go there at night when after dinner.
Worth one time visit,I visited twice. The view from the top is great. You can see Namsan Tower in the distance and the new Lotte Tower. That helps you realize how big Seoul is. Huge. It's an iconic building in Seoul so one should visit while in Seoul.
