review_title,review_body
Food hunting,"I think there are 3 dakgalbi streets if i am not wrong, this is near Myeongdong street. Many dakgalbi restaurants around here. Some are crowded with queues extended outside, some are near empty with staff standing outside the shop trying to usher people in. I got ushered in, didnt mind as due to my lack in the korean language, the lady that ushered me spoke english, albeit minimally. It was still better than struggling to order. Plus most dakgalbi places i asked only offer it for minimum 2 pax, here they allowed me to eat for 1 since i was solo."
MUST GO FOR FOODIES,"Not only does Chuncheon have great shopping, trekking and all sorts of outdoor activities but this is the home of Chuncheon Dakgalbi. This was the 1 single reason for taking the wife (and she shopped) was Dakgalbi Street. This is like eating the best heaven has to offer if you love a bit of heat and an incredible atmosphere of Korean Culture (and Soju).I wanted my wife to experience what I had many times before in my travels and she loved it. we had the most awesome day out."
Indeed the Best Dakgalbi,"We had Dakgalbi at the number 8 restaurant for dinner. Indeed is super yummy! I dont think i will get back the same taste anywhere else then Chuncheon! I am going to miss this Town!Not for children, its spicy!"
Dinner at Chuncheon,"I saw the review to eat the famous chicken at Chuncheon Myeongdong Dakgalbi street. It is easy to find in the Myeongdong area. There are many restaurant offer same food, the chicken cooking in the big flying pan. It is a wonderful experience eating there and the chicken is really delicious and I recommend if you will be there. There are no other choices other than chicken, simple dish cooking in a big flat pan and you can participate the cooking as well. Fun and amusing place to eat. "
Nice historical street ,Find out why the chicken is very significant for the town and why many restaurants are serving the dish. There’re street information and history in a few languages. 
Love Dakgalbi!,It is the dish this region is famous for! I love that there are so many choices and you can’t go wrong with any establishment that you choose!
Lotsa of food hare,"Was brought to this street by our tour guide to taste the famous dakgalbi at one of the restaurant. Interesting dish but honestly, not really to my liking. Apparently the street is filled with restaurants selling this dish. Outside on the street, there were a number of street food for one to try out as well."
I miss this place!,"Chuncheon Dak Galbi is well worth the trip from wherever you are in Korea. Get off the train at Chuncheon station and cab to Dak Galbi alley for some of the best food you will ever eat. I was stationed at Camp Page in 2001, and this place was my first stop every Friday night. Heading back soon, and even though Page is closed down, I will most definately take a weekend in Chuncheon for some Dak Galbi."
The famous Dakgalbi street,"A street with rows of restaurants selling only 1 item, Dakgalbi aka Stir-fry chicken. I would think any of the restaurants would taste nice since Dakgalbi is a must-try in Chuncheon. :)"
"It's tasty, but not that different from other shops in Seoul","We happened to be in the area and came to the Dakgalbi street to sample the signature food of Chuncheon. Dakgalbi is spicy chicken fried on hot plate, with cabbage and other veggies. The chicken is wrapped lettuce and eaten with rice and other cold sides. We just picked one with more people in it and it turned out to be tasty, albeit not very different from other shops selling the same dish in central Seoul.All in all, it's worth a visit if you're in the neighbourhood. But if you have a tight schedule, just pick a Dakgalbi shop in central Seoul."
Plenty of choices! if u are into dakgalbi that is..,"We came to Chuncheon for a 2 day stopover and had to visit this place. There are probably around 10 stalls all selling variations of dakgalbi and the one we tried was pretty good especially as it was cold in winter. If u are a big dakgalbi fan, then this is probably one place that u will have to visit once in your lifetime!"
Superb,This is where I fell in love with Makguksu! Eating it with teryaki chicken is the best combination. Makguelli is also good here! Love everything here!!!
Better restaurants in other parts,"Most places here cater towards tourists, so quality is a hit or miss...I prefer places not on this street, but it is more tourist friendly...and just fine for people not picky about their dakgalbi..."
Oh. My. Yumminess!!!,"The food here was amazing! Make sure you choose a restaurant that has lots of pictures of TV shows being filmed there. Chances are, that means it's a delicious place! See our video of it by searching 'Emily Taehee' on Youtube. Thanks!"
Tourist Friendly,Lots of choices of Dakgalbi but more or less the same whichever you choose. Taste is slightly different from other restaurants in Chuncheon as these ones are more tailored to tourists.
Great for Dalkgalbi Lovers!,"Accessibility: When you avail the Chuncheon City Tour Bus (KRW5,000), this destination is included in the tour course. If not, you can take the subway. From Chuncheon Station, take Bus No. 63 and get off at Chuncheon's Myeong-dong (approx. 10 min). When you see the chicken statue and the smell of dalkgalbi, you are in the right place.Food and Price: Most of the restaurants have a price of between 10,000-11,000KRW for 300 grams Dalkgalbi. The taste is good. You must try this dalkgalbi when you are in this area because this is their representative dish."
Dakgalbi!,"First time I had tried Dakgalbi on my table, heard a lot about Dakgalbi in Korea and this was the best experience Ive had by far in terms of Dakgalbi. We were served as always like lightning speeds but with efficiency not clumsiness like in Hong Kong. The food was excellent and tasty. Would surely recommend this place to friends and family."
Great dakgalbi,"We had a 4,000 Won discount courtesy of two tickets for the Soyanggang Skywalk (소양강 스카이워크). The choice of restaurants was excellent, and we had a huge portion of tasty dakgalbi with all the sides for a very reasonable price. Highly recommended!"
