review_title,review_body
They have all!,"We dropped off to pay a visit to this market whilst we were on our city bus route. This is a massive wet market where you can find fresh vegetables to seafood and cooked snacks. In addition, you may get souvenirs as well. It is in a nice neighbourhood nearby the river and cafes. Bring your appetite! "
Big market with local products and food,"This huge place has many shops and stalls selling household items, fish and seafood. And there is also the food street selling all kinds of local food. Just be careful and remember which gate/entrance you enter or else you may find yourself lost and spend time trying to find your way out."
Massive,Wow!! This place is huge and totally worth visiting. There's a bunch of locally sourced products as well as restaurants and plenty of stuff to photograph. Take your camera.
Have a look around.,"We went here straight away. Had some street foods,some of them so good ,some of them so spicy!!!But quite huge market so look around first then try some foods.so many sea foods,veges,fruits and Korean foods.One thing... normal streets has bins but when I been 4-5 markets dose not have bins..I wonder... How or where these peoples throw away the rubbish..."
All you need can be found here,"I always loved this market. Everything you need from household appliances to fresh produce, chocolates and souvenirs can be found here. Accessible by bus and convenient aa it is close to city centre."
Nicer and Cheaper,"Well, comparing to Seogwipo Daily Olle Market, sashimi is cheaper here. The market is bigger and there are most stalls for the snacks. But majority of these stalls are not open until evening time. It is short walking distance to the Black Pork Street.Ample parking nearby and there is also a multi storey parking which is among the most expensive parking I had in entire Jeju. 6000W."
Nice food and culture,Plenty of food options for anyone who is hungry. Authentic market in the day that's buzzing with life at night too.
Dongdaemun market,"We had a good taste of hotteok, orange juice and grilled squid, good price for sourvenirs too :) It also connects you to few attraction sites.."
Large market - mainly for tourists,A large market popular with tourists. Prices are a bit high - but not able to bargain much. Oranges are cheaper in the local stalls outside the market. Sashimi is good and can be bough in take-away packs.
A must visit place for local food,We visited for the night market. Nearby there is a multi storey public parking. The first stall butter fried rice with spicy pork is truly delicious and their orange juice (hallabong) freshly made is very nice though it is slightly expensive than the other stores. But it is freshly blend thus I love it and it taste good. Others stall look okay for me.
Dongmun Market,"It's good to stroll around in the evening. Its divided into rows and rows of fruits stalls, fresh fruit stall and meat stalls.Lively with tourists in the evening.You would nt go hungry here as there an amazing arrays of food to pick from.Bon Apetite"
Big Size Neighborhood Market ,"Tangerine is expensive at this time and we purposely look for it at Dongmun market. We bought at KWR 10,000 per kg and tourist guide mentioned during tangerine season in Dec the price is only KWR 3000 per kg. It's a big market selling wet stuff ( fish, prawn, squid, vegetables, fruits etc) and dried stuff ( pastry, cakes, ginseng, clothing, shoes) etc"
Night Market Street food,"We only managed to visit at night. The street food location is at gate 8. Some of the stalls have long long queue. The watermellon drink stall seems to be a hit... A bit pricey at KRW9000 for one watermellon drinks (2 cups equivalent).Other food is spaghetti, korean fried chicken etc. Grab the food you want and there are sitting area to eat.There are also few restaurants selling raw fish and sashimi at the same place"
