review_title,review_body
good place,Beautiful place! Should come if you vistit to Jeju. You will not regret. Excactly thing i want to say. 
Fascinting glimpse into mythical past,"I love the wallet-friendly admission prices to the Korean government's tourist attractions. Some are even free, come with English-speaking guides and/or tablets with headphones with information.This one had info boards and cards but it was in a beautiful setting, a mini forest in the middle of surburbia.The exhibits, including a short 3D film, tell the story of the mythical origins of settlement of Jeju built around some original artifacts.You get to go close to exhibits and there's also an opportunity to dress in a scholar's robes for a photo in a study.Staff are very helpful and friendly and the place is wheelchair friendly. It is easily accessed by public bus or taxi."
Interesting introduction of Jeju,"Three mysterious stone falls on the ground, resulting in 3 holes... from the holes rise three men... and in time, Jeju is born... Such folklore may only appear in books, but in Jeju, there are evidence of the same, preserved into a real interactive museum.. Remember to watch the 3D movie and visit the sakura during spring time."
Museum for kids,"As a foreigner visiting jeju, this museum may not be enough. However, if you have kids, this place is great for them to learn a little about jeju and mostly the animals you can find on jeju. They had an experiential section where you can try on the olden days clothes, carry the traditional rug bags and even checkout how their toilet used to look like. It's an okay place to kill 1-2 hours for. Do try the ice cream at the cafe in the museum, decently priced and taste so good."
Decent collection, Jeju Folklore & Natural Museum - Not that great but it was a good time to browse through the collection to understand the local beliefs and style of living in the older times.
"Not very impressive but good for only 2,000 wons","It is a small museum (Jeju is small anyway) but it provides a lot of information about the island itself (volcanic history, animals, marines, and so on). Not very impressive comparing to other big museums elsewhere but a good place to visit in Jeju. "
"2,000 won entrance fee and it's far more than the price.","2,000 won entrance fee. Water and private locker available for free. Locker near the main gate. You can go to the park near directly from there.It has more things to see but as a Korean it was not new. In many ways the exhibition was very similar with what I have ever seen in other National Museum in Korea.But considering the price, just about 2 dollars, worth it.Exhibiting people's life, nature, insects, animals and so on."
Good range of properties,Amazing that it is free! Beautiful painted buildings and a big range of more ‘ordinary’ buildings and traditional houses.
Thorough introduction to Jeju’s natural and cultural history,"We visited this museum as our first stop in Jeju and found it to be the perfect introduction to the island. They have modern and interactive displays which are well constructed and maintained. The museum is very thorough and covers all aspects of Jeju’s natural and cultural history, from formation of the island to marine animals, to festivals and farming."
A peak into fairytale Jeju,"As we came during the cold snowy season, my sister and I were pretty limited in our choices of attractions we could visit. Come snow storm time, we felt pretty happy to be able to visit this place. Entry price at 2000krw (for Australians - not sure about other's as the admission clerks asked us where we were from before charging).We took our time to look at every exhibit, read the descriptions and also watched the folklore surrounding how jeju was thought to have been formed. The snow added a special touch to the melancholy feel of our whole experience and we ended up spending almost up to 1.5 hours here. Make sure to take the map of this museum before entering as we would've certainly missed a couple exhibits otherwise.If you're feeling peckish afterwards, there is a lovely jeju traditional noodle house opposite the road which serves beautiful range of noodles that will warm the soul, especially on a cold wintry day such as today."
Quiet and serene environment,There is a small admission fee but there was nothing much to see. The surroundings gardens were pleasant but this could be because of the extremely cold December weather. We only stayed around for less than an hour and left as soon as the next hourly Jeju City Tour bus arrived. There were not many tourists and only some teenagers on a school excursion were there.
Must-do introduction to Jeju Island,"Fabulous museum introducing visitors to the nature and culture of Jeju Island. We learned a lot! The story of the founding of the Island was fascinating, as well as the reproduced lava tubes, the displays of taxidermy wildlife, dioramas of human culture and the outside gardens and stone displays. "
All of Jeju Under One Roof,"The museum consolidates a wide array of the social, historical, agrarian, seafaring, and geological features that make up the entirety of Jeju. This allows the museum goer to survey the offerings of the island and then plan their travels about the island in order to visit specific parts of the island and see them first hand and in greater detail"
Jeju History,Good insight into the unique history that is Jeju. If you already know quite a fair bit about Jeju then it might seem repetitive but definitely interesting for newcomers! Entry is not expensive either.
Informative place to visit,The visit to Folklore & natural history museum was very informative. It traces the history of how Jeju island was formed thru videos and graphic presentations.The displays were life size & shows the various customs & lifestyles. Thre were also displays of migratory birds etc.The surrounding gardens were serene & good for picture taking.
Good Place to educate oneself about the historical side of the island,"Despite being there on a rainy Autumn day, we enjoyed exploring the whole area by ourselves. Its has been a very educational trip to know about the past and we had an memorable time at this museum."
Get to know more about Jeju,"Got to read and see more about Jeju, its formation and history. The display on the different types of lava, oranges, childhood games etc were interesting.Another area displayed more exhibits on whales, abalones etc. Again, it wasn't too crowded so I quite enjoyed a stroll through the place."
Not much folklore at the moment,Part of the place(probably the folklore section) is closed for renovation. There is also a Maritime Exhibition Hall with the replica of the largest Bryde whale bones in Asia on display. We were there on a Wednesday and was told entrance was free. Unsure if it's a daily or Wednesday only offer.
Simple and enjoyable,Took public transport to the location. I must say it was quite a distance! Entrance was free and we could go in to roam the exhibits. It's nice as it was a first time in Jeju and it became our introduction. Cherry blossoms park was just right beside the museum which was quite scenic when viewed from within.
Not great,"Went there with a Celebrity shore excursion. For what we paid, skip it, there's not much there. We could have been done in 20 minutes. Best part was the introduction film, and the clean Western bathrooms."
Haenyeo Women Divers,"Although the museum presents many facets--marine life, soil and rocks, fauna and flora, lifestyle, traditional housing, rites of passage and food specialties, the most intriguing exhibit is the diving tools used by Haenyeo women divers, farming tools used by farmers, and stone structures made by the volcanic rocks. Our tour guide's mother is still a diver at age 75. The oldest diver is 96 and is still active. Each woman diver goes down without scuba gear two minutes before coming up for air and dives 4 hours each day for abalone and other fish."
Cultural museum of historical life in jeju,"We were taken here as part of our day tour through Hana tours of jeju island in November 2016. Our guide discussed some of the exhibits with us. There is a model of the island showing the different climates. There wee exhibits of different wildlife. Then there was a lava tube to walk through too. Then after going through a small courtyard, there is a large room with figurines depicting life from birth, marriage, and daily life activities in jeju. There was an exhibit with a large boat for the fishing done in the past. Also, there was an exhibit of female free divers for shellfish which is still done today because our guide's mother still partook in this activity. It was a cool, windy day so it was nice to get inside."
Museum of culture and history of Jeju,"There is a short path before getting into the museum. In the path, many kids with their families played together, running, enjoying traditional games like ttakji. It seems that Korean families would like to have their family activity day in that certain place. In the museum, it contains waxworks which shows Koreans’ traditional culture of manners (how the greetings be and how the gender inequality be in the past) and how the living environment like in the ancient times. It also put lots of Jeju’s specialty – stones. Stones is common in Jeju and is distributed around the whole city. The museum shows different kinds of stones with descriptions, including those animal-like stones and the rare one, those stones-enthusiasts must fall in love with it.So, if you want to learn more about the history of Jeju and have enough of time (just spend about an hour), you are recommended to go there to have a lesson of Jeju."
Folklore & Natural Museum,Great place as an introduction to Jeju especially if you are short of time. Get to understand local culture & natural attractions in one place. Good exhibits with english translation. Miniature Seongsan Illchulbong (Sunrise Peak) & Manjanggul Cave on display. Good place for a great geography lesson on volcanic activities & resulting landforms. Museum is one of the Golden Bus City Tour stop.
