review_title,review_body
Didn’t expect to be that big ,"Entrance fee 5,000 won and free for senior and disable as this place is not wheelchair friendly. Thank God my aunt could walk a little so those part that cannot be pushed on wheels.... she had to walk slowly.."
Great! Never knew a stone could be so interesting!,"Half science, half art. A museum dedicated to the formation of the igneous rocks in the area, tectonic plate movements, volcanic eruptions, formation of lava tubes, and various methods of making craters. Extremely interesting!Then rock art. Lots of interesting rocks from around the island, arranged in a way that makes them just so fascinating.Budget a couple of hours here for a leisurely walk through these sections. Add a couple more hours to see the historical village section (which we didn’t go into as we had seen these elsewhere already)."
amazing! ,"This place exceeded my expectations, it is definitely a highlight of Jeju, it is perfectly organized to be a journey itself. We spent around 3 hours walking around ( it has 3 different routes well explained in the map) and simply feeling the nature was already healing. The entrance is 6.000 Korean won per person. They have drinking fountains and toilets inside. You can reach it by bus!"
Amazing Park & Museum,"Jeju Stone Park exceeded our expectations. So much space and everything well laid out. The museum was particularly interesting with some absolutely amazing pieces of lava, and microscopes set-up, which my 9-year old Daughter loved. They also had an interesting photography exhibition (temporary). If you are a geologist and/or simply interested in volcanoes and rocks, then you will probably spend all day here. Appreciated the water machines everywhere but the restaurant was closed (just in case you are hungry). We all enjoyed it immensely. Children less than 12 are free and adults are KRW 5000 (very reasonable). "
"Unique, truly unique.","Keep in mind, the founder, Paek Uncheol, is quoted ""“Visiting the park is intended to be a journey through the mythology of the island, entering through the ear of Seolmundae*, progressing through the body and exiting at the feet. It represents the journey of life and death.” Taking a journey that ends in death, even if it is a metaphoric (mythical, mystical, mind-boggling) death, may not appeal to everyone, but it could be transformative if you're open to it. Allow for hours of contemplating stones, thousands, tens of thousands, of stones, natural, carved, authentic, replicas - millstones, mortars, volcanic bombs, boundary markers, 2000 ceramic jars, fossilized tree roots - locals thought its creator, who collected these stones for forty years, had gone mad. Three courses to follow, each taking one to two hours. *Seolmundae Halmang, the grandmother of Jeju Island."
Special,We spent over 3 hours in the park and exhibition building.Gives you a perfect view on the history and evolution of mother earth. We really enjoyed and learned a lot.
History Geography and culture of Jeju all in one,Jeju stone park was not part of the regular sightseeing itineraries and do we opted for a customized private tour to visit Jeju stone park. Requires atleast 3 to 4 hours if you want to walk along the trails to cover entire area. A visit inside the museum to understand the volcanic activities and formations will help in understanding the nature of the island better. Good to go with a local guide. Interesting statues and rock formations 
"Requires time, nice at good weather","The park is a unique in the sense that it is dedicated to stones in Jeju culture. Lots of statues, pavilion with the history of volcanic activity, some traditional houses, old sculptures, big and small. Large space, a lot of walking."
Great Spot for Photos,"Jeju Stone Park is interesting. There are lots of great spots for photos and there are also lots of stone exhibits which infuses some aspects of history, culture and art."
Silently spectacular ,"This attraction would be hard to describe. A huge park with magnificent exhibits of boulders and rocks. The park was so silent but the exhibits made their statements loud and clear. An enjoyable afternoon just to immerse in the natural beauty of something as common as rocks, pebbles and such. Who would have imagined that such an outdoor exhibit could offer so much. There’s even a mothers’ nursing room within the park itself. "
One oа the must do!,"I traveled in early December and sea side wasn't a priority, and then I found this park. The monuments you are going to see at all kinds of markets of Jeju all come from this park. If you want to have some quiet time wandering in forest and looking at these cute monuments - stone park is a must do!"
Story of stone by mythology,I have ever seen best museum .. design of museum is really has deep sense of existence .. stone’s story and Jeju story are melted in the same pot.. enviromental style is exiciting.. authum’s color bring good sense.. I exactly advice..
Must visit ,"Massive ground. A full walk about will take 2hrs easily. Even though all the stones look similar after an hr, it's a very effective way to understand the folklores of Jeju. Cheap entrance fee of only 2K won.Some places near the museum are still under renovation when we were there. "
Very nice outdoor park,Nice stone formation and park. It maybe very hot during summer time. But worth a visit. I went there via public bus and you can also visit ecoland just across the street
Nice historical place,Definitely you need to visit this Stone Park so you could understand how Jeju people develop. Very nice place to visit.
Loved it!!!,"It was such a pain to get to but I loved the Stone Park. The main reason was to see the Dol hareubangs - the stone sculptures which represent Jeju. There was information about the mythology surrounding the formation of Jeju which was at times mind-boggling and contradictory. There are different routes around the park and there is an indoor exhibition which features the volcanic rocks and Jeju's origins as a volcanic island. I preferred the outdoor sections where the use of stone in Jeju was highlighted - used in things such as tombs/ shrines, walls, icons of spiritual beliefs etc. The largest sculptures are near the exit and the Dol hareubangs were awesome. They all had slightly different expressions and quirks which was cool. There are plans to expand the museum grounds and I would defo like to go back again in future. It was quite quiet when we were there and we only saw a few people except for a group on a guided tour at the end. Such a shame there are not more visitors but good for those who made the effort. Recommended visit in Jeju!"
nice for photos,"we took some interesting shots. cool place to spend some time outdoors, it's not too big and easy to walk around. definitely worth going there!! in fact, we thought this was pretty much the most interesting thing in Jeju"
Hidden Gem!,"Built on a reclaimed land-fill site, this vast area of pathways, statues, displays, museums and traditional villages is very worth a visit if on Jeju. From the impressive stone structures and flat basalt 'floor' at the entrance of the park, I was blown away by the vast array of statues that are displayed, explained and on show in this area. There is ample car parking that is only a short walk form the entry way. A small fee is required and then you are free to wander the area that included a massive and spectacular 2 store (below ground) museum that outlines the geographic development of Jeju along with many interactive displays, a short film with subtitles, examples and galleries of 'stone art'. A gift shop of course, provided a range of traditional and specific items and there are amenities spread throughout the part. Water features, a traditional village, an art gallery and a vast array of stone sculpture will give you hours of things to view and read as you wander through the park In my humble opinion, not to be missed!!!"
"Interesting place, worth a guided tour","You can easily spend 2 or 3 hours walking around the stones and getting to know the past lifestyle of the island population as well as the geological history of Jeju. Volcanic rocks are exposed as real art pieces in a museum, allowing you to have a different look at them and admire the work of nature."
Nice outdoor walk among K-menhirs,This is an unexpected indoor/outdoor museum. To be visited on sunny day. This museum depicts the stone culture of Jeju island with lots of interesting structures. It is entertaining for the kids.
Amazing! Must see,This is an amazing collection of natural and men made stones in Jeju. In addition it has an outstanding water instillation and an indoor unique museum. Truly worth the visit 
"Very different, interesting, and peaceful","We were coming from Hamdeok Beach to the Jeongbang water falls and happened to directly pass by this place on the highway and I remembered it was one of the top places to visit in Jeju so we decided to pull over and enter. We're very glad we did. We spent about an hour there but you could easily spend more time. It was awesome to see all the man made stone statues and their significance or their meaning, one of the main ones being the mother who had 500 sons. The museums were pretty cool as well and you could learn a ton of geography. The setting was very picturesque with Mt. Halla in the background and the surroundings looking like you were sort of in a savanah. We took some awesome photographs and learned a lot of information. I think if you're able to rent a car and drive there it's a must see in Jeju."
If you plan to take bus...,"I am not able to visit this park because of the bus. We went to the airport by bus in order to take the 131 bus for the park. To confirm this info from our hotel receptionist, we asked the airport tourist info counter. Correct, and we were directed to gate 1 and begun to wait for the bus. We missed the 1240 so we decided to wait for the 1340. The bus didn't come until 1400 and we went to double check with the info counter. Then we were told that 1340 is for the number 132, which is grouped together with 131. 132 doesn't head for Jeju stone park and we were told to wait for the 1530 bus. Isn't it amazing our bus waiting experience? I am sharing this as a gentle reminder for all. Plan your bus schedule properly especially for venues outside the city. Cheers"
Worth a look but still a work in progress,"From Segiowipo (Jangung rotary) the park can be reached in a little over an hour on the 231 bus which will drop you at the front of the park. Fare 1200krw. Park admission is 5000krw. I spent 2.5 hrs here doing course 1 and 2. I think you might enjoy it more if you were an artist but I liked it all the same. The stone museum, which is the first stop on course 1 tells you all about how lava rocks are formed, their different types and would be a geologists dream. After that you'll walk around the park and see the different stone sculptures, most of which are natural, some manmade. There are also a couple of replica traditional jeju houses and local pottery too. The Obaek gallery has some driftwood on display along with 1 hall of art but it is mostly empty. I thought there would be more info on the local traditions and how they lived but the park is still a work in progress. Its not due for completion until 2020. Rug up because it seems to be colder here than other areas of the island and you will be outside most of your visit. Recommend you go on a sunny day as this area gets very heavy fog too."
at least 3 hours to go through everything,"this is a very interesting park, they have at least 3 sections; a museum, 2 parks and smaller exhibits. If you like stones and interested in how they are formed and how they look like and appreciate by the people of the past and present, do visit. some stones have interesting tales like: Goddess and her 500 Sons. The whole park is pretty big, it can take up to more than 3 hours if you go through all the writings and descriptions. do go after a meal."
Jeju Stone Park - Jeju Snow Park!,"We agreed that visiting the Jeju Stone Park in the snow was one of the most enjoyable experiences we have had in Korea. The stones, sculptures, houses and other artefacts, as well as the lovely walks are beautiful in the snow. It also meant only a few people were visiting, so it was very peaceful and serene. The museum was excellent, very educational, and we really appreciated how the different lava types were displayed as sculptures. They are beautiful, nature’s art!"
A world class cultural park - something different,"It is a museum as well as an ecological park related to stone culture in the lives of Jeju people. It is huge and you are required to walk a lot. It is about 40-45 minutes drive either from Jeju Airport or Seogwipo area. You need 1-2 hours to go around the complex and the museum. Opening hours: 0900-1800 hrs. Closed on first Monday of the month unless it is a holiday. Entry fee: KRW 5,000. It should be a MUST in your itinerary of Jeju Island."
Ready to be stoned?,"The Park is quite a distance away from other major sights but it is different in that the star attraction are those ""grandfather stone sculptures"".Be prepared for lots of walking on easy trails. There are small pebbles everywhere so do watch the kids and carefully navigate those wheelchairs and baby strollers.The underground museum near next to the water reservoir/water sculpture is definitely for those interested in geology. It is a good place to take a break and use the restrooms as there is another set of lavatories near the car park."
A place worth visiting,"The park is big and have many to see, especially for people who don't know the culture of Jeju. It would be also good for family but since it requires lots of walks I wouldn't recommend elder people who can't walk for a long time. The weather of the day we went wasn't quite good, but the drizzle and fog made that place more mysterious which is quite special because we saw different type of scenery from those pictures you can find from the Internet."
Would have been better on a bright sunny day,"We were staying in the Seogwipo area (near the International Convention Center), so it took us about an hour by bus to get to the Stone Park. It was interesting, with some unususal lava formations, but the drizzling rain didn't help in enjoying the scenery. The ""museum"" is OK, but nothing spectacular. When you (if) select a sunny day!"
Great place for photograph ,"One may think that stones and rocks are boring, but not at Jeju Stone Park!It is fascinating to learn about how Jeju is geologically formed and see these amazing sculptures. "
A surprisingly beautiful park,"We travelled using the Jeju City tour bus and stopped here after visiting Jeomul Natural Recreation forest . There were other stops but we did not get down to visit the other places due to time constraints. Initially, we planned to only visit for an hour but the park was surprising large and interesting and we ended up spending over 2 hours here. It was time well spent. We saw lots of stone statues and products in all shapes and sizes. The displays of rocks and rock formations were scattered all over an extensive outdoor park as well as an indoor museum. You need to wear comfortable shoes, wear a hat and apply sun block. Toilets were clean and strategically located around the park and clean drinking water was available in many places. You only need to pay a small entrance fee and it was well worth it. There was even an air-conditioned resting hut with hot/cold water and seats just outside the entrance. In our opinion, we think this is the most interesting stop on the public tour bus circuit. Highly recommended."
A connection with nature,"My husband and I went to the Jeju Stone Park to see the guardian statues (Jeju stone heads) but found the park to be so much more than that. It's a large park (and they are still enlarging it) with an emphasis on nature. The museum and historic buildings are interesting but walking around the grounds was the high point. Rocks in their natural shapes are placed throughout the grounds and if you are quiet and observant, the connection to nature just seeps to your being. We found the place strangely intriguing, calming, and uplifting."
Jeju Stone park with a different taste,"Hi all!, we visited this place on 1 July, 2017. It is indeed a good place. when you are almost fatigued with seeing big big places such as Seopjikoji, Seongsan sunrise peak, you can visit this place while returning to Jeju si. the entrance is really amazing. Lots of tall and large stones will welcome you. We took lots of pictures there. There are different carvings of stones of different types. There is a gallray of stone-made sculptures. We also noticed a nice water reservior type of thing. Really nice place."
Nice walk around,"Nice walk around to see different carvings of stones which we took lots of picture with. Not spectacular, but nice to see. There is a small entrance fee."
Grandpa Stone,"An outdoor gallery of stone sculptures. You can find a lot of Jeju stone icon, as they call it ""Grandpa Stone"". The park is very large, and not many visitors. An interesting place worth visiting ."
Fun for the whole family,"My six (6) year old son's imagination could really run wild here. We had a blast, plan for a 1/2 day. Chicken place across the street for the hungry."
All about stone,Not worth the entrance fee and time spent at the park. Unless you really have no other attraction sites to visit.
"Cold, but awesome","We're her during the off season. This was a great Museum for a cold day- on the inside. The outside was beautiful and would have been great to explore on a warmer day. Loved the lifestyle displays of ancient Korean life (kitchen, agriculture)."
Interesting,"The park covers a vast area. One has to decide how far you wish to explore and watch your time. A map is given at the ticket counter and we did not expect it to be so big. We went according to the numbered stops. The view was spectacular for some parts of the park that we spent so much time on taking pictures. We tried to move quicker however, in the end, we did not even complete Course 1 (there are 3 different routes). It was enjoyable for some walk & laughter. There are scripts on stones to tell you about the legendary story of this stone park. You may decide, whether you want to keep walking and cover the whole park (I am not sure whether this is even possible in a day) or would you just want to have a feel of this peaceful and beautiful park."
Fantastic place to visit,"I got the bus here from Jungmun - a couple of hours in total but it was worth it. Really good value, lots to look at, peaceful place to walk around, beautifully done and looked after. There weren't many other people there so it felt as if I had the place to myself. I had lunch in the restaurant and that was also good. Make sure you take your camera. Hugely recommended."
Jeju Stone Park,We also went to Jeju Stone Park. Easy to find and approach with car. Parking places are available but during peak season the earliy bird .....Entrance fee with 5000 Won for adult and 2000 Won for child. It is a nice walking area with a lot of big and small stones. Dont forget your camera to bring. Inside there is also a huge museum with history of vulcano eruptions and of course with history of Jeju. Mainly in Korean but it it is definetly worth to visit. It is a very nice place and we would come back again.
Loved it,"This was a very relaxing walk, not strenuous and a good place to take lots of pictures. I enjoyed it immensely. "
Special site,"Juju is a volcanic island. From pre-history it's peoples worked the stone. The park concentrates, in a beautiful setting, works from all periods.Free entrance for senior citizens (over 64)"
It's basically a grave yard!,The initial part was fine. There are 3 routes within the park. Route 1 was ok. Route 2 was getting creepier as one approached further into the route. What they didn't tell you is that this is a graveyard from the ancient times and we were walking around the graves. 
Impressive Park,Visited the Park based on TA reviews. Extremely well done with extensive museums and stone displays. Allow at least 3-4 hours for the visit. Enormous work has gone into the development of the Park. Should be in the Top 5 attractions in Jeju outside the beaches.
Replica is the name of the game,"So, one might think that this is a great place to see artifacts or historic pieces, but as far as we saw, everything was a replica. To include the replica lava tube entrances. Sigh. They couldn't even be bothered to completely thatch a straw hut- they had concrete roofs with thatch done at the top and edges. They do have quite the array of carefully placed rocks and replica stone statues, but seeing as how none of it was real (the whole thing was built on the site of a landfill) there are more real things to go do on Jeju. The price is cheap. Spend it looking at the columnar basalt on the beach. At least that is real."
huge park,beautiful park with small huts with various traditional items in. Stone grandfathers are the best bit. Lovely receptionist called us a taxi after our visit.
A must see in Jeju,Nice park and a great way to know about the history of the island.amazing grand sight of the rock formations.Rocks & stones everywhere. Beautiful landscape. There are nice traditional houses in the park.
A pleasant surprise,We didnt expect much from this park but was taken in by the amazing grand sight of the rock formations. There is also an interesting folk tale behind these formations. The scenery was beautiful and there was many small trails to explore within the park.
Beautiful park,"Rocks & stones everywhere. Beautiful landscape. There are nice traditional houses in the park. No need to go to the museum which is quite far in. Just explore the area near the entrance, see the traditional house, go straight to the exit area. Lots aboriginal statues near the exit. Statues are like those found on Easter Island."
Surprisingly amazing,You might think a stone park is boring. But it turns out not quite right a statement. Not too many people visit it. You can enjoy 3 different routes. Very calm area with increadible examples of what the nature can present. 
Rock and rock,"I find it as an average, nothing special ... better to walk around outside the stone park,the surrounding is quite nice with traditional hall nice traditional look toilet (no hot water, water is icey cold) I came last month (early May)"
A must in Jeju!,A must visit in Jeju. Nice park and a great way to know about the history of the island. I joined a tour to visit this place as it is more convenient to travel privately than the public transport.
Too many great stones,"Definitely a lot of stones on this island! Discovered and are displayed and arranged beautifully. Thanks to Korean holiday week, our visit was free of charge."
"Quiet stone exhibition, all about stones!","This is a big area in the outskirts of Jeju city, need to car to get there. There are many stone formations around the park and there is story of an old grandmother who had 500 kids and was finally cooked in the porridge and the kids ate her as they didnt know. There is a nice stone museum that explains how rock formation on Jeju is formed and all about volcanic activities and some weird looking rocks. Educational place for kids!"
A unique mystical place,"This is a strange wonderful mystical place. A work of art on a grand scale, a hommage to the volcanic, mineral nature of this island, and also to its ancient gods. "
Statues galore,Great place to visit on Jeju. We loved the path 2 at the village part. But actually all of it was amazing. 
