review_title,review_body
Lovely historic village to stroll around,"Fascinating village, lovely homes, very interesting place. Enjoyed our visit visit. Allow about half hour"
It's not too much impressive,I love its ancient. But it's difficult to find rightway and information about that folk village. It doesnt have exactly guide to explore this place
Its a scam,"Visited this place as part of a tour package. Its horrible. Phototaking opportunities are limited. The guide there spent 10mins running through various aspects of the village and the other 30mins hard-selling their honey, horse oil and supplements. Horrible experience and an utter waste of time."
Old-fashioned village,"Other than photos takings, nothing much. There are health liquids/supplement for sale but we didn't buy any."
Full day tour,Part of the full day tour Well worth the visit.Interesting to see how life was many centuries ago and how tough life would have been.
Educational visit,"It’s the filming location for a very famous Korean drama. We got a very knowledgeable volunteer guide who bought us around and explained to us the history of the area. Yes, I admit it is small and villages like this are dotted throughout Korea, but seeing as it is free, it’s worth a short trip to take in the sights. They also see some local products which the missus or the elderly may like."
Nice but...,Nice but nothing special. You will find these places all over the country. You can just have a look at the buildings and thats it.
Very disappointed with fake honey. DON'T EVER BUY!! A lot of ants around.,Lady in charge told us that their honey is pure and doesn't attract ants. We were so convinced and bought two boxes home ($40 each). Now we regret because there are many ants around our honey in the kitchen. And they're insured by Samsung. Truly. Very disappointed. 
Traditional Village Homes,"It was just an OK place to visit as it was part of our Tour Package. The old fashioned village homes were probably the only thing which was interesting to me. The lady who explained everything to us was very warm and friendly. Of course, at the end of the tour, you are brought to a 'special room' to view the products which they sell. I bought a bottle of Omija (Berry) Drink which was actually quite nice. I think I paid $50 (as expensive as it was, I just thought it would support their livelihood). She did not force us to buy the products but was very kind to let us try them all."
Disappointing,"We came here thinking it was the jeju folk village but it was not. A lady came to us. She cannot speak English, then she showed us very quickly around pointing this and that. Took us to a room then hardsell some herbal tea. Very expensive, we did not want but she was not going to let us leave as we were the only tourists there. We paid $50 for a bottle of so call cranberry juice....so be forewarn! There is no price list. We thought she was a staff cos no signages at all. We did not see any ticket booth. This was by far a bad experience. Felt cheated. We did not want to look around anymore so we left. "
Korean Folk Village,This was part of our Yeha bus tour - East Course - that gives you an opportunity to see an old fashioned village showing homes built of thatch roofs and lava rock. There is a couple that still lives there and explains their way of life and the way things were on Jeju. We also got to try a tea that apparently tastes differently to people depending on what they have going on in their bodies. I really enjoyed listening to them and learning about their culture.
A glimpse of Jeju tradition,"This folk village which has a collection of 600 years old thatched roof houses built using the volcanic basalt rocks and passed on from one generation to another, showcases the unique culture of Jeju Island. The stone statue of Harubang called the grandfather of Jeju and worshipped as the protector of this island can be seen in front of almost all the huts.This village is still inhabited by the locals and one can see them practicing their traditional rituals including rearing of the Black Pigs.By the way ,Jeju is famous for its Black Pork dishes.There are also sites for holding special rituals like praying God for good luck and health, place where breast feeding women pray for lack of milk etc.Our Guide cum Driver Mr Kim Nam Joon (+82-10-4616-6650) not only took us around the village but also ensured we had a good time."
Little to see,Not sure if it was because we were there during winter but the tour was really short and not much to see. 
An insight into the life of Diver Women,"An interesting showcase into the folk customs of people who place men on pedestals and where women does most of the chores, while being trained to dive deep into the surrounding waters to harvest seafood for a living. "
Super seongeup,When you go to a country you haven’t been before its nice to find out what it used to be like especially if it’s changed. This is the perfect place to go and look how it was. It’s busy but large so you don’t feel the many people.
Seongeup folk village,"Traditional Jeju folk village , heritage of timeless Jeju people living special roof architure . Famous Korea film drama site . Worthwhile to travel back to old times"
"BCT-Touristik
Visiting Espescially Your Coffee Shop",How Nice to see A Person That is Reading some Stuff in Such alonly Area Like the Village On This CLOUDS Lights Day.... So You Show me Your Fingers so small and Little... I Should Know... You doesnt Speak.... Spock at the Moment... But Your mean ins Not embarearsing But A Little Bit Sad....so I Send on you Nice Picture to wish A Better Day.. To Your Coffee Shop
Stage for pushing overpriced products ,"Against the warnings we ended up in this village after visiting the Kim Younggap Gallery (highly recommended) and getting bored of waiting for the right bus. This ""village"" is not much more than some normal village with a few thatched roofs, interiors setup purely for presenting products. We sneaked in and out after a few snaps (luckily it was only 2 of us) only to have a woman literally running after us with a small 25000 krw box of blueberry pills. Avoid it, especially with a group or day trip! "
Well executed,Seongeup Folk Village - As a rule of thumb I actually advise people to go and explore the world outside.
Great Look at Korean History,"Spend a couple hours here walking through the village and seeing traditional Korean way of life. There isn’t much interaction with anything outside of the performance they have, which is 2-3 times a day and with the vendors. They do offer horse back riding here and you can also have photos taken in a hanbok. "
Small folk village,This is a small folk village and limited information. The local man was lovely but there is not much to see
A ‘real’ folk village,"This is a real village with households living inside, opposite from folk villages built in museums. In fact, the people live there are mainly the haenyeo (women divers) - there is a museum for them in the east coast of Jeju. There is no entrance fee, so the village depends on the sale of souvenirs, basically the blueberries fermented drink and the organic skin creams. A volunteer will assist you to walk around the town, which is very helpful. A site note is that it is often used as a movie set, for example for the movie entitled Dae Jang Gum. "
Historic tour,"The filming location of a period Korean drama series, this place is reputed a well preserved village with part of the original city walls, official houses and commoners houses still intact. Several families still live here to maintain the place. Worth the trip if you are into this kind of things. "
Folk village exploration ,A place where you can visit to see traditional houses. The park is pretty big and takes 2 hrs to complete walking around. It’s quite informative if u are interested in folk culture.
A traditional village with modern technology,"It is one of the few villages that still exist on Jeju with complete retention of the traditional houses. The villagers still live in these houses but with modernized technology. They no longer uses the open air toilets, rearing black pigs and using electricity for lights, television and wifi. This is also the village that Dae Chang Guem were filmed in the early 2000s. Interesting to walk in the village as if we have travelled the time back in the past."
Interesting village,"People still live here! There was no admission fee. We drove right in and walked around. Obviously, the biggest thing is the roofs which are replaced every year. You still have the stone walls and the entry gate. We saw several people who still live here but didn’t interact with any of them. The village was a convenient stop on our way back from the eastern side of the island. I wouldn’t make a special trip to see it but it’s certainly worth 20-30 minutes if it’s on your way."
Surprised by the mixed reviews,"I went with the Yeha Bus Tour so my experience may have been better than if I had simply driven there. I found the tour informative. It's not a reproduction it dates back over a hundred years, homes having passed down from generation to generation. A few have been kept original for tourist. Most of the homes continue to evolve and have electricity and modern comforts. People live there and largely ignore the tourist."
Not really my thing - but some people might find it interesting,"The Seongeup Folk Village was a walled-in village in the southeast of the island where stone homes showed the construction, culture and lifestyle of the island’s people long ago.Obviously, Jeju wants to maintain some type of historical reference to the old lifestyle. Our tour guide made it interesting by talking about some practical aspects of the design of the huts (how it was heated, how it was built, etc), but this just wasn't my thing. In fact, several families that help with the upkeep of the huts actually live in other huts in the community. That said, those huts have modern adjustments like windows, electric power, etc so even they have moved beyond the ""old ways"". The village had a few shops and a restroom and outside the village was a convenience store with drinks available and another restroom. For me, the bottom line was - I would have preferred to spend the time at a natural landmark (waterfall, cave, hiking trail, etc) instead of doing this, but it was part of an all day tour. There are simply too many other options to see in Jeju for this to make it to the top of the list, unless it is your ""thing""."
Artificial ,Not a real village and no real people living it is a copy made for tourists it did not impress us withe the way Korean villagers are living
"If you’re on a cruise, before you book the excursion...","We were cruising the Far East and stopped at Jeju. The cheapest excursion was $120 per person. $240 for the two of us. Instead we walked around Jeju a little then hailed a cab. He took us all over the island doing all the same things for $100. Personal service. Stayed. As long as we wanted. Left when we were ready. One of the many ways weve seen the world much cheaper than most. 73 countries and territories so far. The village is interesting. 100 huts. Some occupied. And a black pig. A guy will tell you about a tea they sell that if it tastes salty or sweet will diagnose your ailments. We passed. Not sure how many people read my reviews. If you hit “helpful”, I’ll get an email and they always encourage me to write more :)"
Large village showing life in Korea in prior years.,"We book a tour on line from the cruise ship before we arrived at the port. The tour included a visit to Seongeup Folk Village. There was an admission fee to the village. There are several walkways around the village. The walkways are well maintained and there are no steps to climb. There are exhibits our old building, farming and animals. There are clean restrooms along the walkways."
interesting ,we were shown how.peopel live in the past in.jejuwe were in a small one owned by a couple who lives there it's nice to.undwrtand I would go
A big village for full visit,"This place is big and we didn’t go through each inch of this place as both of us felt tired when came to this place. If you have time and the leg can support the walk, a good place to spend time with."
Loving the Folks,"Our visit to this village was an amazing experience! We learned a lot about the history Jeju, specifically their culture and traditions. Jeju is known for its black pig pork and we were given the chance to see one at the backyard of one the old house in the village. Plus our hosts were very entertaining and discuss to us the unique heritage of Jeju. The traditional role of husband and wife, music played, beliefs, practices and their livelihood. Moreover, we were lucky because the house we visited was the location of the famous Jewel in the Palace. We were amazed with their stone structures. We took photos in almost every corner of the village. Everything there was just amazingly beautiful. The old houses, tress, the souvenirs stores being in house in the traditional homes, the government offices, the pavement, etc, everything was mesmerizing. The people are very kind, approachable and welcoming."
We use waze to drive here ,"First we were ushered by a kind lady to her village and gave us a free guided tour to the small village , we used the restroom , finally she introduced us some of the products she sell to us like jeju honey , horse cream oil . But the real Seonguep village was behind this lady village which was bigger than hers and where the korea drama ""Daejungum ""was filmed . "
Interesting place,"It's really quite when we visit this place... Nobody around there except us, there's also no employers so we just take around the village by ourself... Maybe it's not too famous for foreigners, but because nobody around we can take a really good picture without being disturbed lor... Wkwkwkwkw... "
Unique place,"We visited Seongeup Folk Villagein end Jan 2018, it’s snowing during our visit. There is a lady tour guide that speak English assign to us. She did it well and we enjoy the visit. The building in village are unique. We were there on the good timing where snows make the area really beautiful. You also can buy some of the products they sell over there, anyway is optional."
A little too short of time!,"I believe this place can be so much fun then how we experienced it. We were there quite late, hence the volunteers (as the tour guides) were in an extreme rush to go home. Totally understandable. However they were still nice enough to show us around. Interesting historical facts about the Koreans in Jeju-do and their houses. They promoted horse face cream towards the end of the tour. Apparently the appropriate time to visit this place is between 11 am - 1 pm or definitely way BEFORE 4.30 pm."
Dissapointed,This place looks kind of deserted and some of the area are dirty and poorly maintained. There are also not enough signage or information around this area. One can skip it since there are many other places of interest to visit around Jeju.
Family vacation,Visited this place during our family vacation. This place tell u the stories and life of the Korean in the early days. Good experienced and informative. 
Authentic Village,"If you are looking for a culture house of Korea. You can get here. I went to this small village on 25th Dec 2017. Not expecting much. This village sell many product from Omija Tea, Horse Bone Extract, and Real Honey from Bees' Farm. And this place were used for shooting ""Daejanggeum"". Even the sales here used to be extra cast on that series."
Living village ,"Instead of paying and going to the Folk Village, our guide suggested we go to the Seongeup Folk Village where it is a real living village. It was nice to see the black pigs in their Sty and how the people live in the past.Educational:) "
History of Jeju in one place,"If you are interested in the history then this is a place for you. Although, I enjoyed my kids found it very boring. "
Don’t waste your time,"The village was deserted. The air smelt stale. No one explained the history or architecture of the houses. In short, it was just a waste of time.Visit in Yongin Korean Folk Village instead. You will have a much better appreciation of korean culture over there. "
Interesting,"Always you can see from Korean drama movies of their house. Now you can see from your eyes. How the house split in few session. Such as, toilet and bath area. Quite interesting. Do not miss it.. must go and visit."
Tourist trap,"Beware for this is one of the tourist traps that you have to watch out for. First they will say that entrance fee is free of charge, then they will show you their tradition houses (which is okay, no offense) but at the end of the tour, they will bring you into a room and give you sample of the products that they sell in outrageous prices. Omija tea, horse oil lotion, and the list goes on. It was good that they didn't insist that we buy, we just said that we don't need them as we have already bought what we need."
Disappointing experience ,I took my parents in law to Korea and visited Jeju to show unique Korean folk village and the culture. The village was just full of tricky business people selling products. I would not recommend this place to anyone! 
Rather sad and dilapidated,"This was a big disappointment. We'd read that it was a real functioning village, but it was mostly deserted, the houses falling down and no sign of any residents. The buildings are picturesque enough but overall it had a rather sad, melancholy feel. We only spent half an hour there and regretted the long bus journeys entailed."
Come with tour guide ,"Came here by tour, would only recommend if someone is explaining the history of the village to you. The price of the products they sell maybe slightly overpriced so so take note."
Avoid it if possible,"We were driving along and happened to pass by the Folk Village. We completed this attraction in 5 mins, because we were not really keen in the fake traditional village. Unless you are with a tour group, there are no guided tour here. "
The antique village,"Yes, you can have chance to see the Korean old houses. However, there is nothing much for you to visit. No tourist information or any other services around. We take a long bus to reach there and go back in 10 minutes then. "
Traditional Korea on Show.,"Spent about 3 hours here one afternoon and was very happy with the overall visit. A full display of buildings, traditional way of life, farm areas, gardens and other typical tourist information, shops and food areas give the whole village a unique attraction for everyone. A little pricey in the shops, but as you walk through the areas you get a real sense of tranquility with the how things were. Very enjoyable and if you are there - make sure you visit."
