review_title,review_body
An evening out...,Great neighborhood for an evening out and when you feel you’d like a drink and meeting a place where locals and foreigners mix at ease.Many bars to chose from and generally an easy going atmosphere. Worth a visit!
Cool Neighborhood,"Great area, lots of activity and great walking streets. Lots of food options. Safe and clean as is typical in Seoul."
i love the location! very convinient,many Muslims food. awesome! the subway are so closed to my hotel I stayed. Hamilton Hotel. The people are so friendly.
So nice street,"It's a a very nice please and its shops and restaurant with cafeYou can spend 5 , 6 hoursAnd you can buy to many thing"
Good Old ....Itaewon !?!?,"Perhaps it just me. Perhaps today was a Debbie downer in the area. Perhaps the day of the week wasn't right. Perhaps the coin showed Heads instead of tails. Or ... really... perhaps gentrification is starting to set in. It appears to be more of the last one. Went to Itaewon for the first time in 18mths today, and whilst its still a great place, I felt something was a little off about it. Refurbishment is starting to happen, there appear to be more empty shops, Bigger name franchises seem to be occupying more shop space, and with the move of USFK Headquarters to Pyongtaek, the foreign pedestrian traffic has significantly dropped. I understand that the Seoul Metropolitan government has goals for the area. Hopefully they have a positive impact on the area as Itaewon is a great place to go. I guess we will have to wait and see."
Hopping area of Seoul!,"Had never had a chance to visit Itaewon until recent visit to Seoul. Packed with shops, restaurants, pubs, and massage, this seems to be the energy center of Seoul. Fun place to walk around, enjoy a drink and watch people!"
3 night stay in Itaewon,"I have worked in South Korea for 10 years and visited Seoul and in particular Itaewon on a few occasions, for relaxing, shopping, food and nightlife. Each time has been a great experience across the board, however these past few days the experience was much less so.Hotel: Seoul was very busy last week due to events at the olympic stadium and also some sort of demonstrations so most hotels were heavily booked out, so booking as late as I did left little options in the Itaewon area.I chose the Hannam 67 Hotel which is about 1km walk from the Hamilton Hotel. Location was ok, but the hotel was extremely over priced and was pretty much a Korean style ""love hotel"" which are usually ok for a night or 2 but normally run from 60,000kwn to 80,000kwn. This hotel was charging 150,000kwn/night.Room was barely ok, very small, clean but very noisy in the mornings. Bath towels were many years old and had extra large holes in them. I would not stay there again unless no other options.Taxis around Itaewon and Lotte World & Myeongdong areas:Due to so many people in town the taxi drivers were for the most part extremely rude and tried to hold me to ransom on numerous occassions by refusing to use the meter and trying to charge 30,000kwn up front for a 6,000kwn fare! Yet if you walked to an area away from a taxi stand and where there were no people you got the taxi for the correct fare on the meter.Some very greedy taxi drivers around town these days!Business owners would refuse to assist me to try to call taxis even when I offered them my Korean ph to make the call for me.The local Kakao taxi call service was useless if the trip was too short for them to bother.All in all this experience was not what I had come across before. I certainly hope that this type of thing doesn't continue to get worse. Economy is down, businesses are closing and greedy people trying to rip of expats who local economy.I will not be going to to Itaewon, Lotte World or Myeongdong areas again.Disappointed to say the least."
Great place,"Lots to do, walk the streets and window shop. Then find a quaint place and cool off with a drink and some food. We walked up a small hill and found the Thirsty Monk. Reasonable prices, good service, food and drinks! Excellent view of street below!"
"A strip of bars, but a good standard of bars","I was quite impressed with this neighbourhood because it had all the makings of a seedy area, but it was lit as far as I could tell. Good bars, high end restaurants, safe atmosphere - yeah, well worth a pub crawl down here again! "
Muslim friendly,"Itaewon has many halal restaurants and foods... not far from itaewon subway station, you can see line cafe & store. Cute place and many photo spots in here. You should go!"
Suites from Benjamin since 2001,"I have bought shirts, suites, jackets, coats etc from Mercury Tailer since 2001. Can give highest recommendation. Geir Bjørkeli "
Live all day,"The area is almost always awake. In the morning you can go shopping and at night you can enjoy one of the many available bars, clubs, and restaurants in the area. It was interesting to see almost everyone communicating in English here."
Fun to be,"Itaewon is a great area fo meet a lot of foreigner in Seoul. You can party everywhere and eat food from around the world. But its not the ""Seoul"" you wanna visit for culture haha"
Eating place of Seoul ,This place offers a variety of places to eat from with different cuisines. The streets at night are vibey and with a lot more variety of ethnicity which I loved because my home town I see different kinds of people and after 1 week of seeing one kind of race it was REALLY so nice to see other kinds of ethnicities I’m used to seeing daily. Food was great here and with variety 
Energetic and alive night life area,"Bars and good music, I was there with a business friend to have a beer and we found this area great for young night life with bars and restaurant. If you want to feel Seoul young night life you must go there. Surly I’ll return."
Holiday ,"We visited this place at night. This area is for the young. Bars, clubs, restaurants,Karaoke and dance venues. The music is deafening and the crowds of young people in the back alleys are beyond belief. Not much different to other cities of the world to areas that attract young people. Go to observe if you are a bit long in the tooth or partake if you are young. "
Unremarkable.,"Itaewon does have lively nightlife going for it, but it's not really distinguishable from any other western downtown. The food is fine, and pricey and underwhelming compared other parts of Seoul. During the day, it's fairly slow and skippable. Go if you want to get wasted, wade through shifty people and party late, but don't expect cultural fulfillment or a unique experience."
Take the back alleys,The best restaurants and pubs are in the back alleys behind the Hamilton hotel. Our favorite was a seafood restaurant named Boiling Shrimp Crab on the third floor. Excellent cajun style seafood.
Fly for the Big Guy,"Itaewon has some great eats and would be the most popular place with foreigners. A massive US Military base is there so this is one of the only places to go in Korea for a big guy in search of clothes that fit. (T-Shirts, Tank Tops, Jeans etc.) There are a lot of bars and clubs and the seedier side of life is prevalent here. Not Somewhere for a first timer young lady foreigner on her own to go (unless you are into that). Some situations left my wife feeling a bit uncomfortable however we still had a great time here and did some good shopping."
Itaewon - Multi nationalism in Seoul,"Itaewon is known for serving cuisine that are not widely available in Korea, such as those from India, Pakistan, Turkey, Southeast Asia, Britain, Germany, Italy, France, Portugal, Spain and Mexico. It's known as ""Western Town,"" reminiscent of cowboy towns in Western nations."
Muslim Centre Of Seoul,They have a Mosque and muslim centre there. A lot of muslim and halal food. Its very convenient for those who choose to know about Korean Muslim culture.
I think it was better...,"...back in the day. That day would be when it was mostly a destination for American GIs. I guess Itaewon is now kind of an international area with lots overpriced foreign restaurants. Seems to have a large Middle Eastern presence. I walked around a bit reminiscing about the good ole days when I was a young GI back in 80s. Now, I don’t fit. I think young expatriates like it here, and there are some name brand stores that peaked my interest. "
International food galore!,It's an international food galore! Its a very hilly area to stroll but really worth the climb. Lots of halal restaurant too. Nice experience overall.
Mosque and halal food,"I went to Itaewon because many Malaysian travellers recommended this place for the mosque and halal food and because I wanted to try Plant Cafe. The mosque was great - it's located uphill and you can get a view of Seoul from there. However, Itaewon feels and look tacky. Definitely not the best part of Seoul. Not worth visiting again in future, except if I want to eat at Plant Cafe again."
"An area with less judgement, more international and the fun is a plus","This is the only area in Korea that the crow are less judgemental towards different race, sexual orientation, or religion. The area attracts all sort of different locals, tourists and expat crowd."
Strolling around,Was told this place has good bargains... yes I agree but mostly clothing. Timberland along the main road though is worth visiting for their sale items and maybe a few local restaurants.. you need a translator to enjoy because only a few speak English.
이태원으로,"There is one famous town named ‘Itaewon’ in the center of Seoul, the capital city of South Korea. This time, I want to recommend one Kebab restaurant in front of Itaewon station. The name of restaurant was ‘Ankara’. So I firstly thought that the capital city of Turkey is Ankara not Istanbul. Anyway the price of Kebab is a bit expensive but I don’t give anyting about the price. Just the taste of it. It tastes really good and It fitted to me. It is a bit spicy and a bit creamy and the lamb.이태원은 내가 가장 좋아하는 서울의 핫플레이스중 하나이다. 필자는 이태원에 가면 항상 들리는 곳이 있는데 그 곳중 하나는 바로 케밥을 파는 가게이다. 이태원 역을 나오면 역 앞에 있는 카페 바로 맞은 편에 자그맣게 차려져 있는 케밥가게를 볼 수가 있다. 가격은 대게 6000원에서 7000원 정도. 이정도 가격이면 내가 자주가는 순대국집에서 맛있는 순대국 한 그릇 정도 먹을 수 있는 가격이지만 그 정도는 개의치 않는다. 케밥을 먹을 수 있다면 말이지."
Good area for craft beer,"We visited Itaewon to drink Korean craft beer. We went to Booth and Magpie, both were great. An interesting part of the city."
put it on your visit list,"this street along with the area around it is almost international place in Seoul. plenty of small shops for clothes Korean souvenirs that you can buy ( insure to negotiate about the price). also a lot of restaurants are there especially Arabian, Turkish restaurants. also, I found 2 Arabian groceries for those whom want to buy Arabian meals or products. I would recommend to visit during day time until 8 PM. for families, avoid the area behind the Main Street at night since a lot of bar and adult places are there."
Still the international street,"This was the street beloved by US military personnel and their families. Now, most of them have moved to Pyeongtaek and this street is much less crowded. But, still many foreign residents visit here and there are various international shops and restaurants.It's good to visit and have fun at least once.- Most foreign restaurants are too expensive. 15,000 ~ 30,000 won per person normally. I recommend some affordable lunch menus.- Both of Korean and English are available in most places.- Since there's the only mosque in Seoul, it's easy to see Muslims or halal restaurants.- There are many young Korean foodies too.- Very crowded during Itaewon Global Festival in October.- Close to Gyeongnidangil Street(경리단길) or Haebangchon Village(해방촌) that are also popular areas.- There are some romantic rooftop pubs.- Also well-known for super size clothes or military merchandises."
Food Fest,I’m not sure if the food stalls is a staple here but it was an awesome atmosphere. Lots of people with great food. The aroma will surely make you hungry 
It’s ~~ okay,"So I am a Brit who lives in Korea and have been to Itaewon twice. As a place to go shopping it’s great, particularly if you’re a foreigner as they have many shops that cater to taller/larger people and have lots of souvenir shops. It’s so hard to find postcards in Korea but there are tonnes in Itaewon. Also you will almost always find Korean people that speak English here.If you have a couple of hours to kill it’s great. And if you’ve been in Korea long and you want to see lots of foreigners for a change go there.The down side is other than shopping, eating and drinking there’s not really that much to do so if you’re spending more than two hours there it can be a little boring. It’s great for finding foreign cuisines that otherwise you would struggle to find outside of Itaewon and great for the nightlife (if you’re into that).But it’s usually very crowded and when you have lived in Korea for a long time, it can be overwhelming.In general it’s great for shopping and souvenirs, and having a good night out."
Subhanallah,"I prayed at Friday Shalat October 5 yesterday. Even though rainy days, jamaah fill the mosque. Imam’s say about Al Ikhlas surah. It’s touching my heart. Subhanallah. Thank you for sympathy for the earthquake in Lombok and Palu, Indonesia"
Not what it was,Used to have great shopping from numerous small shops selling everything. Now some shops but nothing special. A fair amount of bars and restaurants with great selection of food and drink. We did not feel it was worth the effort to visit but did have a great lunch.
Best Cheese Pizza Ever,Popularly known as expat area. You can find variety of shops and restaurants serving cuisines from all around the world. Vibrant nightlife. Local Korean brands shopping. It was difficult to get a taxi back to hotel on Saturday night.For cheese pizza lovers i highly recommend to visit Pizza Revolution.
It's all about the partying!,I'm not into Itaewon a lot because it's mostly for people who love to party. This is where pub crawls usually happens and the like. One thing I like tho is that this place is near the War Museum of Korea. I should explore this place a lot more when I come back. ;)
"While it has plenty of bars opened at night, halal food are easy to find too","This area has more foreigners than other part of Seoul does. Many are selling halal food such us Middle Eastern, Indonesian, or Malay food, but there is also one or two restaurant selling halal Korean food (I recommend you going to Eid for halal bulgogi). There are also some halal stores selling halal food but don't expect them to be Korean brand - they are all imported so the price may be higher. Basically Itaewon is good for muslim who are living in Seoul but still needs to perform halal living while nonmuslim can spend night out at bars and restaurants. For tourism, the only thing I can recommend is halal Korean restaurant and the great mosque (even it's not really nice place to visit)"
city under the night sun,"i liked the sleepless nights there..24 hour walking street, so free of people all around the world. if you want a place that really want to feel at home and people friendly around,find it here"
A true mix of locals and internationals,"This is probably the only area in Korea that is truly international and also friendly towards all sorts of people. Locals and internationals, straight and LGBT people get along. The area has a variety of food nightlife scene. A must go on the weekends!"
Foreigner Central,"The locals call Itaewon ""foreigner central"". You can experience the whole world in this one area. Nightlife here is often considered the best in Korea, but also the most rough. "
VERY CLEAN!,I absolutely loved walking the streets here. They were so clean and everyone was so welcoming. We walked during the morning and the night time. The streets are lined with great establishments and eateries.
"A place to get western things, enjoy western dining","Good shops for getting what you miss from back home - wherever back home may be. Grocery stores, size appropriate clothing shops, restaurants, night clubs. "
Not much happening when we were there ,"First visited 2 years ago with friends and saw different parts in the evening. There are many interesting shops and once we had some beer at an independent brewery and another time we had ice cream in a Turkish cafe. This time when we returned at midday it seemed quiet and lifeless. I liked the greetings in different languages on the pavements but there wasn't much else to enjoy. Perhaps best visiting at night for a lively vibe but Hongdae, Insadong and Myeongdong might be more interesting."
International,"People of different nationality coming together, to live, to make a living or just visiting. More international restaurant here then Korean. Be prepared to walking along sloppy roads. Image in the day and night is huge."
Lots of bars and restaurants. Very lively area,"Party area of Seoul. Long road of bars and restaurants. Busy. Lively. Bright lights. A place for locals, tourists and off duty US soldiers to have some food and drink. Good place to go for some night life"
Good for clubbing and nightlife,"Itaewon is good for clubbing,nightlife and shopping. Foreign mart is there where you can buy grocery items which you will not find anywhere else. Also can do shopping roadside shops."
Worth visit!,"Itaewon is a great place to visit, especially for muslim family, as Mosque and halal restaurant is all around there. Recommended"
