review_title,review_body
The good: Cheap. The bad: Cheap,"The staff are just delightful. After pointedly ignoring you at the mysteriously named ""service"" desk, they cna't ignore you any longer, and you get a withering glare, the kind of glare that lets you know that they see right through you, and know your exact type, the type of bumpkin low-life foreigner who is defiling their country, corrupting their youth, stuffing up the economy and is the exact reason why Ittaewon is no longer as great as it once was. Its people like YOU who should go back to whichever ""Western"" country you spawned in. People like YOU, who may stay the night, only on condition you are heading to the airport in the morning. People like YOU, the exact reason why our business is going so badly.And don't even think of stealing anything, cos we got our eyes on you, ttongsaeng. Oh, we know. We know you are here because you are low on cash. Its your exact type who would steal. We are watching you, kiddo. And don't. Jump. The. Queue. We have a system and newbies in this country are messing with the harmony. We will attend to you once we finish arguing with these middle-easterners about why we cannot give them a discount from Agoda, basically because we are sick and tired and don't like the look of them. We have a system, and you must follow it, so wait your turn like the rest!Once you survive the ""service"" desk, the standard dungeon baths and free earbuds made out of twigs and recycled Chinese toilet paper follow. You leave feeling quite refreshed after the initial ordeal, and the lamian-making ajjuma on the upper levels is much nicer. She was fat and round and delightful and has the face of someone who had a hard life and a soft heart, and she wished me a delicious meal. She was lovely.After slurping down your lamian from a badly-panelbeaten Chosun-dynasty aluminium bowl in the cool gloom, you explore the actual facilities available. Most are out of order. What is encouraging to see is that the interior appears to have at least been refurbished several times since the Japanese left Korea (the early 20th century, to be clear...not the time before that), and it seems that the last update was done some time in the early or mid 90s.You find there is nothing to really do, you give up and decide its time to sleep. From the enormous pile of neck rests, made from a mixture of what seems to be pulverized concrete and antique fake vinyl that was originally pretending to be fake leather, you pick one that feels that at probably won't slide around too much from its oiliness.Oiliness.A thought occurs. I wonder if...Its too late, and you have already raised the neck-rest to your nose, and take a whiff. An incredible aroma, a new smell you have dreamed of, but in nightmares smashes through your brain. Your senses light up from a truly unique smell, the smell of history, the combined hair-smell of half a century of Itaewon Land patrons. And, oh, why, oh why did I wonder if...?You rationalize that if you don't use a neck-rest, you will wake up with an even worse headache than the normal headache you get from these useless Jimjilbang neck-rests. And anyway, as terrible as it is, it will wash away in the dungeons in the morning.My advice is to suffer the worse jimjilbang headache sans Superfund-site-neck-rest and save yourself some trauma. Because trauma heals only with time, and you will smell that amazing smell in your mind and nostrils for the weeks to come. And when you write your review on Trip Advisor, that smell will return to the front of your mind with extremely high resolution. Trust me, a headache is but a minor pain; hair-smell is everlasting.Dragging your fetid neck-rest out at arms-length, you find it depressingly easy to find a position to sleep in, as the cavernous sleeping area is devoid of human life, and you are reminded that the universe is big and that you are very, very much alone. In Ittaewon Land, no-one can hear you scream: After a heated argument amongst themselves, the Middle-Easterners took Trip Advisor's sage advice and have already taken a taxi to the much friendlier and hygienic Silloam Bulgama Sauna, on the west side of town.I highly suggest this as a place to go if you are low on cash and are really needing to find a place to sleep pronto, and happen to find yourself in Ittaewon at 11PM wondering what to do next. Preferably solo, because friends don't let friends stay at crappy jimjjilbangs. Unless you are with a friend and both low on cash and luck, and its not that close of a friend, then it is cool. You can always make a new, better friend at some other point in life, no?In the morning, the staff are a lot more cheerful, probably because you are on your way, and like most customers, will probably never show your face there again.In such a big, and generally quite hygienic and (kind of) friendly country as Korea, Ittaewon Land is quite a special experience."
Typical humble Jjimjilbang. Don't expect much.,"This is a good place to experience Jjimjilbang culture for the first time.The price isn't that high and humble.- The building is locating on a hill after many steps.- The reception was kind to us.- The facility is old and rusty. But, maintained well.- Even though Itaewon is an area with many foreigners, we have seen many locals during weekday evening.- We had a discount coupon from social web market and it was quite affordable after discount.- They have basic things for jjimjilbang. A snack bar, a massage room, a sleeping room, a common hall, various egloos, hot baths, etc."
old but perfect,"surpricingly fast ad super serviceminded staff, everyone could communicate in english and every time I went into a new room someone was waiting for me to guide me further on. I almost had it all to myself (11pm-2am) and the massage was perfect. Lots of different activities and saunas, great food and very authentic. Everything was worn and old, but worked perfectly and had personality to it. I recommend. even the staff was all about 60+"
Traditional Korean spa and massage place,It is a extremely traditional Korea Spa and massage place. Kinda like those traditional Onsen in Japan. However given the location it feels a little odd to have a facility like this at the busy foreigners hang on area. The oil massage was done by a matured lady but it was actually quite good. Despite I won't say it is cheap and maybe can find better valued alternatives nearby. 
Staff are mean!!,"I had a card that said ""lifetime membership"" that gives me discounts to this place as well as the services within. The man at the counter just took it from me without explaining anything and when I asked he said, ""it's finished."" I said but it says lifetime and it doesn't have an expiration date. He said, "" it's finished because I said it's finished."" Then at the restaurant, they have menus up that you're not able to order from anymore, apparently. But when u ask about it the grouchy lady will just cut u off mid sentence and say, we don't have it. Then when I asked, is it just that item or the entire menu, she walked away. LOLThis isn't a language barrier btw, I'm Korean-American and I do speak semi-fluently. The pic below is a lie... "
Run down bath house,"First of all: Korean bath houses have gone a long way from the communities only place to have a shower to today's spa temples they often are. Unfortunately, the Itaewon Land got lost somewhere along the way.The admission is 10.000 Won, but that only includes bathing and a pretty small and simple sauna with a steam room and a dry sauna at about 60°C. If you're looking for a Finnish sauna, you won't find it here.The pools we're poor and far away from state of the art, the water wasn't clean.The staff was unfriendly and would only help if you insist.The food is basic and expensive.Even if you are a foreigner, there are many other bath houses you can go to. There's no need to go to Itaewon Land unless you don't know how to ride a subway."
Hôtel Itaewon Land à Seoul,Itaewon Land is a hotel AND a spa. Women and Men are separated. You can find 5 different waterpools (not for smimming). The hotel is extremely clean. And has 24hozrs Restaurant service.
Basic sauna and spa,"Itaewon land holds an imposing position above the thriving nightlife of Itaewon.It's been a bit run down and there are cracks int the tiles indicating it's past it's glory days. But on the other hand it's six bucks for a shower and sauna and for that well,you can't be too fussy. It fitted the purpose so I can say I was satisfied. Further up the hill you can pay 50 bucks to use the Hyatt spa. It's a totally upmarket experience but the result is probably not that far apart physically. So if you want a shower spa and sauna without frills Itaewonland is worth remembering Itaewonland."
Easy to find Halal food here,"The Seoul sentral mosque is located in this area, which means many halal food restaurants here. Indian food, Arabian food, Korean food, and others. Most of them are affordable. I remember when I visited Korea in 2010, almost every night I went to Itaewon just to have halal food for dinner. I have not explore the area yet, just visit the Masjid and halal restaurants here. "
Hostel meets Jimjimbang,This place is excellent and cheap if you're looking for both a private room and a shared Korean bathhouse experience. I like to stay here when I visit Seoul city as the location is excellent.
