review_title,review_body
Joel,Good for small children. The rides for adults andolder children were really long. Also some of the rides for small children require extra payment. The entrance fee is high enough it should cover all rides.
One Mount Water Park,"Water attractions are nice. However, they accept people much above the center capacity. Therefore, for each attraction it is necessary to wait quite long time in queues. It is not worth to go there under such conditions."
"Snowpark, slide","As people who are coming from tropical country, visiting this snowpark is just like entering a new world. In this snowpark, we can experience the activities that can only be done in winter time. To reach this place, just go to Juyeop Station and take bus 080 from Muncheon Village bus stop (the bus stop is in the middle of the road). "
Refresh your heat during Summer in Korea,"OneMount Water Park is the big water park in Gyeonggi-do, Korea. The best & unique rides is the spiral slider which is located on the roof top of the building. You will be thrilled while sliding and seeing the scenery at the same time."
Very cool!!!,"This is such a neat place! You can skate with just regular shoes and see the huskies too! And if you check the place out, there's also a sledding area just beyond the main skating rink."
Kids enjoy the snow,We visit Snow Park which is in the same building with Water Park.Basically not really a big snow park. However it worth to visit especially if you travel with kids.Our daughters enjoy the snow. We spend almost 4 hours here.We took subway from Myeongdong Station & transfer to Line 3 at Chungmuro station & hoop out at Juyeop Station. Take exit 2 and walk straight through the garden around 15 minutes to Onemount Park where this snow park located.
Onemount snow park,"Actually we went to Onemount snow park rather than the water park. we went there about 2 plus and noted that the tickets will be cheaper if we purchase after 3pm. It can quite tiring to be there whole day. We left about 5plus before it closes at 6pm. My elder kid (age 8) love the skating there but the younger one (age 6) keeps falling down and dont quite enjoy it as much. But to be fair, I dont see the rest of the kids falling down as much. The skating field can be slippery though if you are not careful.You need to be properly gearly when inside so that we can enjoy yourself. we have rented the jackets to keep ourselves warm. also we need to have the gloves before playing the slide (for kids, we bought it in onemount. whereas, my husband has a pair which we used in rotation.Overall, we enjoyed this attraction. "
Mount? Not even a hill...,"1. It is way outside Seoul, so it toom us quite some time to get there. This alone would not have been a reason to give a bad rating, but...2. High entrance fee considering what was offered... they charged us 50.000 won per person (36 month and above!!), but luckily we got a 50%-off discount voucher. Korean sign at ticket booth showed different (way lower) reduced prices, but maybe we were just stupid foreigners that could not read 한글3. More than half of the slides were closed; those open you could only ride if you are taller than 120 cm, less than 55 years old, or, in case of the tube rides, not single (which was the case since your daughter was too short and was rejected and we adults could not go together since somebody had to watch our toddler...)4. They charge you for everything: deck chair, tent, life vest etc. Would not have an issue, since we did not want to take a deck chair or a tent, but...5. The make you wear a life vest (see 4.) even if you can swimm!! And not just the children... No matter if you want to ""ride"" the water channel (no current or waves at all, 1 m water depth, booooring!) or just want to go into the wave pool (30 cm waves, boooooring)6. Most of the important signs are in Korean only, and of course NONE of the people working there speaks at least enough english to explain you the basics, give you directions, or answer your questions7. ... I probably could find some more points to scold about (considwring my daughters disapointed expression after she realized she only could go on the baby slides...), but after rereading up to this point I wonder why I spent more time writing this review than I had fun time in One Mount..."
2 hour visit from Seoil,"We went there with our 10 urn old boy. Left Seoul at 9pm, took the MRT. It's quite far from Seoul. 1 hr on MRT and another 15 minutes walk with nothing on the way. The One Mount Mall was deserted. Very quiet. It's out if town in the living area full of high rise local apartments. It's near another shopping center but we didn't go.We went straight to Snow Park. The price is OK. If you need to buy glove, buy it inside snow park. It's just 1,000won comps e to 2,000won downstairs. Snow park provided a few selections of sleds to play on ice. Quality of ice is so-so. My boy tried ice skating for the first time. Ice was not made for ice skating. The wee bumps here and there and tracks from sled too (share the same area). It was not bad for weekdays but can't imagine how weekend would be with more people. Ice slider was not in good condition. Nothing else to do so we were there for just over an hour and came back all the way to Seoul. A but disappointed though. Better go to the Lotte Park because you don't need to commute 3 hours back and forth like this one."
Wow... and not in a good way.,"Horrible experience. Typically overcrowded, rude people all around, and you have to pay for EVERYTHING. Literally. Entrance fee only gets you in the door, have a fistful of cash to actually do anything once inside."
Ermagerd,"If your idea of fun is spending inordinate amounts of money to stand in a crowd for up to an hour to use a waterslide or swim in a pool with more people than water, this is the dream location."
Water Park with family young children,"The water park have indoor and outdoor part. Friend remind must to wear swimming cap, otherwise you can't play, and don't throw the receipt when you leave the changing room, because you need to use the receipt to exchange the lift jacket, if you don't have receipt, you need to pay 6000 won to rent one. Have a fun and enjoy many activities."
Cool place,"It's new and it is fun! You can go here during summer to cool off~Also, there is a snow park right beside it, so you can go there as well.There are lots of rides for couples and only few for single people. So, it is a highly recommended place to go with your partner!"
One Mount waterpark,"We visited the Water Park in the summer and it's quite crowded with local families with children. There is a free shuttle bus from the Juyeop Station every 30min or so (expect lunch from 12-2). Otherwise it's about 15min walk. Remember to bring your own swimming cap or beach hat or baseball cap, it's a requirement to wear it for adult and children, otherwise you will have to buy it from the water park store. Most of the pools require children to wear their life jacket as well which you must rent at the park. You go inside the park at the rest area where u open up your locker for the shoe, you will get a locker key. This is the number of your changing room locker when you go inside the changing area. Inside the water park, you pay everything with your lock key, no need to bring cash. You can buy inflatable swimming rings / toys etc inside the park. Small children under 6-7 probably can only play around the main pool and the river. The top floors are mainly for teenagers and adults with longer slides etc. For older citizen, there is a lift, but takes ages to get in (about 15min). Overall, if you have plenty of time in Seoul on a hot summer day and can spare about a day then it's a good choice. But otherwise it's not one of a kind water park."
