review_title,review_body
A lovely introduction to Korea,"A wonderful service for Transit passengers. Getting out and about during our 13 hour stopover really helped us tide over jet lag quickly in Honolulu.English descriptions on their website really need polishing up though.Here’s a few tips about using this service at T2.• Book as soon as you possibly can. Tours (especially 10AM Tradition) fills up very quickly. That said, even though the bookings for your desired time and day might appear full, it’s worth checking at the Transit Tour Desk when you land as slots open up• You’ll find the Transit Tour Desk within the Transfer area after going through Security screening. We checked in with the friendly staff about 50 minutes before our Tour was scheduled to begin and they told us to immediately go through Immigration and Customs. That took about 15 mins. Once in the public area, head for the Transit Tour Desk near Gate 3 on the 3rd floor. You'll pay for the attraction's entrance fee and lunch charges here (about USD$10). The guys at the desk will store all your hand baggage for you until you arrive back from your tour. Easy.• Feeling peckish? There’s an excellent Paris Baguette outlet across from the Transfer Desk for quick nibbles.• Note the trip into Seoul takes an hour both ways. • Coach is comfortable and our English-speaking guide was very sweet. Just don’t bring food or drinks onto the bus.• If you want to do some shopping in town, do change some Korean currency prior."
"Be prepared in advanced ,it's wonderful ","I booked this transit tour to GwangMyeoung cave in the morning. It's very easy to go to the transit tour counter on the arrival hall on terminal 2 then just showed my booking and my boarding of connecting flight then our group of 8 people with korean tourguide boarded bus to terminal 1 then going to this woderful cave with history of Japanese soldiers history when they invaded korean peninsula , now it transformed into entertaiment park, with aquarium, light and sound showcases in the cave, wine storage chamber and etc. It's courtesy for transit passengers from korean government tourim for organising this free tour."
This is a Fantastic Service,"I had a 13 hour layover in Seoul and was interested in seeing the city a little. I did some checking with people who know Seoul and decided to try to visit one of the famous market areas. When I got to the airport I saw the Transit Tour booth and checked it out. It offered various tours to sites like the Castle in Seoul, some temples, and shopping tours ranging from 1 to 5 hours. They are free! All the time I was on the tour ( to the castle) I was expecting to have to pay some exhorbitant price to get my suitcase back from underneath the tour bus, but no there was no catch, it is FREE! While the schedule for the afternoon shopping tour did not fit my available time, I was able to take a 5 hour tour with about 25 other people on a tour bus with a tour guide who explained things while we were on the bus and kept track of us when we were off the bus. "
Adventure tour,"Could be better signposted in the arrivals hall, after you've cleared immigration - best to walk the length inside the arrivals hall, past all the doors, looking for the transit tour desk. Once booked and joined, very well organised. The young man we had as our guide was excellent. The caves were a revelation; beautifully lit."
This airport is beautiful and very very clean. ,This airport is worth a stop just to see the airport it’s is very very clean newer architecture was over all super fantastic airport they do a great job with signs and English if you’re not from there. 
Great layover trip,"Once you exit out of arrival door, you can easily find the booth to book the tours. You can pick and most of them are free except one of them you have to prepay KRW. I would suggest you bring some cash so you can buy souvenirs while exploring Seoul. The bus is very efficient and on time getting back. The tour is very nice and tour guide had limited English but it was understandable. We came back from Thailand and didn’t have any warm jacket and it was in February in Korea. The tour had puffy winter jackets to borrow!"
Baekunsa Temple tour (1hr),"Please check out the free transit tours laid on at Seoul Incheon airport.I visited the above temple in 2017, and their itinerary has changed since then. However, Seoul goes out of its way to sell South Korea to transit passengers in the hope they will become tourists, and it works.I have found Incheon airport (on my frequent visits) to be characterised by cleanliness, efficiency, and first class service to passengers. The transit tour I took was no different. They check your ticket to make sure you have sufficient time for your selected tour; it runs to time and is interesting; it was free of charge.This tour was the shortest one (all I had time for) and we had about 30mins at the temple to look around. That was enough to get a flavour of the culture and some great photos, I really enjoyed it."
Seoul Incheon Airport Free Tours,Pretty well run tour. The one we took had a charge of usd10 per person I think for food while the tour was free. It's not easy to locate the booth to sign up as it depends where your arrival gate is. So if you cant find it when you arrive dont worry. Clear immigration and walk out. The booth is in the middle of the outside area before you exit the airport. Just choose the tour that suits your time and away you go. There are various ones with different length of time. Tour guide also speaks English and it's pretty straight forward.
Waiting outside the door of the Incheon airport....,"Waiting outside the door of the Incheon airport with around 50 other people trying to get onto the buses is no thrill, and it takes around 40 minutes to an hour drive to get to Incheon!"
A must do tour,"This was such a great tour. It was so worth it, lovely guide - English speaking, lovely scenario and beats the hours of waiting at the airport. The guide was also kind enough to inform us of the free showers and nap zones in transit lounge which made the transit experience even better. I did the Gyeongbokgung palace and Insadong lunch tour, the palace tour was beautiful and there was time to walk around the streets of Insadong after the lunch. Lunch wasn't fancy but it was good enough."
