review_title,review_body
Fastest and Super Comfy Ride to and From Airport,We availed this service during our visit to South Korea. We took the KTX from Pohang to Seoul and took the AREX Express Service to reach Incheon Airport. The ticketing is easy and reasonable. It takes 46 mins to reach the airport. The ride is comfortable with very spacious Toilet and complimentary water bottle. Theres an electric cart service at airport from 7am to 7pm- complimentary to passengers of AREX Express passengers. Don't forget to return the ticket card at destination and take your 500Won!
Really easy to get to Seoul from Incheon,"We decided to stay in Seoul for two nights on our way home. Rather than carry heavy bags around the city we booked a hotel in Onseo which is close to the airport. We bought T-money cards at the airport which meant we could initially use the AREX all stop train to get to our hotel (10 minute journey). The next 2 days we used then AREX alll stop train to get in and out of Seoul from Onseo (40 minutes each way) and do all of our sightseeing. The T-money card could also be used on the subway so it meant getting around the city was easy, it is also very cheap. AREX was clean and quick with plenty of space for suitcases so it was perfect for us."
Superb Convenient Transportation,Arex save us alot of time while we were very tiring and lost direction.The journey from Seoul Airport to Seoul is about 30-45mins and very comfortable train.It is better to buy online first and redeem your ticket at machine. Easy redeemption with no extra cost. As around if you are unable to find the machine.
AREX from ICN to Seoul Station,"First, please know there are TWO types of Airport Trains. One is LOCAL and stops at all the stations between Incheon (the city) and Seoul. The other is almost non-stop to Seoul Station (stops once? before Seoul Station..IDK, I'm usually napping). I'm reading various reviews from people who are obviously getting on the wrong train type and complaining how slow it is (SMH, geez) or how it doesn't stop locally. I don't think people realize the airport is 50 KM away from the city center. And Seoul, like any big city, has traffic. All. The. Time. So yeah, less than 60 minutes to the city center is ""fast."" The signs to either train are clearly marked ""express or local"" (with arrows). From your terminal, follow the signs to the AREX station. Once there, you can stand in line for the ticket counter or just buy your ticket via the machine (press ENGLISH if you want instructions in English people!) Pay 9K KW via credit card/bank card or cash. You get a reserved car AND seat # which is clearly printed on your receipt. You get a credit card looking ticket with a 500 won deposit charge. Once the gate is open (yes, there is a designated boarding time which is CLEARLY displayed by the entrance), swipe your card, find your seat, sit down. There are busses, cars, taxis, but this is probably the cheapest and fastest way for 1 to 2 people. If you are a large group, then maybe 9K KW per person is too much collectively. There is a luggage area in each train car. Once you arrive in Seoul Station, swipe your card to get out, and then go directly to the machine about 10 feet away from the exit to return the AREX card and get your 500 KW deposit back. From Seoul Station, you can easily switch to the Seoul Metro system. The last time I took it (November 2019), I walked to the AREX station at Terminal 2 at 4:55 AM, bought my ticket at the machine in 30 seconds for the 5:15 AM Express train and boarded at 5:05 AM. Was there a chance I might have ""just missed it"" and had to wait for the next train? Sure, but that's life, and I have no control over how long passport control might have taken."
So easy and fast!!,"We (a group of 6) booked our tickets through klook.com because they were much cheaper than buying them directly from the counter. Klook will then send us a voucher through email, and with the printed (or mobile friendly) voucher, we exchanged them for tickets from the ticket counter at the train station in the airport building. Very easy and convenient. YOu have to pay KW500 in cash for each ticket (as security for the return of the ticket, which is in a credit card format). Upon arrival at your final destination (for us, it was the Seoul Main Station), we slotted our card-tickets into a ""Return"" machine and got back our KW500 deposit each.The train that we took was a non-stop one because it is faster. They also have one with multiple-stops, so, make sure you buy the correct ticket. Overall, it is a convenient and fast way to get to central Seoul. Not the cheapest - if you want that, go for the bus, but be prepared to be stuck in a traffic jam!Overall, we have a positive experience with AREX. There was sufficient place for us to store our big luggage and hand luggage. Highly recommended!!"
Fast & Easy,"We had a 20-hour layover at ICN airport and decided to make the most of it by taking the AREX train into Seoul to explore the city.The train was fast (~45 min) and easy to navigate from the airport (take the express train if you're going to Seoul Station, the commuter train takes ~60 min). The experience was super easy thanks to the friendly staff at the ticket booths and free WiFi on board. There are airport buses that take you to Seoul but I prefer AREX because it is the fastest / most reliable option since traffic can be unpredictable."
Fare adjustment option is helpful,"I bought ticket to Seoul Station. Then I realised I could get onto the airport railway without exiting Seoul Station. There was no staff and no extra ticket machine on the way. When I arrived at Unseo station, there is a fare adjustment machine. It told me how much fare adjustment upward is needed. I added the value to my one way ticket and I exited successfully. I think this measure is helpful for travellers in a hurry"
"Convenient way to get to Incheon Airport, your hotel nearby, Seoul Station and plenty of good things in-between !","I just arrived in Incheon last Wednesday and so far I have caught the AREX from Unseo station to Seoul Station/Hongik University station and vice versa. The train is quick and efficient. There is lots of room for people and their suitcases, and the announcements on the train are made in Japanese, Chinese, Korean and English. There are two services - one which stops at all AREX stations from ICN to Seoul and one that goes express. Each takes between 40 - 50 mins respectively. The AREX is a great service and I recommend it."
Clean & Comfortable ,We took the express train from Seoul Station to Incheon and with reserved seats. It is much more comfortable than possibly having to stand up with other options. 
Helpful lost and found!,"I got in a train to Busan, realizing that I didn't have my backpack with me. I tried to remember where I lost it but I couldn't really.. I thought it was in the waiting area or on the platform. So after reaching out to the train staff they contacted different people. After 15 minutes I got a response that my backpack was in an AREX train, the one I got from the airport! So they found it safely and I can come get it. I was so relieved, everyone was super helpful and nice! Thank you again ✨"
