review_title,review_body
Get the audio guide!,"There is so much information on this campus. It's a wonderful, FREE place to learn about the history of the Korean people. Using the audio guide, you can hear about almost every artifact in the collection, spanning seven exhibition halls. Additionally, you can walk or take a cart around the campus to see various memorials and observation areas. The Path of Maple Trees is a beautiful walk that encompasses the entire campus. You would have to spend an entire day here to see everything, but the pamphlet offers suggestions of the tours: History/Education Tour or Memorial Tour in Nature are approx 3 hours each or the Patriotic Poems and Quotations Tour is approx 2 hours."
Korean history,Pretty cool with a lot of impressive statues... worth seeing in Cheonan. Feeding the fish was interesting too
Great Place to See Overall Korean History,This is the place where the local Korean middle/high schools add in their yearly school trip. The exhibitions are well organised and easy to follow. Recommend to those who wish to know the overall history of Korea!
Educatonal,The grounds are beautiful. The exhibits are very detailed and help you understand what happened when Japan tried to take over
History of Korea.. Enjoy with your family here!,"This location is far from Cheonan but really must be visit!!! It was built in huge area so you have to arrange your time like a day. You can learn everything about Korean culture and civilization..Moreover you can enjoy with your family for walk around and sightseeing. All season is great to visit there.! But especially autumn and spring are gorgeous. Weekends are really crowded so my opinion choose weekday if you have a time.You can reach this place from Cheonan bus terminal by local bus (381, 382, 383, 390, 391, 400, 402). Entrance is free but if you come here with your car you have to pay for parking fee 2000 won."
Great ,It is far from the city but it worth to visit. You can enjoin the stamp in each building you went. All the history from the start until now you can learn from this hall.
A great place to enjoy with family and learn South Korean history ,"This is an excellent place to enjoy with family and learn South Korean history. We stumbled upon this place while our visit to nearby Daemyeong resort in Cheonan. It’s only 2000 KRW to park and entry is free. There’s information center where you can information about the Independence Hall and exhibition. We were able to rent a baby stroller for free for our visit and enjoyed our visit. They have activities for kids including a train ride across the park. There are 8 exhibit halls with different theme of Korean history and takes 1.5-2 hours to go through all. There’s a quite a bit of walking throughout the visit, so better to wear comfortable shoes. Ample places to enjoy food, ice cream and Korean snacks...overall we had a fun day in early Spring...."
"Great sight and sound museums in Korea, often missed","I went to this history museum about an hour south of Seoul with my Korean relatives. It is on a large track of land with many separate halls and a 4D theater that the kids might like. Each hall was filled with different eras in Korean history, but most concentrated with the Japanese occupation era from the late 1800s to 1945. It was great to see all the set ups as you walked in and out of displays (ALL areas included English explanations). Did not pay a thing for the visit, except for the parking."
Interesting views of Korean history,"The grounds are large and impressive and there are many exhibits about Korea's history and struggle for independence.Perhaps predictably (considering the name), some parts are strongly nationalistic, maybe even biased. One exhibit has a video that explicitly claims Japan and China have 'distorted' Korea's history. Most exhibits are well described in English. Well worth a visit to get a Korean perspective on Korea's history. "
Memorable place in Cheon an,It’s a big place and there are 6 buildings to see in. I’m not sure there is a guide for foreigner but I recommend this place to see around and learn about Korea.
Very interesting!,"The Independence Hall of Korea is a very interesting place to learn about Korea's long history. There are several different buildings, each housing a different chapter in the country's past struggles and triumphs. The Hall is big and on a sprawling piece of land and is a good way to spend a day or long afternoon, depending on how much time you spend on the exhibits."
Cheonan main attraction,Located very close to Cheonan bus terminal take 400 or 401 bus . Entry is free with special events on National Independence Day March 1st. Take the toy train up the hill charges are 1000Won per person and enjoy the history of korea along with a 4D cinema show. There are many park and fountains to hang around with family. Lastly dont forget to feed the fish on the bridge to the main entrance. Have fun ..My mom loves this place..Love from India.
Perfect Place for History Lover,"This place located not too far from the city of Cheonan. From Seoul, you can take bus or train for one hour trip. After that from Intercity Bus Terminal or Cheonan-Asan Station, you just need to take bus number 400 or 401 and drop at Korea's Independence Hall. They hold an event for National Independence Day celebration every March 1st. If you like and want to know the history of Korea I recommend you to visit this place on that special day. Parents and teacher usually bring their children on weekend so if you prefer quiet trip, visit on weekdays."
Good for history lovers,We went there in the Children's Day where there were a lot of activities for kids.... good if you enjoy history and museums....
Korean Independence and Occupation,"The architecture of Independence Hall is striking and slightly Stalinist. The surrounding parks are quite beautiful in the Spring. The highlight for me though was definitely the museum. While I don't doubt that there's a fair amount of one sidedness and the exhibits can get a little propagandaish, the museum is an interesting look at the Japanese occupation. It's a good way to gauge how the Korean government and many Koreans view their past relationship with Japan and why there is so much bad blood between the two peoples even today."
Interesting Exhibits,This is a huge place with interesting exhibits which showcases the history of Korea. There's also a 4D Theatre. 
