review_title,review_body
Visit Hwaseong Fortress and Haenggung Palace,"This UNESCO world heritage site is about an hour and a half south of Seoul. I did this on my own. You can take the metro to Suwon station and then take a bus. Check with the tourist information office at Suwon station for details of the bus if you are confused.You need atleast half a day to do justice to this attraction. Entry ticket to the palace is 1,500 Korean won. There is a lot of walking and steep climbs, so be prepared. Don't miss the delicious dumplings sold in tiny restaurants in Suwon. On the way back I entered the food hall at Suwon station, a haven for yummy Korean food."
Must do,"Just wonderful on fine day. Great to walk around the walls, stop and see the towers, bells and view points. The marsall arts display is free and worth watching. "
A must see,"It is easy to get there. Just need to take the bus from the suwon train station, or you can go by foot and take a look at the city.The long walk is definitely worth it. Lot of nice point o view."
Beautiful views from the old city walls,"Suwon is easy to get to from Seoul on Line 1 of the metro. At Suwon station pop into the tourist information and they'll give you the info for the bus to the fortress. Once at the city gate walk round the roundabout and you'll see the path leading up to the city walls where you pay the booth, then just get hiking! The first bit is pretty steep with steps but that's the worst bit and the rest if fairly level. It's quite a walk the whole way round but worth it, if you get tired you can stop halfway and walk along the river back to where you started. A nice walk on a sunny day with good views and history."
A significant taste of history in modern Korea,Travelling south on Seoul's metro system your will reach Suwon station. From there a short bus ride will take you to a major gate on the cities former outer wall. After paying a token 1000 won you can explore the walls for as long as you like. The walls and fortifications are in pretty good condition and run for kms . In places there are canons and structures where soldiers would watch for trouble. In most places you can safely walk along the ramparts but if you tire of that there are adjacent pathways. Well worth a visit and even better if you have children. There is plenty to see and it's well worth the effort.
Nice place but takes time to completely tour the area,"We went there expecting an ordinary looking place but to our amazement, the place is very big that it will take long for you to completely cover the whole area. There are rides for touring the whole area so I suggest you get one of those."
Excellent fortress and view from the mini-peak,"Since you can access the fortress by subway anyway from Seoul, it is definitely worth making the approximately one hour journey to this fortress. It was recommended to me by a friend of mine living in South Korea, and it definitely did not disappoint! It costs 3,500 won per person to enter the palace area and the museums (though we didn't go into the museums). The palace area is worth exploring, and you can drink from the spring water there and see what Korean life was like in the 1500s there. After looking around the palace, you should head up to the top of the fortress overlooking the palace and the city. I also recommend walking a short distance away to ring the bell. You can ring the bell three times (once for parents, once for family, and once for yourself) and it costs 1,000 won. Then go back the other way and climb down. You can get a great view of the old wall, and there is a lookout point where you have to remove your shoes, and you can get a good view from there. Since it was early fall, we were able to see some of the trees just changing color and it was quite beautiful. A must-do day trip from Seoul!"
Beautiful on a clear fall day ,What an amazing place to visit. You forget how big and busy the City is that you are in the middle of. The day was cool and clear. Lots of amenities like bathrooms and food options.
Quiet and interesting walk ,Suwon isn’t far from downtown Seoul and it provides a relaxing time combining history and nature (as long as you stay in the western/upper side of the fortress). It is better to bring a guidebook as explanations on the spot are rather limited. Nice for kids. 
"Impressive historic site, be ready to walk a lot","This place is really impressive and very well maintained. It´s a walled city where the wall and all it´s adjacent building remain, but the inner city has been replaced with 20 century buildings. Most of the fortess is located on the hill, between trees (at least in september) most of the town is hidden and you can really make a trip to the past, when this fortress protected the innercity and the Hwaseong Palace. This place was in my top 3 of things to do and was well worth the 1 hour metro ride (don´t be mistaken, Tripdavisor said half an hour but this is not true). Take the blue line (1) or the yellow line (B) to Suwon station. There you look for the Novotel busstop and take busline for about 15 minutes (6 stops) and you are there. I walked the entire walled city and that is easily a 2 -3 hour walk, with many stops along the way, many photo opportunities and just in general a really nice escape from busy Seoul. Make sure to visit the archery site at Yeonmudae, which is a fun stop to practice your bow and arrow skills for only 2USD."
