review_title,review_body
Lovely afternoon experience ,"Home of the oldest original building from the compound, our kids enjoyed learning about the history. We also hiked the trails behind to see the city walls and shrine."
Great to see as part of the walls walk.,"Great to see as part of the walls walk. Renovated well , similar to those in Seoul but less in size and beauty."
Trip through time and away from modern Seoul,"ONLY VISIT IF YOU ARE UP FOR A LONG METRO RIDE AND A LONG WALK TO THE HWASEONG FORTRESS! This place was in my top 3 of things to do and was well worth the 1 hour metro ride. Take the blue line (1) or the yellow line (B) to Suwon station. There you look for the Novotel busstop and take busline for about 15 minutes (6 stops) and you are there. I wanted to see a historic site not in between the modern office buildings and got exactly what I wanted, with lush vegetation and enough space around it to really take in the historical significance of the site. It´s a smaller palace than the Gyeongbokgung Palace, but less visited so you have all the time of the world to get lost in the labyrinth of little streets and buildings. With the green hill always in the background it really takes you to the past. Don´t be mistaken, it´s a long ride to get here and if it was just the palace I wouldn´t have done it.......but it´s the Hwaseong fortress around the palace that makes this place really worth the visit. And that means: a lot of walking and steps up the hill!"
Great 2 hours or so to catch a little history,"I visited the Hwaseong Palace on a very rainy Sunday, but enjoyed the experience anyway. Admission is quite inexpensive. You can take a guided tour, or just wander the complex on your own. Some areas have descriptive markers, including in English, and several displays of room furnishing, clothing, etc. Tour around the local Fortress walls as well, and meander over to Fried Chicken street for lunch when you are done!"
Nice palace,"It's not as great as the palaces in Seoul, but it's worth a visit (the tickets are cheap). The part I liked most was the martial arts performance in front of the main gates."
Not that special if you've already been through palaces in Seoul,"It's a palace in the center of Suwon Hwaseong Fortress. Good to talk a look and learn history.- Suwon Hwaseong is basically free to access. And I think this is only place to pay except museums.- Haenggung is a temporal area to stay for a king. Jeongjo, the 22nd king of Joseon Dynasty ordered to build this. And you can find the portraits of his travel to here in many places.- At Sinpungnu Pavilion which is the entrance, there's the performance of soldiers at 11 am. It's fun to watch. But, you don't need to cancel other schedule for this.- It's basically nothing special comparing to other palaces in Seoul. If you aren't new to palaces of Joseon Dynasty, you may feel bored. The wish tree near the entrance was good by the way. And the pine trail in the back of the place is nice to walk.- It's a lot of walk inside. Especially, the rear area is on a hillside. Comfortable shoes are recommended."
Interesting historical site,"We thoroughly enjoyed walking the area, seeing the beautiful buildings and colors. there were men flying big kites that added to the interest. Also there was an archery range that seemed a bit too close for comfort"
Incredible palace ,There were very view tourists around while we visited the magnificent palace. Good background English information for main buildings. Lots of wonderful places inside the palace.
Great Sights of Palace Grounds,"For 1500 won for an adult, it is worth the value. We saw how an ancient Korean palace is like, and get up close with the various facilities of the ancient palace. Just be careful of your head as you get through some doorways as it's rather low!"
Worth a visit,"While it is not as big as the Palace in Seoul, the little traveling palace is worth the 1500 won admission fee. I met the nicest volunteer guide there who showed me the most efficient route to cover the key points on the Fortress."
Catch the martial arts demonstration,"The fortress itself isn’t anything special if you’ve been to one of the Seoul’s palaces. Having been a temporary palace, it is smaller in size and no notable structures within its grounds. Visit to the palace is worthwhile if timed with one of the performances at the main gate. We were there for the 11am martial arts demonstration which mostly consisted of sword fighting. First half looked almost like choreographed dance routines but the second half consisting of chopping off bamboo columns and straw stacks was exciting to watch."
Back in time .. joseon period,"The attractive point of the Palace is the reproduction of some typical scenes with wax caracters from the Joseon period in some rooms (kitchen, music instruments, prince reading, soldiers attire, some games at the entrance, etc)"
Having my Jewel in the Palace moments,Pros:- quiet place- not crowded (encountered less than 10 tourist during my visit)- can be combined with the Suwon Hwaseong Fortress Wall tour
Make sure you catch the martial arts display,"The palace was well worth visiting with its many buildings and displays but the highlight for me was the martial arts display that takes place at 10 am each day and lasts about 30 minutes. This is free and takes place outside the gates, while there is a small fee to pay to enter the palace. There are several small displays of characters going about their duties 200 years ago. I guess this is the reason why so many tourists come to Suwon, and if you decide yo visit i can guarantee you will enjoy it."
Part of visit to Hwaseong fortress,"The palace is less busy than those in Seoul but is worth a visit esp when doing the circuit round the fortress walls. This was where King Jeongjo honoured his mother by having a banquet for her 60th birthday. It was also a base for the King when he travelled to visit the remains of his father, Prince Sado. Away from the main buildings, there is a shrine and second courtyard. Absolutely beautiful building and hardly any tourists there so we could take in the place at our own pace. "
Historical site,"The moving palace is mostly destroyed by fire during the japanese invasion and korean war and was restored. The only building in its original condition is building 12 on the map. .Nonetheless it is still a site to visit to learn more of the joesan dynasty. It is best to go with a guide so as to appreciate the site more. There is 600 year old wishing tree in the palace. Do write your wishes on the paper providedPls also visit hwaseong fortress, a unesco world heritage site, which is nearby. "
