review_title,review_body
Southern Gate,"Paldalmun Gate is the southern gate to Suwon's Hwaseong Fortress. It is not connected to the rest of the fort but is located on an Island in the road. An impressive gateway, surrounded by modern buildings."
Just a gate surrounded by modern buildings,"Paldalmun isn't connected to the fortress, but is rather an isolated gate surrounded by modern buildings. It might make for a nice photo, but I wouldn't recommend going out of your way to visit it. Rather, go to the fortress through some of the other gates."
Nice contrast between old and modern,"My favourite of the gates of Suwon, because of the contrast between the old gate and the busy road and the market in the streets next to it."
Southern gate of Suwon Hwaseong Fortress,"Locating in downtown, this has been isolated by roads after the long period of time.It's good to take a look and learn architecture. But, access is not allowed.- It feels very similar to Namdaemun(Sungnyemun) Gate of Seoul.- Paldalmun isn't the main gate. Janganmun in north is. Because the king visited from the north.- From this, you can go to Hanggung-dong Street or Nammun Market(market complex)."
Paldalmun,This is one of the most amazing places to see in Suwon. It is on unesco world heritage list and also you can enjoy shopping in the bazaar around there.
Good for hiking too,"You can get a nice view of wall during night time, and have a walk from the gate and just follow the wall...you'll see more natural attractions. Very pretty when it snows...recommended for night hiking."
The main gate of the city walls - a great starting point,"We came here right from the Suwon train station using a taxi we found just outside. It was only around 15 minutes away and just outside the gate are good coffee shops you can warm up in. Around the gates are good walking grounds that you can wander about with nice seating just outside the city walls. Above the gate, is where you can start your journey to see all the city walls."
Good starting point for a walk around Suwon city wall,"We walked the length of Suwon city wall, starting and ending at Paldalmun. It's a great starting point because it's such an obvious landmark, and there's a taxi stand right next to the gate so it's easy to get back to the train station afterwards.The gate is huge & impressive, really beautiful. It's in the middle of a busy roundabout so it's hard to get a good photo. There's no pedestrian crossing to get to the wall in the centre of the roundabout, so there's no easy way to get up close to it."
Cannot walk through it,"The newly restored Paldalmun Gate, the southern gate of the Hwaseong Fortress is one of the symbols of the city and takes up the center of a roundabout in the middle of a busy area of the city. Unfortunately, you cannot walk through the gate as the center area is not pedestrian accessible. Near the gate is a traditional market and the Paldalsa Temple which are worth a quick look around."
In the middle of the houses,"Impressive as it is so close to the houses but you can just look around (quite close to the walls, not easy to take a picture of the whole gate)"
Bus stop marker for Hwaseong Fortress Wall,"Honestly, this structure was my marker where to get on/off the bus to/from Suwon Station. Other than that, it looks the same gate as those that can be found in Seoul."
In the middle of a busy roundabout,Our guest house was just a few minutes walk from Paldalmun Gate which is in the middle of a busy roundabout. It is better viewed from the north side as there is more to see. It is the only gate that is separated from the wall because it was reconstructed in the busy part of the city. By the gate are the names of all the people involved in its construction.
South gate,"Having traveled down from Seoul on the metro we walked from the train station in the direction of the Hwaseong Fortress (thirty minutes), the first glimpse that we were in the vicinity of the fortress was arriving at the impressive Paldalmun Gate (South Gate). The gate is located in the middle of a very small round-about not easily accessed, not that we needed to anyway. Construction of the gate began in 1794 and is listed as a National Treasure, #402."
Impressive,This is the southern gate to the fort complex and is quite impressive due to it's size.Very well preserved.
