review_title,review_body
Dont miss this cruise,Night view of the river is very spectacular. A live band provides entertainment on the cruise back. Pleasant!
Han River Boat cruise,"This was the perfect way to end our visit to Seoul.We went by hop on hop off bus to Yeouido Dock and returned by subway.The Elland Cruise ticket office is clearly signposted and tickets are easy to buy or redeem.There is a supermarket on board selling hot food and beers.There are toilets.We took the night cruise which is dazzling,Seoul looks great at night.There is a music show inside.We sat outside to enjoy the breeze.We walked back to Yeouinaru Station (Seoul Subway Line 5)-its about 15 minutes."
Memorable trip,"We booked our night tour (musical) through Elan cruise. We arrived an hour earlier to check our tickets and do the formality. The cruise goes for an hour or so but in the Han river. There is no guide, but you can enjoy the view. It is a brilliant cruise with a great view of the city along the river. They had arranged a unique fountain-show from one of the bridges towards the end of the show. Take a good camera with you to shoot photos. They do serve food and drinks. I do recommend it."
Music and Cruise,"To my surprise, this cruise has many types of service. It provides music cruise, fireworks cruise and others. It is a very slow and steady cruise.The highlight of the cruise is Feeding Seagulls."
Fun River Cruise,"My friend and I went on the dinner firework cruise. I was quite surprised that this seems to be unpopular with tourists. The night we went, it was all locals. There were not many staff that spoke any English and even then, in Korean there wasn't much explanation of what was going on. Wait and don't eat at first. You aren't dismissed in any order, they just let everyone go up at once. There's a mad rush and unless you want to be pushed by some ahjummas, don't go up at the beginning. There is plenty of food. The food was high quality but a bit light on meat options. The cheese tray and desserts were my favorite. They do have an espresso machine which I missed. Don't bother with the coffee, it is absolutely terrible.They had a lovely jazz band and the fireworks were great. Overall it was a fun night!"
Watch out for the fountains from the bridge!,"Dinner while cruising on the Han river. Whole trip takes about 2 hours. Dinner is a buffet, but very nicely done and there is plenty of food. You don’t have to join in the initial crazy rush as there was plenty left. There is live music, which is not intrusive, but I went up on deck and spent most of the time watching the lights of Seoul. After about an hour the boat approaches a bridge and the crew clear everyone from the decks. This is because there are fountains fo water pumped off the bridge as part of a lighting display (a couple who did not listen to the instructions got soaked!).Overall a nice experience."
Lovely night view,This is one of my best experience in SeoulI highly recommend use this cruise at nightBeautiful bridges and night views are wonderful 
Boring,The wet and cold weather further dampened the experience. There was no clear signage to direct us to the correct location. It was a boring experience . Nothing much to see. The band that played a few songs was mediocre.Place was near empty. 
Perfect story cruise,This is my first time and I love it so much. The cruise is about 40 minutes and we enjoying the cruise outside with seagull feeding and enjoying the view around the river. Inside they did the band performance and it was great.
Story Cruise was good sailing with seagulls,"We picked the cheapest one, STORY CRUISE.And it was okay. Recommended if you don't want to spend much.- There's no sign of discount for seniors. But, received 10% off at the ticket office.- Story Cruise only runs during the daytime. So, we couldn't see the sunset nor nightscape of Seoul even though we got the last time slot(17:00).- The crew guides with Korean and simple English/Chinese. There were A LOT of Chinese speaking passengers. With a few locals and very few others.- Other than watching the scenery, there were two things to enjoy. Seagull feeding and music performance. Both are available upstairs. So, staying upstairs will be better. Watching seagulls was the best part with hundreds of flying seagulls.- There's a little snack stand upstairs. They sell foods and anchovies to feed seagulls.- It was a round trip sailing to the west until the parliament.- Story Cruise Ferry Terminal had a buffet restaurant 'Ashley'. It is locating upstairs and has a wonderful view. They provide a discount for those who try both of the restaurant and the cruise."
Cruising on a cold winter evening,"Hello; this was a very pleasant cruise of about 1 hour on the river Han, enjoying the view of Seoul important buildings on the shore and far away.We enjoyed the live music the most.I was impressed by the nice alleys that lead to the dock, both for pedestrians and for bikes."
Great night river cruise with water and light show,Nice boat well laid out. Dinner cruise has great food and good selection. Very comfortable dining room with good service. 
Korean Holiday,"The Eland Han River Cruise was just as advertised. It was a unique way to discover Seoul and enjoy the city's beautiful scenery. We start off at Yeouido Dock and pass by 63 building, N Seoul Tower, Banpodaegyo Bridge, Konghang Train Bridge, Jamsil Olympic Stadium, and the famous Yanghwa Bridge. While on board, we sat back and relaxed as a live band serenaded us, providing a great soundtrack for our sightseeing cruise. We purchased a package that included a buffet dinner at Ashley, a famous restaurant chain in Korea. Even though the buffet had a good selection of foods, save your money, because most of the food was served warm instead of hot and the service was poor at best because the wait staff was extremely slow in clearing the tables. We had to visit the Han River because it is another site that appears in many of the Korean dramas that appear on TV."
Great river cruise with fireworks!,"This experience started out a little weird as it was not clear where to go to get our tickets (using vouchers). But we got it sorted and the food was much better than we expected with tons of choice on offer.Buffets can be dreadful but everything looked fresh and there were lots of chefs/attendants on hand to serve and refill as needed. Dinner started at the dock and then we departed for the cruise part. There was live entertainment, which was a lot of fun. The musicians interacted directly with the crowd, especially the roving sax player. Drinks were available if you wanted them, and we got a reasonably priced bottle of champagne. The night views of the Seoul shoreline were gorgeous. The fireworks from the Banpo bridge were beautiful, lasted about ten minutes. We met a very friendly Korean young couple that we had fun with, and at the end of the cruise when we couldn't find a taxi, they actually drove us straight to our hotel, half an hour away. I can't say enough good things about Korean people. I have traveled the world and Koreans are the most friendly and helpful people I have ever encountered. Anyway, this cruise was fun, the food was good, and I highly recommend it for fabulous night views of Seoul you won't see any other way."
See Seoul by night from the River,"Worth doing. The evening cruise only takes about an hour and is popular with locals as well as tourists. Cities always look different from the water and Seoul is no exception. You pass under many bridges including Banpo Bridge which has one of the world's largest active sculptures - a combination of water fountains and coloured lights that spray out from many hoses shooting out into the river from the bridge, along its entire length. You will get wet if you stay outside while the ferry passes under it. There's live entertainment on board. A nice relaxing short tour."
Horrible birthday because of Eland!,"It was my birthday and my husband decided to celebrate it with an Eland cruise. We arrived 30 minutes prior to departure time. Our departure time was 11:30 and we were there at 11:00. There were two Eland cruise departure ports at the dock. We went into one of them and lined up for 20 minutes. When we got to the lady, she pointed us to go to the office in Korean (speaking no English at all). There was no instructions or directions of where the office was. When we finally found the office, we were 5 minutes before the departure time. My husband lined up and there was only one couple in front of us who took 10 minutes long to have a conversation with the counter lady. The line was long and no one was there to manage the queue. By the time we got a chance to the counter, it was 11:35! When I told her what happened, she just bluntly said ‘it is your fault.’ She offered us to take the next trip but because we had to catch a plane at that hour, we couldn’t take it. There was no refund whatsoever. I had a huge argument with my husband that morning right in front of the counter because I was so pissed that he did not jump the queue to speak to the counter before the cruise departed. But all in all, better directions, clearer map, and better staff training and management would have made my Birthday much better. It was no our fault for arriving half an hour earlier. It is not our fault that there was no sign and instructions of where to go after arriving. It is not our fault for a long queue at the office and no one was there to take our QR code in for tickets even when we arrived early. It’s a total mess at Eland. It was a waste of time to book online in advance because it did not mean anything, you still had to line up which made the delay. And the staff speaks few English and are ill-mannered.I travel extensively around the world and this is the worst customer service experience ever, especially in Asia. Ruined my birthday! Avoid Eland at all cost! "
lovely cruise,"We booked a cruise via Klook and it did not disappoint. While this is mostly for lovers, we were with friends and the cruise provided a good view of the Han River and the city lights at night. "
"Fantastic, five stars! ","Can only give 5 stars for this cruise! We booked an night cruise with music, and dinner included beforehand. The cruise was just fantastic! Watching the lights of Seoul go by was beautiful. The live music was nice, and the dinner at the Marine Buffet next to where you board the boat was first class! It was our anniversary, and we couldn't have had a better night. "
Totally worth it...,"You can buy a ticket at the booth and get there by subway Youido (purple line)... I think there are varying prices like one for dinner, a longer one with fireworks... I believe prices start at 25k won, approx $25"
Cheap and fun!,Great way to see the night scape of the city. Id recommend the sunset tours so you can watch the sun down and see the evenings fountain show at Banpo Bridge
Han River Ferry Tour,"This ferry tour was pretty interesting. I took the Han River tour cruise and I think it was a good 40 or 45 minutes so it was a perfect length of a trip. I got to see the city and all the different bridges. The ride was smooth and nice.But this river certainly needs some cleaning up to do. I saw a lot of dead fish floating about but then also saw some guys water skiing so, not sure if they don't care or if this is them taking care of their river haha. Either way, cruise was pretty top notch. Enjoy!"
Interesting tour ,We did this as business tour and were able to talk over dinner. The cruise had a lot of birthday and anniversary parties as well as a good band playing. The dinner had lots of choices and was crowded for the first few minutes it opened so I would recommend to let others start. The rainbow bridge seemed to be the biggest attraction with everyone going out to see it. 
Beautiful night view from Han river,"40 minutes seem too short. I paid full price at the ticket counter without reservation but you can get 10% off when you buy online. We spent 30 minutes on deck outside freezing cold enjoying night view of Seoul from the Han river, last 10 minuets went diwn to the main hall to get some warmth with Live jazz music. "
Amazing Lunch Cruise buffet,"It's a different experience to have a meal while cruising around the han river, beautiful sights with good food.The music is nice, cruise is clean and upkeep well done. As for the buffet, it's much better than many of the buffet I have been too! So this is really well worth every single cent. Excellent choice for a relaxing 2 hour meal.At the port area, there is any beautiful decoration too which make good photoshoot.And for all Running Man fans, this is one of the spot which was filmed in Running Man."
Don't miss it.,We booked for Han river cruise and we were taken aboard to eland cruise by our guide. We started at around 5: 30 or 6 pm. It was approximately an hour cruise. This cruise plans different themes and activities on different days. We got the chance to enjoy their jazz music band onboard. We were given a complimentary beer or breezer ( as per our choice) too. This cruise was one of the bests till now. Totally loved every second of that beautiful evening !
A Beautiful Evening Cruise,"It was an amazing evening presented by E-Land Cruise. We got good food, good music from the band plus the beautiful city view kept mesmerizing us during the trip. Don't miss the chance to be part of this cruise whenever you're in Seoul. "
