review_title,review_body
Small but funny place with Yellow Sea view.,"CYC ( 19.08.15 ) The Wolmido was small island and had many sea food restaurant and funny facility. There had small theme park, and the road around there was good to walk with sea view. When we stayed, the beer festival was held. And the food bath facility was good to us. There was good place to rest about 1 or 2 days."
Wolmido Lighthouse Road,"A beautiful date course with a relaxing view of the sea. Perfect for couple, family and friends. This is located beside the Theme Park."
most amazing sunset,"The area , is quite like a lot like any seaside carnival type town, like key west or Coney island. but much smaller , with nice ocean views and some restaurants and bars."
Interesting,"Very crowded over weekends, nice and quiet during the week. Lots of shops and restaurants, lots of ferries and ship trips."
Breath Taking View,Place is located not far away from incheon city but a awesome place to enjoy the sound of sea. If you are nature lover you can go there to take a deep breath and forget all fury stress.
I visited the place with my parents we loved it!,"We were there to check out the place before my parents fly out that night at Incheon International Airport. Parking is easy to find and pretty cheap also! We got on the 1530 ferry boat ride and that boat is really nice and clean!! The performers are amazing! and the view of the Yeongjeong Grand bridge is breath taking! After our ferry ride, we were hungry and walked around the marina. The whole place is lined up with great sea food restaurants, shops, plenty of activities for the kids as well! We went into this restaurant and the lady who helped us spoke little english but got us squared away with some fresh sea food (clams, shrimp, halibut, oysters), with a seafood mix/soup bowl the size of manhole cover lol!! We had fun and enjoyed our time in Wilmido!"
Surprises galore on Wolmido visit,"Thought we were going to AN amusement park, but, so much more to see. Many interesting and varied art works plus live entertainment from magic acts to music, to aerial acts and singers all on the outdoor boardwalk surrounded by a wide variety of restaurants. Pizza to Kim bap, very happy place. "
A bit dated but a nice quiet walk,"As I first arrived to the entrance of the park, I noticed it's not the newest park, but that doesn't mean it's not worth going to. The Korean Traditional Garden section has a lot of small sections that are recreations from other palaces or gardens around Korea. It has some nice spots if yu want to lay out a mat and have a picnic, or take a rest. The observatory in the center of the park is worth going to the top to get a nice view of the ocean, and the paths are well maintained. If you want to come from Incheon Station, I recommend hopping on a local bus, rather than walking there on the sidewalks because it's a lot longer than you think, and you would be just passing a lot of industrial areas."
for a evening timepass,"I like to go there in the evening when the sun sets. the view is best then. there are many restaurants on the sea side but they are quite expensive in korean standard. I usually other elsewhere, where they provide better food on a good price. except on winter you can enjoy the musical fountain. this is a best place to stroll around and have a chat with your pal. "
Good to visit in couple or group,"It’s easy getting to Wolmido. Take exit 3 from Incheon subway station (Line 1) and walk to the bus stop next to the tourist information center. There are 4 local buses that go to Wolmido (it’s the final stop) and you can see the amusement rides when you’re at the final stop.There’s no admission fee to the amusement park but if you’d like to take any rides, they charge a fee for that. Straight ahead from the amusement park is the sea, surrounded by a whole stretch of restaurants. Would not recommend to visit for solo traveler as it can be quite boring. "
Wolmido park,"Oversea travelers do usually travel the seashore of Wolmido. However, they should also travel the Wolmido park so as to have the great view about Incheon."
Good for locals,"This is just my personal opinion. Restaurants and their menus, amusement facilities, and general environment are basically optimized for local Koreans. Westerners will have hard time in finding their types of things. Especially when the place is full of group of Chinese travellers, even local Koreans will have hard time. If you are with local Koreans, it is worth a visit."
