review_title,review_body
Not so much for tourists as religious devotees,"A beautiful temple, but definitely a working temple. Worth a walk around (its free), but work your way around the worshippers."
An ok visit for a temple in Seoul,"We signed up for a Seoul city/temple tour. We were picked up from our hotel in a medium sized shuttle bus and taken to this temple, to meet the rest of the group (then went to other locations in a big bus). The tour guide gave some explanations of this temple and gave us 20 minutes to look around, take pics.Part of the temple was roped off. We saw a lot of people inside, and also many people kneeling outside in a roped off area, praying and paying tribute. There are three golden color buddha statues inside. It is a relatively small temple/site, therefore an easy place to meet."
"Quiet in a busy city, beautiful.","I visited Jogyesa Temple on a Sunday afternoon. The temple is small. It is on a corner of center of busy city. However, once inside the temple it became quiet and tempo became slow. It was time that mum bloomed. The flowers and plants were fully and creatively integrated into many many objects in the temple - trees, statues, characters and bonsai's. The main build is quiet and peaceful. You can enter it after taking off shoes. This is a temple that is unique. I recommend visiting it if you have time."
Chrysanthemums,This large and important temple holding three golden buddhas is located in central Seoul so it is easy to get to. Although it is surrounded by high rise office buildings it still manages to retain a sense of calmness.When we were there in late October we were lucky to find that the Chrysanthemum Festival was in progress and the whole of the area outside the temple was occupied by statues and sculpures made out of thousands of the flower in a myriad of colours. It really was spectacular and a photographers dream. If you can I'd suggest you time your own visit to co-ordinate with it.
Beautiful place,"Really beautifully Tempel with lot of flower work in the courtyard. Impressing contrast of old temples with modern high rise buildings in the surrounding.Not much time needed here, but worth a stop for 15 to 20 minutes "
Beautiful temple in a city street location,The decoration both inside and outside Jogyesa Temple is beautiful and if you are lucky enough to visit when a service is being conducted you really get to experience the real atmosphere.
a nice relaxing place,"I went there when there was a flower festival. It's nice and quiet in a busy town. The temple is impressive - worth to gather your thoughts for a min, "
very interesting,We visited with a guide and so were able to learn about the temple and its history. There were people worshiping at the time so it was also interesting to see that.
Nice Temple in Heart of Seoul,"This is a working temple. Locals use it for daily prayers and the interior to the main building is reserved for worshipers. However, it is open to see inside and take pictures. Interesting architecture and murals on the outside of the buildings are beautiful. Worth a visit."
"Pretty, and different","This complex is structured quite differently from others that I'd been to - the grounds feel very open and rather haphazardly laid out. It's right in the middle of block after block of office buildings; you might think you were looking in the wrong location as you're headed towards it. The main temple building is definitely worth a visit - that's where you'll really get a sense of the vastness and serenity you might normally associate with the more traditional temples.As temples go, I think it's worth a visit because it's so different, but not necessarily a must-see if you're crunched for time."
