review_title,review_body
Informative tour,"Jongmyo shrine is a fascinating visit for anyone interested in Seoul’s history. You can only visit the shrine with a guided tour (except on Saturdays apparently) but the tour is included in the ticket price. The guide was passionate & informative & ensures to sensitive tourists to the meaning & customs of the shrine. The tour takes about 1 hour. Definitely worth doing, especially if you don’t know a lot about Joseon customs & traditions."
Good for a relaxing walk in the park and some Korean history,Entry to the Jongmyo Shrine is included in the Royal Palace pass but you can only enter with a tour - English tours are at 2pm and 4pm. A pleasant walk in a shady park on a hot day and interesting to find out about how the ancient kings were honoured but not as picturesque as the palaces in terms of architecture and decoration.
Shrine for the spirits of kings,I just thought of going there as it was near Gyeongbokgung Palace. Pretty interesting site/area. It's also listed as UNESCO Heritage site. Cost to enter was 1000 won per adult. Pathway leading everywhere was not to walk but for spirit...I was fascinated by it. It was very different shrine than others that I have visited.
Fascinating view of how the spirits of the Kings are honored.,"Easy enough to visit on your own. Most days you can only go in during the hours designated to your language (a guide provided). On Saturdays, no guide is necessary so you can view at your own pace. Only $1,000 won per adult and free for those over 65.Be sure to stay off the main pathway which looks just like the central stone paths in the palaces. Here, it is reserved for the spirits! :-)"
Because it is a UNESCO Heritage site?,Decided to visit the attraction because it was listed as a UNESCO Heritage site and entry was free because of the Chuseok holidays. Was nice to walk through a place of history and I liked the vast open space of the Jeongjeon area.
History on display,"I was doing a walk and stumbled upon this Shrine, and as it had free entry to celebrate a special day I took the opportunity to visit.The shrine is a green area within the city and has clear flat paths to navigate to head up to the shrine. To get from the path to the shrine there are 3-4 large steps. A ramp on the northern side entry might assist.The shrine itself was not open but you can see the building.There were several toilet blocks and also a covered pavilion.Worth the visit to this world Hermitage site"
A UNESCO Heritage site in the heart of Seoul,"A must visit site that can be visited ONLY with free guided tours provided on-site. English speaking tours are at 10am, 12pm, 2pm and 4pm. You are not allowed to join other language tours. On saturdays, you can enter the shrine on your own without a tour guide. Entrance fee is 1000 won incl tour guide"
Royal Shrines,"These Royal shrines are UNESCO World Heritage listed. The shrines are set in a parkland landscape. I strongly advise visiting on Saturday as this is the ONLY day self guided tours are allowed. All other days a guided tour is compulsory. The two main shrine buildings are impressive for their size. Entrance is 1000KW, the Royal Palace Pass works here. Watch out for the spirit way and don't walk across it!!"
Guided tours only,The only way to enter the shrine is through the guided tour offered by the staff. It is very organised and detailed. This is an interesting tour about ancestral worship for the past kings and queens. The shrine is included in the Royal Palace Pass along with the other palaces. A good deal if you have enough time to go for all.
"Not much to it, don't go expecting much.","Don't visit expecting to be blown away or see a something really mind blowing. The shrine was free for myself and my mother as we were on a tour, but normally it's like 1200 won I believe. There's some neat gardens and the tombs of the 19 main Joseon emperors. That's about it. Some decent photos, but nothing crazy. Once you start the walk you have to finish it, so if you're not sure about your legs, save your time. There are also lots of racoons walking around, but they don't bother people."
Jongmyo Shrine,"The surroundings were beautiful, as you can see from the photos. I wasn’t overly excited by the shrine itself. Nonetheless, it was interesting to learn about the king, prince and spirits and the pathways designated to them through the shrine."
Easy and Affordable Family Tour,"My family and I visited this shrine and were impressed with the beauty and history of the site that was easily accessible using public transportation and the price was affordable. It can get hot, especially since the shrines are in wide-open spaces paved with stone, but the paths leading to the shrines are in the shade."
Solemn environment,"This shrine complex is dedicated to deceased kings and queens of the Joseon Dynasty. It is used for memorial services and ceremonies. Unlike the palaces, the buildings are simple in design to reflect its solemness. Building layouts also reflect Confucius belief. Note that visitors can only enter Jongmyo Shrine in guided tour group at specific times on weekdays (closed on Tuesdays) and Sundays. Only on Saturdays, visitors may enter at their leisure. English guided tour schedules - 10:00, 12:00, 14:00 & 16:00hr."
Interesting and peaceful ,I took the mandatory free English tour. Very interesting and well brought by the guide. You learn about Korean tradition and history and mostly about how they experience ancestry and death. The buildings are real and there is a sense of peace and awe in the air. Unfortunately both the tours here and at changgyonggung palace start at same times.
Peaceful & Educational,"Visited this UNESCO site during my trip to Seoul and was very glad I did. The whole experience was fantastic and well organized. This is the only site that requires guided tour to enter thus the crowd flow was manageable allowing visitors to take their time, photos and walk through the vast site to fully appreciate this piece of jewel of the past. Visitors must take note of the guided tour times and show up in time to join them. I didn't buy tickets ahead of time, just showed up at the ticket counter 1 hour before the tour, buy ticket and wait. It was a worthwhile wait. Highly recommended,"
PEACEFUL SETTING,Jongmyo Shrine is worth a visit if you are in the general area.. We were not able to enter the shrine. For some this may involve more walking and steps than its worth. It helps to have a guide--otherwise it is just a restful stroll..
Lovely parklike setting . . .,"Not one of the ""must see"" places of Seoul, but if one is in the area it is interesting to visit the site where the ""spirit tables"" of the royalty and priviledged servants of the Joseon Dynasty reside. No, this is not a cemetary which is the final resting place for the body -- but rather the final resting place for their spirits."
Get there on time,"Aparently you have to join a guided tour (except Saturdays and the last Wednesday of every month) which isn't mentioned clearly in official Seoul tourist guide. So when I arrived, the English tour already started and they refused to sell me a ticket for a Korean or Japanese tour. They only wanted to sell me a ticket for an English tour, which I would have to wait hours for. The pictures look great, though."
You may find this more beautiful than the palaces!,"After visiting all the palaces and temples in Seoul, I happened across the Jongmyo Shrine, where the spirit tablets of deceased kings and queens are enshrined. Most days you need to go on a guided tour (cost in May 2019 - just 1000 won!), offered in a number of languages. Because I arrived in time for the last tour of the day, it was in Korean. I was fortunate to have a bilingual family on the tour, who interpreted the main points for me. This has been one of the most serene and beautiful experiences of historic sites in Korea. The whole place exudes tranquility. I was fortunate to visit on a glorious afternoon, when the shafts of sunlight shone through the majestic trees in the complex. As our group of about 20 were the only people there, we were able to get a better sense of the history."
Maybe on another day?,"If this was all there was in the area then it would be great, but there are some very impressive “competitors” nearby. On a Saturday, the main halls were closed, leaving you with some nice greenery and walk. But after your first 5 shrines, you start to get quite discerning "
Beautiful UNESCO Heritage Site,"The royal memorial site was filled with history and gorgeous outdoor scenery while still being centrally located within Seoul. Although we had to visit with a tour guide, I really enjoyed having someone so knowledgeable lead us around, teaching us about the historical significance of this special place. My son enjoyed being outdoors and made a game of avoiding stepping on the spirits’ pathway that runs through the property."
