review_title,review_body
Great/Beautiful ,It was a great/beautiful walk down the stream i usually dont walk around but i appreciated this beautiful scene i embraced it and will do it again.
Great light festival,"Magificant light festival along the river, whenever you go to Seoul it’s akways worth checking what’s happening on the river. Lots of bars and restraints nearby"
Go at night,Great river walk. Went after dinner and everything was lit up. Every block had different art pieces. My favorite was the lantern section. Got a bit overcrowded in some areas and not as many stairs back up as I would of thought
Lantern show this year,"I went to this place a few times in the past. At night the waterfall was lit up beautifully. On the weekends there were many hawker stalls selling food, etc. This year there was a lantern show and the place was unusually crowded."
Peaceful,This was a very great use of space to add something natural but man made. It gives back to nature in a concrete world. 
Beautiful place,"Was brought by relatives to visit this beautiful place. Caught by great surprise with the amazing landscape along the stream. We happened to chance upon 2019 Seoul Lantern Festival in Nov. There were so many featured lanterns, each lantern has a story behind it which are very interesting for visitors to enjoy reading them while walking along the river. Took us about 20 to 30 mins as we were enjoying & strolling slowly with a toddler. And there’s also water laser show around 9pm which drawn a lot of tourists and local visitors too. During one part of the stream, you can opt to place a floating lantern with light costing krw 5000, saw many young couples and families doing this for fun as well as for goodwill blessings.I think this place is very romantic too as we can take many lovely pics in the evening with all lighted lanterns as backdrop. What’s more fun is you can step on the rocks in the river to cross over the other side. This is something really quite interesting. We walked from Jongno-5-ga all the way Euljiro-1-ga station back to our hotel. Definitely recommended for those first timers and returned visitors. Will be back again next time I visit Seoul again. Thumbs up!!"
Looks pretty lit up an night but not really a useful thoroughfare,I thought we would use the stream a lot to get from A to B and avoid the busy streets and traffic but turned out it is just that bot too far south of the main areas to be that useful. Looks pretty though.
Great in the day & at night,"We enjoyed walking along the paths by the stream, both in the day and at night. There are lots of interesting features (stepping stones, fountains, artworks, benches with sunshades, etc) that make it a lovely way to get between places or just stroll. It felt very safe at night, and at the western end especially there were lit up fountains & waterfalls, etc. The musical fountain light show was a surprise at 7.30pm & very good."
Exposing this underground river is a great idea.,"The stream is a good way to travel across the city, away from the heavy traffic and need to wait at pedestrian crossings. At places it is quite colourful and pretty at others it's a bit more neglected. It is a safe way to get around and features labels and access steps to the various roads it passes beneath. "
Great Stoll,"Located in the Centre of the metropolis, the walkway gives a sense of calmness from the fast paced city. No festivities while I was here but I’m sure events would be well decorated. "
Unique and relaxing,Such an interesting stream and atmosphere running through the city. Although the stream is in the heart of the city it is such a pleasant place to rest. You will see business people and tourist alike relaxing and enjoying the sounds and sights of nature...taking a break from their day. Love the green umbrella installation and also the spot where you throw the coins in. my kids loves running up and down and crossing over the water on the large rocks.
