review_title,review_body
its good,come here after visiting Gamcheon Village- take Bus 96 from near Jagalchi station. it was cloudy. its good for me the skywalk not too high. its not scarier like in Oryukdo which higher and windy.
Lovely walk,"Came here after visiting Gamcheon village - Take Bus 7, 9, 26, 30, 71 or 96 from Chungmudong Gyocharo Board and get off at Songdo Beach Stop. Lovely walk along the bridge."
so so,It was good at cable car to see the view but not worth to go because far from other place. Not much interesting thing to see.
HBH disappointed,"We read 'SkyWalk' so we were expecting something a little higher! It is a walkway over the sea just a few metres above the the sea level. There is, in parts, the opportunity to look down through very scratched plexi glass to the sea below, which is also somewhat dark. Don't expect to see fish swimming around underneath the walkway, Busan is a very busy sea port and the sea reflects this. At one point you have to scramble over rocks to reach the viewing area at the end, this could be very difficult for less able folk or wheelchairs,"
One of the many Sea view strolling locations at Busan,"Just like several others, Songdo skywalk is another sea view strolling location at Busan. It is near the Songdo beach. You can have a great view of the sea, shores, bridge and all around. Walking over the bridge and near the area is very comfortable. There is a cable car nearby to have a view of the whole area from top, but ground views from skywalk are just as fine as well. A good photo shoot location."
Very pretty!,"This area is really pretty, especially during sunset. The skywalk takes you a little bit further out which gives you a very nice view of Songdo Beach. Just be aware of the seagulls as a lot of people are feeding them in the area. "
Ok,"A nice little promenade out from the beach front, but really not much more than a pier! You do get a pretty good view of the big ships waiting to come in to port though. The beach itself is fairly average but it seems to be patrolled. If you’re from somewhere like Australia which has beautiful beaches, I wouldn’t go there on purpose. "
Cool skywalk in Busan,The sky walk and the cable car is located at the Songdo beach. It's near Gamcheon village. You can grab a taxi from the village. The skywalk is very long and cool. 
Not a big thrill,"It’s a walkway over the water with scratched plexi glass in a few spots. The beach might be fun to hang out in fur a day, though"
Nice Bridge with a nice view of the sea and Gamcheong Village,This is near Gamcheong cultural village. Good to drop by here to take some photos after visiting the village. The skywalk is not very long and you should be done with this place within 30 mins. Go this place only if it is on the way.
Interesting skywalk!,"We came by Songdo Skywalk after visiting Gamcheong village. The skywalk overlooks beautiful sea! Some parts of the skywalk are made of glass and one can see the sea below! Great photos of the colourful village, lighthouses and surroundings. Not to be missed!"
Holiday ,"The walk itself is not overwhelming however the concept is novel and the scenery from the walk offers a whale in the ocean, a mermaid and good views for the beach which is pleasant. Easy walking and a good experience. "
Another Great Busan Seaview,"There is a beach located beside the Songdo Skywalk. Peace place to feel the sea breeze and take some photos. There are some statue built on the cliff rock. Other than that, nothing much on this skywalk."
free activity,"an activity that does not cost anything if you happen to be in this area.across the road, there is an observation deck as well."
Songdo Skywalk,"Nothing much just walking on the bridge. Okyrudo is much better. But if you want to see the surrounding, it is better to take the air cruise cable car."
Calm place for your little resting,"It was really short time but Song- do sky walk was strong impressive place for me. Just we can see the Sea and walk and talking follow the wind and calm wave. Travel make people hard and hurry sometimes, but when we meet some special place, we can find another reason ' why am I here, and Who is with me now ...' if you need some break in your trip Song-do sky walk it will be great place for you. "
Worth a walk around after getting off the Songdo Cable car.,You can either drive to this place or get off from the Songdo Cable car.It's just a couple of fancy bridges you walk over the water on.There are lots of food places and car parking.It's worth the effort if your in the area.
