review_title,review_body
Old Sejong The Great-The Guy Who Created Hangul,"This is one of two impressive statues in Gwanghaman Square, the other being that of Admiral Yi Sun-Sin. Sejong lived from 1307 until 1450 and was the fourth King in the Jaseon Dynasty.The title of Great"" apparently bestowed on all kings after they died but Sejong did invent the Korean alphabet , known as Hangul and promoted science and other good things.And a nice, big and impressive statue it was and fitting for a historic ruler."
Big golden statue,One of the statues in the square where you can watch the palace and the mountain view behind it. Good for some photos.
Sejong the Great,The Stature of Sejong the Great is usually very busy around Daytime. So make sure you have time. Go in the morning or evening to make some good pictures with the montains behind the stature. Also there are a lot of other great tourists spots around the stature which you may should check out. 
Imposing statue,"This imposing statue is the focal point in Gwanghwamun Square. It is to honour King Sejong the Great, the fourth and most respected king of the Joseon Dynasty and creator of Hangeul, Korea's alphabet. A passageway behind the statue leads to a museum, featuring the life and achievements of this king. Free admission."
A grand statue ,Loved the location on the large square with the mountains in the background. We were delighted to find a door behind the statue which led to a museum about Sejong the Great where we learnt he invented the Korean alphabet!
Great to see it!,"I was here, and I was amazed at the creation of the statue and the history behind it. Come here if you want to enjoy history :)."
The Heart of Seoul,"Ever since I've watched a drama about King Sejong, I knew I had to visit his statue and take a photo with him. Little did I know that it's in the center of Seoul. It is very easy to find and impossible to miss when visiting the Gyeongbokgung Palace, Cheonggyecheon Stream, and other famous spots in Seoul.King Sejong's statue is among the popular tourist spots in the area so don't miss taking a souvenir photo with him. You might just have to fall in line. And maybe ask for someone to take your photo if traveling alone like me."
best king,"so majestically built to one of the best king during joseon dynasty. if I am a Korean, I feel really and totally proud."
Greatest King of Korea,"The statue of King Sejong one of the greatest rulers of Joseon Dynasty has been installed in the G Square as a gratitude for his contribution in strengthening the Joseon Dynasty and also as an inventor of Korean Alphabets – the Hangeul, Armillary globe, rain gauge, the Sun dial etc. He is remembered for his contribution to the great strides Korea made in the field of agriculture, science, technology.The bronze statute which is about 9.5 meters high shows the King sitting with a book in his hand and a gentle smile. There are around 6 columns behind the statue showcasing the accomplishments of this great king.There is also an exhibition underground depicting the achievements of the king which is open to public.Include the visit to this place along with the visit G Palace."
"The entrance to the underground museum is beneath the statue, in the front",Located at Gwanghwamun. Good place to visit before/after Gyeongbokgung! The exhibitions were all in Korean though.
Father of Korean Alphabet,"This big bronze statue of Sejong the Great (1397-1450) stands on a pedestal in the middle of Gwanghwamun Plaza. Designed by Kim Yeong-Won and placed here in 2009, the depiction honors the scholar king, whose accomplishments include the invention of Hangeul, the Korean alphabet. We came across the statue when walking on the plaza toward the nearby Gyeongbokgung Palace.King Sejong is presented in royal attire, seated on a throne. The right arm is stretched outward and the left hand holds a book. He smiles, perhaps portraying his philosophy of love for his people. Behind the statue stand six columns with information about the king's major achievements. A door by the statue's base leads to an underground exhibition hall on the king and another about Admiral Yi Sunshin. A statue of the admiral stands about 820 feet south of this one on the plaza. We took a detour from our palace goal to visit the two halls. As history buffs, we found them both to be informative and well curated."
Interesting statue,It’s a pretty cool statue to keep an eye out for as you head towards the palace - hard to miss as its in the middle of the street!
Large imposing statue at the centre of Gwanghwamun Square,"This is an important landmark in Seoul anddepicts the 15th century Korean monarch, Sejong the Great, the fourth king of Joseon dynasty. It is strategically located in Gwanghwamun Square with the backdrop of Gyeongbokgung Palace. The king is presented smiling and sitting on his golden throne with one hand raised and the other resting on a book.His main claim to fame is the invention of Hangul, the official alphabet of the Korean language. This consists of 14 consonants and 10 vowels. I haven't studied this much more but I was amused to be accosted in a nearby street by two young teenage girls who wanted to interview me as a foreigner, give me a pamphlet on Hangul and show me how to write my first name in Hangul."
King Sejong the Great,"In Gwanghwamun Square there are two statues, one of which is of King Sejong, who reigned from 1418 - 1450 when he died. This statue is illuminated at night and you should see it then if you are in the area."
interesting,nice spot in front of the palace with lots of historical background as learning lesson for tourism like me
Creator of Korean characters ,"Sejong emperor is one of the most respected emperors in Korea. It was he who created Hangul, Korean characters. Nowadays everyone uses it, but at that time his action was protested by many Confucian schoolers, who used Chinese characters."
Best place on Earth,"I don’t exactly know why but this place is definitely the one that I prefer in this world.Being in front of this statue, close to the palace (and nature) and at the same time, being rounded by buildings.. amazing"
Huge Monument,"We were walking towards the Gyeongbukgong Palace to watch the changing of the guards when we came to a huge momument of a well known person in South Korea, the Statue of Sejong the Great. We did not waste time and started clicking for souvenir photos and at the same time searching Google to learn about this Great Man sitting on a big chair atop a pedestal in the Gwanghwamun Square walk path leading to the palace. We learn that Sejong the Great was born in 15May1397 and was the 4th King of Joseon dynasty of Korea. He ""reinforced the Confucian policies then created and promulgated the Korean alphabet Hangul.""He died either in the year 1442 or 1450 according to scholars of Korean history."
"The statue of Great King, Sejong.","C ( 17.12.06 ) King Sejong is great king in Korea history. The King sejong made Korean alphabet, Hangeul, the most scientific letter. The statue was landmark in this area with the statue of Yi Sun-sin. There was good museum under this statue, and must go."
Sejong the Great,Iconic statue of Great King Sejong. The location is strategic and can be accessed from the Gwanghwamun Gate. Very good place to take a quick photo session or admire Korean Culture and History.
Quick photo. ,Just a quick pass by the statue for a photo. It could have been better if the stage behind it (there was a concert the night before) was not there. So that the palace gates would be visible in pictures
Great King,"The King Sejong Statue is located at the centre of Gwanghawmun Square. This is a grand square that is located in front of the Gwanghwamun Gate. The king is best remembered for the Korean alphabet which he invented. He was a wise king who led Korea in the fields of science and technology. He invented the rain gauge, the sundial and a celestial globe. He also made great progress in agriculture and literature. That is why the statue of the king has a book in his hand.The statue is made of bronze and is about ten metres high. Behind the statue, there are six columns with golden carvings. These tell the story of what the king achieved and accomplished. On the side of the square is a stream that flows on tiles that have Korean inscriptions. This is the “Waterway of History”."
Good for photo ops,This statue is quite iconic and having photo ops in this area is quite mandatory. Try learning about his works like introducing the Korean alphabet and how these are displayed well in the vicinity.
Huge monument,"Sitting right outside the Museum of Korea, directly in front of the palace gates, this vast statue towers above the traffic and makes a good photo op."
Iconic Statue in Gwanghwamun,"While not being the sole reason for visiting Gwanghwamun Square Sejong's statue stands as a reminder to the citizens of Seoul that King Sejong was an iconic leader as well as the instigator of the Korean alphabet, 'hangeul'. Te statue gazes along Sejong Ro and as such provides the ideal photo opportunity to both tourists and locals alike."
Better at night ,This is an impressive statue. However it is still just a statue. It's lit up at night. Located at the front of the palace 
A statue in Seoul,"There isn't much to this statue in the middle of the street near one of the best palaces in the country and the Blue House. If you're around Seoul long enough, you'll see it, but you shouldn't go out of your way. "
Prominent statue,"We found this statue in Gwanghwamun square. It was an imposing statue, very nice and it was built to remember a great and respected king. There is a free museum nearby."
Imposing and central,"There is always something going on in the park around this statue, but that doesn't reduce how cool he is against the backdrop of the Palace and the mountains. Worth visiting."
Good to visit to learn about this famous Korean,A nice monument to the this great respected Korean. There is a small museum or information center on his inventions and achievements. Very nice place to learn about some Korean history.
Visited many times still like this place.,"In another post re: Gwanghamun Square, I mention that there is a museum that you can enter for free for a great cultural experience. I highly recommend the King Sejong Exhibit Hall which is located at the backside under the statue."
Remember the statue is also entrance to the museum.,"Remember to visit the museum under the statue. That is the most interesting part, the history of King Sejong and the history of battles at sea with the Japanese navy."
Interesting,"This statue it is probably the first thing you will see when you come out of Gwanghwamun Station, exit 9. Located in the middle of Gwanghwamun Square, this statue is built in to honour King Sejong, the creator of the Korean alphabet.If you go behind the statue, you will find the entrance to an underground museum about the King. I did not go in as it was before opening hours."
A statue to honor a great ruler,"King Sejong is the 4th king of the 500 year old Joseon Dynasty and reigned for 32 years from 1418 to 1450. His contributions to the kingdom include using the principles of Confucianism in politics, advancing science and technology, strengthening Korean military while emphasizing foreign policy, and creating the Korean alphabet Hangul. An impressive resume which fully deserved a giant statue in the middle of Gwanghwamun Square!"
Symbolic figure,"In front of the Gyeongbokgung palace, it was interesting to see this grand statue commanding a view across the square. Worth a visit as symbolic and close to the Kin statue.Thanks for the vote if you found this review helpful."
Meaningful,"I personally find myself humbled and awe at this majestic statue everytime I visit Seoul- perhaps it's because of who and what King Sejong represents. TIP (For the bookish) : After or before visiting the Statue, make the most of your time in the location and visit the Kyobo (underground) bookstore."
Interesting but plain,"Interesting as statues go, but for me worth mentioning is the revived stream with a gushing waterfall (frozen in the winter) nearby. Locals sit in the shade of the bridge and dip their feet in the water in summer."
Near the palace,I thought it was a great statue and great for pictures. We had gone to visit the palace which is within walking distance. There were a lot of school children there. If you use the hop on hop off it is close to the pick up area.
