review_title,review_body
King Joseon & Admiral Yi Sun Shin Dominate This Square,"Just down from the two large palaces you will find this quite interesting square in the center of the road containing a statue of King Joseon (sitting) and Admiral Yi Sun Shin on a Pedestal.The square also has some interesting potted trees.The Admiral was famous for his battles with the Japanese during their invasion in the 16th Century, at the time Josoen was on the throne."
Traffic Lanes Transformed To Public Square,"Just 10 years ago, this public square replaced 10 traffic lanes as part of various environmentally friendly renovations going on in Seoul. The big rectangle runs from Gwanghwamun Gate on the North to Sejongno Sageon intersection on the South. We walked its length from the intersection, en route to Gyeongbokgung, the city’s premier palace on a Saturday afternoon. I saw no greenery anywhere on the square to soften the effect of its vast concrete underfoot, but many attention-grabbers beckoned, including two big statues.We encountered the first statue almost immediately, at the Southern edge of the square. It depicts a standing Admiral Yi Sunshin (1545-1598), who led the defeat of the Japanese Navy in the Imijin War. A nearby fountain, known as the 12.23, commemorates the admiral’s 23 battles with 12 warships during that war. The second statue, also nicely crafted, appears in the middle of the square, showing King Sejong (1397-1450) seated on a throne. Among other accomplishments, he created the Korean alphabet.While looking around the king’s statue, we discovered an entrance at the rear that led to a lower level with two free exhibition halls focused on the king and the admiral. History buffs, we spent about 1 hour here, learning fascinating information about both men. Returning to sunlight again, we came across a book fair on the square, where many events are held for the public.Three traffic lanes flank both the East and West sides of the square and a Metro entrance is in the square itself. Government administrative offices appear beyond the lanes on the East Side and the Sejong Center (performing arts), which we also visited, is the standout building on the West side."
2 huge statues,The square is large with 2 huge statues of Korea's historical figures. And in the background you can see the mountain and the palace.
Not really a square,A busy main road with a central area surrounded by a few civic buildings sums up the square. Not much to see except a couple of statues and lots of traffic. Leads up to Gyeongbokgung Palace and gate.
Gwanghwamun Square,Not much to do here other than see the statues. I presume they have events here throughout the year. Seems to be popular with tourists. In a great area as there are lots of coffee shops and restaurants nearby. Good to visit after the palace as it’s just outside. 
Noisy protests ruined the day,"There is a fringe political group holding protests in the area - every weekend apparently - they wear earplugs and shout through very loud speakers, block the way and harangue tourists. I would advise staying away until these folks shuffle off."
Lovely Ceremonial Square ,This is the massive and impressive public square in front of the main entrance to Gwanghwamun Palace and its full of interesting statuary and plenty of plaques explain things that used to be there and things that still do! Great views of the palace and its main gate. Loads of life and bustle about and its very close to the main shoppibg areas and lots of eateries.
History,"Great historical figure, lots to learn about the Korean alphabet and their way of thinking based on this historical figure"
Public square in front of Gyeongbokgung Palace,"This square is just in front of Gwanghwamun Gate, the main gate of Gyeongbokgung Palace. The square has 2 imposing statues, ie King Sejong and Admiral Yi Sun-Sin. To know more about the 2 figures, suggest you visit the underground museum, located just behind the statue of the king. Free admission. Nice to spend about 10 to 20 mins enjoying the air con and use the toilet before moving on."
Visit the museum in the basement ,"This is a very formal and grand public square in honour of the well loved Emperor Sejong.There is a museum in the basement (free admissions) which is below the statute of the Emperor. Look for the interesting displays on the history of Korea, Hangeul language and the lifestyle of the early days.You could watch a short movie, which is very informative, in this small museum.Back to the Gwanghwamun Square, there are many spots for nice photos. "
Beautifully situated,"An imposing square -- with a Joceon Palace to the north and statues of King Sejong and Admiral Yi Sun Shin adorning the median. Obviously not worth a trip, but when in the area it makes for a lovely stroll (as long as there are not more anti-American demonstrations along the way, since this is also the site of the US Embassy)."
Gwanghwamun Square VIsit,So magnificent! I loved majestic architecture in this place. I also loved the way that the guide introduce me the history of Korea and this attraction.
Stunning sceney,Absolutely loved the mountains in the background and to see the palace in the distance. The statue is very well made. At the sides of the square is a floor plaque for each year with something written next to it (wasn’t in English so unsure what it said but I found it really intriguing). I loved the buildings and really feeling like you were in Seoul. 
Major promenade leading to Gyeongbokgung Palace,"Along this busy street are many statues and historical markers to Korean history. This is where parades, events and demonstrations happen. At the end of the street is the palace. Well worth walking the entire length."
Good to see on the way to the palace,The statute is massive and situated right in front of the palace entrance so it can’t be missed. We went early and managed to avoid the crowds. 
Big Square in the city,"the squarer surround by the changeoung stream, the king sejong statue, and the gyeungbokgung palace, in front of gwanghwamun gate, exactly in the centre of the city when the modern building mix with the traditional culture"
Underground Museum - Good for a quick look,"We were walking through the square, saw the massive statues of King Sejong and Admiral Yi Sunshin, so we decided to stop in. I found this museum very engaging for being devoted to only two historical figures. Turns out the King Sejong created the Korean language and was an early model for the value of scholarship. Admiral Yi's story is simply amazing and the exhibits in that portion of the museum are fantastic.We intended to just have a quick look and ended up staying for two hours. We were pleasantly surprised.Also, the museum provides (for a charge) activities for kids. We loved making the wood cut prints - my kids still have theirs!If you have some time, stop in and see what this museum has to offer!"
Can’t miss,"On my way to palace G and N market, you can’t miss this square. Easy to walk through, very interesting statues (king and admiral) what is explained. Try the underneath museum. Really good to get a taste of Korean culture and history. "
Visit the memorial to the Sewol ferry victims,"An impressive and centrally located area where you can find colourful water fountains at night, the Statue of Admiral Yi Sun-Sin and Statue of Sejong the Great amongst others. There is also the Memorial to the Sewol Ferry Victims which currently dominates the park as well as a man with a sign protesting the presence of American troops in Korea.However, for us the most memorable was the memorial to the Sewol ferry victims where 250 students died in a tragic ferry accident. The memorial shows photos of the students and allows donations too."
Cold during winter,Wind blowing will make your face frozen when walking in this square. King Sejong's underground memorial/museum can be your savior to escape the winter cold. Nice to walk in this square until you reach Gyeongbokgung Palace.
Impressive statue and museum,"Visited Gwanghwamun Square to take photos of the King Sejong statue. When I arrived at the statue, I found that there's a museum dedicated to the king down under the statue. Admission into the museum is free and there's no crowd at all. Worth visiting."
impressive statue of King Sejong centred the popular square,we had to line up to take photos of the statue of King Sejong which is 6.2 meter high. we also visited the museum dedicated to honor him near this statue. must see. 
G Square,This square is in front of G Place and not to be missed as it has huge statues of two prominent people who shaped South Korea and a underground museum. One can spend a few hours here during early morning and during evening go around this square which a water fountain and plants blooming with flowers of various colors on the side path.This square is also used for various cultural and political activities as adjacent to this square there is a row of foreign embassies.The day of our visit a meeting between the North and South korea was scheduled and there were many groups which were celebrating as a mark of this historic occasion. We were served local delicacies and sweets and we all danced with them and participated in their prayer.The G square houses huge bronze status of King Sejong who is believed to have consolidated the Joseon Dynasty and also the founder of Korean alphabet. There is also a bronze status of the 16th Century Japan-Korean war hero Admiral Yi Sun Sin in a standing posture holding a sword. In front of this status is a water fountain having 23 jets symbolizing the 23 battles he fought.There is also an underground Musuem built in the memory of this King & the Admiral.
It's the KING,Part of the beautiful boulevard that leads to the Palace. Enjoy a leisurely walk past reminders of Korea's history.King Sejong who brought the Korean script to life.
A bit commercial but fun,"There are often markets on the square and the views of the palace are great, the square is also very centrally located and surrounded by interesting buildings."
"Gwanghwamun Square, Korean history in Seoul ","Gwanghwamun Square is locates in the center of Seoul, the 2 major attractions are: 1- the statue of King Sejong (15th century). 2- the Gwanghwamun was constructed as the main gate to Gyeongbokgung Palace, the most important royal palace during the Joseon Dynasty in Korea. It worth visiting to learn something about the Korean history. "
A weekend of activities around the Gwanghwamun Square,"The Gwanghwamun Square is a large, long, thin, traffic free area which extends down from the Gwanghwamun Gate to the statue of Admiral Yi Sun-sin of the Joseon Dynasty. Apparently it is a protest free zone. On the weekend that I stayed in Seoul the whole area was taken over by many small, tent like stalls with groups, mainly of school kids & young people in a massive arts and crafts event. I liked the fact that at least two locations on the square (it's more like a long thin stretch of land between two large thoroughfares), they had built stages and people were performing different forms of music and dance. I sat around for quite some time in the warm October sun enjoying free entertainment on both the Saturday and Sunday afternoons. In addition to the imposing statue of the Admiral there was also one of King Sejong the Great of Joseon who created and introduced ""Hangul"", the native phonetic writing system for the Korean language.Nearby you have the City Hall, the Cheonggyecheon stream and, of course the whole Gyeongbokgung Palace complex. And the well ""fortified"" USA embassy is close by as witnessed by the fairly significant police presence."
Large Square!,"Located in front of Gwanghwamun Gate, so that was nice! The fountains and statues were good to see, happy I went!"
Historical square with an almost deserted museum down under!,"I think most tourist would only take pictures with or of King Sejeong and thing surrounding it and not go to their museum. The museum btw is free entrance so if you want to take a deeper look on your travel, you must go there. There aren't a lot of people inside and there are a lot of things you can learn from the place. Anyway, I do love how this place is just near the Gwanghwamun gate and when you take your pics, you have it as you background. This place is definitely a must and it's also near Cheonggyecheon stream."
Lovely square,"Gwanghwamun Square leads to Gwanghwamun Gate - another attraction nearby but for us the entire square was worth doing. From the fountains to the statues and sculptures, not to mention just watching things go by. We enjoyed our time here."
Huge open plaza ,"This is a big plaza in front of the Gyeonbokgong. There is a huge statue of King Sejong, who invented the Korean alphabets. "
A strange square,"Gwanghwamun is not really a square but a large rectangle in the center of Seoul, directy in front of Gyeonbokgung Palace. There are two famous statues in the middle of the square which divides the highway in two. Many tall buildings are on each side of the street."
Large public square in the centre of Seoul,"I much preferred our recent visit to Gwanghwamun Square than in the past, it was full of atmosphere with a local community fair in progress as well as a large memorial to a recent disaster in Korean to view and ponder, it certainly was a busy public square. Also there are two fabulous statues of great Korean people, Admiral Yi Sun-Shin and King Sejong who have left their mark on Korean society and culture, check out the fun water fountain, most likely enjoyed more in warmer months. At the far end of the square, away of from the business centre, is Bukaksan Mountain in the distance with Gyeongbokgung Palace in the foreground. There is no shade on the square so sun protection is required and recommend a good pair of walking shoes for an enjoyable day out in Seoul."
"Great statute of a great man, good spot to take pictures",Great statue of one of the most important man in the history of Korea. He invented the Korean script to replace Chinese characters. Very spacious to walk around and take pictures.
Large square leading on from Geongbokgung ,When we were there this year the square was set up for viewing of World Cup matches so there were many tents round the statue of King Sejong the most revered monarch in Korean history who created the Hangul. We had a nice wander around and saw the statue of Admiral Yi where there was a mountain. There was a moving memorial exhibition about the Sewol ferry disaster where bodies of a number of people have still not been found and families are still waiting for an investigation to be done and those responsible held to account. The square is really impressive esp as you walk towards Gyeongbokgung and the mountains behind it. A must visit site when in Seoul - easily accessible to Cheonggyecheon and other sights. 
King Sejong the Great,Commemorating the King who was credited of creating the Korean words as we know today. There’s an entrance to the basement where a small museum is located - depicting the various technological advancement and of course the founding of Korean language which is associated with this King. English commentary is provided. 
Nice place ,Nice place to walk around and see thing a lot people here they hangout and do a lot of different thing ! A lot a shop and coffee shop also!! Beautiful view of the mountains too and very clean!!! And very safe!! I will be there in June 5 2018 
