review_title,review_body
AMAZING boutique shopping!,"If you are interested in boutique, independent-designer shopping - this street is a must visit. I spent an entire afternoon here and could easily have gone for longer. Lots of cute primarily clothing and jewelry boutiques, lots of pop-up jewelry stands on the street. Also make sure you pop into all the side streets as well - Garosu-gil is the main thoroughfare, but there are a lot of shops and cafes as well on the side streets all the way down the block. Shops are open until late (~9-11 PM)"
High end unique shops!,"If you're looking for unique stuff, then visit this place.Pretty pricey area! This is where Korean local elite class go."
Interesting area to walk and shop,"The area was recommended by locals and indeed, it was interesting to walk around. We spotted many local singers. It was dominated by youngsters. We took a coffee and watched different kind of people walking around."
Love this place! Must GO,"Don't miss to have a cup of coffee at one of the many cafes, it's worth to chill for an evening apart from shopping around. "
place to shop and walk,famous and exquisite stores are lined up through Garosugil. You can enjoy window shop and walk the way thru after you have dinner
Hip & trendy shopping street,"Lots of plastic surgery clinics here. It's a hip and trendy shopping street. I came here to shop at Lapalette, but I couldn't find it. Overall, a nice neighbourhood and is less crowded compared to Myeongdong."
Great neighborhood ,"The area has several Korean, Asian, international and fusion restaurants. Nice selection of boutiques all with manicured windows displaying well- selected items. The area is pleasant to walk. Enjoy it!"
Trendy shopping street,i love this area. you can spend at least half day in Garosu-gil+Lots of cafes. +Not too crowded like Myeongdong+Lovely shops
Coffeeshops and clothing stores but chill overall,"After the streets of Myeongdong, Hongdae, Ewha and Gangnam I was very eager to leave those places as it swarms with a lot of people either shopping or partying. Imagine my excitement at experiencing this area with such chill vibes with same cosmetics stores, high end stores and artistic buildings. If you are looking for a chill place to get coffee or buy sports clothing or casual wears with less people and less noise. This is the place."
My favorite place to be!,Great place to explore....... a good choices of boutiques and also shops. Much quieter in comparison with other tourist spot. The beauty of the season can be seen here along the street. 
Only good for restaurants...,"This place is only good for restaurant options. The hype for the brand name that I do not even know of is not worth it. Also, it is disappointing that certain stores do not even let you try on shirts and you can not return or exchange it. Not a good spot for shopping in my opinion. "
Used to be much better...,"This area used to be a trendy area with a lot of nice cafes, restaurants, and boutique shops. However, in the recent years has seen a huge number of big brands coming in and made the whole area a.... meh... not interesting any more."
Hip quarter of seoul,"lots of nice different restaurants , coffee shops, tea houses , nice shops , very good spot to buy cosmetics"
Great shopping experience,"Great Shopping experience, trendy place for shopping in South Korea. Lot of restaurant in Shinsadong "
Better than Myeongdong,"I went to both Garosu-gil and Myeongdong shopping streets and I have to give Garosu-gil 2 thumbs up! As a cafe / coffee lover, I recommend exploring this place! You will find unique and hipster coffee houses as well as the usual coffee houses (such as Line Cafe) you will commonly find in Korea. Moreover, you see people wear really trendy and fashionable clothes here than in Myeongdong. Another bonus point is there are quite a number of insta-photo spots where you can take nice photos :)"
Gingko Tree Lined Street,"I visited the Bohemian-chic Garosu-Gil Street in my day tour. It is an upscale and trendy shopping and art district located south of the Han River in Sinsa-dong, Gangnam-gu. We had limited time for roaming around. Garosu-gil, also known as ""Gingko Tree Lined Street"". The vibs are very youthful and hippy. SEE photos"
Great street for cafe and shopping!,This street is lined with fashion stores and cafes and youthful crowds. It's better than the many malls in Seoul as it offers good diversity and nothing beats outdoor shopping!
Boring street,"Although there are lots of people here, but for some reason, I don’t feel any excitement here. Lots of cafeteria and some restaurants selling non Korean food. No street food. If you are looking for food, you might have better luck with the next parallel street to this one. "
Interesting area with great shops,"It is a totally different experience beside visiting temples, palaces and ""hot"" food :) Many designer's shops and cute cafe to visit. Its a very kid friendly and most of them speak English very well...phewww"
Something Different,This tree lines street is filled with boutiques which offer really nice clothes and accessories. We also enjoyed cafes from the quaint 8 SECONDS cafe to the cutie ones like Line and Skin food cafe. Not crowded at all.
quality shopping place,"Unlike Myungdong (a lot of tourists, China town-like), this place is less crowded, with trendy/quality shops and cafe. Shops open at 10-10:30, early enough for most. Attached my lovely daughter in LINE store. "
Must-visit for all fashionista,"You need to dedicate your entire afternoon at garosugil. Over here they have unique clothing boutique that shouts 'korean-style'. And of course its selling at a higher price as the design you can't find it at places like hongdae, edae or myeongdong. Judging from the quality it definitely worth the price. My advice is don't focus only on shops located along the main street. There are many more hidden gems inside those narrow alley. If you are tired there are plenty of cafes for you to choose. Have a sip of coffee and enjoy people-watching, or you can chit-chat with friends. Also, there are a lot of instaworthy corners for you to explore. Don't be shy because they are many people posing for photos too. I hope you guys will enjoy garosugil as much as I do."
coffee & shopping road,short road but lots of shops and cafe in this area. clothes and accessories are pricey but some is unique and worth for money. those who love cafe hopping must love this neighborhood! 
Garosugil Glam,"This is one place that draws me more than Myeongdong for its more glitzy image and less congested street. Although the shops here are more upmarket, this street sprouts into narrower alleyways that lead you to myriads of cafes that offer a tantalising array of cakes and lattes. Four years ago i had stumbled upon this tiny but quaint cafe called the Banana cafe which serves cakes in a flowerpot and lattes topped with pink cotton candy. If you love skin care then you must visit the Skin Food Cafe after shopping for its products and the Dr Jart flagship store that flaunts its state-of-the-art deco to lure you to buy its array of products that promise to transform your face into a flawless complexion. That i can vouch for after I bought it’s line of Ceremide masks that uses nano technology!"
Shopping paradise,"A more unique and refined shopping experience in Seoul with its gingko tree lined avenue compared to the cosmetic street in Myeondong or the bargain basement sweep in Dongdaemun.Be warned that it may be expensive. Fun place to people watch, window shop or to have a cup of coffee"
shopping district & Plastic surgery,One of the trendy & posh shopping district for the wealthy in seoul. And plenty of cafe & restaurant & bar around the area. But the most intersting sight i notice are many people walking with bandages after having plastic surgery.
Tree-lined street with autumn hues,The street is beautiful and lined with trees filled with autumn colours. There are many trendy shops and cafes scatter around the area. The people here seems more affluent looking and well-dressed compared to other areas.
beautiful street,beautiful street with shops along both sides and nice cafes to sit and enjoy a cup of coffee and some pastries. It was autumn and the trees along the road was just beautiful
Cafe Heaven!,"I love Garosu gil! So many cute cafes and trendy shops, it's one of my favorite places in Korea. Anything hip and trendy can be found here."
Youth road,"It's a good place for hangout. There are a lot of coffee shop, makeup store, and clothing store for youngsters."
Cool & refined,There are diverse and cool shops and restaurant. Garosugil is most wealthy area in Seoul. So there are many sexy and young girls here
Interesting exploration,"Filled with many independent shop, this place is a great exploration where one is able to see the talent and artistic korean in many aspect from fashion to jewellery. There are many high end shops here too"
so chic,"garosugil is a place to see and be seen. right smack in the heart of plastic surgery town, every corner you go, you will meet someone with bandages and theyre not afraid to show. this is the place to people watch and you can tell from the countless cafes with themes you will be spoilt for choice. a person can only stomach that much of a coffee in one day, but theyre so attractive i wanna hang out at more cafes. you can also grab your makeup supply and k fashion here. notable shops to stop by include, line, artbox, karl lagerfeld. "
posh but cozy,"i really fell in love with this area. full of shopping and hang out places, but somehow it's still comfortable and not so run down with tourists. you can get a glimpse at the life of somewhat upper class seoulites. good looking bunch, i must say!"
shopping / cafehopping,"Went to this place cos of Line & Friends cafe, despite it being known for its many cafes. Friends had a good lunch there and we had fun walking / shopping around"
Life in pink,"Great for shopping beauty products, calm streat, modern, great food and restaurants, spotted some vintage cars too"
A real shopping street,"Garosu-Gil is a real shopping street. Not only a local brands but also korea brands and designer's shops are located in this street. Not only fashion but also chic restaurants and cafes are situated in this street. You can enjoy shopping, eating, and chilling all day and all night. "
The rich part of town,Much cleaner than other areas in Seoul but this is matched by the calibre of shop and the general attitude of the people wandering around even more image conscious than the regular people around Seoul.Quite a few nice restaurants and far less busy which can be nice.
Yellow and bright - perfect for a stop over,There is no shortage of café in Garosu-gil but Skin food café was lovely bright and delicious. don't miss out while you stroll down this lovely street.
Fun shopping district,"If you're into a fun shopping experience, with upscale architecture and designer labels this is a must see destination in the Gangnam district of Seoul. Many shops are affordable as well and offer unique one of a kind items. "
great shopping,anything and everything can be bought here. If you are looking for Korean cosmetics - you will find it here
Great street to chill,"Went here twice during our stay in Seoul. The main street is great, but the really nice and chic cafes are in the little streets branching out from the main street, so a little bit of exploration is advised.We found really good places like C27, Acacia, Gilbert's Burgers and Fries, FIKA from these smaller streets and they're worth checking out."
Great place to walk around and discovery,"Love this place, I found this place kinda artistic. Gentle monster is aound this neighborhood, try to walk as deep as possible and you will discover a lot of good stuff. I made a video on my trip to seoul, come and watch my video for better details.search title :#5 TRAVEL BLOG DAY 4 SEOUL - BEAUTY STORE CAFE "
Neighborhood much larger than Dosan-Daero 13-gil!!,"We stayed in this neighborhood as a base for exploring the rest of Seoul. Advantages are that there are numerous small streets on either side of Dosan-Daero 13-gil to explore filled with boutique cafes, restaurants, bars, karaoke, and shops. Although Dosan-Daero 13-gil has lots of western name brand stores, the streets to either side seem to mostly have one-offs that are currently under-represented on trip advisor. There are very few western tourists on these side streets but it seems very popular with local 20- and 30-somethings. Restaurants range across Korean, Japanese, French, Italian, Mexican, Indian, Thai, Vietnamese. Especially enjoyable for walking around in the early evenings when it is cooler and the shops are still open (generally until 9 or 10pm). A little harder to find restaurants for breakfast before 10am, though there are some. Arrive using the Sinsa metro station, take exit 8, and then turn down any of the streets to the left to access the area."
Worth going,"10mins walk from MRT station. I personally quite like the environment. Very nice street with mixture of boutiques, cafes and restaurants. I went there twice during the trip."
The Rodeo Drive of Korea,"Garosu-gil is located in the Gangnam area of Seoul. This is the more affluent part of the city, with BMW's and designer brands as commonplace as coffee shops. The best part about this place is that it's so scenic. Even if you have no major cash to spend on the big stores and brands, you can have a good time walking by the sidewalk and enjoying the trees swaying in the breeze. There are also lots of great places to eat here, which cater to all cuisines and tastes. (Try finding the Flying Pan and Saigon Market, which are really great places to try.) Don't be afraid to go into side alleys either, because we were able to try some delicious desserts at one of the cafes on their roof deck. Also checkout Artbox, which is a great place to buy affordable/quality souvenirs! I was annoyed I didn't find this sooner. Garosu-gil isn't the shopping mecca for millennials or frugal folks, but it's still worth visiting for the sights and sounds! "
Very good but need more restrooms. ,"It very good to feel the gangnam style. It was very good when I first visit here at that time I didn't feel any inconvenience but today (9 June, 2017) I am waiting for customers. There is no ""Open Restrooms"" in this street. (In South Korea, we have many oppen restroom for visitors.) So I have buy drinks or coffee to go to restroom or I have to far to subway station. It is very uncommen in South Korea that don't have open restroom in the shooping street or tour destinations. :-( "
"Lovely tree lined place with shopping, cafes!","If you enjoy cafe hopping, this is a must visit on your list. Don't forget to wonder off the main road as that is where many cafes are located and don't forget to look up as most cafes are not located on ground floor.If you live shopping, this is also a great place to visit. Prices here are not like those underground subway shopping, it is more expensive here. However, the style here is different from those sold at the underground subway shops... So it's not apples for apples comparsion."
a walk among the chic stores,"both sides of this road are packed with stores, small shops. many can be found in other areas. not as crowded as myeong dong"
