review_title,review_body
Very lively and interesting ,"A huge open-air market which is colorful and heartwarming in offering a slice of Korean life at its best. Everything is sold here from clothing, household goods, plants to food of all varieties. Especially impressed by the stalls selling rice/porridge with intestines (a rarity in Singapore these days) oden and all types of street food. Stall-holders are hard-working and persuasive, calling out to us to buy fresh fish, mainly mackerel, but many varieties of dried goods as well from ginseng to dried shrimp.A wonderful Sunday morning's visit! "
Street Food and More ,"This is an awesome market with a wide variety of foods and clothing, as well as other items. The street food is really awesome and very authentic. Definitely a must do while in Daegu. "
Small but tasty!,"After the Kwangjang Market in Seoul, anything will feel smaller, with fewer choices and fewer people. But the Seomun Market is still a worthy destination to try lots of different dishes and you will never get food this close to the fire. Delicious scallops, BBQ Chicken, Mung Bean Pancakes all prepared and served in minutes. You walk, eat, walk, eat and yo can even duck into one of the stores along the way to pick up a cold beer."
They are friendly and memorable place,"I visited there with my boyfriend.It’s easy to go there by subway. It’s a huge place, and they sell almost everything. I had tteokbokki with fried thin dumpling and kimbab. It was total 7,000won. The taste was okay. But I think it’s not original taste. I think they modfied the taste to forigners. I was abit a shamed of it. Anyway, eventhough the place was super crowded, I enjoyed there as much as I can. Oh, if I have change to visit there again, I would like to be there at night. "
Not bad,"I found this spot randomly while taking a walk to see the area of my hostel. Quite interesting place, lot of good looking food and kins people. Not so many sellers knew english but in the end it was not so big problem."
Nice market,Seomun Market is large and has many shops. Went on a Sunday and most shops were open. Street food and other goods available for sale. 
Nice kalguksu,"Though they have wholesale center here, the retail price of clothes are high and definitely not wholesale pricing. In fact the clothes are more expensive than those like Who.au, uniqlo or small boutiques in junggung ro. Daegu is known for napchang (flat fried dumpling wrap with japchae). Daegu offers more noodle than rice option. A lot of bakery and pharmacy here. The usual food fare like fried chicken , fried pancake in Seoul are not widespread here. "
Things ,There were a lot of people and stalls during the day. Many were closed for the lunar new year. At night there were a lot of food stalls that came out. 
Great food,Great food at the night market and very cheap! It's an easy subway trip in from anywhere in Daegu and worth visiting. 
Disappointed that place was closed,"Google indicated that the night market is opened everyday. The sign at the market stated so as well. But guess what, we went there at 7:30pm, and the whole market was closed! We were so disappointed."
