review_title,review_body
Good and punctual subway system,"Trains are punctual and well operated. Trip or day fares are available at ticket machines. Look out for direction that you are heading before entering the station gate. Train transfers are relatively convenient but do look out for signage on train directions to your desired destination.Clean and stable with minimal rocking during travelling, special sections for seniors too."
Clean and fast,"We loved the metro as it avoided the horrendous traffic!Once you get used to realising you also need to know the stop after the one you board at, the metro is easy! At least you know for sure which direction the train's travelling in!"
Great!! ,"The easiest and beat way to get around Busan, the one thing is Busan is huge so it can take some time to get across town "
Efficient metro but a bit confusing to find dirextion,"This is a very modern subways with efficiently fast and precise departure. But I find it hard, for a stranger like me, to find the direction on a particular line. While most subways in the world including Tokyo Paris NewYork to name a few, indicate the direction on a particular line by naming its end station, metro in Korea indicate this by naming a few intermediate station ahead of where you are. To us this is very confusing."
Busan has an extensive metro system,"We used the Busan metro to access our hotel from the airport. The system is safe, clean, user friendly and cheap. As a bonus the T card you bought for Seoul transport works just as well here. I prefer the subway to the buses as you avoid traffic delays. Announcements and displays include English. "
A to B,"Gets you from one place to another, via an underground train. Hard to complain. Each station also has shops and toilets, a lovely touch for those with a weak bladder. Reasonably priced too. "
Does What it’s Meant to Do,"I’ve been on many subways/metros in many cities in the world. The Busan metro does not compare favorably to many of them in terms of ease of purchasing tickets, finding your destination stop, knowing when a train is coming, and just plain general aesthetics of both trains and stations.Nevertheless it transports you to your destination quickly and efficiently, and that’s the reason for its existence."
Metro ,"Very easy to use this Metro, the signs are in both Korean and English and easy to follow. Just remember to take small notes when buying the tickets from the machines. "
"More simple than the Seoul one, but ....","We used lines 1 and two for all major landmarks - Gamcheon cultural village - Jagalchi (line 1) . In G25 shops buy a t-money card and load it with 30000 won for 5 days - appr. consumption is 5000 w per day. Valid in Seoul, Busan , Gyeongju. We assume in whole Korea - with public transport, but check it please. In busan metro there is a confusion in final stops of the line 2 - Jangsan and Yangsan - two completely different stations. Load an app Busan metro.."
Very good,Very good and clean metro. With Korean and English language wrote on metro lines it with little common sense is very easy to navigate through city.
Difficult ,The metro is kind of convenient depending on where you’re going. Buying a ticket is relatively easy though the machines do not give change if you’re recharging a card. 
Use the map to get around!,"Know where you are heading or need to switch train. Only isdue is lack of English in Busan. However, get someone to tell you which station or platform and which station to get off. There is a number on that station. Onde we tried,mit was easy,1400 won one way compared to 27,000won on taxi."
Best metro in the World!!!,"These mutts were not surprised at the technology advancement that South Korea is know for world wide, and boy, now we know why they are awesome in many ways! You don't have to read or speak Korean at all! If you go up to the ticket self service booths equipped with 'touch screens', and one of two things are going to happen: (1) You'll see the ""English"" and proceed. (2) a metro 'volunteer' will come over and ask you what language you speak, and will enthusiastically help you! We quickly learned to say in Korean, ""Thank you, but we're familiar with the process! Look, someone needs your help!"" These mutts love to learn on their own, and that way it ""sticks"" to our furry brains! Nevertheless, Humero Metro in Busan is #1!!! WiFi is available, and the 'announcement voice' states each stops in Korean, Chinese, and English! A ticket from Seomyeon station to Nampo station was about $1.40 (14000W). Next time we'll invest in the ""Money Bee"" card that's accepted at the metro, and many other business!!! At the stations that we visited during our metro excursions there were tons of shops, cafés, eateries, and places to sit! No panhandling, nor any negative encounters. Security personnel made us feel more so safer! Humero Metro #1 :o)"
Great way to get around ,Metro system is great in South Korea. Really convenient easy way to get around. It’s easy to understand and pretty cheap. 
Good way of getting around,"The one day ticket is great value if you want to go from central Busan to places like Haunde Beach. Frequent, clean trains."
Great way to travel,"We got a card from our home country before we arrived (Taiwan) and it was super-easy to load up once we were in Busan. All the machines are in English and easy to understand as are the metro maps. That being said for short to medium trips of 3-4 people, taxi is easily as affordable and faster."
"Clean, safe, convenient","From the airport you can easily get to Seomyeon in less than 25 minutes, and connect to the rest of the subway system easily. If you have been to Seoul and already have a metro card, just charge it and it can be used in Busan as well. It does stop running before midnight."
Easy to Navigate,"Efficient and economical. Best way to travel in Busan. Easy to scan our cards and go. Using in conjunction with a map was easy to get from the bus terminal to Haeundae beach. Skips car traffic and bus hassles. Very busy, but still doable. Well-placed signs made it easy to follow the directions to make connections and find where to go. We'd never used a large metro before at all, and managed to get where we wanted to go without issue. Fast, cheap, and fairly hassle free. Best way to go."
Only way to travel!,"Can’t recommend this highly enough; very easy to use, inexpensive and if you can get the recharge pass - very convenient for travel across the city. You can use this in the bus as well.Hot tip; use google maps to work out your travel route - it will make things easier to navigate around."
"Frequencies not always fantastic, but still a good Metro network","I like Asian metros due to their efficiency.Busan's Metro is no exception with the T Money card offering convenience and economical fares at roughly KRW1300 a triop, as well as convenient access to Busan railway station, shopping districts such as Nampo and beaches such as Haeundae and the better Songdo - the latter is by bus routes such as 6,7, 30 or 71 ex Namp station, taking 13 minutes by bus.Trains are clean and comfortable.Stations do not have escalators or lifts at every exit so check this carefully.No staff visible."
Busan Station,"There are a lot of hotels and hostels near Busan Station, the station itself is at a convenient location, but it is a commercial district, and no KTS train at night, so it's very quiet and empty but with lots of homeless people staying in the station as shelter at night."
Excellent way of getting bu,"Get a transportation card at 7-11 and you are all set to roam around Busan. The metro is very convenient. All stops are numbered. The first number represents the line number. They have English broadcast on the train too. So it is quite easy to follow. There are English signs available. So as long as you know where you are, which stop you are heading and which direction you are heading, you are all set. The only down side is, there aren’t a lot of stops with elevator. People who hates climbing stairs need to pay attention. Google map also shows the exact bus number to take from point to point. The transportation card can be used on the bus also. "
I like it,Busan metro is really easy to understand. In Busan is working same card that for Seoul Metro so nothing problematic. Really comfortable.
Very convenient and user friendly metro system,We use the system on two different days going to about 4 different destinations. Very convenient central station across the street from the main train station. Helpful staff on navigating the system and the pay machines. Stops clearly announced and mapped. Very good way to get around.
Easy to Navigage and Cheap to Use,"For 5000 won, we bought all day passes that gave us unlimited use of the Busan metro system. This was a great deal for efficiently getting around the heart of Busan and making as many stops as we wanted to. Tickets were easily purchased from the ticketing machines though we had to make sure we had small 1000 won bills or coins. It would not take larger bills. The tickets dispensed were small, rectangular and made of paper and could be easy to misplaced if not careful. Tickets were inserted into each gate and removed after entering. Our daughters were able to use their T cards from Seoul and still able to take advantage of the discounted teens rate with just a tap of their card.Signage inside the stations and on the trains were good (included English) which helped with our navigation. Line 1 ran north to south to Jagalchi Market and close to the Gamcheon Village while Line 2 ran east west getting us to Haeundae beach and Centum Mall. All stations were very clean."
Less complicated than Seoul Metro system,"Much lesser lines than Seoul metro system. You can use your t-money card for Busan metro system. The 2 mains line are Line 1 and Line 2 which you will need to take to visit Hauendae Beach, Jalgalgi Fish Market, Nampo underground Street etc."
So user friendly,We used the metro daily and found it so easy to get to every part of Busan we wanted to see. We liked Nampo best of all and went back a second time. Something for everyone here and the best shops.
Excellent,Very organized. Convenient n great way to get around. Taxis are expensive. Trains are reasonable & easy. Small change machines located next to ticket vending machine 
Easy to us,The metro is very easy to use. It brings you to many places in Busan. We didn’t have to use the bus for many of the things we went to see. It was also not expensive. 
The best way to travel around,"Busan Metro, like Seoul, is efficient and clean. It was easy to travel around. Information is given also in English - so not too difficult to go around."
As expected of Asian Efficiency.,"The best way to travel i.e. underground. Everything ran on time as expected and quick. Although always packed it is still comfortable.. However it can be VERY confusing going from one platform to another and I thankfully had my son, a resident, with us."
