review_title,review_body
Train from Busan,"We took the KTX to Seoul and all went well. This station plaza has cafés, restaurants and shops to explore before the train ride. Information counter staff speak English and signage is clear. "
Nothing special,"The Busan Station Plaza is the transition area from main train station to nearby areas such as Chinatown, which is across the road. The plaza is nothing special in any regard, of course transportation and food can be avail there but that's kind of it."
Not tourist friendly at all,"Had a bad experience at the train station. When I was about to leave Busan back to Seoul, there was some power outage in one of the stations between Busan and Seoul and trains were delayed. Announcements were made only in Korean, and I did not know what was going on and was left in the dark (Saw commotion around and figured something was wrong). Spoke to at least 5 staff, but none of the staff could speak English (including the ones manning the information counter). It's appalling how NONE of the staff could even speak basic English. Staff were not helpful at all and were extremely rude. Saw other tourists who don't speak Korean struggling with the same situation too.One passenger was kind enough to explain to me what happened. In the end, the train was delayed for more than 4 hours. Wouldn't recommend this place at all, unless you speak Korean or if you are comfortable figuring things out on your own."
Busan KTX Station,This is where you get down when you come from Seoul on KTX. There is also a city tour point right next to this station. I stayed very next to this station. Good view at Night.
Good View at Night,"Main station of Busan. We got here from Seoul Station by KTX. There are many food stalls here, i liked the clock. In evening there are lights so its beautiful"
Great views of the harbor from the upper floor,"Conveniently located in the city center, the railroad station has some nice restaurants with decent prices. Trains to Seoul take just over two and a half hours."
Busan Station (Outside Entrance) having major upgrading construction.,"FYI, we went August 2018, Busan Main Station link (KTX Station), big entrance is having major upgrading construction going on..i guess estimated completion in 2 years.so be prepared, quite sad we can't take any photos at that area."
Busan visit,You have to go outside the Busan station to take the Busan metro subway to Haeundae beach. Info desk at the station very helpful.
A little confusing but once you know where to go it's not so bad,"We arrived via KTX to Busan Station and that part wasn't bad at all. We got off and started walking towards the exits of the station. Once we got on the escalator down we were confused to where to get to the metro subway entrances. There is a lot of construction going on as well which added to the confusion.To get to the bus stop, simply walk out and talk the escalator down to the ground level and walk out towards the street. The bus stops are there. There are also taxis that constantly drive up and down the street. If you see the red light on the front windshield, it literally means ""empty car"", so you can flag those down.The metro subway entrance is just next to the bus stops. A helpful person led us to the stops thankfully after getting turned around due to the construction. Overall the station plaza will be great once the construction is done and the area is opened up. There are restrooms, cafes, and is the hub for transportation if arriving at the station. "
Easy and accessible,"The station was big enough and easy to understand. With lots of entrances, the signages within the station were helpful for foreign tourists. The station also had good cafes, for any last minute coffee or whatever. Very clean and well maintained too."
Excellent smooth ride from here to Seoul,"We travelled VIP from here to Seoul. The station is very large, but well organized, even for a non Korean like myself, we were an;e to navigate quite easily.The fast train is luxurious, seats are well spaced out and recline. What a ride. You would never know you were going so fast!No security hassles.Definitely recommend"
Huge!,"Busan Station is huge. I arrived here on a K-rail express trail from Daegu and there are easy connections to the Metro, the Port and local buses as well as a range of shops inside the plaza to appease commuters and travellers alike. "
Not exactly an attraction but rather a big train station with few shops.....,"This isn't exactly an attraction but rather, a big train station building with fee shops & restaurants to cater to passengers' needs.There aren't many shops or restaurants here but enough to satisfy basic hunger if needed(& if one is not choosy.)Being the main train station in Busan ( & KTX from Seoul), it's pretty busy with regular flow of incoming & outgoing passengers.Note this train station is not connected to the local Busan Metro. You need to exit the building & walk about 3 mins to the underground Metro"
Very croweded area,"A station, most of the public transport will stop here. Such as , KIX train. Similar as airport . Or Airport bus. But, is outside the busan station. Not inside. "
Not Much to Write,The place has many shops and restaurants across the street but that is all about it .Yesh if you wish to find Tops Supermarket ( for cheapest drinks and snacks etc) then cross the road and ask for directions.Too much upheaval around with taxis bus stops etc all crowded up.In the evening they light up the area in a fashionable way making it attractive .
attraction?,"I wouldn't call this place interesting at all, but that maybe is because there was some reconstruction nearby and also a lot of homeless people since it is close to the train station."
All boarded up being refurbished,Other that just a few little areas the whole plaza is getting a full over haul. If the end result is anything like the pictures that it will become a great place to meet up with people. But for now - move on.
