review_title,review_body
Wandering Busan ,"Spent 11 days in Busan, mostly doing the walking tourists thing, not too big a place so much to see in a few hours of walking.The port itself is much of muchness, same as any other port possibly a bit cleaner than some and a bit better viewing deck."
Good wifi and connectivity with city,This is one of the best cruise terminal I ever visited with the best speed of wifi as well good connectivity with city and plenty of festivals outside the port and good staff in the terminal to help you
Not for Ballroom dancers,"There is no provision to get to a cruise ship on tripadvisor.except like this. If your main interest going on a cruise ship is Ballroom dancing, don't go onWesterdam. The main dance floor only play 4 beats Blue music and DJnot knowing what is a quick step nor foxtrot ! He played Cha Cha 5 times ina row until you are too bored to leave. Resturant, bar, room quality staffs were friendly. Dinning room staffs wereexceptional, food was good. But have to line up for staff to give you food atLido resturant. A waste of money to go to the Pinnacle Grill because qualitywas bad but quantity was big. Overall the free dinning room was better.Free Shuttle buses going from port to city centre on nearly every port fit yourtime schedule. Embarkation at Shanghai was a mess. People had to wait o/sentrance for hour without knowing what is going on after getting the ship card.Holland America staff just not letting you get on the ship by keeping your passportin her hand while local immigration staffs were waiting for us to pass throughinside. Debarkation at HK was smooth , fast and efficient. No problem getting ontaxi in less than 15 min."
"NATALIE ""PORT""MAN","This port is quite extension, allowing one to import and export goods. One can receive goods off of boats here and off of ships."
Easy to navigate,"The city of Busan offered a free shuttle from the port to a Central Park with a light house. The shuttle was clean and had wifi. The drop off location was great, right in the middle of the action."
Shore excursion in Busan with ToursbyLocals,"Our Japan cruise included Busan - we had no idea what to expect but hired Frank based on very good reviews. We were not disappointed - the tour was outstanding and he was one of the best tour guides we’ve engaged anywhere in the world, with excellent command of English. We arrived thinking we’d fill the day with some sightseeing around the second largest city in South Korea, and left with a real appreciation of the beauty and history of the city. I highly recommend the tour and Frank as your guide. "
"Unexpected, remarkable and enjoyable ","This place was never on my must see list but now that I have spent a couple of days here I want to come back for more. The markets and streets are a hive of activity, people are friendly but don’t expect much English. This thriving city has lots to offer from temples hanging off cliff sides to broad beaches. A modern skyscraper city with shambling little neighbourhoods. Don’t miss the fish market which is the best I have ever been to. You can tell how good a city is by its fish market!!Great eateries although I wasn’t sure what I was eating. Western food and restaurants are of a high standard but I think stay local and enjoy. It’s easy to spend hours walking the streets but try the metro and buses. Worth taking a tourist guide book with you to point to where you want to go to. I will be back."
Well designed for cruise ships,"Despite what you may have heard, this is an incredible stop. Make it a point to get off the ship! Busan is really special. The city is huge--5.5 million population--and has some of the most beautiful new structures you will see ANYWHERE! The cruise terminal is a wonderful creative structure that looks great as you approach. The cruise line (Celebrity) had arranged for the tour busses to meet us at the ship. There was no problems in getting on the busses, but the traffic in the city is miserable. We were an hour late in returning because of traffic jams."
A few hours in Busan,"Enjoyed the few hours we had there, as in Japan the language barrier was a problem but we managed to get around the city without too much problem, the Gukje markets are huge, a lot of the same style of goods, we went to the Lotte department store, we only saw the underground level and bought some great bargains in shoes and clothing, we actually ran out of time, the Busan tower is worth a visit, there is a massive escalator that takes you up, the downside is you have to take the steps down not too bad, my wife has a bad hip and she managed fine, you need a good day to see the city or a small part of it anyway, huge place, dont always except the first price given e.g we asked the price for a t shirt he wanted $35.00 we walked away and he dropped it to $25.00 most dont bargain, most of the ones we asked stuck to there price"
"Busan Port, South Korea",As we entered Busan with a cruise ship we had nice views of the port and its modern buildings.The new cruiseport is hypermodern and airy and offers free wifi.Immigration and customs are well-and modern-equipped and formalities are simple and smooth.
Efficient and friendly welcome to cruise passengers,Efficient welcome at the cruise terminal . Well organised transfer to waiting coaches although i was late due to huge long slow queue at the money exchange. Modern overhead spiral motorway soon gets you out of town.
Nice cruise port,I'm not sure what the old port was like but this one is pretty nice. We stopped here on our Princess cruise in March. Very modern facilities and tons of space for all the buses that picked us up.
Very modern port,This port is very modern and busy... and clean!We caught the hydrafoil from here to Fukuoka and it was a breeze going through immigration.You will have to pay an exit fee as well as a facility fee too.
What an Amazing place,"We didn't know what to expect of Busan, as we went on a day tour whilst on a cruise around Japan which visited South Korea as well.The level of activity in new buildings, freeways and other infrastructure is probably the most surprising of any place I've been to in Europe, Asia, Africa or Australia"
Nice services for arriving cruise ship passengers,"The new port in Busan where the larger cruise ships dock is a vast improvement over the previous port. Next to the docked ship is a small Customs and Immigration building that has a shopping area plus free Wi-Fi. Each time we've been there, a ""portable bank"" has been set up in the parking lot for money exchange. This is a great place to exchange all of your leftover currencies from other SE Asia countries into the Korean Won. Be careful, however, of people roaming the lot offering to exchange money from their wallet. I don't have proof that it's a scam, but why would they be there when an official bank is already there?"
Clean and efficient ,"Visited here on a flying cruise. The immigration process is very easy here no crowds like huge airports. Clean and tidy. Well laid out. With friendly staff. The fast ferry from Japan passed us as we were about to dock earlier in the day. It was a hydrofoil, neat sight. Probably not worth a visit for any reason other than using the facility. "
