review_title,review_body
Nice to visit,"The fish market is full of loads of stalls..and restaurants upstairs...you buy product and pay or it..then go upstairs where they'll cook it..however,they charge for cooking and EXTRA bits, so be aware of this..we found it fairly expensive by time you add it all up..so decided to opt out."
An eyes opener for me,"Wow and amazing experience for me. Seafood market really big, outside section selling all types of seafood frm live seafood to dried seafoods and dried herbs and cooking pot too. Inside section provide cooking for us to eat. We ordered live octopus, sushi, grilled fish and seafood noodle as our brunch and cost us 90k won. I would say fair price."
Fascinating!,An incredible place to wander around even if you don’t end up eating any of the unbeatable fresh raw fish on offer! Lots of photo opportunities of a huge selection of fish and seafood. Worth a visit! Lots of stalls around the market area too. 
大家煮( Jalgachi) Best fresh seafood in Busan,"I call it 大家煮 in Chinese for Jalgachi. We went there around 5:30 0m so the market was not busy. The market is huge with at least 50+ seafood vendors. It could be quite confusing which vendor to choose. There are signs in the market displaying the seafood market price on some items (You won’t find one vendor offers much cheaper price. I don’t know how they compete for customers then). You can choose any seafood and amount. Each vendor works with one of the many small restaurants on the second floor. After you purchase the seafood, the vendor will call the restaurant upstairs. A server will come and take you to their restaurant upstairs where they will prepare the seafood the way you want. In additional to the price you pay to the vendor for the seafood, the restaurant only charges $4 US ($4,000 Korean won) per person for using their service which include kimchi side dishes and food preparation. Therefore, expect to pay a bit more upfront for the seafood. We spent $240 US ($240,000 won) on the seafood for six of us and we were full. We had a yellow tail which was about $110. We had it for sashimi and was delicious. We also had abalones, conches, octopus, shrimps, eels, and scallops. It is better to have a small group of people to go so you can try variety of seafood. For those who don’t know how to select seafood from the vendor, you may go directly upstairs to any of the restaurant. They have a regular menu you can order from. The restaurant will get the seafood from their vendors and cook for you. They are just as fresh. By the time we finished around 7 pm, the place was packed with people. We noticed many were local people’s this is not just a hotspot for tourists. I would say this place is the place to go for seafood in Busan."
All you can dream of sea food,"Any food creatures you ever saw a nature documentary about can be found, bought and eaten around here."
Jalgachi,Wander around this amazing fish market and see a lot of interesting creatures from the sea. And don't forget to go out the back to where there's a walkway along the water and hopefully you'll get to see the seagulls playing in the sky.
A must see while you are in Busan,"One of the reason we go to Busan is to have a taste of its street seafood and this is it. There is a central covered market and around it grows and grows of fishes, eels, shrimps, octopus, conches, oysters, giant crabs...most of them alive and swimming. The view and smells are overwhelming but you get for your money. We ordered seafood meals in the covered market and they are so delicious on the grill. You should try the abalones, the squids and the big prawns."
 Beware of being ripped off,"Don't go to this place unless u want to be ripped dry. They overcharged us. We paid 44000 kwon just for bbq 3 types of seafood. The seafood is bought from the fish market on first floor n cost is separate. U have to pay for rice separately n they forced u to sit on floor even though we told them my hubby had problem bending knee to sit on floor. This place ought to be investigated by the korean tourist board. The cooking bill they gave wsd initially, 32,000 won when suddenly it become 44,000 won. "
"If you love seafood, go here","I have never heard of this place before and my friends that I am travelling with, one of them recommended it so we decided to go and if you love seafood go here cause not only is it a seafood market, the animals are all fresh and alive. You look at what you like and buy but they don’t give you the seafood cause they put them in bags and tell you follow them. I was confused, I was wondering where we were going. We went upstairs and it’s all tables and chairs, you guessed it they cook your seafood and serve them to you. It is sooooooo good I didn’t want to leave. So recommend this place to all seafood lovers. "
Every time friends visited I took them here,"Whilst living in Busan for 3+ years from 2011-2015 anytime friends or family from Canada came I would take them here. You can buy nearly any fish or crustacean imaginable. I’m a big Alaskan king crab guy more than some of the korean stuff like love octopus. I find the more korean prep of seafood is very basic, or not at all (completely live octopus). The crab is amazingly good though with some soy sauce and onion and garlic stuff, and *relatively* local catch. Recommend just for the sights. "
