review_title,review_body
Great park and views ,Great park with great views of Busan including the Busan tower which is great to see a birds eye view 
city tower,Park with Tower come with friend looking for red leaves tree on October. its near from BIFF and Nampo shopping Area.
Nice Small Park,"Very nice park which overlooks the city and harbor. Similar to Namsan Tower in Seoul except not as high up, not as crowded and not as overrun by schoolchildren. There is a convenience store (sells beer!) a snack bar, a Twosome coffee, a gift shop and a duty-free shop (bought a BTS passport cover there!). Several benches, picnic tables and bench swings. Also a small Buddhist Temple, trinket vendors and hanbok rental. However it is not overy commercialized. Park is free but there is a charge to go up in the tower. Don't do towers, ladders, etc myself so I didn't check the cost. Go down the escalator on the other side and land on a busy shopping street a la Myeongdong. (There is also a Daiso on that street.). Grab a beer at the towerside convenience store and watch the sunset."
Good to seat after walk in BIFF,This park is same location of Busan Tower. It is accessible from BIFF with escalator leading you to the park and tower. Relaxing to seat around after a long and tiring walk around BIFF. 
Let down,We didn’t really expect what this park had to offer. It was a duty free shopping center with the Busan tower. Wasn’t worth our time to go up there. 
convenient,Just behind our hotel and we passed by on our way to Busan Tower. Not very big but quite good for a calm stroll
Great view from Busan Tower worth seeing,Busan Tower is definitely a place to visit! The view is stunning and the small gift shop is surprisingly entertaining. Easy walking distance to Gukje and Jagalchi market as well as Busan Modern History Museum. 
Good Views ,Yongdusan Park is a must! From the great views from the tower to the working clock made with flowers. There are a few small stores to float in and out as you make your way to the top of the tower. 
Boring park ,Visited the park while in the area. The attractive photo booth at the entrance drew us in but there is not much to do when we tmr each the top of the escalator. The view from the park was good for taking the Busan city skyline. 
Lovely park,"This park is located right at the bottom of the busan tower. It is a lovely park with nice screening views and nice banches to sit on and relaxe. There is cute little souvenir shops at the bottom of the parc, near the stairs to the metro. "
Worth a visit,"We spent just under an hour here which was sufficient time to listen to a guide explaining some of the statues and monuments to us and to explore on our own. It was not the traditional park that we were expecting but more of a setting for the statues and monuments. It had been described to us as ‘an urban oasis set high atop a mountain in the heart of downtown Busan’ and there were certainly good views of the city and the sea from up here. There was an interesting floral clock but overall not quite as much ‘park’ as we’d expected. Nevertheless,worth a visit."
Light show,"Nice walk up but if you are lazy then you can use the escalator. If you are even lazier, then take a bus.In April there was a light show at night which was amazing. I was one of the only person watching it, yes, great! More for me.Also did full workout at one of Busan’s outdoor gym."
Small but the flowers were good,This isn’t a very big park and there are a lot of concrete walk ways but the statues are imposing and the view over the city is good. There is an interesting temple that also functions as a soup kitchen. 
Monument park next to Busan Tower. ,Came across this monumental park while we were exploring Busan Tower. Small but the panoramic view of the city and the bay beyond is an awesome place for a sunset pix. The main centre of attraction is the statue of a 16th century navy warrior named Yi Sun Sin. You can reach this place by going up the escalator from the shopping street along BIFF. 
City views at sunset,"We came to Yongdusan park to watch the sunset over the city. It was beautiful but the view was nothing special. Would have been much better from the tower, but when we saw how many tour buses were parked in the carpark, we knew the tower must be crowded and decided not to go up."
Just ok,There is an escalator that will take you up to the park but beware that you must walk steps all the way back down. Also save your money and don't pay to go up the Busan Tower. Go to the rooftop of the nearby Lotte department store and go to the rooftop Skywalk for some amazing views that won't cost you anything.
Good view of the city,"We were taken by the shuttle bus from the cruise port to Busan Station. There are many shops across from the station but we took a subway train on the orange line to Nampo station where there is the Gwangbok-ro Shopping Street. There is a long escalator off the street that leads to Yongdusan Park where Busan Tower is located. There were activities in the park and the Busan Duty-free shop is located there. Unfortunately, we had to walk down to the shopping street as the escalator is one way. There is a Lotte department store nearby with an observation deck for a view of the city."
Nice to hike to the top,There were two ways to reach to Busan tower which was on top of Yongdusan Park: one via the escalators from Nampo station; another one via stairs from main streets which were close to Gukje Market. It was really nice to hike to the top to have a great view to Busan bay and its neighborhoods.
Average scenery ,There was nothing much here. The view was ok. Perhaps u have to climb a little higher to see more Those with elderly folks might have some trouble climbing up and down the many steps. 
Relaxing ,Lots of problem up there just hanging out. Not a very big park but it’s a nice place to take a break from the craziness of the markets and shopping streets 
Little bit disappointed ,"Silence in the middle of the crowded city... Probably it might be Yours expectations... Unfortunately You are wrong. Or maybe I was unlucky. When I was there, was some preparations to the festival, noisy like hell. And why there is duty free SHOP? Somebody could explain me?? From one side, You are reading that is beautiful place and history related to this place and on the other hand duty free shop. For me sorry is not matching. "
Good views,"This place has great views of the city, some Buddhist temples, and some quiet walking trails in the middle of downtown."
Park with Busan Tower,"Yongdusan Park sits atop a hill overlooking the ocean and it is a place that you will need to pass through in order to reach Busan Tower. You can reach this place via an escalator at Gwangbok-dong Cultural and Fashion street.There's nothing much here except a view of the surrounding area and amenities that you would normally expect to find in a park. Benches, shelters, flowers, tress and artworks. Most people pass through this place to get to Busan Tower, me suspects, so if you're planning to visit this place, might as well drop by Busan Tower too.Can include the park and Busan Tower together in your itinerary when you're visiting the Jagalchi and Nampo area."
Great place to start a second time visit,"What a great place to start our second visit to Busan in six years, Yongdusan Park helped to set the mood for what Busan has to offer. There are many great features/ buildings in the park to observe, the main modern iconic building is the Busan Tower, for our family group our interests were to see the beautiful temple, flower clock, gorgeous military statue of Chungmoogong Admiral Yi Sun-Shin (1545-1598) and the views. Yongdusan Park is accessed via a boardwalk and staircases from the street behind or by an escalator from the shops below."
