review_title,review_body
Maybe next time ,Maybe next time if I’ll be driving around I’ll pass by with more time. KTX train also stops here which is good transport option.
Very beautiful mountain but beware of the long hike. ,"It was a beautiful mountain. A waterfall, cave, temples, Cherry Blossom trees etc. Definitely must visit mountain if one is in Gumi.But, beware of the long and steep hike. At first, we were surprised to see many Ahjumma and Ahjussi geared in hiking equipments at the bottom of the mountain and realized what we were in for when we started hiking. Not for the faint hearted. The whole hiking trail to the summit was more than 2.4km and boy, was it tough. It took us about 4 hours to hike up and down. I slipped and fell due to the dry sand and rocks. My partner and I were not prepared for this and our leg muscles ached for the next few days. We couldn’t really walk properly.If you are not trained, I would suggest that you do not try to reach the summit.Besides these, the scenery was awesome. "
places that you should visit in Gumi,It is beautiful and amazing place to climbing. you can climb to only waterfall which takes around less than 1 hour. 
"Spectacular views, steep hike past half-way point","Really loved the views and the hike. Even if you don't have hiking shoes, you can walk up an easy uphill trail giving way to wooden steps up to the lookout just past the waterfalls. The autumn foliage just made it a little more special. After the lookout is a different story. Better start early to reach the summit and return to the lighted path before dark. If you walk from the reservoir after lunch, the lookout is probably a reasonable just like I did."
A Little Piece of Heaven,Take it from someone with a huge fear of heights this place is amazing. Take the lift to the top and enjoy all the beauty and the small temple around you. Very peaceful and soothing mountain to be on. 
Great View.,"I came here a little un prepared. Easy to get to. The cable car takes you to a temple, waterfalls and caves. the climb is steep up some stairs. The stairs finish at about 300m and then its a 2km walk to the top. Bring water and proper shoes. The climb is on a rocky track which can become slippery. Once on top there is an amazing temple with spectacular views of Gumi. I will do this again but will prepare myself next time with, water, snacks, first aid kid. Allow up to 4- 5 hours to complete."
Great day out,"Nice views of mountain, lakes, mountain stream. Cable car takes you up Geumo Mountain. From there hike to a temple, cave and waterfall. Below also picnic grounds for BBQ etc. Some people camp there in summer."
Nice park and trails,Very nice and well kept up the mountain and around the lake . This area is very popular at Cheryl blossom time.
Great Park for Hiking and Walking ,Absolutely beautiful park and mountain hiking. Can spend the entire day here. Family friendly. Enjoyed the hiking; trolley ride; temples and attractions. Also took the walking tour around the reservoir. 
Amazing hiking,"Spent about eight hours today exploring and hiking up and down the mountain, checking out caves, waterfalls, and the natural scenery. Best hiking I have done yet in Korea. "
One of the best in Korea,I have traveled quite a bit in Korea but never got around to Gumi until recently to visit a friend. I was shocked at what I had been missing. This park is absolutely beautiful and has some of the most amazing sites I have seen in Korea. I highly recommend this place. Give yourself the time to walk around the lake and hike the mountain. You won't be disappointed.
Really nice moutain,Easy hike. Or take the cable car about 0.6km up! Nice restaurants and coffee shops in the area. Different routes to take.
Absolutely Stunning landscape,Geumosan Probincial Park is one of the most beautiful destinations I've visited in Korea. It was easily accessible from Gumi train station with a taxi (Only 4000 Won). The trails were in very good condition and the the park was clean. The views are amazing. We spent 7 hours climbing and hiking. Well worth a day-visit.
