review_title,review_body
Must See,"The Aquarium is great for all ages. If you are there at the right time, there is shark feeding at 1:30pm and feeding for other select tanks at 3:30pm. They are very efficient and effective with the use they have and some of the smaller aquarium tanks are artistic design and fun for all ages. There is also one are where kids can tough sea creatures and one tank you can put your hands in and the fish will nibble the dead skin off. The Aquarium is a good size and there is one place in there halfway through if you have a hankering for a snack or some ice cream. There are many places outside the aquarium where you can eat before or after. There is a fun stamp book for kids as they go through to find stamps along the way. "
Aquarium with many varieties,"I make it a point to see this aquarium every time I visit Seoul. Many varieties and I like their collection of exotic shrimps. A must-see in Seoul. Great for children and adults. I usually schedule to see it when the weather is not good for outdoor photography. Easily accessible by subway and is close to the Bongeunsa Temple too. The COEX has a spectacular book library on the ground floor, so next time when you visit the aquarium, visit also the library and the nearby temple. This year they have a chipmunk, in addition to prairie dogs."
Top Aquarium,Really nice aquarium . a nice place. had a lot of activities around it to. a must visit place and you will not be dissappointed.
Decent but average,"COEX aquarium is interesting, but definitely catered more towards kids and families. I like aquariums and have been to many, so I would rate this one overall as average. Not fantastic, but a decent way to kill 2 hours if one has time to kill as well as about $25 to blow on admission. There are lockers to store you stuff (no bags allowed). Would I go back? Meh, probably not, but only because of the cost vs. what you get. I am not saying it's a waste of time, just not what I would do again knowing what I know now."
Awesome experience albeit entrance areas looks simple,The fun is in the inner areas. Navigate to see crabs and otters inside. They're amazingly huge and colourful.
The Best Gift of Seoul Tourism,"The visit to the COEX Aquarium in this Seoul tour has become a very good gift for me. I didn't think of any variety of marine life in Korea, and the various sea kingdoms I experienced in Korea became unforgettable memories. "
Great Aquarium. Learned a lot!,"I paid full price for ticket 28,000 not realising there is online discount I would have paid less. It wasn’t originally on my plan of places to go but a rainy day brought me to Coex. The aquarium is really great with lots of varieties of fish I have never seen before being from Europe. It’s really kid friendly and you can learn a lot from the signs that are in korean and english! Really enjoyed it as a solo traveler."
wonderful !,"My family very love this place!! It's very beautiful, especially the Mermaid Show was really amazing !"
Expensive & not the best aquarium,"Don't get me wrong - if you have kids, it's a great interactive activity.As adults, having seen other aquariums, this is average. The exhibits are catering for children, so instead of trying to replicate natural habitats in the tanks, a lot have childish toys in them like a kids gold fish bowl.The aquarium does cover a range of different environments in the world - there's an Amazon rain forest including large otters. A desert area with phararie dogs. A section with manatees & then penguins. The viewing tunnel with sharks & rays doesn't have the larger species, but there is some impressive sharks.Overall, a good few hours if rainng or for the kids.Not the cheapest option so use your Discover Seoul pass to pay. "
Cute aquarium in town!,"My daughter soo happy in here. Many fish, and interactive features inside... for tourist, you can wear hanbok for free every weekdays, and take photo for free...First , i guess the aquarium was small.. but when you entered all the corner, i think this aquarium is quiet big. If you have family to travel with... you should go to this place. Take subway to Bongeunsa Station. And follow the path to COEX Aquarium."
