review_title,review_body
Beautiful Mall with an impressive LibraryWe visited Starfield Coex Mall on a Sunday noon in September 2019 .Upon ste,"We visited Starfield Coex Mall on a Sunday noon in September 2019 .Upon stepping into the mall, we were so so impressed by the huge library which is located right in the centre of the mall. There is a mammoth collection of local and foreign books and magazines and the tall huge walls are lined with books as well. The library is very spacious with many seats available for reading and browsing pleasure.Besides the amazing library, Starfield Coex is a modern mall with everything shoppers need for fashionwears & accessories and services for all ages and also plenty of dinning choices.Understand that within this hige mall, there convention halls, cinema and aquarium. We didnt explore much as we were heading for other destinations given our short stay in Seoul.It is a beautiful Mall and l would love to return for another visit for this is a place to make me smile , especially the lovely iconic library ."
Fun place to shop with friends and family,"Lots of shops, restaurants and art to see. Easy to get to from train and genuinely just a good time with friends and family. "
Special feature:library,"It is not just a Mall and a big shopping center with a huge food court but it also features an architecturally interesting library. With Free entrance, people could just walk in and read books which were just line up on the shelves. There were chairs and tables around the place. Many people were coming not to read books but to take photos of the place as it is very popular for tourists."
World Mall,"This is a world class place with convention center, shops, aquarium, numerous restaurants and an airport check in for many airlines. You can spend hours here. "
SM Ent & Starfield library,"if you are a kpop fans especially SM stan this place is a must list to visit because SM COEX ATRIUM will give u an experience to get close to your idol, inside SM there's museum, photobooth, merch shop, cafe or even auditorium. and Coex Mall is really nice to look around also the most iconic there's a library inside mall with amazing decoration and huge scale of bookshelf . U can also take a pic in here."
"Connected, lots of choices and family friendly","The mall is great. Modern, lots of good shops and restaurants. Well connected to the metro and bus stop. The library in the center of the mall is a great place for pictures. There is an aquarium attraction which is great. It is also connected to the Hyudai Department Store, Intercontinental Hotel and SM Town Museum. As a family traveler, we appreciate the baby room which had all the facilities we needed. They had changing tables, resting area, nursing rooms, baby cots, and baby feeding area. Very thoughtful."
Coex and the amazing library Starfield inside,"Starfield Library is something very special! Thousand of volumes, magazines from all over the world, even magazines for interior designers, gardens, e.tc, from France and Italy, are all in the disposal of the citizens without any discriminations. It is worth it to pay a visit. You can buy or borrow (inside) the library, everything you might have in your mind. In general, the huge store Coex is available for your entertainment as for your shopping."
Nice mall with beautiful library ,Love this mall as it has nice shops with international and Korean brand. Very crowded on weekend and the beautiful library is also the main attraction. The Hyundai hall is a good place to start to hunt for food. You can easily spend your day here. 
GIANT LIBRARY!!!,The mall is very huge. The good thing is. I came when Korea Great Sale was happend. and i was really amazed by the giant library!!!!
Huge Mall,"We stayed at the Intercontinental COEX which is connected to the COEX mall. Very convenient. The mall is huge and you can find all the usual shops such as H&M, Zara, Uniqlo,....lots of food choices as well. Great food hall where you can get great deals after 7 pm. Definitely a nice way to spend a few hours. "
Nice mall,This is more upmarket mall next to SM town and Starfield library. It has lots of different shops - great place to hide away from The summer heat. It also has restaurants serving different food with a cinema 
"COEX Mall, everything is here","The best place to meet colleagues in Seoul is COEX Mall, everything is here. We ate in a great restaurant, beauty products were all on sale here, kids had a wonderful time playing, and the big plus is the huge library with books everywhere. I wonder if they had English books there.I was here a few years back (2015) but the changes took me by surprise. You could spend all day in this place. Coffee shops, restaurants of all types were here. Shopping for souvenirs and clothes were all in one place. If I had time, I would have liked to visit the aquarium and SM town but I was on a tight schedule. Thank you my former students for meeting me here and seeing the gigantic library full of books. It was a great stop for me while I was in vacation in this country."
Western mall in Asia,"Coex mall is pretty much Korea's version of the mall in the states. Not just western designer such as Zara and H&M, but the layout is not your typical Korean style mall. Building is long instead of tall. I do recommend to come here at least once for the amazing library design. Stores are ok but the library has amazing layout with gorgeous backdrop. Also a good place to come if it rains."
"We stayed here at one of the hotels, which was a great location!","Staying at a hotel at COEX was great- we had lots of food choices, and several things to do on our doorstep. The COEX library was beautiful by day and night, we bought souvenirs at the aquarium, and even saw K-Pop stars that did an autograph session at the mall one evening. Special shout-out to Papavalley Pizza, which was utterly delicious. If I were to add some things to this mall, it would be a couple more places serving a hot western breakfast."
"COEX Mall, Seoul","COEX Mall seems to be the largest mall in S Korea. It has got everything from what I see ..... from clothing and accessories stores carrying domestic/international/designer brands .... I like shopping in Aland. Lots of restaurants and cafes inside this mall so whenever you're hungry, there's something to eat for everyone. It has a large cineplex with a total of 17 screens, the COEX Aquarium, the ASEM Plaza and the Event Court. The Starfield Library inside the Starfield Coex Mall is impressive with thousands of books and hundreds of seats. The library is located right in the middle of the mall, but it’s not your average quiet library as it's bustling with students and people having a fun day in the library."
Nice fast train,Took the KTX train Seoul to Busan. The train ride was fast but only on few occasions did we touch the 298 km/h mark. But it was nice and thrilling enough 
Fantastic public library in the middle of the mall where you can read any books of your choice,"Excellent place for many quality stores for clothing, traditional Korean goods, dining, occasional small concerts, art shows, etc. Starfield public library in the center of the mall is a must place to visit."
"Huge mall with everything, easy to go Incheon Airport","This shopping mall is huge with a lot of shops, department store, aquarium, duty free, casino, subway station, library, etc.The best is you can check in here for your flight. Stay near this mall if you need a convenience place for shopping."
Loaded Mall,"While the daughters were touring the SM COEXartium to get their fill of SM kpop, we enjoyed wandering through this upscale mall. Both Korean and International stores were located in this large, modern mall. Food options were plentiful and many looked trendy and inviting. A huge library was located in the center.For more Kpop things, we went outside the mall to see the massive Gangnam Horse Hand sculpture inspired by Psy's Gangnam Style song which was viewed over 1 billion times on youtube."
Great for Spontaneous Shopping and Eating Out,"Really good underground mall with numerous shops and eating joints. The shops are mainly of democratic brands like Armani Exchange, Zara, etc. Lotte Duty Free is also there as well as an interesting bookshop and Kakao Friends store. The complex also encompasses an aquarium, a movie theater and a library."
"Go for the library, some stores are fun too","It is huge and it is very very easy to get lost. So honestly check out the library and then some local stores, because otherwise it is a large mall with a pretty good food court."
The library area was amazing,"Not all libraries are quiet spaces. In this area there are huge walls of books right in the center of the mall. It makes for a perfect picture opportunity but also an opportunity to read books, socialize, or relax. Attached to the mall are many shops and restaurants and at the opposite end there is the aquarium."
Huge underground complex,"The world's largest underground mall contains numerous retailers, as well as the huge Starfield Library. However, if you want to come out into the light of day, be sure to cross the street to explore the Bongeun-sa Buddist temple and enjoy the unique Hyundai Development Company headquarters, Tangent."
Library at Starfield COEX Mall,"Being tourists in Seoul, we went primarily to see and take photos of the huge library inside the Starfield COEX Mall. And, indeed it was huge, and photo-worthy. The mall is also accessible by subway train. And for these reasons, I give it 5 stars."
If you Like Shopping ,"Then this is the place to go.Loads of nice shops, plenty of places to eat and drink plus all kinds of attractions including a library and an aquarium!"
Great way to spend a rainy Sunday ,"Lots more to do than a typical mall, including a movie theatre, aquarium, library, and every type of food you can imagine."
I like the Coex Mall,"I normally frequent several of my favorite stores there.This mall has all of the stores I wanted all in one place. Daiso, Pierro Shopping (competitors to Daiso), Butter store for specific items I want to buy which we don't have in the U.S. "
Nice Place to People Watch,"The library was huge and very nice! But almost all the books are in Korean so unless you know Korean or bring your own book, it’s simply a place to sit, relax, and people watch. There are also cafes and an E-Mart inside the library."
My Saturday Mall,"I walk here at least one Saturday each month, to shop at No Brands and The Hyundai stores, eat at one of the many restaurants, pay my mobile bills at the SK.Premium store, watch a movie at Megabox, have a smoothie from Joe & the Juice and walk around for a while looking for sales in the myriad of other shops in this large modern underground mall. Definitely worth a visit and it's easy to reach by bus or subway. "
