review_title,review_body
An Active Temple,The temple isn’t just a tourist attraction but an actual active one. There are monks and worshippers at the temple so it is a real authentic Korean experience and worth a visit. Though the temple is located right within the business area on Gangnam-gu it is nice and quiet and an opportunity to relax and wind down. 
Nice quiet temple,This is an active temple with worshipers. The architecture is interesting and worth a visit. It will not take very long to visit the property. 
Moving...,"this temple in the middle of the city across the Intercontinental COEX hotel, is amazing; you will be surprised by the calm and serenity of this place; take a walk around and feel the power of this place; "
Nice temple opposite COEX,"The temple is easily accessible by subway. It is located just across the road from COEX (where the aquarium is). Lovely temple with big Buddha statue. Just as I entered the temple, a magpie stopped in front of me. Did not miss the chance to take its photo. There is a small tea-shop for the visitors; from there one could just relax and view the city from its balcony."
A quiet space across the street from the COEX,"Literally across the street from the massive convention centre is this place of peace and quiet surrounded by the city. Great history and architecture,nice walks in the woods. Current construction on the site distracts a little but it's still easy to find a quiet place to pray (for Buddhists) and a peaceful escape for everyone else."
Quiet place next to Coex center,"This temple is just next to Coex center. It is at a hill side. Though next to busy business buildings, this place is surprisingly quiet. Few people came during the noon when I visited. There are a few buildings there and takes some climbing to see them. It is a good place if you want to escape from busy life around it for a while."
Very nice,Beautiful temple that has a lot to explore. Little bit of uphill walking involved but it was great to see. 
Clean and Respect,Its just opposite the Coex Mall by walking distance and no entrance ticket needed.There is alot of people praying here as well.
Temple in the Heart of Gangnam,"A great place to visit during your stay in Seoul. There are very old pictures that are Naitonal treasures, and other monuments to see.A must to see."
Neat temple,"Stumbled on this the last day I was in Seoul. Right near the hotel, didn't even know it was here. You can walk around the temple and even stay at night if you'd like. It feels very calm and relaxing even though it is surrounded by city. Love the old and refurbished architecture. "
"Don't be annoying, watch out for construction","We stopped to take in some living culture - be aware, this is a practicing temple, people go there to pray and reflect, so bring your best behavior! I can't tell you how many noisy, annoying tourists we saw! For us, we simply walked the grounds, sat in the shade, and spoke quietly in whispers about the rituals and what we were experiencing. It seems as though the temple is undergoing a massive overhaul of their buildings and reorganization of the entry/grounds. Lots of orange cones, construction equipment, and scaffolding everywhere, but we'll probably go back on our next journey to see the completion."
