review_title,review_body
Get an english map from the ranger station,I was all over the map (literally) until I realized the dotted lines are the park boundaries and the clear lines are the paths. I made a 3 hour hike into a thoroughly enjoyable 7 hour hike!
Great opportunity to experience some Korean nature,"We took a reasonably strenuous round trip walk through the park. It was a great way to experience a little taste of Korea's extensive forest areas. We were driven to the park entrance by local friends and a cheery park ranger gave us a park map before we started our walk. The forest was diverse and very attractive and we got good views back to the city of Gwangju from the highpoint of our walk. The trails were reasonably well signposted but only in Korean..We travelled back into Gwangju by bus which only took us about 15 minutes. It was a free ride, as the driver probably thought that was easier than trying to explain the ticketing system to us non Koreans!"
Beautiful National Park,Visited with two young kids so only hiked maybe a third of the way up but we had a great time. Park rangers were extremely friendly and one spoke amazing English and was one of the nicest Koreans we met. Trails are well marked and they have an English map at the info stations. 
Gorgeous view - serious uphill walk! ,"Sujata afterward for a cheap, all-you-can-eat Buddhist temple food vegan meal IS A MUST!! Not for the casual stroller or those with bad knees! Up up up you will go, continuously, to see lovely views at many lookout points. Great shopping at the base of the mountain. The temple is breathtaking! "
Nice fall hike,"We went up the mountain by bus and hiked down, it was quite simple and very nice. There were a lot of difficulty level options on the mountain."
Beautiful Mountain Hike ,"Love the place. Worth every bit of the travelling to this place during Autumn. We did not even manage to hike up to far, it was already beautiful. Clean and beautiful. "
"Lovely hike, beautiful autumn views","There are various routes you can choose for the climb up and you really don't need to get to the top because there is beauty every step of the way. Especially in Autumn, it is fabulous. Definitely worth spending a day there."
Mudeungsan maple tunnels,"Drove up Mudeungsan National Park for an early morning hike. The gradual slope makes it an easy climb for all. At the base of the mountain is Jeungsimsa Temple, a car park and terminus for bus No. 9 from Gwangju Bus Terminal (U-Square Terminal). Check-in at the ranger station for maps (English and Chinese available) and recommendations of walking trails. Certainly not as crowded as the more popular Naejangsan yet a great hike to enjoy the autumn foliage at a leisurely pace. The maple tunnels are at its full glory when the trees turn a hue of red, deep yellow and orange for a breathtaking canopy of colourful autumn beauty. The carpet of fallen leaves is also a magical and romantic sight to behold. Very refreshing and crisp air, good trails and friendly local hikers. Best in late October and early November. "
Fresh and Great hike!,"I was lived next to this national park since G1, I am strongly recommend this place for hikers who wants to enjoy few different course. There are several ways to climb up to top of the mountain. I had tried all types of them with my family every weekend. This place is the best place for hike with your family. During the Summer, it is hot and humid but you could enjoy it's good views and some flowers with trees. During the Winter, it is cold and hard to hike, but you could see those top view of Gwang-ju from top of the mountain.I am strongly recommend this place for family and family with young children to teens."
"Fresh air, great views, great hike!","An awesome hike through lush forest. A little crowded in some parts, I recommend avoiding weekends if possible as this is the thing to do for the locals. Hiking poles will be handy if you own them. Great view of Gwangju from the top and plenty of tracks and level of difficulty to choose from. We managed to find an English map at one of the parks information centres, otherwise take a photo of the large nap at one of the entrances. The locals were really friendly too always saying hello. Highly recommend. "
