review_title,review_body
Overall a satisfying experience ,"We stayed here for 5 nites this time for our annual ski trip. 2.5hours drive from Incheon airport. We picked the Green Condo as we wanted the whole family of 4 to stay together. We would have to book two rooms if we chose the hotel. The ski resort is huge. With hotel, condo, villa and youth hostel. We picked the room of 99m2 which had one room with two beds and another room with tatami. With a small kitchen we were able to cook some simple breakfast. No room service, not much toiletries for condo. 5 mins walk to the ski rentals/lift ticket office. Good mix of slopes of different levels. Snow honestly not very good this year cos not cold and no new snow. Quite icy. Nite ski was good as no queue for lifts. English speaking ski / snowboard coaches available and friendly. Waterpark, bowling, spa n sauna, arcade avail. The waterpark is only good for very small kids. Don’t waste money if your kids are older. Can go to the sauna to enjoy hot-spring which is much cheaper. Bowling is good value of money. Restaurants ok. More choices if you walk out of the resort. 5-10 mins walk. Facilities overall i would say excellent in terms of convenience and variety but cleanliness and service level average. Would be good if staff can speak a bit more english. "
Excellent Olympic Size Ski Resort,"Top of the class ski resort where the Winter Olympic was held here recently. Ski track is very spacious, offering breathtaking view. Should spend the whole day here, at least."
Great place in Asia for kids to learn skiing,"We (European family with 6 and 4 yo) spent 1 week in PyeongChang over Christmas 2018 and had a fabulous holiday. Phoenix was for us logistically easier than Japan (Flew into Seoul Incheon and pre-booked a shuttle service to PyeongChang which took 2,5 hours). The kids took skilessons at the Foreigner Skischool and the resort provides ample beginner slopes, great fun!! My husband and I enjoyed the advanced slopes and were OK with the fact that the resort has only few slopes for us. Each kid went with their own instructor as level was uncomparable and there were not enough non-Korean kids to form a class. Compared to a week skiclass in Europe for kids, it is pricy as many Koreans take lessons by the hour and the price is calculated by just summing up hourly rates. Their development in 1 week was tremendous however and most importantly they had a lot of fun. We took lunch at the food court: choice of 6 dishes, affordable and more than enough, it is quick but has little atmosphere. We enjoyed the americano coffee at the NY coffee and hotdog truck at the foot of the slopes. There is no such thing as a village bus service. You have to walk or take a taxi if your accomodation is not right at the foot of the mountain where the few restaurants and bars are. Not ideal when you have little kids as a bit isolated to our appartment in the morning and evenings, however the price difference between our appartment in Story residence and the hotels at the foot of the mountain was a factor 1:4. All in all, great week of ski ☀️"
Well Maintained Ski Resort,"Phoenix Park is very well kept. The snow is mostly artificial but the grounds crew does a great job maintaining it. It can get icy. To me, the best thing is night boarding. 2200-0400. It helps saves time in your busy weekend schedule, but of course, it gets really cold at night. If you're looking for stuff to do or restaurants to go eat out at, good luck, because you're not going to find anything. The ski resort is basically located in the middle of nowhere. During my first years living in Korea I had a season pass but now would rather go to High1 Resort because it snows there often and has a bit more to offer outside the resort. Phoenix Park is small, but that means you get a lot of runs in. It can be crowded but the lift lines move quickly. Panorama Slope is my favorite."
Good and clean resort,It was my first time at a ski resort in Korea. Apparently there were many choices available but we were brought to this one by our tour guide. The hotel was just located below the ski resort and it was easy for us. The rental of the ski shoes was also done within the compound. Overall a nice experience and great views at the top!
Went during the 2018 PyeongChang Olympic time frame,The Phoenix Snow Park is surrounded by good places to ski and it now joins the Pantheon of Ski Resort venues that have hosted an Olympics.
Ski in Korea. Tips for 1st timer.,"1) Fly to Seoul.2) Head to Seoul Station. Take KTX to Pyeongchang or rent a car. The road can be slippery after snowfall. Take 4wd if you plan to drive around Pyeongchang.3) Best to stay in the ski resort to maximise time on the slope. We stay at the nearby AirBnB.4) There are 3 ski resorts around Pyeongchang. We recommend Phoenix due to trainer availability. *Don’t pay for the ski park entry yet, It’s for the lift. You probably not ready for Beginner slope on the 1st day. * Take 2 hours class. It’s worth it even if this is just 1 off - bucket list thing. The class make the next 2-4 hours on the slope more enjoyable.5) Schedule a class before arrival or in our case we just walk in and book 2 hours afternoon class for 5 people. If you don’t speak Korean, you have to book private class with 1 trainer.6) Come early, take gondola to the mountain top. Have some hot chocolate, throw some snowballs before the class.7) Allow 1 hour for prep to pick up ski set - ski, shoes and poles. Helmet & goggles are optional but they keeps your head warm. * The shoes are uncomfortable. The ski set are heavy.8) Today class is about how to slow down (without falling down too much ).There you go. That’s pyeongchang 1 day. Scheduled it to happen "
Phoenix Park Skiing and Hiking,"I'm a skier, but did not ski this trip. I went for the Olympics and saw two events at Phoenix Park (also known as Bokwang Snow Park) a ski resort in South Korea. It is located in the township of Bongpyeong-myeon, in the county of Pyeongchang. Note: Pyeongchang is a county, not a city. The area was all decked out for the Olympics, but the mountain still looked inviting with a variety of ski slopes to entice beginners to upper intermediates. New hotel construction in the area will offer ""front door"" service to chairlifts. Other accommodations in the area are readily available and numerous ski rental places. Note: Koreans seem to all rent skis, not own. By KTX train, the nearest station is Pyeongchang with easy taxi service to hotels and the resort. The resort also has a bowling alley, ""food court"", spa, billard parlor and although closed in the winter, there is a big water park. The winter visit was great, but I'd also enjoy seeing the area in a different season."
Great experience ,We visited this place in early March 2018 Most of the events for the ski had ended. We had great enjoyment as we were the only visitors there at this time. 
Olympic experience,"We went to watch the Ski half pipe and of all the events we watched this was definitely one of our favourites. I am not sure whether the Olympic facilities will remain after the Olympics,, but I sincerely hope they do to provide young Koreans with the inspiration to follow in the footsteps of their successful athletes. "
