review_title,review_body
Great views but dirty windows,It has great views from the top but the windows are very dirty so basically you can’t take any photos 
Amazing views ,"Went up here during the night time and was overwhelmed by the view. You have the view of the harbour bridge which looks amazing at night and after your done with the view, you take the elevator to level 4 and you enter rooms that are fun to take pictures in. "
Visit at night,"Went here at night and glad we did. There was a lovely light show on the tower building which we watched from below before going up. There are escalators and steps to reach the tower, then a lift inside. Views were good but a really fun event is after you leave the lift at the bottom. You wander through an art show with a difference! Go visit."
Observation Deck,Great observation deck to observe the landscape below the deck. Observing is easily done from the deck. 
Good view but nothing spectacular,"You get an entire view of Busan which is great but it's quite a small space and the gift shop takes up most of the area. There is only one elevator going up and one going down. There was a large school group which delayed everything.The Twosome coffee shop nearby is worth a visit. Large, relaxing, and comfortable area."
Nothing outstanding,"Having been to many towers around the world this one was fairly average. Nice views across Busan but nothing particularly memorable or special. Best part were the photo opportunities on the way out where you can sit on a sign of Busan, among sky scrapers or even in the moon!"
Great View,"The Busan Tower offers a great view over the city, both to the sea and the mountains. There’s multiple ways to access the tower. The best way is from the city from the shopping street. Take the escalators up which are covered in case of rain or heat. "
Cool Neighborhood,"Busan tower is in a nice plaza at the top of some stairs. Depending on your access point the stairway might be electric or not. We arrived around sunset and were able to enjoy the video projection showed on the Busan Tower façade twice (same repertoire without variation).There were love padlocks (same concept as Seoul tower, but on a lower scale).The restaurants around the area cater to tourists as the inflated prices show.Nevertheless, I enjoyed this neighborhood with its artificial waterfalls and the tower stands-out at night."
Nice views,"Make your way from BIFF square heading towards Lotte Mall and you will come across escalators heading up to Yongdusan park where the tower is located. On our visit, there weren't too many people so it was straight up. There is the usual tourist trap of photo taken at the entrance and then tying to get you to buy. Tip: at the bottom of the tower on your exit there are plenty of photo ops including a ""Busan tower"" shot! Another tip is: don't head down the steps/escalators the way you came up. Instead head towards the west exit where you will come out very close to a temple. It's a nice peaceful respite away from the chaos of the shopping precinct. "
Touring South Korea,"Touring of Busan Tower and surroundings are a must see if you are in the area. It’s worth the the challenge of the staircases (looks like stairway to heaven), but not to worry there are escalators as well. It was good that we have just finished a very filling lunch at the famous fish market, because we got to burn off the extra calories. We walked by the famous Busan film festival location in the town center, as well as and other attractions on the grounds of the Tower. The view was spectacular, and there were periods pieces of furniture and miniature replicas of Busan of the pass inside the Tower. We had a fun time posing for keepsake pictures in the designated locations and our guide Grace took many group pictures for us. I reallly really loved Busan and its rich history. You will love too. See some pics below. "
Wow,"Fabulous!!!!!!Loved Busan, polite people, easy to get around by yourself. Highly recommend anyone who loves Asia to give it a try."
Lots of Surprises! ,"Initially we do not have much expectation when visiting this attraction. After the visit, we will so happy that we did it. The garden at the entrance was majestic, the view from the top was epic and the Instagram worthy backdrops were totally fun and amazing. "
