review_title,review_body
Nature scenery ,"Came here during sunset time. The view is very beautiful and natural. Many tourist took photo over here. During your walking distance to Yongduam Rock, don’t buy any fruit from the first stores! Very rude and not friendly. Make sure those of you beware of them. "
Don't go here just for the rock,"Situated downtown close to the airport, this is a quick visit spot. Don't go here just for the rock, but for the overall sea view and the park adjoining the spot."
A quick visit will do,Just a quick visit to tick off the must do in Jeju. We came early in the morning hence not many people yet. I presume there there will be huge crowd later in the day as this is popular place to see rock formation without much walking to reach the site
Nice rock and view,The place was accessible by bus from the Jeju city!I arrived the rock before 12pm and going around the rock to take photos!The color and shape of rock is some how unique!If you have time you may want to come and take a look!
Overhyped,Can walk to the bottom where you will see some Jeju ladies with their catch. Took some photos with these rocks and that's it.
Foggy,Can do a little sightseeing of the sea. A little foggy when we visited at 9.30am.The photo didn't turn out as good.
Scenic Rock,"Easy visit - gps to car park, down steps and the rock's there. Its pretty enough for a quick visit. Some shops, snack places in the area. Parking was free for a short stay"
Nice area to see sunset,Small area but you can see clear waters around the rocks formed from the volcano. Do visit if you have time. I imagine it would be amazing to catch the sunset here but am unable to do so because of time constraints.Easily accessible by bus no. 462 from Jeju Bus Terminal.
Beautiful rock formation & sunset view,I went close to sunset time and I was able to catch a pretty good sunset. Plus since it's close to the airport the view of airplanes flying by the sunset was quite amazing.
Nice walk,Nice place to walk and then eat at the Antoinette or seafood while enjoying the view. There is also a nice hang bridge.
Dragon’s head,"It is a volcanic rock formation in the form of a dragon’s head, created by strong winds and waves over thousands of years. However, legend has it that a dragon stealing precious jade from Mt. Halla was shot down by an arrow from the mountain deity. When he fell down on Yongduam, his body immediately sank into the ocean and his head rapidly froze looking at the sky. Another legend has it that a white horse dreamt of being a dragon and ascending to the sky. On his ascent, he was caught by a soldier and froze into the rock. While admiring the dragon’s head, one can see how the black rocks contrast with the emerald blue ocean."
Dragon Head,"The rock look alike dragon head. Yes it is. Nothing much here, just another tourist attraction by the beach. It is near the airport so you can see flights at the sky about to land closely. So if you like to take a nice aircraft shot, this place might be a good one for you. "
The Easiest Rock Formation To See,"This is by far the easiest rock formation to see on the island. It’s within a stroll from the carpark and very accessible, no Long trials or multiple flights of stairs to climb. Expect bus loads of tourist though. Good views of the coast from the viewing deck."
Didn't look like a dragon to us. Easy to miss,"Very underwhelmed. Arrived by ship & took free port shuttle into Jeju-si (capital) & dropped by the Jungang underground shopping street & Guandeokjeong. Walked past Yongyeon Bridge & past park to Dongduam rock. Pleasant walk. Then back to find Black Pork St, but didn't try it as we had heard it was nothing special. Enough to fill in a day (about 6 hours ashore.) Friends who went on a trip round the island said it wasn't terribly interesting & worth the cost. Do pick up a map from the tourist info kiosk, not far from where you arrive, then you can walk round sights described"
Nice but not amazing..,Its nice..but not amazing. U can eat abalone from those ajuma also there. ( However its very expensive).Transport is near from airport..but difficult to find taxi on way back.
Maybe it was...,...but it didn’t appear to me as a dragon’s head. Perhaps i lack the imagination to visualise it. It was a short visit anyway. 
It’s not Blackpool ,"Listen to the folk stories and go and have a look yourself, then make up your mind if you believe it or not. Whatever the result it’s interesting and picturesque."
During dark,"My own experience was during dark, and I loved it. There was a spotlight highlighting the rock. Relax listening to the waves coming from the sea to the shore. On the way here I recommend walking through Yongyeon bridge."
Dragon head by night. You can also see the stone mermaid. Enjoy the sea breeze and open view of the sea. ,Nice rock formation. Lighting at night brings out the features of the dragon head. Enjoy the cold breeze from the sea. Mermaid stone statue fronts the entrance 
Nice views and easy stroll around ,"Visited Yongduam Rock as a part of my Olle walk. Pretty views, peacefull sea, a place to sit and contemplate, but be wary of mass tourism as busses pull in all day long bringing hords of people. Follow the Olle Trail to see more scenic views around. "
Nature Beauty!,It is a beautiful sightseeing scene. A good spot for photo taking. There is a hanging bridge before walk up to the spot. It is not far from hotel Ramada. 
Dragon Rock,"It is very nearby the airport, you can stop by once you have your rental car picked up. We did a quick stop for some photos only, we did paid for the parking. There is not much to see. "
