review_title,review_body
Big out,Just come if you have anything to buy since the location is far from city. It takes 3 hours with private transport if jam. Overall Adidas has the best bargain. Majority is local visitors so might face communication problem if you wish to get something from the food truck or stalls with local food.
Paju premium outlets,"A medium-sized shopping area in Paju City, with many items to choose from. And have a beautiful corner to take pictures"
Need More Time and Space to Shop,"Part of our travel group itinerary going to the airport was spending time here to shop. Left with 2 hours time frame , I hate to admit, I was not that ready to do my shopping. No more space in my luggage to do last minute ones. Regretted not buying something from Adidas , Nike and Lacoste. Need to spend a half day at least here. Many restaurants and it would be convenient with the cooler weather cooperating.The only downside was the typical lining up at the airport for those tax refunds. Beautiful place to stroll around for a bit also."
Go on weekends although it's crowded.,"The journey from my hotel at Insadong to Paju premium outlet took about 1.5hr. There's nothing to wow about as the prices aren't cheap except for Adidas. Do note that take bus 2200 from exit 1 of Hapjeong station instead of exit 2 as stated on the website. The bus to Lotte premium outlet is much nearer than Paju,about 30 mins difference and the announcements for each station are all in Korean so pls do keep a lookout for the alighting point.I spent about 5 hours here due to the crowd at Adidas but it's all worry it! I bought a pair of kid's sandals just for 8000 won! Bought 4 pairs and 2 pairs of Adult's shoes cost me 140,000 won only! Other than Adidas and Nike, Other brands r not worth going.. I bought a Coach wallet in Sg for about $180 after a whopping 50 percent off but it's costs $350 after a 50 percent off! So it's actually much more expensive here! Having said that, I'm lucky that I came on a Sunday which is crowded with family and there's alot of events and freebies for the children. Like the vibe though but I will not visit in the near future... the prices in Japan's outlet is much better than here. "
Not like the rest Premium Outlets,"Unless you have allot of money and trying to pay extra for luxury goods from previous collections avoid it. There are so many uber cool areas to shop in Seoul with local desginers. Follow the ""Made In Korea"" labels. No regrets!"
paju premium outlet,"When I went to Korea I will always visit paju premium outlet .u can get mcm with a lower price than at e shopping mall .this outlet is easy to travel .Bus]Hapjeong Station (Subway Line 2 or 6), Exit 2. - Take Bus 2200.- Get off at Paju Premium Outlets Back Gate Bus Stop.- The outlet is located 600m from the bus stop.(Bus schedule: 05:30-22:10, 10min intervals/ Travel time: 1hr)Hapjeong Station (Exit 2) or Baekseok Station (Subway Line 3, Exit 4).- Take Bus 200 and get off at Paju Premium Outlets Bus Stop.Geumchon Station (Gyeongui Line), Exit 1.- Take Bus 033, 035, 036 or 900.- Get off at Paju Premium Outlets Back Gate Bus Stop. (Travel time: 20min)"
Journey is far but able to get some good catch,"Took bus 2200 from Hongdae (outside KDB bank) to paju premium outlet and on the way, you get to pass by lotte premium outlet too.As the journey is far, it will take you an hour to travel here.The sales is quite attractive as i managed to buy a MCM crossbody bag (past season) at 170,400 won before tax refund at airport. I’m happy with my shopping.Happy shopping everybody"
A good place for outlet shopping and good prices,"We happened to be there on one of the days which they had additional discounts on top of the pricing. Cons is that, it's out of Seoul. Would suggest a half day to full day there if you really into outlet shopping."
worth a short trip from seoul only if you love shopping ,not everything is cheaper than those in myeongdong. there a number worth the buy. pretty cold here. there was a sale going on. can try lotte premium outlet also as it’s along the bus route. took bus 2200 from hongik univ. exit 1 (go to your right and walk for a 100m). only an hour away. you can catch a view of north korea while enroute. 
Buy or not to buy?,"Taken here from airport. There were a number of buses parked up..so the potential was there for business. Quite a big shopping complex, with individual shops, .. this is an OUTLET SHOP, for older and slower selling stock.. not for the latest!Lots of people... tourists and “locals”... most were seeming to be just browsing.)no/notCheap enough?)Nothing caught my eye, or was cheap enough to tempt me to buy..( cf with HK prices?)Saw a few shoppers with shopping bags....Rate... just a number of “ branded” shops... who’s prices were not as sharp as I thought they would be....in Korea! Just average at best.Time to spend= do they have what U want = more time choosing..Could spend time JUST BROWSING.. & buy nothing.. or lot more time to choose...10/20 mins to. ?????? !"
As Expected from the Premium Outlet Chain,"If you’ve been to Vacaville or Gotemba Premium Outlet, Paju is like their little sister. It still had the usual brands like Nike, Polo RL, Adidas, Michael Kors, Coach, etc. But I was hoping they had more of the luxury brands. Good thing the Lotte Premium Outlet was nearby and it was the perfect complement to Paju.If you have time to spare in Seoul, you can actually bundle it with the DMZ tour as it is in the way there. "
Bustling place,"Decided to make a trip to Paju Premium Outlet since I went to Jeonju Outlet in my last trip. It was a long journey to the outlet. Unfortunately, I took the wrong bus and only realise it when I found myself to be the last person on the bus. As the bus driver does not speak English, after lots of hand gestures and tries, I alighted the bus, crossed the road and waited for the bus the the bus driver told me. When I finally arrived, I found the place bustling with people and activities... lots of shops and local brand names that I am not familiar with. Place is huge. Walked for an hour or so but did not buy anything.... probably wrong season and tired after the journey. Think I prefer the Brand’s in Jeonju outlets which is my personal preference."
Worth a visit,If u r coming to Seoul for outlet shopping this Paju area is good choice. There is another Lotte Premium outlet so is a kill 2birds with 1stone. Fr Hapyeong station exit 1 take bus 2200 (2500won) per pax u can pay w ur Tmoney card. Abt 90mins journey. Download app Kakao bus to check the busstops n arriving time. Recommend to spend sometime here n proceed to lotte premium outlet by the same 2200bus. (Take Bus stop opp where u alight/ same for return)
Drove to Paju premium outlet ,"The stores here have quite a good range. But could not buy anything as it is not that really cheap. Maybe in terms of comparison to the Seoul shopping, it’s definitely cheaper in that way. There is an English map that makes it easier to move around. "
Good deals!,It’s a good outlet located far from Seoul. We visited on a weekday and it was not crowded at all. Got good deals from Adidas and Nike. Well worth the trip!
Okay,"Was expecting brands like Prada, Gucci, YSL, etc. to have their standalone boutiques but in Paju it’s just one shop (Elbon if I’m not mistaken) that carries these brands. I saw in a website that Paju has these designer brands so I was expecting a lot. Their MCM & Hugo Boss stores were nice though. Bus ride was okay as you’ll have a glimpse of the quiet side of Seoul. Paju is 2 hrs away by train and bus so it’ll only be worth it if this is part of your tour’s itinerary or if you have extra days to spend in SK. Went on a Wednesday and it was not crowded."
Not in a Cold Day,"The outlet mall was our final stop for our day trip tour. Since we were not interested in shopping - we end up spent the whole time in the supermarket on 3rd floor. Luckily, they have a snack bar where we can enjoy noodle soup."
Great place,"Ok since I have been to Paju Outlet, I will give detailed directions here.From Hapjeong station (green line 2) exit 1, take bus 2200 or bus 200. Bus 2200 will takes about 45mins to reach, bus 200 will takes about 75mins to reach because it goes through the housing area. Both bus will alight right in front of Paju Outlet.On the return trip, cross the road and take bus 2200 or bus 200 back to Hapjeong station, you will alight at Hapjeong station (green line 2) exit 4,The fare is about/around 2400won/pax/way.This outlet is not bad, if I am returning back to Seoul and have extra time, I will revisit."
Nice outlet malls,Paju Outlet Mall is a huge Outlet Mall with many interesting shops. But it’s not too crowded. So nice for walking around. You can also visit s smaller mall - Lotte Mall nearby.
Premium outlet near Seoul,Must visit shopping outlet for every first time visitor to Seoul.Great if you can self drive only 30 min from Seoul in good traffic.Good choice of brand outlets and reasonable dining options.Close to DMZ observatory and so you could kill 2 birds with 1 stone.Great for a day trip from Seoul downtown.
 Shop till you drop,"A nice collection of designer stores. As usually, know your prices and personal limit. Be aware that even in outlets like these European designers are not cheap and can be found less pricy in Europe or the US. Still, it's a nice outlet and very American like atmosphere. Before hit one of the big Dept. Stores downtown you may wanna give this outlet a look. In addition, the Lotte Premium outlet is very close by and combining both makes sense.... If your credit card allows. "
Deals Galore,"Lots of deals by big brands such as Nike, Coach, Michael Kors etc. I ate at Johnny Rockets at level 3. Man... the burger was delicious! Apparently free flow of coke (at this time on my visit).It is quite a distance to this location. I followed a blogger's directions and it went horribly wrong. I wasted 2 hours trying to rectify my locations and arrive safely. And its difficult getting a cab here. Below is what i would suggest, if you are coming from Seoul.1. Line 3 train and alight at Hapjeong Station.2. Use exit 1 and go to the bus stop at the exit.3. Take bus 2200. Queue up for it.4. Alight at the back gate of Paju Premium Outlet.Thats how easy it is.Just take the same bus on the opposite direction to go back to Seoul. If you are lucky, it could be a double-decker coach!"
