review_title,review_body
Great addition to a visit to Gyeongbokgung,This museum is in the grounds of Gyeonbokgung palace and is a great place to get a bit more understanding about the Joseon dynasties - especially if you didn't have guided tour of the palace. Just the right size to be interesting but not bombard you with too much information.
Informational,Entrance is free and there is audio guide that you can rent at the information desk. It is located within Gyeongbukgung but just outside the ticketing booth. Plenty of displays and descriptions depicting the lives of the royal families who lived in the palaces. Took us an hour to complete though we would love to stay longer.
Great museum,"I arrived at the Gyeongbokgung Palace at 0930hr, too early to witness the changing of royal guards ceremony at 1000hr, Hence I decided to visit this nearby museum first. There are free digital locker to store my backpack. This museum displays royal relics from the Joseon Dynasty. There are many exhibition halls, with each hall displaying exhibits of Kings of the Joseon Dynasty, Joseon Palaces, Royal Court Life, Korean Empire, Astronomy & Science Hall Ⅰ, Royal Court Paintings, Jongmyo, the Royal Ancestral Shrine, Royal Court Music, Royal Procession, Astronomy & Science Hall Ⅱ. After visiting the museum, I have a better understanding of the King’s life during that era. Admission is free with toilet facilities and seats for resting."
Wonderful Historical Museum - on grounds of Gyeonghbokung Palace,"This museum covering several dynasties of Korea is well worth a visit, and well take you 2-3 hours. Beautiful displays of wonderful historical objects. There is a small restaurant on site to take time to relax."
Great museum!,Entrance to the museum is free and audio guides of various languages can be obtained at the information desks at 1k KRW. The audio guide is user friendly which detects exhibits automatically so you dont have to key in anything. The museum is well kept and organised and gives good explanation to the Josean dynasty. Worth going if you are heading to Gyeongbukgung grounds.
All About the Royals,"This was a free museum located off the main parade grounds of Gyeongbokgung Palace. We toured the Palace and grounds first, watched the changing of the guards ceremony before heading indoors to tour this museum. Inside there were three floors of history that covered practically all aspects of royal life, from birth until death, for the Joseon dynasty. The following stood out for us:-The display on royal processions was quite impressive as it explained the size and significance of the various groups of people who were required to escort the king during a formal outing. -The scientific accomplishments and capabilties including a water clock but unfortunately for us was going through maintenance during our visit. I thought the displays and their explanations was very well put together and held the interest of the whole family. Compared to the crowds attending the changing of the guards ceremony it felt like we had the museum to ourself."
Wonderful exhibits regarding royal life,"The museum is medium sized compared to most museums I've visited, but that means it is extensive enough to peak your interest but manageable enough to complete in one morning/afternoon session. The exhibits range all the way back to the 1300s until 1910 when the Korean royalty was overthrown by the Japanese."
Joseon Royalty ,I felt walking through here that a lot was expected from crown prince from birth that from the age of 5 it was constant preparation to lead a country and to be a great king. Not that it was easier on crown princess.It makes you reflect on the weight of a kingdom.
Live experience ,The palace museum shows a large collection and explanations of different king dynasties and different royal belongings during the last centuries. 
Visit during Lunar New Year,"Museum currently has an exhibit of things from Lichtenstein. While cool, it takes up most of the museum which leaves not a lot of information on Korean palaces. Overall, museum does a good job explaining what you are seeing and setting you up for Gyeongbokgung which is next door."
Korean history,A good place to learn about Korean history. The museum displays a lot of relics from Joseon dynasty to the Korean empire time. I particularly enjoyed watching the documentary of how Gyeongbokgung was constructed. The documentary was shown next to a giant building plan of the palace.
