review_title,review_body
Probably my favourite thing to do near seoul,"Sure it's a bit far (40 mins train, 40 mins bus) from most main tourist zones in Seoul, but this quirky little park is worth your time. Part cave, part weird underground amusement park, this place can keep you busy for an hour or two for sure. I see people talking about the walking/steps, but if you are even minorly in shape, it's not an issue (maybe a few hundred stairs total). We did a cold wednesday morning and it was almost completely empty. For only 6000won, plus another 3000 to go through a ""horror cave"", you really can't go wrong. In addition to the cave and it's few offshoots, you can also do some virtual reality (5000-14000won), climb a platform for pretty good views, and there is upcycle art gallery worth a quick wander. It's not that the cave or attractions were so good, it's just the undeniable uniqueness of the entire experience that isn't available anywhere else on planet earth."
Good cave park for a day trip from Seoul,"This is a cave park with some fun attractions, shops and foods. Very nice for a family with young children. A day trip from Seoul is available.- How to get there: Subway line #1 (heading to Suwon, Byeongjeom, Shinchang) from Yongsan to Geumcheon-gu Office. And there's a connecting 4-coach shuttle train from the very platform you got off. This shuttle train stops at the next stop, 'KTX Gwangmyeong'. Be aware of this train's schedule. In the worst case, you may wait for almost an hour. After leaving Gwangmyeong Station through exit #7 or #8, take bus #17 at platform #8-1. 10~15 min until Gwangmyeong Cave. Follow others after that. It's about 15~20 min until the ticket office.- Entrance is 6,000 won for adults and there are other discount rules.- It takes about an hour to see the cave. You will go until wine cellar & café and come back.- Gwangmyeong Cave isn't that tough to walk around. Seniors can finish even if there are some up & down. They provide helmets. But, these aren't necessary. The observatory is next to the cave entrance and this is the only thing turning down for seniors.- There are other attractions in and out. Additional programs for additional costs. These are mostly good for children.- You can learn the cave's history. But, this cave is mostly for entertainment having fishes, laser show, illuminations, photo spots, wine cellar, etc.- The food truck zone outside looked cool for foreign visitors."
Great place to spend some time ,"We had a really good visit! The cave itself was a very enjoyable showing, but I also enjoyed learning the history of the cave. We visited the second exhibit (better for kids, additional fee) “Rainbow Factory”, a hands on traveling exhibit and light and technology. We didn’t experience the VR (additional fee) but heard great things. We hiked up past the sign on the mountain and explored the upcycled Zoo exhibit as well. Food trucks and cafes on site. Water for kids to splash in. "
Be ready to walk ,"It’s my first time visiting this attraction. Visit was worth it. The light and sound show. The gallery. The Lord of the Rings concept . The dark history of its past. But just a gentle reminder, this is said to be more of a man made instead of a natural creation. Another reminder , going to the main entrance itself will be a steep uphill climb. And inside will require 150 steps each going up and down both ways. A small consolation is a drinking fountain midway. And of course some wine tasting at the end of the tour . Our tour organiser arranged a fine dining set up for us. "
Cave theme park during winter,"You can tour inside the cave for 1hr...lots of stairs and cool inside, you won't get lost, there's a lot of guide too. Outside the theme park are food and gift shops, and down further you'll see a mini recycling park and museum."
A bit far but it's worth the trip,"I traveled all the way from Yongin to see this beauty. Took the subway all the way to Cheolsan Station from Stadium-Songdam College Station (took me 1 hr and 40 mins). From Cheolsan station Exit 2, I walked a little to the left and crossed the street towards the bus stop and rode Bus 17 which goes all the way to the entrance of the cave (travel time is around 1 hour). Upon arriving at the main entrance, I had to walk upwards for around 8 minutes just to get to the cave entrance itself. Tickets cost 6000 KRW for adults. Upon going in, you'll be amazed how Koreans were able to transform a former mining cave to the attraction that it is now. Inside they have aquariums, light tunnels, a lake, dioramas, and even a wine laboratory!Be ready to go up the Stairs of Longevity. It's quite steep and I was out of my breath upon reaching the top!Kids and elderly people might have difficulty roaming here as there are a lot of stairs, but they have designated rest areas where people can sit.A must-see! When I was there, all the people inside were Koreans."
Interesting ,"Booked the EG shuttle to visit the Cave which is an hour from Hongdae. Must be physically fit to visit because it took us about 1.5 hours to complete the circuit, excluding the horror zone. It is cool in the Cave with impressive light displays. Initially, the route we took was mostly down the steps but there was a stair of longevity which was going upstairs and it was challenging. There were no worries about getting lost because staff at stationed at strategic points to direct visitors. The last point is the wine cellar and there was even sampling of wine. After this section, we u turned and. the exit was not far away. Didn't want to wait for the EG shuttle so went across the road to take Bus 17 to go to. Cheolsan Station to return to Seoul. "
"A historical, fun, entertaining, and interesting attraction","There's so much to see in the Gwangmyeong Cave alone. They have a light and sounds show in the media cave, big & moving dragon sculpture, hall of lights, aquariums, wine cave and cellar, horror section, historical and information area, golden cave, etc. Just be prepared to walk up and down lots of steps and stairs."
"Transit tour early morning fron incheon, too good to explore by yourself","Modernized cave with entertainment , various activities, sightseeing with aquaruim (small), light and sound displaying on the rock facade, winding steps but not too physical demanding, ex underground lake with light illuminstions, temperature is cool as compred with freezy cold outside. Pink tall chimney is the landmark when reaching this cave themed park.I booked transit tour ahead from incheon sirport website, important thing is that you need early morning arrival and then quick go thruogh immigration, further your way out through the custom declaration and go to identify yourself-booking reply e mail at the tour desk between exit gate 8_9. It's amazingly organized , and much important thst it's all free including transportation, english speaking tourguide, admission fee and transfer back to your terminal. "
A MUST-SEE ,"We definitely recommend a visit to this site: a testament to the will of the Korean people to overcome a dark past. This cave was actually a mine exploited by the Japanese during their occupation where Koreans were the forced labour to mine gold, silver, zinc and other minerals. It was later used to store dried shrimp and other foodstuffs, then left abandoned for forty years. The old mine has been converted to a tourist site as a cave with an interesting light and media displays, local plants nurseries, and aquariums of exotic fish - all in addition to relating the story of the cave's past. For me a hightlight was a New Age music and video presentation using the contours of the rock as a screen for the video - just spectacular!"
