review_title,review_body
DMZ & JSA experience,Full day at DMZ with koridoor tours.An easy day trip from Seoul and a must see thing to do when visiting Korea.A place where world history is being written
DMZ," Half day tour to DMZ with VIP Travel.Collected on time and enjoyed the very informative Jenny on what was required to be done regarding admittance to various sites.Also, the history up to the present day and her excellent method of getting us to the various stops ahead of the queues."
Must Do experience!,A 'must do' experience every tourist! An easy day trip from Seoul - easily and cheaper to arrange through hotel reception than online before travel. 2 day tours packing city tour and DMZ can work out as better value and offer hotel pick and drop off.
"I now have a ""North Korea"" stamp in my passport!","While it wasn't the very best historic tour I've ever been on, it was interesting. And very sad. Until we went, I don't think that I really appreciated how, similar to the Berlin Wall, in the blink of an eye, families have been divided and lost to each other.We were able to go underground to one of the tunnels that N Korea had built to infiltrate and invade S Korea. You get hardhats so that you don't knock your head on the ceiling, and you have to keep hunching over so that you don't hit it. But if you're over 6', you can count on bashing it anyway, as my husband repeatedly did. The ground is slippery and very steep in some places also. When you reach the bottom, you're at a midway point and you can see a small room that's the last place any N Koreans could enter. Anything beyond that room is the DMZ and N Korea. Nearby, there's a museum that you can walk through that explains how the country split and various military campaigns.After visiting the tunnel, we were taken to the Dora Observatory, where you can stand on a covered platform and with high-power binoculars see into N Korean countryside. If you turn around, you can see S Korea, and the contrast between the two is pretty stark. It's definitely one of those ""selfie"" times, because you can have a nice photo with N Korea in the background.After the Dora Observatory, we were taken to a restaurant, where we were provided a Korean lunch. Nothing spectacular or fancy, but it was decent and filling. Then we were taken to the Dorasan Station, which is the last station in S Korea and was intended to connect the entire country with rail lines throughout Asia and into Europe. It has been finished and updated but doesn't have any trains in or out. However, there is sort of a museum on the inside, and we were given train ""tickets"" that allowed us to go out onto the train platform. We also had the opportunity to stamp either the tickets or our passports with a pretend N Korean stamp. It will not be recognized, but it's kind of fun having that stamp in my passport.Once we left the train station, we were taken to the Nuri Peace Park, which has some lovely gardens, a shrine, and an unfinished suspension bridge between the two countries. S Korean families leave small flags on the bridge in remembrance of their family members still trapped in N Korea. This, to me, was the most humbling part of the tour. While we most often hear about missile tests and Kim Jong Un, it shouldn't be forgotten that there are real people whose lives have been altered by the separation and deaths of their family members still in N Korea. (Sidenote: We had to skip the bus back to the base and instead took a taxi to our hotel near the airport. Our taxi driver didn't speak any English but he kept saying ""Kim Jong Un"" in a very derogatory manner. I think it's safe to say that he didn't have a good opinion of him. It added another layer of understanding of how the population has been affected - still - by the splitting of the country.)Was it the best thing I've ever done? No, but it was very interesting and informative; if you have to opportunity to visit, you should."
It was ok,"I originally wanted to go on the longer tour together with the JSA tour. Unfortunately it was canceled the evening before the tour. They offered me the shorter tour, only to the DMZ. It is okay. But I think the JSA tour would be more interesting."
Birthday trip,"A DMZ trip was not on my list when I arrived in Seoul, but with 2 days with nothing planned, I decide to add this tour to our list. Our tour guide Christian was great. She triple checked us to make sure we had our passports, because we would not be allowed to access the DMZ without one, and it had to be a physical passport book, not electronic or a copy. It was like clearing custom to go into a foreign country, except soldiers were doing the checking. No picture taking were allowed once we board the bus, with others to go across the bridge. Big surprise, there’s a Popeyes restaurant at Imjigak park. There are remnants of better days “a train” still sitting on its track, and more. We did the tour of the 3rd incomplete tunnel. This was harder than I thought, going down and back up from the tunnel, was like walking down the side of an upright pencil. I almost panicked, but I made it to the end, definitely a once in a lifetime experience, not for the faint hearted. There’s a monorail choice to tour the tunnel as well. If you go make sure to stop at the supermarket and pick up a few boxes of chocolate covered soybeans. Wished I bought more. From the Tower you can see some activities on the other side. Pictures can be taken once you are off the bus, but no personal belongings can be taken into the tunnel. So much to see at the DMZ. "
Memorable Place,"One of the top places to see when visiting Seoul. Always include this as one of the top five to visit in Korea. Such an amazing place how they preserved and maintain the tunnel. Just a reminder, make sure that you have your passport when you are joining this tour for there are security check when entering DMZ. "
Overhyped,I don't really understand the hype. It is a border. How fascinated can you be about that? There's North Korea on the other side... how fascinated can you be about that. Pretty dull in general though I heard there's great nature trails.
 Must visit! ,"If you go to Korea, you can’t skip this tour, it can be book the day before from most hotel concierge services, the tour leaves early and is about 1 to 1 1/2 hours drive which is full of information by the tour guide, you need to bring your passport for military control, we went during summer and it was hot, so make sure you have sunscreen, sunglasses, a hat and comfortable clothes and walking shoes, you don’t have to bring food, as there are places where you can buy something. "
Great tour to hope of peace and unification in Korea,"I made a day trip there with a group of my friends. It was about 2 hours from Seoul. The trip was great, offering you knowledge about korean war, DMZ, and the hope of Korean people about peace and unification.It is DMZ but i dont feel like that way, everything is normal, green rice paddy field, nice park..."
DMZ,While my wife was not keen she throughly enjoyed the visit. Very well run by the army on duty that day and very informative on all aspects of the area. A must do if in Korea
Special experience,"Very lucky to have been able to visit the DMZ on a trip to South Korea. Would probably say this is an absolute must see thing to do when visiting Korea. Managed to do a full day tour, an eerie experience and can still see the tension. Coming here helps you understand a lot about the history though."
