review_title,review_body
DMZ tour: Dorasan station & 3rd tunnel,"By some distance, the biggest disappointment of an otherwise great trip to Korea. The UN emailed us 24hours earlier to tell us that the JSA tour we'd pre-booked had been cancelled for some reason (happens a lot, apparently: we were just unlucky). So to salvage what we could from the situation, we joined the Third Tunnel tour instead.Dorasan station: a place where you just have to use your imagination, as there's really nothing to see/do there at present. The border viewpoint allowed a 'Cold War afficionado' like myself to get my fix, gazing across into North Korea, but the supposed highlight - the third tunnel - although it has an interesting back-story, there's nothing of interest once inside it.Don't bother with this tour: book the JSA tour and just hope you get a green-light from the UN. Enjoy!"
Walk the tunnel,"Explore the underground tunnel dug by the North Koreans to ostensibly invade South Korea. A motorised trolley takes you underground, where you walk the tunnel and can see the holes where dynamite blew the tunnel. Not for claustrophobes! "
Great workout!,"included on your tour trip to DMZ, third tunnel is a unforgettable experience, no photos are allowed inside the tunnel and you can’t bring your cellphone, so be ready for a zero technology walking tour, there are lockers where you can leave your belongings, a souvenir and convenient store, then you go thru a metal detector. Downhill is easy, walking back is the hard part, unless you’re very fit, as it’s very steep. You can use the little train and I personally recommend it as there’s really nothing to see while walking. A hard hat is a must and very helpful, I’m 5’2” and still manage to hit my head with the ceiling a couple of times. It’s humid inside and smells like a mine, if you have asthma I don’t recommend it. At the end of the tunnel you can see the three barricades and go back. "
Not for the faint of heart. ,"Before entry to the tunnel all personal effect must be locked away in lockers provided. We were given hardhats because parts of the tunnel were quite low and there were water dripping in quite a few areas. They advised that if you have high blood pressure etc, it might not be the best tour for you. A monorail is also available. It’s the steepest down and uphill walk I have done so far, and Korea is loaded with steeps steps and roads. They were die hards even walking with canes on this tour, they were encouraging me along the way. Staying in the back of the tour group will help if you are afraid of tunnels ( it might prevent panicking). "
Tired but worth it,"Trust me, be ready to go down the tunnel, it was a bit tired. Then you walk further for about 5 minutes reaching the last point and see the other side, i guess that is north korean side. I cannot upload any photos because no camera allowed. It was quite cool down there and you can easily hit your head on the rock above your head. But dont worry, you have helmet.:)So hopefully you enjoy it"
North Korean Tunnel,The Third Infiltration Tunnel is North Korean tunnel found below the DMZ. You have to wear a hard hat to go down into the tunnel. No photographs are allowed down the tunnel. A monorail is available to get you down to the tunnel. A great place for those interested in history and cold war politics.
The Highlight of Our Tour,"Incredible bit of history! One of many tunnels that the North Koreans attempted to build into the south for a possible invasion. But a defector gave the South Koreans the exact location and the South was able to intercept the tunnel before it was completed. It is a very long walk on a very steep incline. Bring some good walking/hiking shoes. Unless you are in very good shape, you will be tired by the end. There is also a very interesting museum right next to the tunnel."
Great to experience ,"Before you enter there are lockers rooms to put all your things. No camera fons or bags are allowed.The tunnel is going downwards and takes total of 40 to 50mins to go down and back again.It is not advisable for old people or with frails legs, or weak feet due to coming up is a challenge.I didnt feel claustrophobic from the few 100 meters, but reaching the end of the tunnel is getting smaller but still ok for me.Inside the tunnel is airconditioned so compared to the hot temperature outside, it is great experience.There are designated smoking areas for smokers and shops for refreshment. We bought the whiskey as it is highly recommended."
Fascinating and Tiring!,"Really enjoyed the visit to the Third Tunnel as oart of my DMZ tour. It gives fascinating Insight into the nature of the conflict between the two Koreas.The North Built this massive tunnel with a view to invading the South. When it was discovered they passed it off as a coal mine! There is a steep descent into the tunnel built by the South Koreans to meet the tunnel. You walk for a couple of hundred metres until you sre only 170m. Away from the Northern limit of the DMZ.You need to be reasonably fit but it's not too bad, a lot of crouching and them a long ascent back to the surface. But if you're able bodied you'll be okay.No photos allowed inside the tunnel and they give you an mandatory hard hat- which believe me you'll need!Theres a good museum and a short 8ish minute film. A brilliant thing to visit."
Side Dish,"This is just a side dish of the DMZ tour.There are two ways to the tunnel. By monorail or walk 350 meter down(return is up). Before the event, you have to leave all your belongings including any portable phone and cameras (you have to walk thru a metal detector) and pick up your safety helmets.  The tunnel was quite low, also due to the metal reinforcement scaffolding the South had put in, so everyone over 5’4″ had to stoop. A tall man in front of us was having some trouble so at regular intervals you could hear the clang of hardhat against the metal pipes. You need to walk a several hundred meters to the three barricades and has really nothing significant to observe. Some of the tour members just skip this event.By the way, here is the northernmost point of tour spot before 2018 October when the Panmumjeom (5 km from 38° N) opened to Public. "
A surreal experience!,"A surreal experience! You can go into the tunnel, which is one of the tunnels that was discovered after being reported by a North Korean fleer, which was build by North Koreans to invade South Korea. When you visit this tunnel, be sure you are healthy and not cluster-phobic."
goosebumps,"this tunnel among many more was built by North Korea in order to invade the south and it is the longest tunnel of them allit was really long and felt so surreal inside the tunnel. its a very easy going down but its a very tiring way up so don't bring weak people or old parents here, but it's very fun if you come with friends! (no cameras allowed)"
Third Tunnel of Agression,"The longest tunnel in DMZ. Be mindful of your footwear selection, walking in the tunnel is draining but worth the experience. Be sure to listen and ask questions to your tour guide, they give you generous explanations and insights about DMZ and this tunnel. Enjoy and take care!"
Keep Your Head Down,"First of all figure out if you are fit enough and interested enough to do this sloping walk down and then again back up. I walked hunched over and still hit my hard hat on the low ceiling many times. It seems that many people were struggling with the upslope especially and didn't really care about why they were doing it in the first place. The tunnel is part of the DMZ tour. Not everywhere has to be photographed to be able to remember the experience of where you are. It's not going to be scenic, it's just understanding what was going on here. This tunnel was capable of a North Korean invasion on the city of Seoul had it been completed."
