review_title,review_body
Good sight,I went there as part of a guided tour. They took us there and we went to the new observatory up the hill. It's really steep. From the observatory you can see the neighbour. I have been lucky because the weather was good and I could see really far.
If you want to see north korea side,"This is quite sensitive area, you need to bring your passport or visa or ID to enter. You are not allowed to take photos of soldiers and military equipmentsThis place offers you a great view of both North and South Korea. You can observe North Korea Goengsan industrial complex. Beside the view was really beautiful."
Look at North Korea,The Dora Observatory overlooks North Korea. it is near the South Korea propaganda village and overlooks the North Korean propoganda village. Look at the 2 giant flagpoles. A great place for people interested in history and cold war politics.
Great Views,Pretty special place to visit. Walk all the way up to the observatory and you can see into North Korea across the DMZ. Really puts the place into context. Great experience and very lucky to have been there.
Observatory in DMZ,We visited the Dora Observatory as part of a Seoul City Tour of the DMZ. The tour of the DMZ is the most popular tour that you can take while in Seoul as everyone is interested in what is happening in North Korea.Dora Observatory is a modern observatory that allows you to look across the countryside to North Korea. What fun.
Brilliant Views of North Korea,"Fantastic views across the DMZ and into North Korea. There are mounted binculars for you to use for free and you can see people working in the fields, North Korean guards at their post, the massive North Korea flag fluttering in the breeze You get to see the nearest city to the border and you can easily make out individual buildings and statues.After spending a day in the DMZ it was great to get such a good glimpse into such a mysterious and forbidden place.There are great views of the south from the other side of the observatory."
A spot of Memories,"Dorasan Hill is a high land of 156 meters above sea level. During the Korean War, this has been changed hands between the South and the North three times and mines were numerous as evidenced along the road we escalating to the Observatory. Here mainly is a view point to see North Korea closest at hand. Propaganda village and farmland of North Korea are spread just ahead, and some city area of Gaeseong , Gaeseong Industrial Complex and a bronze statue of Kim Il-Seung can be seen through a telescope.The deficit at this observatory is not 360° and also lack of illustrations for directions of point of interest at telescopic locations. Also, telescopes are too densely located without considering the enthusiasm of tourists.Nevertheless, hopefully these telescopes will became a redundancy as eventually Dorasan Hill will be changed, like Lok Ma Chau of China Hong Kong, no longer a tourist spot of Memories but to be an international exchange center. "
One of the highlight in visiting DMZ!,One of the highlight in visiting DMZ! It is on top of a hill where you can look at the North Korea land using provided binoculars. The view is breathtaking. 
Dora Observatory ~ See North Korean Soldiers!,"If you are lucky, and the weather is not that hazy. You can see North Korean soldiers on the other end. This will give you a view of both North and South Korean flags."
Part of the DMZ Tour,"This is one of the stops on the DMZ tour and there are telescopes to peer into North Korea. Because the JSA was closed to us, this was as close as we were to get."
Look into north korea,"I thought this was fascinating. From the observation deck you can look over the border and into North Korea. They have free telescopes which look into the ‘propaganda village’ - so called because apparently no one lives there, the windows are painted on the buildings and despite looking like 3-4 story buildings the buildings infact have no floors. Can be busy to look through the scopes but didn’t have to wait long. Souvenir shop selling North Korean wine. "
Good scenery but not spectacular,"Actually this place isn't really impressive, they use this place in the past as monitoring place as they need to see the border of southwest Korea and North korea. Nearby this place there is another building that you can see north korea from the provided binocular, you can see it clearly when the weather is nice."
Great views & good cafe,Really enjoyed this as part of a day tour of the DMZ. Had a nice light lunch with great views over North Korea... new facilities look great
Really just a view but a good view,"You mainly come here to get a good view of the whole area, especially of the villages inside the DMZ and of North Korea. Good thing is that there is a restaurant if you want to relax and the binoculars on the top are free."
Good views,"You get a good view from up here to North Korea, not that the country looks very different than the South, though. The binoculars are free."
You can see North Korea from far,"Free to use the binoculars to view North Korea from the observatory. If you are lucky, you can see people walking/working around a field out there. Can see the South and North flags from here."
Look into North Korea,"This observatory is situated in the DMZ and is the closest you can get to North Korea. From the observatory platform you can see, through many pairs of binoculars, into the North. You can see the propaganda village with its huge flag pole and N Korean flag as well as the, now abandoned,Gaesong industrial complex. The extensive use of barbed wire all round the area, as well as watch tours enhance the general atmosphere of cold war."
Views of the North,You can view North Korea border from the observatory. But there seem to be no difference between the 2 countries except that the height of the flag pole of North seem to be a little higher . Other than that there is an auditorium and quaint coffee shop .
Impressive to see ,Coming there you have to climb up to the new building and then to the third floor to take a sneak peak to North Korea. If you’re lucky you see some soldiers over there. The propaganda village (without people) and the huge flag pole is interesting as well!
North Korea doesn't look any different to the South!,"If a visit to the Tower is a highlight of the tour it shows overall how poor the tour is. Yes, its mildly interesting to see north Korea from afar, but there was no context just telescopes showing fields and hills and some buildings.....but nothing more."
Fascinating ,"It’s strangely fascinating to get a peak into the mysterious and secluded country of North Korea. Needless to say, it’s much better on a clear day, but either way, being so close to N Korea and seeing the N Korean flag in the distance is already worth it "
Cloudy day views,We visited the Dora Observatory on rainy day at Febryary. Couldn't see the North Korea clearly at this time.
Cloudy day but still good views into North Korea,We visited the Dora Observatory as part of a tour and the highlight was using the high-powered telescopes to get a glimpse into North Korea. We were able to see the propaganda village a few buildings. Would have been better if we had blue skies.
Peace seems so close...let's hope,Great vantage point from which too peer into N Korea. It was a bit foggy but through the binoculars we saw a N Korean soldier on their tower. So hard to believe the danger that lies in this demarcation zone (2 000 000 landmines???!!!) when it just seems calm and lovely. What a dichotomous experience!
Open-minded,North Korea through the lens of South Korea observatory. You really need to have an open mind after seeing these landscapes through those lenses. It got me enquire more information as to what I witnessed and what led to the barren landscapes. 
Dora Observatory,"You can see the North korea from here, better to have a good binoculars so you can see it clearly. They just open new observatory building"
Decent view,"This was one of the stops on our tour of the DMZ. It was quite crowded when we visited possibly due to the school vacations. We could get glimpses of houses in the North but that was about it. I guess to truly get a real picture, one would have to visit the North itself."
Fall in Paju,"Out of all the DMZ places we stopped at, Dora had the most historical information. Really learned a lot. And there are free binoculars on the roof deck where you can view North Korea. It's free. Almost 5 star toilets. There's a cafe too. Good places to take photos. "
Good view OF The north ,"IT was a steep climb to The observatory but worth IT upon reaching The TOP. ON The second floor you can view The Northern side. A video presentation OF The north Korea view is well discussed explaining The area. The statue OF Kim, The fake Village etc. Good photo op area."
Excellent place to experience the divided Korea.,1. ID card (passport) needed.2. reservation essential.3. No entrance fee.4. New building is waiting for you.
Best view of Both sides of Korea,"We visited this in organised tour .The view is better only if it is clear day.It is worth seeing through Binoculars.It is struggle to get one as the viewing area is crowded and only few available.The climb up is steep,Take Elevator as much as you can, if required needed.Allow plenty of time to take in the atmosphere of divided Countries through wars.thanks"
Fascinating views into North Korea,"This was another stopover point on our half day tour of the DMZ. The views from the observatory at the top of Dora Hill (Dorasan) over towards North Korea are fascinating. There is a large map that helps you to identify the main points of interest. Unfortunately on the day we visited there were no binoculars available to peer in more detail. But we could still make out Kijong-dong the North Korean “Propaganda Village” with it’s enormous flagpole. And of course the competing flagpole on the South Korean side of the divide. In the distance you can also see the transmission tower which is there to block out South Korean TV and radio from the North.Around this area there is certainly a lot of barbed, razor wire, bunkers and helpful little signs warning you about mines which have been laid. And with a huge amount of military presence, typically in the form of heavily armed young lads in their early twenties, it's testament to being one of the most hostile borders on the planet"
Insight into North Korean propoganda,"A stop at the Dora Observatory is a must on any tour to the DMZ. Lined with a number of high power binoculars, spending a few hundred yuan for a couple of minutes viewing is an absolute must to understand the stark differences between the North and the South and see the flags flying on both sides of no-man's-land. Seeing the unlived in buildings and the vehicles going about their business is intriguing."
Great place to experience the DMZ,Easy access to viewing point where you can see into the north. See a watch tower for North Korea. You can also see the shuttered manufacturing facility where folks from the north were employed before recent sanctions. Well done and maintained.
Checking North Korea,"As part of our DMZ tour, we stopped by Dora Observatory where they have huge binoculars your can look through to see a glimpse of North Korea. We were very fortunate the day we went as we could see a lot of people movements in North Korea, mostly people tending their farms. The observatory is up the hill which give you a good vantage point to look into North Korea down below."
