review_title,review_body
Nice Place for A Walk,"If you love Korean traditional houses, this is the place you should visit. Although seems quite touristic area, but it's worth to visit."
Just great to wander around.,"Lots of local people in traditional costumes. The village covers alarge artea but still gets busy, Not sure how authentic the village is however for the western toursit its still pretty cool. Its nice just to wander around and especially at night, Prices are a bit steep in some of the cafes however I guess its an expensive place to run a business. Lovely."
Just wander around!,"We spent our first day just wandering around and discovered there was a tour in English at 3pm so we joined this the second day. We were the only Brits alongside a Belgian couple, Hong Kong nationals and a German couple and a few others. The tour takes you to all the main sites and I suggest you then go back later if you like. We ended in the excellent paper factory (the only original place where they hand make the traditional hanji (made from the inner bark of ‘paper mulberry’, a tree native to Korea that grows on rocky mountainsides). Prices are incredibly reasonable so stock up here. "
Visit really worth it!!!,"The day was cold and sunny, perfect to take around! The village is not so big, so it is possible to visit in one day, including the areas around it. I needed to use the restroom and I got impressed how clean it was! Beatiful pleace for nice pictures. I strong recommend this visit!"
Beautiful traditional village,The traditional buildings are so beautiful. One will experience the relaxed pace of lifestyle with lots of good food here. The people here are friendly and nice.
Some part magic some not so good,The place was teaming by school children. It’s very touristy and some bits gimmick. The magic of Hanok was diluted with tacky tourist shops. The craft shops was fantastic. We took a free guided tour and was definitely worthwhile. 
A look into classic Korea,Very nice place with vivid atmosphere. It Is full of asian tourists. Various restaurants and coffee shops. 
Super charming area.,Great to walk around - really cute and awesome shops for food and souvenirs. Very safe and comfortable area.
From Busan to Jeonju,"A brief information:From Busan to Jeonju takes Express bus It is cheaper & faster.Cost ₩24,900 & takes direct 3 hours.The Express bus has:• Large luggage compartments• Charger plug• Spacious leg rest• Comfortable seat.The seats set in 2-1 row seaters.Please depart 10 minutes before The bus stop for 15 minutes for toilet stop."
Lovely traditional houses & buildings,"A very compact & easy to navigate traditional Hanok village. Nearly all the buildings are in the traditional style. Lots of hanoks for guest stays - makes a lovely stay if you want to sample the traditional. Lots of shops, stalls & restaurants - some traditional, some selling modern products. It is a lovely place to stroll in the evening when the crowds disperse. Avoid weekends - it's heaving & as the roads are closed - lots of people hire bikes, scooters, segways & buggies - the roads are just full of them dashing around with no regard for pedestrians.Weekdays & evenings are more relaxed. Try traditional korean food at restaurants & stalls - & korean drink. There are many cultural places within the village & ask at the tourist info for any displays/shows that may be on.If you choose to go for a hanok stay the area is very quiet at night so not a problem for sleep etc"
Tourist Attractions,Lots of restaurants and shops lining up the whole area in different streets. Recommended place of interest when you are in Jeonju.
Beautiful place,"Beautiful place, everything is green with small streams flowing and sweet little shops on the roadside. The food is wonderful and special! You can dress up in local costumes and it's a great experience! Highly recommend coming here!"
Spend here one day and one night!,"Jeonju is just unmissabile in a trip in South Korea.The Hanok Village is characteristic; seems to be back in ancient Korea!Moreover, you can find here shops, coffee houses, restaurants, etc..Jeonju is the Food Capital of South Korea: here I ate the best Bibimbap and probably had the best food experience of my whole trip in Korea.Sleeping in an hanok is a great experience too!I suggest to spend here just one day and one night: I think this is the perfect time to enjoy Jeonju and to have the best experience it can offer!"
Lively Hanok Village,"The village keeps its traditional value and there are many original sites that kept in good condition. This is one of cultural heritage of Korea that you should visit. You can ask for an English tour guide. You also can try many traditional snacks and try to wear Hanbok, or buy some souvenirs or calligraphic stuffs. In the afternoon, there is a switch of guards shift. There is also a PNB bakery opened since 1951. You can try the various pie there. I want to visit this place again if I have a chance."
Hanok Village,"The centre of Jeonju is preserved as a Hanok Village. This is a Korean style of building houses. Jeonju is the biggest and best example in the country. Just walk around the town and admire the houses, or climb up the Omak-dae hill and overlook the roofscape. Jeonju is a great place to spend a couple of days and chill. Many Koreans rent traditional costumes and wander around town taking selfies."
Mix of traditional and the new,Very beautiful buildings with a lot of street food and activities to do. You can rent traditional clothes to wear around the area as well. 
A Fully Developed View of the beginnings of the Jeoson Dynasty,"I visited here, with my son and daughter-in-law, along with her parents.getting a good look at the place where the Jeoson insurrection got started and at various aspects of the culture that took root, after the Jeoson monarchs became established."
Real fun,"We had a great time learning about Korea's history. Great place to take kids. Saw many families with elementary kids. We went in July so it was hot but everyone had such a good time. Unfortunately, due to the weather, we chose not to rent hanboks. Lots of restaurants, coffee shops and knick knack stores. Would def recommend."
Interesting to visit,Good place to try wearing hanbok and walk around the streets and photo taking. Food is definitely must try as it taste different with other city.
Tourist Trap,"Hard to describe, other than ""contrived, commercial, and crowded."" The main area is modern buildings made to look traditional, all selling the same stuff.There is an older section of town, away from the crowds, which is nice, but hardly worth a journey."
Overly commercialised and not worth the travel time,"It was a hit or miss place. Not my cup of tea. It looks more like a theme park or a foodie playground. Jeonju Hanok Village may have historical roots from the Joseon Dynasty. However, much of the present-day site bears little of it. Saved from a few scattering sites that are deemed worthy such as the Shrine and the Confucian School, the majority of the village are trendy cafes, souvenir shops and trendy food stores. Perhaps what is most saddening is that many locals and tourists alike dressed in rented hanboks posing and ‘photo-bombing’ the sites. Instead of taking the time to enjoy, smell and see the place, majority of the people were more interested in swamping the place and using the place as a photo backdrop, and often spending more time monopolising the place for the best photo shots. Photography itself is fine but when one starts hogging the space for minutes for the best shot and multiple poses, it becomes an inconsiderate act. It wasn’t all gloom making a 2-hour train journey from Seoul to Jeonju. The famous PNB bakery, which makes the best choco pie is found in the village. The white choco pie flavour is mouth-watering. The humble and ubiquitous bimbimpap dish originated from Jeonju and the village houses some of the best and flavourful bimbimpap. The Jeonbang Catholic Cathedral was a nice church. It is a symbol of Western missionary activities during the Joseon Dynasty when Christian missionary activities were suppressed. Other than that, the place is just too commercialised and lacking little historical flavour and the ‘feel of experiencing the real korea’ as the marketing claims, is definitely intangible. Definitely over-rated and a miss overall. Stick to Buchon Hanok Village in Seoul."
Love this place,"I came across this area on the internet and have not regretted planning a trip here. We most destinations are within walking distance or at the edge of this village. Plentiful of shops to rent a hanbok or a 1920’s attire from the Kdrama Mr Sunshine. As the village is mainly a square you won’t get lost walking around and in fact it would be fun to get lost here. A lot of Instagram worthy locations for those who loves to take pictures. Hanok village stay is also available which we also did. If you’re not into Hanok village stay, the village is good enough for day trips from Seoul. "
Best Place to Hangout and Wearing Hanbok,"This hanok village area is dedicated for tourist spot. Many restaurant who sell bibimbab, korean local cuisine and street food here. Also, this is a very good place to rent a hanbok (korean traditional clothes) and wearing it as you like, taking some good picture. Very crowded during the day I came because there are a lot of student group came here. But it's very peaceful at noon around 4pm."
Beautiful,"It was raining when I visited the village but was still worth the walk. Very beautiful buildings, streets and alleys. Unfortunately there were a lot of businesses that were closed but fortunately there weren’t too many tourists.Recommended on a sunny day."
Must go to place,"I loved Hanok village! So much to see and so much to do. I feel like I've been to many different places in Hanok Village, but everytime you go back you see something new. Great food, great random conversations with people, and smiles all around. I miss being in Korea"
Hardly any trashbins in this beautiful village!,The most astounding experience in this otherwise beautiful village was that there where refreshments sold everywhere but the retailers don’t allow you to use their trashbins. Public trashbins are rare so these messt spots are the result. It’s funny how retailers here don’t consider this their problem.
Great place to spend a few hours for photos.,This is a reconstructed village where you can dress up in old fashioned clothes and wander around taking selfies.Lots of eating places and souvenir shops.Great atmosphere and lots of photo opportunities.You can also hire a scooter bike.
Lovely place,"According to the stats, this plac3 gets 10m visitors a year! But when I .came it was not crowded, the weather was nice and it afforded a pleasant enough afternoon wandering around the streets, down alleys and into shops and tea and coffee houses. Not masses to do, but a nice gentle day. Particularly nice s to see people dressing up in traditional costume and walking round."
Beautiful township,"We loved this beautiful little township.Not a lot to do here, but it is a great place for pictures, culture and wandering.Food was fine, plenty of options. Not many souvenir shops though.We went by KTX from Seoul - easy to find. "
Worth Visiting,"A good bit to see and do at and near the traditional Hanok Village. 100% recommend. Easy to get to from Seoul or Camp Humphreys/Osan AFB with Waze. Not as well known to foreigners but has been recommended to me on more than one occasion by Koreans. Try bibimbap while here, a local specialty and well renowned from Jeonju."
"Quiet, sleepy historic town","Quaint place to visit.. great restaurants, tea houses to try out jeonju food. A historic sight nestled in the middle of a city"
Lovey place with amazing architecture,This place has all the historical houses of Korea. A great place for photos! There is a different vibe to it in the day and at night. It’s recommended for you to experience both. The lights at night are pretty. There is a stretch of good food as well! Do try the noodle shop called VETERAN 베테랑 ... serves excellent noodles. Also try the very famous KOROKKE there. Amazing food and scenery !! 
"Very Nice Traditional ""wealthy"" Hanok","Jeonju Hanok Village is a great place to visit. Jeonju is a historical site for more than just the village. There is also a shrine to the Joseon kings/dynasty. There is lots of history here. This Hanok displays the wealthier, more ""urban/city"" upper class historical living. The aristocratic way of historic Korean life. The actual Hanok is surrounded by traditionally-designed shops where you can rent hanboks (traditional Korean formal wear) and restaurants. Many Hanbok shops can do matching couples. They are very beautiful. The more modern part/city of Jeonju surrounds the restaurants and shops. If you're interested in seeing a more rural, ""middle/lower"" class Hanok, this is not the place. Go to the Nagan Hanok in Suncheon if you want to see that side of Korean Historical living."
Just an ordinary place to visit!,"Though it is called Hanok Village, there aren't such traditional Hanok houses; instead there are several fancy street shops and restaurants in every corner. Many young people are seen wearing Korean traditional dresses and walking on the streets and taking photos. This place is just like other commercial streets in Korea."
Beautiful large Hanok village,"We came to Jeonju to visit the Hanok village and it really was beautiful. The village is quite big with lots of little alleys and is great explore on foot. Do make sure you get off the crowded main streets and into the alleys, they are must more quiet and relaxing. We spent two nights in Jeonju but in hindsight one night would have been enough, we only really needed half a day to see the sights in and around the village."
Great visit!,"Spend the nice stroll in the village with it’s old houses, shops and restaurants. Dress up like the locals and make pictures, while walking around. Very nice"
A Day Tour Is Enough,"We took one of those foreigner-only tour buses that charge less and allow u about 5 hours to roam around the hanok village. Those 5 hours were more than enough. The hanok houses and the church were beautiful but overall, it was more like a food land with a theme. We did find the baked choco pies, bibimbap, and soybean sprout soup amazing, and I'm sure other foodies will too. For everyone else, go if you've got a lot of time (use the tour bus, it really is convenient) and skip it if you don't. You won't really be missing a lot."
Pleasant time but a kind of “Hanok fun land “,"We stayed 3 nights there, but one single day would have been enough. In the preserved Hanok village there isn’t much to do apart from shopping and eating. So we wandered around: we went to the market, we had a stroll along the river and we took the bus (with Naver map application it’s very easy to organize your itineraries and we also bought transport card you can charge) to Geumsansa temple, which was a very nice place surrounded by many hills you can hike. With the autumn foliage it should be terrific. Unfortunately for us we were a bit early in the season."
Worth a visit. ,I would recommend a 1-day trip to Jeonju Hanok Village. Stay a night to visit the night market and enjoy the local food. 
"Heart of Korean traditions, stubborn conservatism and the fidelity and royalty of Korean Sunbi(classical scholar in Ch..","Heart of Korean traditions, stubborn conservatism and the fidelity and royalty of Korean Sunbi(classical scholar in Chosun Dynasty). Because of their belief, we could preserve some historical buildings and traditions. You can see many of the remains there, not like other places in Korea. Very unique in terms of the preservation of the traditions and the efforts made by the locals. Jeonju is very special place in Chosun Dynasty.... You can find many things there. Also bunch of Korean things including staying at a Korean house.... It's like ""Old Town"" in a city of Europe, which is very rare in Korea due to many wars......"
Nice day at Jeonju Hanok Village,"Arrived before lunch and saw many people wearing hanbok. There are shops after shops with hanbok displays so if you want to wear one, you have very many options to choose from. Had bibimbap for lunch and it was awesome. I went to the place next to the 600 year old ginkgo tree. The bibimbap was only 8000 won and really worth it.The entrance fee to Gyeonggijeon Shrine was 3000 won. You can wander around the grounds and see the Royal Portrait Museum of the first king of Joseon dynasty.Just outside the gate is the Jeondong Catholic church and Pungnammun Gate is on the same road."
