review_title,review_body
Best cultural experience in Korean ,"Beautiful and definitely worthy a visit. This complex contains national portrait museum. There is lots to see, felt a lot more relaxing and plenty places to sit and relax taking in the atmosphere. Highly recommended. "
Haven in an area of busy - buildings from Joseon dynasty,This area of quiet in the busy village is nice to wander around. The buildings are from the Joseon dynasty & are enclosed by a surrounding wall. The gate way leads to the main buildings with smaller court yards & buildings off.The area also has the Royal portrait museum (covering the key portrait of King Taejo) 
nice visit,"good, historical visit. Make sure to take the docent led tour (they have English-speaking guides). there is also the museum to walk through. Worth an hour on your visit to Jeonju."
in the heart of the Village...,"At the center of the Hanok Village, this shrine (erected in 1400) is one of the most interesting things to see in Jeonju.Entrance Fee is only 3.000 won per person.There's a little ""bamboo-forest"", pretty famous to be a nice background for photos.Take a slow walk through this shrine!!!!"
Josean shrine complex in Hank Village,"The Gyeonggijeon shrine is in the centre of the Hanok village. It is a complex of pavilions, shrines, store buildings from the Josean Dynesty. There is an entrance fee, but we turned up at lunchtime and the ticket office was closed so we were let in for free (not that the entrance fee is large), Many Koreans had rented traditional dress and were taking photographs around the complex. One of the buildings has manuscripts from the Josean Dynesty, other buildings house various museum pieces on daily life."
Beautiful shrine complex in Jeonju hanok village,"Gyeonggijeon shrine/palace is a beautiful group of buildings in the Jeonju hanok village. We visited at 09:30am, half an hour after opening, and it was quiet. The buildings and trees are really beautiful, and there's a small bamboo grove that is gorgeous. You can go inside lots of the buildings, which is great. We didn't visit the portrait gallery museum, and it took us a bit less than an hour to see everything else."
Worth a visit ,You probably won't spend more than an hour here unless you're taking photos in the traditional hanbok costumes~ Paid an entrance fee and received a map in English. Don't forget to check out the museum. 
Very nice during Autumn,"It is 3.000 for the entrance ticket. You’ll need about 30min to 1h for the visit and it is located at the entrance of the traditional village, so very easy to reach.The shrine in itself has nothing extraordinary but is a nice and quiet place to visit. During autumn it is actually very nice for pictures."
Interested in Korean history? it's must-go!! 한국인이라면 한번은 가봐야 하는 곳!!!,"Fortunately, there is a fee language guide program, through which you can get a good guide speaking English. The entrance fee is about 3 USD, it's almost for free considering the free English Guide. Kyoungkijeon, it has the portrait of the first king of Chosun Dynasty. It depicts the king exactly with the same appearance. No adding at all. And also this place is used as an altar for important figures of Seongrihak(an academic studying developed from the confucionism. it's based on the confucious belief). So Confucius is included in the figures. It has deep history. You can hear of it from one of the guides there.  The books of the annals on the Chosun Dynasty are also preserved well here.  You can see how strict and strong the confucious belief was in Korea. It was more than a religion. 다행기게도 무료 해설 프로그램이 있어서... 입장료가 3,000원인데 그정도야... 낸다. 해설사 비용도 안나오겠더라... 거의 공짜라고 본다. 경기전, 태조의 초상화를 포함해서 성리학 위인들의 위패를 모셔놓은 곳, 조선왕조실록도 모셔놓았던 곳!!!! 그리고 그걸 지키려했던 선조들의 노력!!!! 경기전, 조선 태조 이성계의 초상화를 모신 곳이다. 태종은 1410년 전주·경주·평양에 태조의 모습을 그린 초상화를 모시고 어용전이라 하였다. 그 후 태종 12(1412)에 태조 진전이라 부르다가 세종 24년(1442)에 와서 전주는 경기전, 경주는 집경전, 평양은 영숭전으로 달리 이름을 지었다. 경기전은 임진왜란 때 불탄 것을 광해군 6년(1614)에 다시 고쳐 지었다. 건물의 구성은 본전·헌·익랑 들로 이루어져 있고 이를 내삼문과 외삼문으로 둘렀다고 한다.해설사의 설명을 들어보면 한국에선 건물 하나를 지을 때도 그냥 아무렇게나 지은게 아니고 하나하나 모두 그 뜻이 있다고 한다. 저 기둥도 뭔가 뜻이 있다고 하는데... 아, 뭐라고했는지 까묵었다...  경기전 이 건물은 다행이게도 불타지 않고 보존되었다고 하더라. 광해군 이후로... 다른 곳은 다 타고 없어져버렸는데.... 전주에는 이렇게 지켜진게 많다. 조선시대야 그 근원이 '농사'였고 평야와 농사의 중심지였던 이곳 '전주'가 자연스럽제 중요한 도시였음은 자연스러운 일이라고 하겠다....해설사의 얘기를 듣다보면 일본에 대한 악감정이 안생길 수가 없다. 뭔가 만들어 놓으면 어김없이 일본이와서 다 파괴했으니까... 그 와중에 전주의 시민들은 우리 조상들은 그 유산을 지키기 위해서 목숨을 걸어야 했고....초상화는 털하나도 빠지지 않고 그릴만큼 사실적으로 묘사한 게 특징이다. 경기전 안에는 태조 이성계 어진을 모신 곳과, 규장각처럼 조선왕조실록과 서적을 보관하던 곳, 그리고 성리학 성인의 위패를 모신 곳이 있다. 각각 이름이 있지만 일일이 기억하지는 못한다. 성리학도 결국 중국의 학문에서 온 것이고 언어도 중국의 언어를 기반으로 한 '한자'였으니... 엄밀히 따지자면 전통 한국은 아니었다라고 해야 할까? 성리학의 명과 암이라고 할 수 있겠다...."
Nice stroll,"People walk around wearing hanbok. There were children, teens and parents in traditional clothing. It was a big area where you can read about Joseon dynasty in English."
"Small, peaceful Shrine",Small and relaxed stroll in a shrine featuring King Taejong.Good combination for photography when you dress up in their traditional costumes
Pleasant and peaceful,A pleasant place to wander around and enjoy traditional Korean architecture. The Portrait museum was small but interesting.
good place to see history,"nice site to walk around. also houses the royal portrait museum, which is pretty interesting, although not extensive."
King Taejong shrine,The First King of Shoseon dinasty. A small shrine and it has a painting of King Taejong. You have to pay for enter.
"Small, less crowded and similar to crowded palaces in Seoul","If you want to take pictures with your hanbok around Jeonju, this place is worth a visit to to that. There aren't a lot of tourists unlike in Seoul where every nook and cranny of a palace has people taking their photos. The place is serene and quiet and worth a visit when you want to escape the Seoul crowds. This place is small as well, but everything looks similar in other palaces so if you're done with palaces, you can skip this one unless you have nothing more to do in Jeonju."
An Upclose opportunity to see traditional architecture,"A great opportunity to see the function and layout of traditional Korean dwellings (particularly of those with money) There is a museum in the center of the complex which is worth the entry price on its own. If you like traditional artifacts, this is a must. There are also quite a few of the buildings that you can take your shoes off and go inside and explore a little bit. Nice layout and design ~ a very low stress enjoyable place to be."
Interesting with guide,It was interesting to learn some history with a 45 min guided tour in English. The storage area for the Joseon annals where quite interesting too. 
Houses a portrait of something.. not that with it,You can see a lot of it from the inside so can consider saving the 3000 won to go in. There’s some history about why it’s famous but it is not a palace or anything similar. From the Chosun period.
Average,If you have visited temples/palaces in Busan or Seoul this one does not really impress you as it is less spectical and beautiful. As people should not expect an palace anyway
