review_title,review_body
Nice bamboo forest,"Whan we were in Damyang my friends bring us here.Nice place, nice breeze, after lunch good for walking.My friends said this place use for movies and dramas.My guess, when sun set time has so nice views also can take nice photos."
Such a unique place to explore!,We stopped by to explore this park during our road trip and what a beautiful and peaceful place it is! Would definitely recommend this! My littler kids enjoyed the playground while older ones enjoyed the scenery and art most!
A beautiful bamboo forest and Korean style gardens,"A beautiful bamboo forest with Korean traditional buildings. There were some special events (e.g., tea ceremony) and activity zones when I visited. I'll say it's a family friendly place but it will be still excellent to couples or friends. It's calming atmosphere will definitely help you ease your stress. It will take 2-3 hours if you walk slowly, taking some photos at times."
A very calming place!,"The right place to visit if you seek for tranquility and just release stress! Many people come here for sort of mental healing, the place is huge with many paths to take in the forest, and some museum and cafe (spare at least 1 hour to explore). It's also a popular place for couples to visit since it's a really calm and romantic atmosphere. This place is worth visit ANYTIME, because in all 4 seasons, the color of the bamboo won't change (always green). However, check the weather before coming there. Although it's also beautiful in the rain, if you come there to take pics of yourself, it's much better when it's sunny."
Perfect getaway from a busy city- Damyang Bamboo forest,"A beautiful day at the Damyang Bamboo forest! While strolling down the bamboo forest, I felt so at peace and relaxed! It’s a perfect getaway from a busy city life Also, you can take great photos as it’s green all year around! Totally recommend it ✅ P. S: make sure to try their Bamboo ice cream! It’s SO YUMMY!!"
So peaceful and beautiful - great shopping!,"I went to stay with my daughters in South Korea for two weeks and this is what we did on our last day together. We held hands and strolled through the beautiful bamboo-lined paths, shopped in some of the lovely shops, drank bamboo tea, ate bamboo ice cream, and one of my daughters and I even split a bamboo beer. It’s a lovely place. Feels so good to be surrounded by greenery, so calming. My daughters are adults but it didn’t give me the option ha ha"
It is basically a tourist trap but its still a pleasant walk,"This is basically a tourist trap. Someone planted a bunch of bamboo to make a mini-forest and make a pseudo-attraction. This is not a historical site and has no real significance. That said, it is still a pleasant walk and where else can you get and eat bamboo ice cream (which tastes suspiciously like green tea ice cream)?"
Bamboo Garden (Juknokweon) in Damyang. ,Just stroll around in here under the bamboo shade in a state of ignorance to busy city life. You can see lots of families or lovers walking along bamboo forest trails. Try bamboo sprout ice cream. 
Nice walk in bamboo forest,"Had never seen a bamboo forest so it was nice. We walk through the whole park maybe in about 1 hour or a bit more. There's a cafe quite near the entrance where we had really nice ice cream. At the other end of the park there was another cafe and we had bamboo leaf tea, which was surprisingly nice. We went in march and it wasn't crowded at all, we had a very nice time. I expect in the summer it must be a very busy area with lot's of activities just outside the park. We parked easily and for free but maybe that's due to the time of year, i think there is a bigger car park for the Bamboo forest around the back entrance."
Bamboo plantation,"The effort to make this place a tourist attraction is marvellous using bamboo plantation.I did not make it to the other gate as it was quite a distance with the uneven steps.Basically, it is quite the same view walking through the park with bamboos surrounding you."
Nice place but I visited wrong season (winter) ,"Actually, it's quite nice to visit. Good to walk around. But I visited in December so some of shops are closed and there is no event or activities since it's low season. I recommend to avoid winter. "
Bamboo Bamboo!,"Best to visit it in the morning, when the groups of tourists have not arrived. A nice quiet place to stroll, and furniture made of bamboo. Super popular with local and foreign tourists. Also the restaurants outside the Junokwon are almost fully booked by the tourists in groups, so it's best to leave for lunch at 11.30am, to find the restaurant with spaces for walk-ins. I managed to find 1 such resturant after reject by 2 previous ones with full bookings. The bamboo rice smells nice, with red bean n some other beans. I ordered the most basic Bamboo Rice set, only 10,000won. The number of side dishes are just awsome! For 3000won more, u can have 1 more meat dish. But really the side dishes are more than enough.How to go: Take Bus 311 from Gwangju, outside Gwangju U-Square. Took 50min to reach Junokwon directly. Fare is 2900won. Or you can buy a direct bus ticket to Damyang Terminal (30min), then change to bus 311."
Lovely Peek into Nature,"Go in the morning when it is not busy--my group arrived at the opening time, and were told it is typically so full we would not have been able to easily stroll through the park. The bamboo is lovely--I recommend trying the bamboo teas in the coffee shop. There is also a mini-info area about bamboo the level below the coffee shop where the bathrooms are. When quiet and alone, the forest feels a bit like entering a different world. My only complaint would be the frequent graffiti etched in the lower levels of the bamboo--but this is more a criticism of the individuals who would scratch into nature, and not those who maintain the park."
Maybe it was just too humid,"I had an image that it would be grander, more beautiful. Maybe because it was midday and by the time we walked from the carpark to the front gate, my back was drenched and I'd started to get a heat headache. I tried to enjoy it, but every step was an uneven slope up or down, every bench full. A short walk through, we were done.I would like to visit again in a cooler month to give it a second chance."
