review_title,review_body
Attractive scenery,"It was very windy when I visited Seoraksan and the cable car stopped functioning. My friends and I hiked the Biryong trail to see the waterfall. The waterfall is stunning and worth the hike. The hike is not too long distance but relatively difficult for a beginner hiker like me. The Hallasan Yeongsil trail is easier than Biryong trail but much longer distant. Biryong trail has more stone paths, hanging bridge etc. Overall, I would revisit Seoraksan again for the beautiful scenery."
Perfect for a stroll and nature viewing,"If you want to be in nature but don’t want to hike, this park is perfect for you. You can take your family here for a nice stroll, but make sure you go on a sunny and warm day unless you want to freeze! I went when it was super cold (but hiked, so it was OK) so I took a warm jacket and it was alright, but I think it would’ve been much better if I had gone in the springtime."
Good views,"I did not join the hiking tour but took an easier one ie getting to the top in a cable car. The whole trip was much easier than originally thought. I had to wait only 40 minutes for the cable car (running every 5 minutes and carrying 50 persons; best to buy the cable car ticket as early as possible); took pictures of the Buddha statue and of the surrounding areas in the meantime, before going back to the cable car station. Then there was a walk of some minutes up to the fortress. The walk was not difficult and the stairs were lined with anti-slip rubber. At the top there were many people; all coming up for the expansive views. The whole trip took about 3 hours."
Absolutely a must do ,"Can easily spend days here doing all the various walks, bring water as some of the hikes are a little tough but are so worth it "
One of the most beautiful places in Korea,"Hailing from a lovely mountainous place myself, I take hikes and surrounding mountains very seriously while traveling. There’s just something soul soothing about strolling along beautiful scenery, surrounded by nature. Seoraksan is massive, with the best views coming from the hikes themselves rather than just the cable car area shown in photos attached. There are food areas near Seoraksan cable car, and great snacks available this time of year such as Hotteok. It an absolute must see, photos cannot do it justice. Definitely look up more on the park before you go, you won’t be disappointed. "
Hike+Autumn Leaves,"The easiest(??) and one of the popular route to seoraksan is to the Biryong waterfalls. We went here on a weekend, so it was like everyone from Seoul wanted to see Seoraksan. By the last week of October, there are already autumn leaves around the middle of the hike up to the water fall. If you want a more leisurely hiking pace, go here on a weekend. There are many restaurants, a coffee shop and many agricultural stores, but nobody speaks English. There are some street food, however, if you have allergies, the Ahjumma's will not be able to explain the ingreadients."
A view to remember,"It was autumn and though it came later than predicted this year, the view was still amazing. I would definitely come again and try out the trails. Went up through cable car and the hiking to the peak from cable car station on top, was not steep (+ stairs). I would like to enjoy just sitting still while watching the view for at least an hour up there. Unfortunately due to time constraint, was not able to do it. If you stay in Seoul and would like to come here, make sure you arrive at the express terminal station early in the morning to take earliest bus to Sokcho!"
Nice walking,"Be aware that this park is very busy! Weekends are a no no, so we arrived on a Monday but even then it was crowded. However we saw some lovely Autumn colours and the paths are quite good to walk. We did take one to the round rock and this wasn’t so easy for walking - a lots of steps made of large rocks really. Enjoyable though."
Autumn Beauty,"We enjoyed a full day in the park. We appreciated views of beautiful riverscapes, autumnal tree foliage and rugged mountain formations. The varying angles and levels of light added to the spectacle. Be warned: we were there on a Monday and it was very busy with long queues of cars to enter the site and lots of people."
Seoraksan National Park,"The park is Very well maintained considering that it is quite a huge park. Requires lots of walking, for some hiking. Take the cable car for a closer view of Mt. Seorak & its surroundings. There is a big sitting buddha & temple as well. The natural landscape of the park makes for a relaxing ambience."
One of the prettiest mountain parks in South Korea,"Come in early October and look for the Autumn colours. Climb the heights to one side, or take the cable car on the other. And indulge in the countryside drinks (dong dong ju) and the mushrooms. Beautiful views, and hiking at all levels of physique."
Korean nature,"Excellent park with many good though steep walks. The entrance with the many food places is a little off putting, but most visitors do venture beyond this area. Well maintained paths and clearly signposted."
a scenic mountains and fun cablecar,"the park itself is average however the mountains surrounding it are really beautiful. If you love hiking, it is one of the best place, I guess. However, I visited with my family, we opted for the cable-car. there was a long waiting. if you are not lucky you will not see anything even if you are on the top of the mountain. check the weather, and avoid cloudy-rainny days to get the best view from the top."
Tiring but worth it,Ulsan Rock was spectacular and beautiful! Needless to say it was tiring but definitely worth! Didnt manage to visit the others but heard its good too!
Wonderful visit,"We spent a lovely couple of Spring days exploring the various paths and sights of Seoraksan National Park. There's a lot to see and do, and even though there are a lot of people at the park's entrance and going up and down the cable car, it's also a breeze to leave the crowds behind with a bit of walking. We loved it, and I'd recommend it to anyone who enjoys getting out and about. Our two sons (10 and 12), enjoyed the challenge of spotting the many birds and mammals about, and none of the walks were too challenging or difficult."
Gorgeous nature,"This National Park is a must see when visiting Korea. We booked a hotel in nearby Sokcho to visit the park multiple days. There are lots of different hikes which will show you the absolute best of the natural beauty of Korea. Some hikes can be challenging, so make sure you start your hike well equipped ."
Day trip to Seoraksan,"The scenery on the way to Seoraksan National park was beautiful. We had to go through several tunnels and it was nice. Got to Seoraksan and took a cable car up to the Gwongeumseong Fortress. The view from the top was amazing. Not far from the entrance, we can go to see the Buddha statue and the Sinheungsa Temple. Keep following the temple wall you can make your way towards the Heundeulbawi rock and then the famous Ulsan Rock. The walk was not that hard, but the climb from Hendeulbawi to Ulsanbawi is quite challenging if this is your first time hiking. The walk in the forest is really nice. It is so calm and relaxing. If you have plenty of time, you can visit other places in Seoraksan National Park. Since I joined a day trip to this place, I don't have enough time to explore the whole place. But if you only have limited of time, going to Gwongeumseong Fortress is a must, then you can take either Biseondae course or Ulsanbawi course (depending on the time you have). All and all, this place is worh visiting."
"Superb mountain view, cable car and good hiking trails","It was good experience. The rock mountain is good for all ages. Getting to the mountain peak via cable car makes it possible for children or even ladies with flat sandals or slippers to climb the peak. The peak was crowded with people, even with children. The mountain view is breathtaking and you can see the small Sokcho City and Sea of Japan from the top. There were other rock mountain and several nice places that can be hiked in the area/park, but unfortunately I was not able to reach those places due to time constraint. Definitely will be back for the Ulsan Bawi and other parts that are worth exploring!"
Great nature park,"From Sokcho city, I took bus 7 or 7-1 to this national park. T-money card is accepted for bus, ride is about 25 mins. The entrance ticket is 3,500 won. I started by heading to Biryong Waterfall, a relatively easy hike. I took about 1 hour 45 mins round trip, including a 20 mins break at the waterfall. Next, I took a cable car to Gwongeumseong Fortress. The cable car ride is rather expensive, 10,000 won return ticket for 5 mins ride one way. At the top cable car station, it takes about 10 mins to climb up the steps to reach the fortress. It was not overly crowded as the area is spacious. Unfortunately, it was drizzling and foggy when I was there. I managed to take a few clear shots in between the fog arriving and disappearing. I then took the cable car back and had lunch at the food court of cable car station. Initially, I planned to hike Ulsanbawi Rock after lunch. It was still raining and view was foggy. I decided to visit the nearby Sinheungsa Temple before calling it a day and then return the next day. Fortunately, my travel plan is flexible to accommodate this. I was glad the next day was bright and sunny, with clear blue sky. I finally hike to Ulsanbawi Rock, which was the highlight for me. See my separate review. Overall, I had a memorable time visiting Seoraksan National Park and highly recommend it."
Best hike EVER :) don't miss it,"I have to say I'm not a hiker. Before coming to Korea I didn't like hiking. But I fell in love with Seoraksan. I did 2 hikes there. One day I went to Ulsanbawi rocks (pretty light hike, many stairs) - all in all around 2 hours to get to the top. A lot temples and nice views along the way. But best was a hike to the top Daechongbong Peak. It's really long hike, you have to start early because it is 11km to the top and it took me almost 5 hours getting to the top but it was definately worth it. You have nice views almost always. first 3km are just a walk, than anouther 3,5 km it is a light hike and last 4,5 km are deadly :D but don't worry, because I'm not an experienced hiker and I did it with some breaks at pretty good time. It is worth going hiking even if you don't get to the top. Somewehere in the 1/3 of the road between Huiungak shelter and Socheongbong peak there is an oservation deck with the best view (I spent there 15 minutes while going up and another hour going down) so preserve until than. Enjoy hiking ;)"
