review_title,review_body
A challenging hiking place,"Easy when it is at the beginning part of the mountain. However, it gets really steep and quite dangerous when reaching the summit of the mountain. Do get proper hiking equipment such as hiking shoe as sport shoe is too slippery. Spend 4 hours going up, and 4 hours down. Never climb down during the evening as it gets really dark and dangerous. Overall it was a great experience, would definitely want to go back again."
Great and challenging hiking,"Don't be fooled by the casual demeanour of the Korean hikers, and the neatness and cleanliness of their equipment. If you get up into the peaks of Bukhansan you may find yourself descending a cliff with only a steel cable or an iron bar to hold on to. Safety ropes are for sissies and westerners, apparently. But it is beautiful to be out among nature (but solitude is not guaranteed, you may find yourself in a throng of Korean hikers). I strongly recommend October to see the red maple leaves, so different than the North American maples. Some parts are accessible by subway (Dobongsan and Mangwolsa stations) and others by bus. Anything you need before (such as lunch or a forgotten item of clothing or equipment) or after the hike (such as food and beer) can be purchased between the subway stations and the mountain."
Prachtig!!,"Een van ‘s werelds populairste hiking trails is Bukhansan Mountain.Dit is een prachtig berglandschap, vlot te bereiken met het openbaar vervoer vanuit Seoul. Het meest uitgelezen tijdstip voor zijn beklimming is oktober tot november, vermits de herfstkleuren het landschap dan in een schilderachtig tafereel omtoveren.Er zijn meerdere trajecten mogelijk, doch de mooiste tocht is deze van Bukhansanseong Fortress tot aan Baegundae, de hoogste piek. Een pittige wandeling waarbij het laatste deel zelfs wat avontuurlijk is. Om de steile paden te beklimmen zijn de staalkabels die aan de rand van het pad gespannen zijn een welkome hulp. De fenomenale uitzichten van op de top maken de inspanning meer dan waard. Als het meezit met de smog krijg je een uitzicht over heel Seoul en omstreken. Wauw.Afdalen kan je langs de andere zijde van de berg, langs de oude stadsmuren. De tocht neemt zonder pauze zo’n 5uur in beslag.One of the world's most popular hiking trails is Bukhansan Mountain.This is a beautiful mountain landscape, easily accessible by public transport from Seoul. The most suitable time for his ascent is October to November, since the autumn colors transform the landscape into a picturesque scene.Multiple routes are possible, but the most beautiful trip is from Bukhansanseong Fortress to Baegundae, the highest peak. A tough walk where the last part is even more adventurous. To climb the steep paths, the steel cables that are tensioned at the edge of the path are a welcome help. The phenomenal views from the top make the effort absolutely worthwhile. If there is not too much smog you get a view of the entire Seoul area. Wow.You can descend on the other side of the mountain, along the old city walls. The trip takes about 5 hours without a break."
Baegundae Peak - worthwile,"Easy to get to the start of the hike via metro and bus (Gupabal station, line 3, exit 1 followed by 704 bus). I did the gorge path up which I understand to be slightly more difficult. Yes it was tough going, but so worth the experience at the top. I went at 8am on a Monday morning so there were very few other hikers. The most worthwhile day in Seoul!"
"Amazing view, climb not awful either","Let me get this straight, I'm not a climber and I haven't been to the gym in over 3 years. I have a decent staminia though. Not having a fear of heights was also helpful in my case.When visiting Seoul last summer, I decided to climb Baegundae peak because ... why not?I was wearing shorts, stockings and $5 primark shoes which were almost falling apart: perfect climbing gear, right? I was smart enough to pack 2L of water and lunch though. I went on a Monday I believe around 9:30 AM. The park ranger was super kind to me, but he made fun of my shoes lmao. He provided me with a map and drew a route for to climb. The first 1,5 hours up were AWFUL. I'm sure ANY other way up would have been better, but I spent the first 1,5 hours climbing uneven, very high stairs and it was almost bad enough for me to quit. During this period I only passed a couple of other people, which was really odd to me, since in other people's reviews I read that the hike is always busy.I started at the Jeongneun parking lot and made my way up to Youngchusa. This part is in the middle of the forrest and this is the part where I was just doing nothing but climbing stairs. I passed Daeseongmun and Bogungmun and this part was super nice, literally like taking a walk in the park. I decided to continue. The forrest ended and very suddenly I was confronted with how high up I was as I was on the edge of a cliff. It was very intimidating at first, but I soon got an adrenaline rush and was excited to make my way up. The next part I spent climbing on all fours over huge rocks and pulling myself up. I didn't find this hardly as draining as climbing the stairs though, and it was honestly very fun. The view from Baegundae peak is kinda unreal and it was really relaxing to sit down and eat my lunch. The locals were also super nice to me and pulled out their best english skills to have a conversation with me: why are you alone? Why are you wearing these shoes? The park ranger had told me to make my way back down to Ui-dong, which I think took me about 1,5 hours. The climb down was really nice and I came across a small shop, where I purchased some more water. There was also a traditional-style restroom which is not for the squeamish, but hey, I had to go after drinking all that water. After arriving in Ui-dong, my very sweaty self made her way back to the nearest subway station and went back to Hongdae.Over all, the walk was really nice after it was more than just climbing stairs. The view is beautiful and the adreneline rush is real. Not sure how difficult it is, since I haven't done a lot of hiking in my life, but for someone with average stamina it's deffos do-able."
A tough climb but worth the view.,"A would say you need to have decent decent footwear and I recommend padded/gripped gloves as well. In the later parts of the hike you have to climb over boulders and pull yourself up smooth rock whilst holding onto a wire rope. Gloves certainly made it easier. The views from the top are amazing, some of the best views of Seoul, and it really gives a scale of how big the city is. The down side though is getting there is a chore. The subway station that is closest is still bus ride away, and its a very popular route and you will be waiting a very long time to get on the bus. I decided to walk to the entrance to the park, which I would not recommend. Also there are multiple routes to the top, and I couldn't find any kind of visitor centre at the bottom to get a map.So when you start heading up there is no way of knowing if your are going up a harder route or an easy route. And in fact since the routes criss cross its very easy to go a much longer route. Also the ascent is mostly covered by forest so you really don't appreciate your altitude. The first time you come out of the forest you look out over a cliff and it really hits you hard. I'm not scared of heights but that sudden look over a cliff face still came as a shock. I would say its a reasonably tough climb as well. I wouldn't recommend trying to climb this unless you hike regularly."
Beautiful,It was really gorgeous. I love walking around and drowning in the beauty of nature. Fresh air and nice weather thou
You need to be fit for the climb up,"Its amazing that older Koreans of 60+ age can climb the Bukhansan mountain with ease. The climb is quite steep and rocky. The trails are not always that clearly marked out. You definitely need good hiking shoes and walking sticks will also be a great help. Don't forget to bring food and water. You can fill your water in streams on some of the trails. Toilets are few, far and minimal. Its something different to do in Seoul if you are fit for the climb."
Experience Korea,"If you like to hike, or simply take a long walk in nature while staying in Seoul, this could be the answer for you. Quite near the city . Nice views. You should bring along comfortable hiking shoes.Plan a half day; bring a snack/lunch."
Wonderful hiking ,"We are a family of four with two children (4,7). We started hiking up towards Baegundae Peak, however with the 2 kids we made it with in about 1.5k from the top. My 7 year old was fine, but my 4 year old had to be carried by daddy the further we went up. The hike was just lovely...wonderful smells, fantastic views, the nature was just gorgeous. We hiked about 4.5 hours with my kids. Stopped for lunch break (brought lunch) half way. Even if you don’t hike, I think the park is definitely something to visit to leave the hustle and bustle of the city. "
Beautiful spot...,Bukhansan National Park is a beautiful spot with spectacular views looking up and down... a nice reward during and after an enjoyable hike!
Hiking to the Peak of Baegundae Mountain,"Great mountain hiking, spectacular views over the city of Seoul and just a quick transit from the city. We can see Seoul city at the top of the Mountain but the weather just a little bit cloudy. View the weather cast before hiking up ."
Then need better maps,Brilliant hiking but quite a few climbs. We did not get lost but were never where we thought we were.Lots of friendly people. Take more water than you would expect. Easy to get to from the metro - just follow the other walkers
